Database Name	CLS ODA
Database Location	http://operetta-cls.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	8d7e79c9-eb4a-4cf4-a8bf-b2ad302dd2ee
Plate Name	P105274
Measurement	Measurement 3
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	number of cells	spot area per cell	Number of Spots per Area of Cell - Mean per Well	sum spot intensity per cell	Spots - Intensity Spot CellMask Green Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	1	1275	13,097254902	0,000187016747397	551,750087777	703481,361916	4	0	0					
2	1	1	1	971	5,67662203913	0,000113215399609	305,191522175	296340,968032	4	0	0					
3	1	1	1	1379	116,451051487	0,00457951154561	10812,069441	14909843,7591	4	0	0					
4	1	1	1	829	277,447527141	0,00654766967436	29935,2490325	24816321,448	4	0	0					
5	1	1	1	1024	244,696289063	0,00674714972189	24259,7808987	24842015,6403	4	0	0					
6	1	1	1	853	8,37866354045	0,000147066305257	533,53314096	455103,769239	4	0	0					
7	1	1	1	1183	133,360101437	0,00494256888169	12995,1243271	15373232,079	4	0	0					
8	1	1	1	880	8,93181818182	0,000158575621489	565,35065184	497508,573619	4	0	0					
9	1	1	1	1062	7,91902071563	0,000133569673266	402,833154698	427808,810289	4	0	0					
10	1	1	1	924	9,29437229437	0,000128421662304	491,012422452	453695,478345	4	0	0					
11	1	1	1	948	123,802742616	0,00399834547869	11501,902859	10903803,9103	4	0	0					
12	1	1	1	737	279,723202171	0,00650507005328	27368,8279553	20170826,203	4	0	0					
13	1	1	1	904	259,917035398	0,00619545959222	25230,881545	22808716,9167	4	0	0					
14	1	1	1	805	116,223602484	0,00387711465255	11204,3493949	9019501,26293	4	0	0					
15	1	1	1	942	12,4437367304	0,000168087456318	537,587966322	506407,864276	4	0	0					
16	1	1	1	819	9,5347985348	0,000122377604601	501,120848542	410417,974956	4	0	0					
16	2	1	1	812	10,2253694581	0,000191736625351	639,240997192	519063,68972	4	0	0					
15	2	1	1	879	260,817974972	0,00612170447275	25232,1065878	22179021,6906	4	0	0					
14	2	1	1	799	275,886107635	0,00633609536715	29223,394913	23349492,5355	4	0	0					
13	2	1	1	827	149,76904474	0,00444491822405	14181,549906	11728141,7723	4	0	0					
12	2	1	1	696	6,36925287356	0,000108298830253	376,716746584	262194,855622	4	0	0					
11	2	1	1	821	8,25700365408	0,000150036285014	403,568690848	331329,895186	4	0	0					
10	2	1	1	910	8,23186813187	0,000140665991713	486,412503848	442635,378501	4	0	0					
9	2	1	1	1034	120,030947776	0,00356135787743	10811,6691705	11179265,9223	4	0	0					
8	2	1	1	885	9,34011299435	0,000174639384344	753,701886074	667026,169176	4	0	0					
7	2	1	1	968	252,783057851	0,00559598278707	22442,6306639	21724466,4827	4	0	0					
6	2	1	1	836	288,364832536	0,00628202098478	26380,4845743	22054085,1041	4	0	0					
5	2	1	1	981	142,437308869	0,00470506010558	14565,2226906	14288483,4595	4	0	0					
4	2	1	1	801	5,03245942572	0,000106320357566	313,814629694	251365,518385	4	0	0					
3	2	1	1	960	10,4041666667	0,000178092823323	495,002188263	475202,100732	4	0	0					
2	2	1	1	897	7,81828316611	0,000137745559474	458,468835072	411246,54506	4	0	0					
1	2	1	1	1261	119,86518636	0,00394132441954	11269,7643857	14211172,8904	4	0	0					
1	3	1	1	408	37,5882352941	0,000692597902415	2570,65243592	1048826,19386	4	0	0					
2	3	1	1	469	19,3837953092	0,000383796839432	1479,74945737	694002,495507	4	0	0					
3	3	1	1	821	13,4616321559	0,000249827916104	703,610110445	577663,900675	4	0	0					
4	3	1	1	790	9,08481012658	0,000236476976458	678,162990069	535748,762155	4	0	0					
5	3	1	1	105	40,4666666667	0,00043112716237	846,619402272	88895,0372386	4	0	0					
6	3	1	1	521	34,3320537428	0,000556367724496	1765,2290998	919684,360997	4	0	0					
7	3	1	1	650	35,3061538462	0,000546316375168	1739,14481202	1130444,12781	4	0	0					
8	3	1	1	656	19,8765243902	0,000456349263315	1448,7443412	950376,287826	4	0	0					
9	3	1	1	894	16,1286353468	0,000279108592132	645,99461701	577519,187607	4	0	0					
10	3	1	1	746	10,2144772118	0,000162541157784	585,915956431	437093,303497	4	0	0					
11	3	1	1	169	32,7218934911	0,000214416430209	771,680189956	130413,952103	4	0	0					
12	3	1	1	489	42,6952965235	0,000869566064394	2544,69202335	1244354,39942	4	0	0					
13	3	1	1	646	26,0340557276	0,000389804148648	1199,46569638	774854,839862	4	0	0					
14	3	1	1	598	12,3578595318	0,000275526873524	832,736022547	497976,141483	4	0	0					
15	3	1	1	715	21,6545454545	0,000268586556011	891,510104538	637429,724744	4	0	0					
16	3	1	1	797	4,96110414053	8,97516201096E-05	320,655379649	255562,337581	4	0	0					
16	4	1	1	1098	5,09198542805	0,000195011794321	354,101481143	388803,426295	4	0	0					
15	4	1	1	678	19,0191740413	0,000397494543231	1208,94147749	819662,321739	4	0	0					
14	4	1	1	705	19,5645390071	0,000567805847198	1676,70584067	1182077,61767	4	0	0					
13	4	1	1	570	29,8403508772	0,000861766308177	2384,54957882	1359193,25993	4	0	0					
12	4	1	1	920	7,63804347826	0,000110774162749	341,766098239	314424,81038	4	0	0					
11	4	1	1	902	9,69623059867	0,000111962417892	374,581839694	337872,819404	4	0	0					
10	4	1	1	704	7,62642045455	0,000121201164513	397,377030829	279753,429704	4	0	0					
9	4	1	1	184	41,9891304348	0,000560174482139	2133,60096234	392582,577071	4	0	0					
8	4	1	1	59	36,1186440678	0,00060388650025	1474,66818885	87005,4231423	4	0	0					
7	4	1	1	30	45,9666666667	0,00081416228301	1021,22928097	30636,878429	4	0	0					
6	4	1	1	893	6,11422172452	0,000115114901941	392,942828995	350897,946293	4	0	0					
5	4	1	1	762	12,06167979	0,000154764120381	452,595576748	344877,829482	4	0	0					
4	4	1	1	804	6,45024875622	0,000130682411948	338,149773948	271872,418254	4	0	0					
3	4	1	1	105	44,0095238095	0,000734682134048	2195,67364555	230545,732782	4	0	0					
2	4	1	1	91	22,7032967033	0,000293495835209	1034,34560612	94125,4501568	4	0	0					
1	4	1	1	30	58,5	0,00138168963022	1684,03134873	50520,9404618	4	0	0					
1	5	1	1	1115	14,2591928251	0,000277549707286	870,234820155	970311,824473	4	0	0					
2	5	1	1	787	10,4282083863	0,00020533088309	660,805364484	520053,821849	4	0	0					
3	5	1	1	456	34,7543859649	0,00098265228371	2807,30784456	1280132,37712	4	0	0					
4	5	1	1	719	24,2420027816	0,000783146150887	2537,62231917	1824550,44748	4	0	0					
5	5	1	1	780	20,8192307692	0,000536878746826	1619,55704238	1263254,49306	4	0	0					
6	5	1	1	716	13,4497206704	0,000390059245587	1288,20228115	922352,833305	4	0	0					
7	5	1	1	961	9,50468262227	0,000217425612568	539,793855862	518741,895483	4	0	0					
8	5	1	1	957	6,57575757576	0,000151234143848	432,252945288	413666,068641	4	0	0					
9	5	1	1	21	307,238095238	0,0017645113209	3124,8848602	65622,5820642	4	0	0					
10	5	1	1	11	140,272727273	0,00116293370957	1656,77338034	18224,5071837	4	0	0					
11	5	1	1	5	172,2	0,00154212126508	2330,25963422	11651,2981711	4	0	0					
12	5	1	1	12	223,333333333	0,0021693619201	5252,84290653	63034,1148783	4	0	0					
13	5	1	1	69	44,6666666667	0,000498481169073	1681,37801381	116015,082953	4	0	0					
14	5	1	1	574	6,78222996516	0,000111209535315	358,750510758	205922,793175	4	0	0					
15	5	1	1	18	198,444444444	0,0019759243393	3109,20920299	55965,7656538	4	0	0					
16	5	1	1	9	158,111111111	0,00130747553582	2763,04269027	24867,3842125	4	0	0					
16	6	1	1	841	9,30321046373	0,000114071484846	468,977473154	394410,054922	4	0	0					
15	6	1	1	869	15,8768699655	0,00016906033786	609,776589567	529895,856334	4	0	0					
14	6	1	1	760	6,83026315789	0,000128711414723	448,183608359	340619,542353	4	0	0					
13	6	1	1	755	16,3708609272	0,000317418958378	955,163954604	721148,785726	4	0	0					
12	6	1	1	765	20,9777777778	0,000493932333807	1730,55421786	1323873,97666	4	0	0					
11	6	1	1	651	148,924731183	0,00365373392765	10236,6502101	6664059,28679	4	0	0					
10	6	1	1	842	6,89429928741	0,00016063850785	455,188728913	383268,909744	4	0	0					
9	6	1	1	891	14,7654320988	0,000172427522273	548,007521941	488274,702049	4	0	0					
8	6	1	1	819	9,28327228327	0,000170663554684	571,033489522	467676,427918	4	0	0					
7	6	1	1	787	14,5616264295	0,000250745412246	835,165971983	657275,61995	4	0	0					
6	6	1	1	724	16,1243093923	0,000369718200794	1029,10856062	745074,597891	4	0	0					
5	6	1	1	637	178,706436421	0,00416473973727	12039,0436219	7668870,78713	4	0	0					
4	6	1	1	836	9,39473684211	0,000177709106916	538,402709085	450104,664795	4	0	0					
3	6	1	1	77	87,3636363636	0,000927380794529	4265,02333699	328406,796948	4	0	0					
2	6	1	1	6	191,333333333	0,00150728898977	2247,83252839	13486,9951704	4	0	0					
1	6	1	1	12	175,75	0,001531167145	2310,59369486	27727,1243383	4	0	0					
1	7	1	1	471	152,600849257	0,0041235240109	12228,6317695	5759685,56345	4	0	0					
2	7	1	1	756	12,2632275132	0,000394669223862	1199,66425372	906946,17581	4	0	0					
3	7	1	1	856	15,2581775701	0,000318461243806	1055,29384804	903331,53392	4	0	0					
4	7	1	1	922	8,6453362256	0,000216049066329	639,608638403	589719,164608	4	0	0					
5	7	1	1	763	17,3512450852	0,000226987729795	613,130988394	467818,944145	4	0	0					
6	7	1	1	802	8,84164588529	0,000180379206769	624,506725361	500854,39374	4	0	0					
7	7	1	1	114	497,00877193	0,00837308793888	35673,6861371	4066800,21963	4	0	0					
8	7	1	1	638	12,802507837	0,000374838300302	1054,21421994	672588,672324	4	0	0					
9	7	1	1	806	16,9838709677	0,000271607921704	948,104459115	764172,194047	4	0	0					
10	7	1	1	800	12,34875	0,00027844703025	873,156570673	698525,256539	4	0	0					
11	7	1	1	732	17,1010928962	0,000191728818213	720,161903426	527158,513308	4	0	0					
12	7	1	1	862	6,11252900232	0,000106000297726	363,180727644	313061,787229	4	0	0					
13	7	1	1	813	106,93603936	0,00308583601383	9241,06811388	7512988,37659	4	0	0					
14	7	1	1	814	10,9963144963	0,000276507093747	756,579732457	615855,90222	4	0	0					
15	7	1	1	711	18,7749648383	0,000264589413716	810,345031576	576155,317451	4	0	0					
16	7	1	1	819	5,29426129426	0,000134811929194	351,147733237	287589,993521	4	0	0					
16	8	1	1	112	40,7857142857	0,000509929653163	2070,62995685	231910,555167	4	0	0					
15	8	1	1	63	104,619047619	0,00133732757217	5428,31294299	341983,715408	4	0	0					
14	8	1	1	959	7,91866527633	0,000141682273954	538,907288419	516812,089594	4	0	0					
13	8	1	1	587	19,8347529813	0,000376452924535	1090,26136816	639983,423111	4	0	0					
12	8	1	1	113	50,7787610619	0,000752224759016	2369,24415841	267724,5899	4	0	0					
11	8	1	1	96	91,5	0,000868370734376	3526,00337197	338496,323709	4	0	0					
10	8	1	1	93	48,376344086	0,000485682774114	1640,26639525	152544,774758	4	0	0					
9	8	1	1	49	182,571428571	0,00331738816244	9691,68261113	474892,447945	4	0	0					
