plate	well	raw_data	type
1	A01	8940	Data
1	A02	9076	Data
1	A03	8716	Data
1	A04	8760	Data
1	A05	9328	Data
1	A06	8916	Data
1	A07	8844	Data
1	A08	9388	Data
1	A09	9236	Data
1	A10	8048	Data
1	A11	9092	Data
1	A12	9080	Data
1	A13	8988	Data
1	A14	8624	Data
1	A15	8972	Data
1	A16	9076	Data
1	A17	8848	Data
1	A18	8892	Data
1	A19	3100	Data
1	A20	9136	Data
1	A21	8948	Data
1	A22	9588	Data
1	A23	68	Pos
1	A24	9660	Neg
1	B01	9292	Data
1	B02	9508	Data
1	B03	9120	Data
1	B04	9456	Data
1	B05	9464	Data
1	B06	9500	Data
1	B07	9604	Data
1	B08	10080	Data
1	B09	9548	Data
1	B10	9904	Data
1	B11	9024	Data
1	B12	9440	Data
1	B13	9024	Data
1	B14	9220	Data
1	B15	8828	Data
1	B16	9284	Data
1	B17	9768	Data
1	B18	9056	Data
1	B19	5772	Data
1	B20	10056	Data
1	B21	9276	Data
1	B22	9440	Data
1	B23	112	Pos
1	B24	9600	Neg
1	C01	9524	Data
1	C02	9988	Data
1	C03	9932	Data
1	C04	9948	Data
1	C05	9668	Data
1	C06	9752	Data
1	C07	9860	Data
1	C08	9748	Data
1	C09	9164	Data
1	C10	9880	Data
1	C11	9376	Data
1	C12	9164	Data
1	C13	9984	Data
1	C14	10276	Data
1	C15	9872	Data
1	C16	9716	Data
1	C17	9096	Data
1	C18	9836	Data
1	C19	9944	Data
1	C20	9848	Data
1	C21	10340	Data
1	C22	9716	Data
1	C23	92	Pos
1	C24	9204	Neg
1	D01	9776	Data
1	D02	9716	Data
1	D03	9512	Data
1	D04	10028	Data
1	D05	9364	Data
1	D06	9900	Data
1	D07	9236	Data
1	D08	10120	Data
1	D09	9412	Data
1	D10	9176	Data
1	D11	9240	Data
1	D12	9616	Data
1	D13	9308	Data
1	D14	10236	Data
1	D15	10004	Data
1	D16	10404	Data
1	D17	9636	Data
1	D18	9368	Data
1	D19	8328	Data
1	D20	9636	Data
1	D21	9716	Data
1	D22	10520	Data
1	D23	92	Pos
1	D24	10596	Neg
1	E01	9460	Data
