Well,Plane,Timepoint,Cell Selected - Number of Objects,Cell Selected - Total Spot Area - Mean per Well,Cell Selected - Number of Spots - Mean per Well,Cell Selected - Relative Spot Intensity - Mean per Well,Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well,Cell Selected - Intensity Cytoplasm Mean - Mean per Well,Spots Selected - Number of Objects,Spots Selected - Relative Spot  Intensity - Mean per Well,Spots Selected - Corrected Spot  Intensity - Mean per Well,Spots Selected - Spot Area [px²] - Mean per Well,Spots Selected - Intensity Spot Mean - Mean per Well,Number of Analyzed Fields,Height [µm],Time [s],Compound,Concentration,Cell Type,Cell Count,
A01,1,0,2141,9.34983652499,0.301261092947,0.00296832058845,0.000316682013022,957.098318968,723,0.137950684591,328.640706194,30.8616874136,1989.77476971,4,0,0,,,,,
A02,1,0,2057,121.295576082,4.28147788041,0.0345062164283,0.00478742363564,1423.40768925,9474,0.132859795288,350.412434343,28.491450285,2458.01141571,4,0,0,,,,,
A03,1,0,2314,39.7891097666,1.29386343993,0.00982774445926,0.00140447395801,1131.51262526,3305,0.120985053824,261.138749108,30.649924357,1946.07579248,4,0,0,,,,,
A04,1,0,2090,15.4622009569,0.518181818182,0.00418861082045,0.000544421655236,975.589500748,1201,0.124798405805,268.291320387,30.2314737719,1880.22682721,4,0,0,,,,,
A05,1,0,2297,9.36438833261,0.282977797127,0.00327119615735,0.000281407740398,989.281036603,724,0.135191329194,338.661387554,33.2306629834,2071.14970231,4,0,0,,,,,
A06,1,0,2379,9.09415720891,0.280369903321,0.00327553768832,0.000293654816003,1041.13646069,738,0.137307571298,356.387369191,32.4444444444,2191.84205847,4,0,0,,,,,
A07,1,0,2363,7.45958527296,0.257723233178,0.00230477444986,0.000273925316927,956.207709062,671,0.13444680264,279.435525333,29.3561847988,1785.97113886,4,0,0,,,,,
A08,1,0,2044,169.281311155,6.57191780822,0.0604495044407,0.00807911012579,2158.6493591,14675,0.142545265471,562.851320312,26.0017035775,3703.47627341,4,0,0,,,,,
A09,1,0,2202,37.7338782925,1.1217075386,0.00954036945749,0.00118250915794,1198.03820005,2720,0.121216548867,267.666737234,34.0216911765,1994.60612981,4,0,0,,,,,
A10,1,0,2183,11.7398076042,0.342189647274,0.00362870142976,0.000342864741827,1025.5626417,818,0.133509655742,334.845606603,35.0256723716,2092.57922896,4,0,0,,,,,
