Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	f709da7e-4a67-40b6-9eae-8c2039cce1ca
Plate Name	P103636
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2090	11.0200956938	0.309090909091	0.00354107894764	0.000317377520656	1106.32892061	728	0.131400957153	431.306117228	36.0274725275	2685.0042319	4	0	0					
1	2	1	0	2076	42.8868015414	1.80298651252	0.00875006875404	0.00188150027831	1118.31943106	4118	0.116171644403	220.125784467	23.806945119	1798.30345912	4	0	0					
1	3	1	0	2187	28.4339277549	1.03886602652	0.00615818884406	0.00113626585674	1025.65464089	2480	0.11482828513	201.863269639	27.3891129032	1642.65565588	4	0	0					
1	4	1	0	2243	13.6277307178	0.482835488185	0.00348955410344	0.000525476208868	965.58178472	1207	0.117492229465	225.037799777	28.0886495443	1705.18862854	4	0	0					
1	5	1	0	2268	10.3549382716	0.322751322751	0.00295222680473	0.000362485798974	1006.27726782	808	0.121126699706	250.385483789	32.2722772277	1807.63474179	4	0	0					
1	6	1	0	2080	125.715865385	4.89951923077	0.041179342367	0.005801673915	1834.21062602	11128	0.139662195228	498.123114289	25.8742810927	3273.81494431	4	0	0					
1	7	1	0	2081	51.0937049495	1.94617972129	0.0125459135376	0.00216849957145	1203.76012823	4417	0.122943395286	270.305854589	26.4197419063	2026.45047982	4	0	0					
1	8	1	0	2367	9.57836924377	0.301225179552	0.00246703076292	0.000324044839487	1001.7124265	765	0.119932214417	233.959753321	32.0183006536	1729.00388144	4	0	0					
1	9	1	0	2099	10.2772748928	0.295855169128	0.00318067717314	0.000317338974659	1031.93945768	670	0.126127872523	279.929232797	35.1701492537	1898.38898329	4	0	0					
1	10	1	0	2087	7.85960709152	0.240057498802	0.00212055103969	0.000279844871506	1023.77249406	569	0.119464998628	254.080936191	33.1195079086	1877.43064838	4	0	0					
1	11	1	0	2109	8.89947842579	0.225699383594	0.00284669788514	0.000232696266397	1094.72913675	521	0.133013935922	349.638217369	39.9500959693	2197.47905954	4	0	0					
1	12	1	0	2030	182.8408867	7.03201970443	0.0840485666762	0.00904310122345	3690.4282819	15665	0.152302552007	1057.94212791	26.2561123524	6672.97129813	4	0	0					
1	13	1	0	1973	181.844906234	7.61023821591	0.0744403755886	0.00879701331723	3219.8744311	16232	0.150270817233	902.37300345	24.0279694431	5758.91795405	4	0	0					
1	14	1	0	2079	53.810966811	1.54785954786	0.0123984609725	0.00167517918701	1520.75410818	3547	0.117005973899	298.319919878	35.0465181844	2382.83511102	4	0	0					
1	15	1	0	2203	12.1121198366	0.419428052655	0.00314911191562	0.000432627863262	1420.26911052	1010	0.121816754797	341.844445803	29.4405940594	2447.54046748	4	0	0					
1	16	1	0	2142	10.0532212885	0.330065359477	0.00270775622371	0.000346161080889	1219.11448638	769	0.121630947194	309.177146878	31.33289987	2182.6367949	4	0	0					
1	17	1	0	2247	9.57187360926	0.336893635959	0.00272092415134	0.000406401705553	1070.48218681	858	0.119925195406	246.584245345	28.9766899767	1812.69195689	4	0	0					
1	18	1	0	2146	179.539142591	6.83876980429	0.0683943567725	0.00818479256725	2655.31622715	15909	0.143669084612	697.391990102	26.5411402351	4621.09854116	4	0	0					
1	19	1	0	1985	145.99093199	5.81813602015	0.0461882242305	0.00659663034568	1957.50426885	12748	0.135611274902	469.749012219	25.3235017258	3273.11066714	4	0	0					
1	20	1	0	1951	80.6145566376	3.14812916453	0.0208590103689	0.00354935775681	1324.54843025	6727	0.124309169991	302.573276919	25.9481195184	2246.63800356	4	0	0					
1	21	1	0	2119	31.8376592732	1.14063237376	0.00786717322136	0.00121655934279	1100.47219756	2633	0.120852691263	263.731953951	28.2673756172	1956.99215345	4	0	0					
1	22	1	0	2112	16.1439393939	0.504734848485	0.00390179705302	0.000537190966133	979.000139867	1165	0.118842122566	222.279958901	32.2824034335	1653.40888508	4	0	0					
1	23	1	0	2180	14.4788990826	0.519266055046	0.00398912458603	0.000616822051437	979.628209211	1230	0.117363955977	221.347012385	28.093495935	1666.0653238	4	0	0					
1	24	1	0	2233	7.34930586655	0.258844603672	0.00196596548067	0.000296869790784	975.023563572	634	0.123194406457	231.303327262	29.2870662461	1650.34838606	4	0	0					
2	1	1	0	2293	10.4757959006	0.379415612734	0.00259426883346	0.000390821146409	945.19212447	960	0.117768700667	215.787264538	28.0114583333	1614.061258	4	0	0					
2	2	1	0	2295	11.0274509804	0.360348583878	0.00315594768004	0.000401924937038	903.88114938	914	0.121941445941	220.844228993	30.6575492341	1580.11870958	4	0	0					
2	3	1	0	2415	11.0645962733	0.339130434783	0.00348257869787	0.000387581598085	947.569939075	882	0.123973969306	275.70564624	32.6712018141	1890.73233358	4	0	0					
2	4	1	0	2372	12.1058178752	0.440556492411	0.00422209276429	0.000514230557029	1010.23846847	1160	0.130449878306	309.638423688	27.6913793103	2039.23503172	4	0	0					
2	5	1	0	2232	10.2163978495	0.379928315412	0.00260275088587	0.000385995856522	986.817635792	912	0.12310159156	254.144139518	27.0328947368	1799.48164196	4	0	0					
2	6	1	0	2368	11.0236486486	0.382179054054	0.00302511106698	0.000416462464033	989.786465178	988	0.124375259655	269.000884501	29.3957489879	1913.74216096	4	0	0					
2	7	1	0	2275	12.0523076923	0.449230769231	0.00352533359826	0.000463395186185	990.989595551	1098	0.12902585812	278.285994418	27.1857923497	1848.44233793	4	0	0					
2	8	1	0	2449	8.98489179257	0.277256022866	0.00269364800874	0.000308869906088	1010.42502989	737	0.12451751853	268.195238402	32.394843962	1902.67631958	4	0	0					
2	9	1	0	2347	8.60971452919	0.279931827865	0.00249030005111	0.000298181143576	987.92452281	735	0.127143928672	275.107137055	31.2993197279	1865.55602561	4	0	0					
2	10	1	0	2273	11.7153541575	0.400791904971	0.00400536030005	0.000415794642693	1039.90047176	982	0.137045614612	352.711605356	29.7403258656	2130.18369351	4	0	0					
2	11	1	0	2292	9.46378708551	0.270942408377	0.00297682477987	0.00030626862684	1010.83991245	686	0.131499935862	301.77882925	35.3017492711	1926.36846657	4	0	0					
2	12	1	0	2326	8.13370593293	0.268271711092	0.00208396674962	0.000286525699327	1019.738629	699	0.122110883712	247.999982062	31.0271816881	1783.20227832	4	0	0					
2	13	1	0	2204	9.30172413793	0.266333938294	0.00301388219309	0.00028513302123	1024.67358562	652	0.130130248414	313.116621545	35.1733128834	2080.04555473	4	0	0					
2	14	1	0	2243	8.90905037896	0.304502897905	0.00275436790197	0.000339294224069	1014.27358156	757	0.125907513058	290.936864975	29.8758256275	1950.34219045	4	0	0					
2	15	1	0	2337	9.94993581515	0.297817715019	0.0030973461966	0.00031839866434	1057.34015642	778	0.132408912044	324.299261504	33.5925449871	2085.43872976	4	0	0					
2	16	1	0	2277	10.8445322793	0.331137461572	0.00370348008366	0.000372400450649	1076.79248463	832	0.134103581729	351.124061736	32.9627403846	2270.1452925	4	0	0					
2	17	1	0	2517	17.645609853	0.49066348828	0.00521163213484	0.000548723436124	1414.48649074	1405	0.132229654255	386.179846658	36.5964412811	2609.76511265	4	0	0					
2	18	1	0	2499	13.8331332533	0.360144057623	0.00511079998225	0.000457495298079	1098.05315817	999	0.136275053375	386.742490749	39.3373373373	2449.34644393	4	0	0					
2	19	1	0	2361	9.26937738247	0.298178737823	0.00242653093549	0.000299889191967	954.292198482	781	0.121670773339	246.151365314	31.4199743918	1710.49592391	4	0	0					
2	20	1	0	2319	10.2026735662	0.297542043984	0.00260210934676	0.000301890797133	975.197470189	768	0.127417036907	265.584184108	34.6575520833	1773.59190189	4	0	0					
2	21	1	0	2445	8.65398773006	0.276891615542	0.00245164000245	0.000307563322287	964.210807243	752	0.120452220522	246.821412612	31.5864361702	1730.93156938	4	0	0					
2	22	1	0	2201	9.88368923217	0.307133121308	0.00240609840996	0.000330219231203	931.085517476	755	0.118263684116	210.473784406	32.7841059603	1572.54743061	4	0	0					
2	23	1	0	2246	11.2809439003	0.359305431879	0.00327149756309	0.000366040436195	886.52016034	900	0.127226740283	251.543152652	31.6766666667	1675.92014439	4	0	0					
2	24	1	0	2300	10.1834782609	0.379565217391	0.00280710972351	0.000440914579107	878.417903104	942	0.120301837584	208.149677739	27.1369426752	1517.44397338	4	0	0					
3	1	1	0	2205	14.0680272109	0.507936507937	0.0039839106285	0.000540143123328	904.090362313	1230	0.125919135961	243.482991557	28.0048780488	1689.11472771	4	0	0					
3	2	1	0	1985	10.1909319899	0.373299748111	0.00264118778217	0.000373101340864	908.009156688	803	0.122396268222	222.410034915	28.1083437111	1597.53646954	4	0	0					
3	3	1	0	2145	9.65641025641	0.342657342657	0.00216494908241	0.00035982494415	932.032909986	807	0.115112784447	205.857417102	28.1982651797	1625.99738709	4	0	0					
3	4	1	0	2137	10.1824988301	0.351427234441	0.00295659223355	0.000376625249352	988.497284235	851	0.126193757122	282.254268504	29.5722679201	1909.55426979	4	0	0					
3	5	1	0	2347	7.1806561568	0.225394120153	0.00222290735263	0.000234291627274	1201.11626398	601	0.132933685054	356.835767882	31.6788685524	2293.26217322	4	0	0					
3	6	1	0	2395	9.70897703549	0.356993736952	0.00257402091952	0.000374992993697	1029.41150174	945	0.119986819036	252.448100811	27.3873015873	1841.24289804	4	0	0					
3	7	1	0	2162	9.84366327475	0.300647548566	0.00279069909256	0.000328231175128	1031.62722529	716	0.12600979413	299.26840398	33.1536312849	2035.97174403	4	0	0					
3	8	1	0	2215	11.8275395034	0.421218961625	0.00362543499936	0.000431132643322	1021.68627319	1019	0.127647782394	310.225581087	28.3886162905	2095.17493452	4	0	0					
3	9	1	0	2179	9.20009178522	0.312528682882	0.00313845413428	0.000340139672688	1026.2870588	758	0.130500630757	317.343270164	29.598944591	2030.57252649	4	0	0					
3	10	1	0	2171	9.34039613082	0.329341317365	0.00302098201226	0.000344534046556	1033.15833426	785	0.132690540382	323.93824985	28.7324840764	2083.96135407	4	0	0					
3	11	1	0	2314	8.97796024201	0.292134831461	0.0026461792848	0.000307132136989	1028.76503795	733	0.127334834856	279.633650549	30.8581173261	1863.45342525	4	0	0					
3	12	1	0	2269	7.73953283385	0.254737769943	0.00220574598803	0.000282046657916	1005.26766887	630	0.120523490679	229.681091434	30.646031746	1698.33293121	4	0	0					
3	13	1	0	2307	9.32249674902	0.294755093195	0.00315148740897	0.000307559677966	1043.92862693	751	0.134950655067	344.789828374	31.8308921438	2124.49011422	4	0	0					
3	14	1	0	2353	10.4696132597	0.276668083298	0.00337105264828	0.000297780775074	1052.32093494	704	0.133558441907	349.537496325	37.828125	2171.05001888	4	0	0					
3	15	1	0	2318	8.33908541846	0.264452113891	0.00243773900815	0.000268454969058	1037.68048643	678	0.128985983772	286.491240069	32.2876106195	1916.25230383	4	0	0					
3	16	1	0	2399	9.93122134223	0.340141725719	0.00294107262097	0.000352445570665	1037.05093358	900	0.131116751638	310.541840907	29.2466666667	2052.59033563	4	0	0					
3	17	1	0	2263	9.19619973487	0.293857711003	0.00256033527297	0.000295620025436	1030.18513979	745	0.126459212676	274.469518154	31.4348993289	1862.77703946	4	0	0					
3	18	1	0	2290	10.3165938865	0.338427947598	0.00335068731003	0.000328340409415	1048.33359159	836	0.13198956198	339.941609092	30.5131578947	2179.3544698	4	0	0					
3	19	1	0	2191	11.03514377	0.323596531264	0.00345513855926	0.000335278621575	1003.64828635	781	0.136281257486	303.594070095	34.4199743918	1863.37291953	4	0	0					
3	20	1	0	2204	11.5376588022	0.394283121597	0.00338491719795	0.000447862072875	1007.14831298	942	0.122381295291	253.282779202	29.4501061571	1820.44328113	4	0	0					
3	21	1	0	2291	10.3505019642	0.325621999127	0.00349917204246	0.000347720940268	986.279211611	828	0.13225244402	338.818084166	32.3128019324	2102.95359379	4	0	0					
3	22	1	0	2112	12.2613636364	0.401515151515	0.00299702330301	0.000397296672257	918.602855486	948	0.121337285231	219.090617639	30.7436708861	1586.04512815	4	0	0					
3	23	1	0	1999	12.8289144572	0.466233116558	0.00295121721832	0.000454394656774	905.576575982	1040	0.119913965652	227.695926217	27.7759615385	1606.14866503	4	0	0					
3	24	1	0	2040	13.2161764706	0.455882352941	0.00364051994736	0.000454488605026	897.867913489	1007	0.125792973355	253.684063725	29.2095332671	1677.06869678	4	0	0					
4	1	1	0	2232	119.907706093	4.80465949821	0.0341402376948	0.00547956251055	1633.91974815	11774	0.136499057104	403.147999064	24.8444878546	2745.07598075	4	0	0					
4	2	1	0	2039	12.1059342815	0.39234919078	0.00337123279613	0.000416093520664	923.213931867	867	0.122669457377	245.02482954	30.7508650519	1714.20551916	4	0	0					
4	3	1	0	2063	10.4125060591	0.349006301503	0.0029646185071	0.000362136711606	950.085477761	803	0.124694861309	238.563022062	29.7733499377	1659.14532908	4	0	0					
4	4	1	0	2088	12.6618773946	0.371647509579	0.00394741616305	0.000391837941937	943.35671515	855	0.12880592916	266.699464473	34.1099415205	1746.88943477	4	0	0					
4	5	1	0	2219	12.1275349256	0.444794952681	0.00382803865701	0.00045004526662	982.924412989	1103	0.129611720764	280.433042997	27.4433363554	1858.56316914	4	0	0					
4	6	1	0	2470	8.73117408907	0.296761133603	0.00253280754935	0.000340005941428	989.79066557	799	0.12198991702	248.962392	29.9186483104	1783.87725147	4	0	0					
4	7	1	0	2261	10.5559486953	0.37859354268	0.00318421085175	0.000387500687348	1032.739629	960	0.126949536439	294.27481554	27.884375	1972.28574438	4	0	0					
4	8	1	0	2161	10.56362795	0.366034243406	0.00316830181029	0.000391929557014	1034.19395093	885	0.124427047803	281.75180935	29.7548022599	1910.15820564	4	0	0					
4	9	1	0	2186	9.82982616651	0.38472095151	0.00277803312816	0.000433125762605	1023.61558753	931	0.124022320957	259.443983487	25.8120300752	1870.96762204	4	0	0					
4	10	1	0	2231	10.7606454505	0.340654415061	0.00326815369821	0.000367435708061	1046.5809634	847	0.130059733559	299.835733953	31.8476977568	2011.62776337	4	0	0					
4	11	1	0	2429	9.62247838617	0.329765335529	0.00310981705888	0.000363239805419	1070.19446987	878	0.133909391226	322.231564701	29.1924829157	2074.74736244	4	0	0					
4	12	1	0	2430	8	0.238271604938	0.00215940458365	0.000252991093529	1049.62402788	641	0.128843330385	282.199860126	33.9079563183	1911.6317381	4	0	0					
4	13	1	0	2305	10.0451193059	0.311496746204	0.00343186754556	0.000335793501608	1112.17941285	766	0.137343875606	372.384564835	32.3864229765	2302.7293809	4	0	0					
4	14	1	0	2341	7.95429303716	0.265271251602	0.00250859913468	0.000288668818887	995.38659046	685	0.129991496991	283.999963091	30.795620438	1876.61612122	4	0	0					
4	15	1	0	2368	10.1566722973	0.296030405405	0.00340708960132	0.000314624561505	1034.53347448	764	0.135782151982	324.952458572	34.4515706806	2032.15635699	4	0	0					
