Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	1cbd44d7-bc3c-407e-af42-ca5ac5724e7e
Plate Name	P103627
Plate Name	231018_171113-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2345	8.67931769723	0.285714285714	0.0027371462684	0.000298421820169	983.368980919	739	0.13636298448	313.701624016	30.1623815968	1920.39555533	4	0	0					
1	2	1	0	2155	120.571693735	4.54153132251	0.0359151060954	0.00537504764733	1465.67901001	10732	0.13420449209	363.572438974	26.6831904584	2521.96719537	4	0	0					
1	3	1	0	2300	44.2095652174	1.69434782609	0.00983085617481	0.00175790088238	1069.74774795	4248	0.120450778563	232.274006509	26.0786252354	1778.74728106	4	0	0					
1	4	1	0	2253	15.5876608966	0.464269862406	0.00393432575246	0.000478207987954	919.05420063	1144	0.120700963558	234.355435029	33.9667832168	1674.81204537	4	0	0					
1	5	1	0	2246	11.1260017809	0.323241317898	0.00350449463314	0.000321163226693	940.635787056	808	0.131687799862	288.698329911	35.099009901	1823.62599349	4	0	0					
1	6	1	0	2400	9.35125	0.2775	0.0027670682442	0.000271783774127	909.900805768	730	0.127858940165	260.378390171	34.0356164384	1718.14787442	4	0	0					
1	7	1	0	2282	8.73006134969	0.276073619632	0.00289827193201	0.000279652225005	917.875953775	700	0.135154830324	304.077689521	32.0228571429	1883.67750328	4	0	0					
1	8	1	0	1993	164.078775715	6.01304565981	0.0620808600974	0.0077530048832	2176.20463496	13134	0.142899419035	564.105266326	27.5482716613	3707.22088432	4	0	0					
1	9	1	0	2113	82.0530052059	3.0638902035	0.0202299791422	0.00332232038628	1248.78582027	7001	0.125017306987	286.837781669	27.0518497358	2138.54530898	4	0	0					
1	10	1	0	2090	9.68564593301	0.316746411483	0.00264467407865	0.000318750226738	938.505667364	731	0.128859851132	269.580282537	31.3611491108	1798.55219002	4	0	0					
