Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	0f3891d9-5080-43a2-9583-1da84dde8a48
Plate Name	P103633
Plate Name	231018_193823-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2411	12.4890087101	0.336789713812	0.00466639006807	0.000416259724421	1117.69314928	872	0.13665680618	382.531148214	36.7052752294	2396.03792409	4	0	0					
1	2	1	0	2031	64.8970950271	2.69620876416	0.016985610312	0.00296957055091	1143.77901315	6087	0.129572628496	295.068318545	24.342040414	2085.72201995	4	0	0					
1	3	1	0	2122	12.9693685203	0.488689915174	0.002995052996	0.000497869977593	956.303713487	1146	0.12258118728	226.51963685	26.8158813264	1641.33369642	4	0	0					
1	4	1	0	2186	13.917200366	0.484903934126	0.00360740325112	0.00050971853434	1018.41996572	1172	0.124615689083	255.526797494	28.9223549488	1808.57231333	4	0	0					
1	5	1	0	2262	14.2157382847	0.432802829355	0.00422654692435	0.000419624272929	999.403659853	1071	0.13128834794	323.238754932	32.9038281979	2098.79262236	4	0	0					
1	6	1	0	2375	10.4951578947	0.347789473684	0.00330821368114	0.00038929302879	954.911916658	920	0.124775709467	277.809174028	30.847826087	1896.02326432	4	0	0					
1	7	1	0	2118	86.2809254013	2.89518413598	0.0229251421485	0.00323431805417	1411.1185611	6768	0.12688678446	335.013715	29.99143026	2419.11834081	4	0	0					
1	8	1	0	2324	40.5159208262	1.46815834768	0.0102386200533	0.00164045746879	1168.00978151	3781	0.122809756978	273.675461561	27.6738957948	2043.28123449	4	0	0					
1	9	1	0	2195	21.7093394077	0.604555808656	0.00639591520697	0.000668842193282	1095.04790681	1455	0.124538169837	297.932203073	36.6130584192	2066.54342594	4	0	0					
1	10	1	0	2171	11.6577614003	0.308152924919	0.00395510696338	0.000311244514039	1108.61825182	749	0.135543691643	389.789652115	38.403204272399996	2430.64197199	4	0	0					
