Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	ec521682-1244-43ac-be92-cf8bd359fd87
Plate Name	P103632
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2125	13.4414117647	0.339294117647	0.00490575546841	0.00037321417068	1035.18113728	783	0.142811222029	391.560602289	40.0446998723	2333.44890606	4	0	0					
1	2	1	0	2060	46.0097087379	1.68300970874	0.0110529056157	0.00170106487792	1070.73351579	3771	0.125550143648	272.668283128	27.4531954389	1962.73387186	4	0	0					
1	3	1	0	2273	13.7395512538	0.41179058513	0.00378150021425	0.000447976102387	944.544066579	1037	0.123485235662	244.925716187	34.0530376085	1728.44208265	4	0	0					
1	4	1	0	2420	11.2954545455	0.368595041322	0.00363617471772	0.000409949920334	975.489938538	974	0.127310207606	283.629120966	30.6190965092	1909.93078692	4	0	0					
1	5	1	0	2356	11.0386247878	0.383701188455	0.00346236641448	0.000418231149012	986.403496179	1010	0.131459961565	318.559169843	29.202970297	2059.04580085	4	0	0					
1	6	1	0	2307	10.1582141309	0.328565236238	0.00291532812387	0.000331764257606	991.346461785	837	0.129622670733	276.984859173	31.3679808841	1869.28511125	4	0	0					
1	7	1	0	2278	79.2216856892	2.84591747147	0.0196608358819	0.00300679724412	1353.62165339	7138	0.125210011859	335.626819405	28.0748108714	2450.22171352	4	0	0					
1	8	1	0	2389	35.3302637087	1.2641272499	0.00921061050078	0.00136558865011	1118.8788021	3274	0.122185619769	267.996743683	28.1456933415	1994.74329833	4	0	0					
1	9	1	0	2464	9.97118506494	0.29586038961	0.00370809711128	0.000323001035199	1033.69856885	797	0.136923134819	365.888213097	34.7013801757	2218.45966412	4	0	0					
1	10	1	0	2252	9.01687388988	0.267761989343	0.002990455046	0.000276316430209	1036.99715842	648	0.132845182085	342.157704227	33.8070987654	2180.09852641	4	0	0					
1	11	1	0	2258	8.29362267493	0.261736049601	0.00282523074666	0.000279901059424	1024.95535967	653	0.132748732566	340.172963564	32.4977029096	2206.34917411	4	0	0					
1	12	1	0	2299	8.41278816877	0.234884732492	0.0025731629063	0.000257041180808	1009.57218854	572	0.132891836039	301.184594258	36.4755244755	1969.08878504	4	0	0					
1	13	1	0	2056	111.464007782	3.87110894942	0.0373819491947	0.00484069940242	1556.72594927	8577	0.138750615208	417.663688487	28.8982161595	2769.79911236	4	0	0					
1	14	1	0	2269	44.408550022	1.64830321728	0.0128545374517	0.00192099222864	1187.15556084	4057	0.12916864909	298.058203896	27.2161695834	2085.67531832	4	0	0					
1	15	1	0	2339	13.9551090209	0.525438221462	0.00425996182868	0.000553790021214	1172.3655138	1352	0.129313602129	327.715727982	26.8860946746	2182.98142995	4	0	0					
1	16	1	0	2386	8.30301760268	0.255238893546	0.00263125819844	0.000271174994994	1043.22818492	684	0.133668518491	317.039402476	33.1359649123	2021.24177414	4	0	0					
1	17	1	0	2430	8.14444444444	0.216872427984	0.0030410052874	0.000250716998078	1021.09535322	581	0.134897412471	342.485228838	38.5197934596	2148.26947204	4	0	0					
1	18	1	0	2264	8.83613074205	0.266784452297	0.00315692438875	0.00029257435209300003	1019.04980048	672	0.138205920968	348.516211009	33.6949404762	2096.04854004	4	0	0					
1	19	1	0	1864	53.5396995708	1.93830472103	0.0194507584387	0.00272995582899	1343.77992918	3881	0.131488692708	356.023599081	27.8812161814	2393.44771452	4	0	0					
1	20	1	0	2216	9.77752707581	0.279783393502	0.0036096490191	0.000323792029675	1441.80681781	694	0.135555761306	466.305391756	35.0677233429	2987.17930271	4	0	0					
1	21	1	0	2332	11.410806175	0.335334476844	0.00358326515096	0.000386401931145	966.165142043	857	0.126567910211	271.962647648	34.0175029172	1860.89185687	4	0	0					
1	22	1	0	2396	10.7600166945	0.36101836394	0.00329383824892	0.000378726436984	942.89279743	938	0.124655968909	294.856845414	29.9754797441	1893.46192972	4	0	0					
1	23	1	0	2392	11.6400501672	0.450668896321	0.0033998905992	0.000472432919757	925.907235071	1186	0.122407466746	247.276519304	26.0337268128	1721.96521506	4	0	0					
1	24	1	0	2439	11.4054940549	0.361213612136	0.00375419247753	0.000395693144576	918.56256393	969	0.132584764147	315.404661255	31.8338493292	1962.98432468	4	0	0					
2	1	1	0	2457	10.6601546602	0.29711029711	0.0029215701513	0.000307638523136	911.2311539	784	0.128649263166	253.332659805	35.674744898	1716.19740842	4	0	0					
2	2	1	0	2568	10.9306853583	0.417834890966	0.00374245691794	0.000452832076561	921.698738798	1169	0.129076843664	284.881681026	26.3088109495	1825.20785695	4	0	0					
2	3	1	0	2346	113.728047741	4.27536231884	0.0353381839599	0.004774431463	1542.33326413	11008	0.132853528548	397.506281513	26.7602652616	2760.8322584	4	0	0					
2	4	1	0	2319	52.7102199224	1.87365243639	0.0129375845484	0.00206778587333	1210.49947256	4782	0.119855267758	269.354968776	28.3074027604	2064.54695687	4	0	0					
2	5	1	0	2374	23.2278854254	0.859730412805	0.00554149000427	0.000920624099622	1002.00412873	2204	0.118070944257	230.805836417	27.3375680581	1769.32635099	4	0	0					
2	6	1	0	2388	15.2742881072	0.512144053601	0.00440123064427	0.000540190877891	1009.27809843	1355	0.126001987962	293.70899206	30.1837638376	2008.53533398	4	0	0					
2	7	1	0	2296	12.5104529617	0.473432055749	0.00389708094891	0.000483266571242	1007.19303433	1180	0.131243527394	299.458145415	26.6110169492	1953.25087863	4	0	0					
2	8	1	0	2228	112.774236984	5.08258527828	0.0407967277625	0.00579623012687	1717.89239178	12285	0.146977206652	547.70568048	22.4126984127	3329.69624125	4	0	0					
2	9	1	0	2311	58.793595846	2.6369536997	0.0170527883906	0.00301820064438	1225.14320827	6590	0.131242100605	321.327592337	22.5962063733	2197.85537897	4	0	0					
2	10	1	0	2628	17.650304414	0.573439878234	0.00621117334026	0.00069044851723	1174.2238447	1652	0.129523870775	329.532017024	30.8547215496	2184.33371612	4	0	0					
2	11	1	0	2306	10.4176062446	0.339115351258	0.00389616934325	0.000413913958275	1076.00166997	858	0.136261291864	368.030318981	30.8286713287	2405.39565416	4	0	0					
2	12	1	0	2197	8.10923987255	0.277196176604	0.00317068194874	0.000299191110096	1227.39844645	659	0.144812431972	492.005057008	29.5113808801	2950.9773775	4	0	0					
2	13	1	0	2383	8.56399496433	0.252203105329	0.00258827684104	0.000269990715222	1003.81354772	663	0.130826228866	292.743715825	33.9713423831	1912.62368025	4	0	0					
2	14	1	0	2054	98.8344693281	3.95423563778	0.0326602266879	0.00444605264471	1834.87027162	8845	0.138372520995	542.658561909	25.2798191068	3534.45456287	4	0	0					
2	15	1	0	2344	39.002559727	1.49146757679	0.0146798678454	0.00170749600304	1420.99717732	3833	0.143555084124	518.487765654	26.5076963214	3080.74075088	4	0	0					
2	16	1	0	2365	9.00972515856	0.292600422833	0.00307084050776	0.000315905821512	1080.75757917	765	0.130248782672	330.418121538	31.6496732026	2148.9229494	4	0	0					
2	17	1	0	2341	7.89833404528	0.25843656557	0.00265131061019	0.000283668215262	1044.82748384	661	0.136515703062	335.74454702	31.2405446293	2077.61777528	4	0	0					
2	18	1	0	2258	10.9140832595	0.344109831709	0.00305387161158	0.000385751883321	962.638567307	876	0.126290893831	241.993120852	32.6324200913	1712.71154448	4	0	0					
2	19	1	0	2265	9.57262693157	0.298896247241	0.00291881167365	0.000343743325853	970.00880217	732	0.127952156564	256.05287232	32.3155737705	1765.84098694	4	0	0					
2	20	1	0	1961	142.629780724	5.78735339113	0.0657043494151	0.00742645981697	2991.57347006	12313	0.150955705252	920.751796712	24.8818322099	5682.8095967	4	0	0					
2	21	1	0	2071	60.4027040077	2.34138097537	0.015923534123	0.00255256002613	1267.55853224	5262	0.125881597689	310.785469279	25.9483086279	2233.209598	4	0	0					
2	22	1	0	2126	43.9595484478	1.36782690499	0.0107250441389	0.00144561503754	1090.39761671	3151	0.120826938812	248.675481617	32.4255791812	1865.13107951	4	0	0					
2	23	1	0	2378	13.0201850294	0.46047098402	0.00360262341587	0.000489668221858	982.181973857	1184	0.120956595783	261.932845348	28.7601351351	1829.41668882	4	0	0					
2	24	1	0	2315	14.7239740821	0.611663066955	0.00380899699451	0.0006630815584	876.416619551	1562	0.119071301395	203.220454899	24.0992317542	1509.74390254	4	0	0					
3	1	1	0	2370	9.73797468354	0.308016877637	0.00259037756831	0.000321654184923	937.5480787	812	0.121250976617	236.858945458	31.5455665025	1718.44636616	4	0	0					
3	2	1	0	2269	8.06346408109	0.278536800353	0.00201446475829	0.000286307175999	906.063039852	690	0.123161643099	230.987958765	29.4347826087	1640.03323914	4	0	0					
3	3	1	0	2121	8.95238095238	0.30645921735	0.00288262448324	0.000340789706081	940.807522654	719	0.130718324074	273.962681138	29.5744089013	1809.66615429	4	0	0					
3	4	1	0	2000	154.478	5.7225	0.0566378400537	0.00658680057386	2020.04522743	12409	0.144365278383	592.074777095	27.2341848658	3816.92503544	4	0	0					
3	5	1	0	2408	27.6648671096	0.993355481728	0.00684553037913	0.00104772853839	1038.66461399	2625	0.118528437137	244.614912774	28.0906666667	1842.37811067	4	0	0					
3	6	1	0	2106	11.1096866097	0.38603988604	0.0032799897657	0.000417486636647	960.56522413	888	0.126419255584	270.84164137	28.9572072072	1817.51428386	4	0	0					
3	7	1	0	2212	8.47151898734	0.280741410488	0.00287121618302	0.00029941877152	974.720501618	710	0.133549411787	318.545599939	30.5154929577	1924.82591464	4	0	0					
3	8	1	0	2148	8.40689013035	0.263500931099	0.00278257147093	0.000275416708565	978.899716767	635	0.139521022137	309.619247024	32.0850393701	1896.97502692	4	0	0					
3	9	1	0	2429	8.82873610539	0.325236722931	0.0035548964325	0.000340323729473	1023.23715462	861	0.141384133904	385.649239565	27.4761904762	2260.42490055	4	0	0					
3	10	1	0	1926	161.576843198	6.78037383178	0.0819467781247	0.00960162290479	2965.56276708	14163	0.157363576656	938.980477708	24.0715243945	5669.73335145	4	0	0					
3	11	1	0	2377	63.6638620109	2.23264619268	0.0198300080813	0.00272919849733	1716.25471146	5792	0.133427311725	439.285868358	28.7686464088	2941.05714259	4	0	0					
