Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	b78ca631-9900-4490-975d-c22fdabb8298
Plate Name	P103629
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	1619	8.62322421248	0.239036442248	0.00317751941775	0.000241374676201	1015.12807686	435	0.134669664391	359.174598237	35.5977011494	2217.62327057	3	0	0					
1	2	1	0	2076	143.735549133	5.35308285164	0.0651934980759	0.00665821982281	2286.63902012	11981	0.15134496595	754.533282244	27.1226942659	4486.26167244	4	0	0					
1	3	1	0	2263	77.8537339814	3.16659301812	0.0266776961348	0.00350051009299	1577.33569744	7925	0.141384943004	469.21653476	24.7066246057	2867.65690761	4	0	0					
1	4	1	0	2164	19.7777264325	0.722735674677	0.00512691955309	0.000727447699305	983.390916514	1723	0.126018189337	276.256884033	27.4161346489	1888.49197363	4	0	0					
1	5	1	0	2227	8.84912438258	0.365514144589	0.00262804255653	0.000382897027232	975.799049997	898	0.131699699284	298.441164528	24.8028953229	1930.4508766	4	0	0					
1	6	1	0	2182	8.27910174152	0.263978001833	0.0027671091965	0.000263507977328	1068.42310392	644	0.131662096706	333.296870119	31.1583850932	2118.14845986	4	0	0					
1	7	1	0	2549	7.97959984308	0.252648097293	0.00228959183728	0.000261364817352	1018.40844563	699	0.126295095057	287.899963371	31.6366237482	1969.03492798	4	0	0					
1	8	1	0	2251	170.834295869	6.10484229231	0.065375508495	0.00748655737569	2332.25633382	14790	0.146233958013	661.790792194	28.2798512508	4217.70671939	4	0	0					
1	9	1	0	2263	129.737958462	5.65930181175	0.0437411248227	0.00664642032745	1731.53799723	14055	0.140277158973	481.912906183	23.1474919957	3122.7371709	4	0	0					
1	10	1	0	2018	97.0386521308	4.2160555005	0.0311383755988	0.00465872031796	1447.17913943	9197	0.141266768756	448.667084801	23.3017288246	2795.25656768	4	0	0					
1	11	1	0	2025	28.4054320988	0.961481481481	0.00656309783529	0.000960686374801	1120.59998734	2130	0.11938148783	257.130908909	29.8028169014	1935.20806342	4	0	0					
1	12	1	0	2051	10.5431496831	0.356899073623	0.00247815086431	0.000354013758282	1013.04578694	805	0.11966359698	239.496002507	30.4322981366	1785.35360726	4	0	0					
1	13	1	0	2344	7.0204778157	0.216723549488	0.00209595409445	0.000222909168198	1049.50730985	561	0.132458161362	310.727522178	31.9215686275	2029.40579834	4	0	0					
1	14	1	0	2377	130.996634413	5.21497686159	0.0392092895024	0.00608026922142	1949.74936286	13438	0.134242189356	476.96573999	25.4026640869	3318.31328463	4	0	0					
1	15	1	0	2466	21.5689375507	0.70802919708	0.00637766910335	0.000839588308032	1217.01367653	1905	0.120168347334	299.815773921	30.5112860892	2189.17807812	4	0	0					
1	16	1	0	2337	9.77749251177	0.297817715019	0.00232819158829	0.000303245052615	983.6209142	756	0.119453604676	233.12893354	33.0621693122	1680.00163987	4	0	0					
1	17	1	0	2446	7.44194603434	0.213000817661	0.00243733766736	0.000228365642041	995.716034768	586	0.131540976526	297.686661335	35.3122866894	1905.22179717	4	0	0					
1	18	1	0	1829	8.38819026791	0.285401858939	0.00270125548926	0.000285139637035	955.504426342	569	0.134575431287	363.351097169	29.8892794376	2310.68732013	3	0	0					
1	19	1	0	2554	9.81793265466	0.360610806578	0.00385637187523	0.000555622034151	1063.71212506	997	0.135778785786	367.843914377	27.887662989	2345.37057391	4	0	0					
1	20	1	0	1878	177.105963791	5.58945686901	0.08868974145	0.0074450852788	3423.44780752	11541	0.159480701032	1068.05946311	31.9481847327	6196.78440665	4	0	0					
1	21	1	0	2142	155.149393091	7.6974789916	0.0609260677801	0.00851994237173	2084.95161179	18054	0.152747391161	681.496850744	20.3085188878	4047.81927293	4	0	0					
1	22	1	0	2217	42.9052774019	1.59720342806	0.0106377168414	0.00163760514378	1020.29578788	3808	0.126675373783	260.372553367	27.1953781513	1811.67745324	4	0	0					
1	23	1	0	2171	22.7609396591	0.80561953017	0.00478909299719	0.000823015735286	982.160503669	1941	0.117365230389	207.660512258	28.6254507986	1602.05312201	4	0	0					
1	24	1	0	2184	9.42582417582	0.277472527473	0.0024728063012	0.000271831411064	952.6267327	695	0.12597113839	296.068435249	34.9769784173	1960.79234719	4	0	0					
2	1	1	0	2085	9.60959232614	0.285851318945	0.00244661175115	0.000284070045198	896.72837196	657	0.125461432372	245.008856643	33.9269406393	1680.8072801	4	0	0					
2	2	1	0	2209	12.2670891806	0.380715255772	0.00330995896216	0.000390830827306	921.767460892	934	0.121636913324	237.054485839	32.3565310493	1663.48807466	4	0	0					
2	3	1	0	2117	9.89466225791	0.364666981578	0.00315111107541	0.000383138733392	935.964707539	848	0.12534617262	269.436114206	27.5530660377	1780.67001143	4	0	0					
2	4	1	0	2211	151.423337856	5.97150610583	0.0477954811135	0.00693063245232	1690.30483749	14279	0.138385876013	430.440893688	25.5189439036	2911.17185766	4	0	0					
2	5	1	0	2301	101.995654063	4.36505867014	0.0298294624165	0.00486763336901	1368.86491991	11079	0.133983046448	360.772439731	23.6210849355	2432.95799518	4	0	0					
2	6	1	0	2111	21.2700142113	0.843202273804	0.00496271863152	0.000851082672383	1010.155684	1980	0.121245195208	246.924652988	25.3787878788	1830.01778032	4	0	0					
2	7	1	0	2272	8.87059859155	0.290933098592	0.00280812077073	0.000281625347949	1005.2244238	745	0.129146129437	321.613899841	31.3369127517	2085.0666488	4	0	0					
2	8	1	0	2092	7.78298279159	0.217973231358	0.00263834733186	0.000219145827559	994.649291139	500	0.134977482162	340.807314441	36.246	2167.95399267	4	0	0					
2	9	1	0	2343	7.43235168587	0.232180964575	0.00262651707198	0.00024878529689	1059.55597787	608	0.134768816551	394.315325217	32.4226973684	2417.85701126	4	0	0					
2	10	1	0	2485	84.7215291751	3.22615694165	0.0220257133324	0.00356478360647	1412.79363538	8697	0.126465935139	332.458784127	26.4150856617	2446.81979808	4	0	0					
2	11	1	0	2204	11.0063520871	0.348457350272	0.00270586473975	0.000358421487497	1024.56435899	864	0.120370783944	244.393451375	31.9293981481	1798.4172747	4	0	0					
