Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	abe4979a-e36f-4e43-8b60-d2c0baf1606e
Plate Name	P103628
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2164	10.2999075786	0.372458410351	0.00324207978713	0.000378835339832	917.369850594	887	0.130472836372	301.709757256	28.0090191657	1890.444803	4	0	0					
1	2	1	0	2301	140.429813125	5.28943937419	0.0687575119446	0.00684269778274	2363.38642213	13021	0.154454794205	846.761309903	26.832578143	4880.67727942	4	0	0					
1	3	1	0	2357	75.7335596097	3.22104369962	0.0284015881312	0.00373530382511	1339.1976489	8383	0.14498363247	471.055078853	23.6423714661	2785.13728394	4	0	0					
1	4	1	0	2253	19.6542387927	0.723923657346	0.00454969403951	0.000731858995663	961.896708873	1820	0.121421368438	223.495268838	27.4747252747	1618.9435567	4	0	0					
1	5	1	0	2180	11.4252293578	0.450917431193	0.0035735486525	0.000461063972212	941.91311505	1075	0.129449416876	291.132959441	25.4586046512	1869.61496207	4	0	0					
1	6	1	0	2242	10.5722569135	0.395628902765	0.00290472099774	0.00040091145306	945.833959818	984	0.126179287174	267.236532792	27.0335365854	1775.61749704	4	0	0					
1	7	1	0	2326	8.4011177988	0.274720550301	0.00274290643321	0.000295592790032	989.511298449	707	0.129978145216	318.028967876	30.9589816124	2020.35617934	4	0	0					
1	8	1	0	2117	162.615021256	7.95134624469	0.0648824299149	0.00974939587427	2180.91815311	18435	0.148824971738	634.663543105	20.6483319772	4004.31999798	4	0	0					
1	9	1	0	2145	129.081585082	5.58834498834	0.0435587648605	0.00624953464763	1689.96853162	13036	0.141483776874	484.053557576	23.2700981896	3085.18355751	4	0	0					
1	10	1	0	2090	91.0937799043	4.11435406699	0.0287628209158	0.00462368059167	1380.36815746	9449	0.137785220025	393.672975472	22.3299820087	2549.27218469	4	0	0					
1	11	1	0	2161	20.3405830634	0.708005552985	0.0050677217803	0.000723592515486	1045.98281535	1673	0.119817473265	243.432276089	28.9468021518	1792.14719763	4	0	0					
1	12	1	0	2065	9.90702179177	0.382566585956	0.00262392415496	0.000386017793113	956.359887973	895	0.123753584817	245.197890294	26.2837988827	1709.52588427	4	0	0					
1	13	1	0	2284	7.30735551664	0.235551663748	0.00213476459334	0.000235115348613	962.151874168	588	0.129681523938	276.429696942	31.2210884354	1808.36615151	4	0	0					
1	14	1	0	2303	138.696917065	5.50282240556	0.0405584634806	0.00615043557927	1722.39522876	13921	0.134465701083	430.069481778	25.5337260254	3000.94305234	4	0	0					
1	15	1	0	2391	17.7616060226	0.665411961522	0.00419703692989	0.000676144366776	1034.28099859	1724	0.116771101065	224.105614992	26.7645011601	1708.05245842	4	0	0					
1	16	1	0	2273	9.40871095469	0.293444786626	0.00280298801842	0.000307427329856	1002.59846842	741	0.128094479932	279.610910209	32.4480431849	1882.42669792	4	0	0					
1	17	1	0	2304	8.98654513889	0.26171875	0.0026839391022	0.000270972551763	931.679439071	667	0.131575541562	275.118118511	35.0254872564	1778.98493417	4	0	0					
1	18	1	0	2164	7.81284658041	0.219038817006	0.00253931264349	0.000229840241947	920.146198485	521	0.134790779818	289.020376683	36.5297504798	1773.95404576	4	0	0					
1	19	1	0	2355	8.56093418259	0.268789808917	0.00315658838723	0.000282888698339	956.818751596	697	0.135352627203	308.355165018	32.175035868	1933.64241868	4	0	0					
1	20	1	0	1845	184.693224932	6.48943089431	0.0859162551451	0.00799578433903	2910.67906113	12959	0.15735126873	929.999544138	28.8012963963	5495.32756822	4	0	0					
1	21	1	0	2093	143.712852365	5.38939321548	0.0543980329842	0.00615575864313	1864.68077903	12262	0.146537390553	574.43362795	26.9717827434	3522.99352432	4	0	0					
1	22	1	0	2163	43.5852981969	1.54553860379	0.0104372097329	0.00158037239657	1036.10368429	3622	0.123230347105	260.604552355	28.777747101	1878.05770081	4	0	0					
1	23	1	0	2311	22.334487235	0.677628732151	0.00539644775266	0.000719601127592	930.314265435	1733	0.119501920178	210.390381975	33.1892671668	1576.52017916	4	0	0					
1	24	1	0	2181	8.98257679963	0.27739569005	0.00263399387325	0.000293612028113	858.56349983	680	0.126808774827	249.364273816	32.8632352941	1666.28680853	4	0	0					
2	1	1	0	2233	9.64218540081	0.335423197492	0.00260112312005	0.000336956177528	873.059172847	831	0.123096257994	237.561760585	29.5078219013	1617.04846942	4	0	0					
2	2	1	0	2140	12.1018691589	0.409813084112	0.00253455657622	0.000397733177635	897.848658432	994	0.115944024119	196.13018488	29.9557344064	1522.88327078	4	0	0					
2	3	1	0	2247	12.3377837116	0.506898086337	0.00423357961041	0.000561148221311	913.649293868	1248	0.127862971023	278.920661638	24.5384615385	1816.99366243	4	0	0					
2	4	1	0	2133	149.661978434	6.33989685888	0.0486159658136	0.00742436244011	1786.43016298	14938	0.139644584844	449.623916015	23.8402731289	2988.6875448	4	0	0					
2	5	1	0	2195	70.8956719818	3.28792710706	0.0188897105699	0.00354962887507	1176.95230495	7927	0.129457710594	293.062177337	21.6576258358	2057.96131436	4	0	0					
2	6	1	0	2294	14.3727114211	0.611159546643	0.00403065946287	0.0006213395571	964.912017018	1581	0.122444311945	246.905891374	23.7552182163	1768.82936263	4	0	0					
2	7	1	0	2134	10.4587628866	0.375351452671	0.00325618697615	0.000369028953106	961.361522647	877	0.129519636665	312.530777313	28.2166476625	1940.406745	4	0	0					
2	8	1	0	2228	9.36983842011	0.354129263914	0.00308597897679	0.000373744319765	982.00411433	876	0.130383993142	306.764260198	26.6586757991	1958.77828985	4	0	0					
2	9	1	0	2081	8.10908217203	0.287842383469	0.0026687152388	0.000295631911651	957.491160722	671	0.129179295873	280.354641312	28.5812220566	1877.68483919	4	0	0					
2	10	1	0	2352	109.746598639	4.99192176871	0.0337296738779	0.00607993763873	1576.7549919	12748	0.133121532947	394.858096383	22.1909319109	2774.0424292	4	0	0					
2	11	1	0	2406	12.0344970906	0.402743142145	0.00403743737323	0.000429880895773	1012.33446102	1045	0.128135252528	293.934371248	29.9502392344	1946.03854312	4	0	0					
2	12	1	0	2332	9.33790737564	0.304459691252	0.0026821870341	0.000329150942748	981.28658153	795	0.124337240685	260.862073204	30.8616352201	1856.95412932	4	0	0					
2	13	1	0	2370	8.04345991561	0.254430379747	0.0026900552952	0.000271432715954	965.776190601	662	0.133399340512	293.063301485	31.5679758308	1871.84275459	4	0	0					
2	14	1	0	2619	12.0374188622	0.339060710195	0.0041464330654	0.000465876986874	1037.50212107	972	0.130405959061	305.565758146	35.9146090535	2040.60199495	4	0	0					
2	15	1	0	2374	8.11078348778	0.272535804549	0.00267227003406	0.000284246563159	976.240713461	716	0.136050021287	316.343515554	30.1382681564	1960.44682498	4	0	0					
2	16	1	0	2247	109.398308856	5.08188696039	0.035944892976	0.00561035839626	1687.34624365	12515	0.14428419098	515.998415404	21.7640431482	3161.78058902	4	0	0					
2	17	1	0	2012	22.7002982107	0.814115308151	0.00632341185936	0.00080388588698	1100.15988509	1821	0.130003810399	326.996885754	28.2915980231	2119.89449126	4	0	0					
2	18	1	0	2081	42.2075925036	1.51898125901	0.0116187992714	0.00149717565116	1103.19823745	3465	0.130090144457	345.191555306	28.1197691198	2174.76850806	4	0	0					
2	19	1	0	2157	7.68057487251	0.199814557255	0.00244790925264	0.000191561317968	904.291863423	478	0.140992642239	309.92104848	38.3807531381	1852.48419758	4	0	0					
2	20	1	0	2076	9.6859344894	0.389210019268	0.00317143580855	0.00037959818128	1009.79956689	897	0.130780798158	309.304045126	25.2686733556	1988.63638143	4	0	0					
2	21	1	0	2150	8.90046511628	0.27488372093	0.00302632055851	0.000276486946671	861.554938959	647	0.133276594158	280.615595969	32.6723338485	1708.98378042	4	0	0					
2	22	1	0	2145	178.424242424	6.90955710956	0.0741586000863	0.00847590058549	2218.21623833	16078	0.154199293273	664.370967779	26.1036198532	3985.29401237	4	0	0					
