Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	ab8104d0-3ee6-452b-b124-d3a24c1aa9c2
Plate Name	P103625
Plate Name	231018_162130-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2402	10.0316402998	0.307660283097	0.00313390037379	0.000354251934816	1155.62059144	803	0.126484421996	288.790737538	32.3262764633	2002.22511088	4	0	0					
1	2	1	0	1768	117.682126697	3.68269230769	0.0331787705481	0.00430873580456	1479.58611773	7099	0.132482850909	365.189823721	32.0207071419	2556.77580304	4	0	0					
1	3	1	0	2504	31.2156549521	1.27755591054	0.00766029559046	0.00139756532	1134.20859995	3511	0.122414529805	252.671794347	24.4878951866	1892.36190104	4	0	0					
1	4	1	0	2366	10.67920541	0.341927303466	0.00280115511035	0.000374734434874	1068.66897192	890	0.121347545049	257.659873907	31.404494382	1884.99631201	4	0	0					
1	5	1	0	2405	8.63284823285	0.25738045738	0.00266021579507	0.000289074771755	1008.22167533	702	0.128161689234	283.87731023	33.4401709402	1893.90696568	4	0	0					
1	6	1	0	2592	6.41242283951	0.173611111111	0.002133548568	0.000203880339288	1030.42491413	487	0.130844629846	293.004863365	37.0657084189	1879.38444741	4	0	0					
1	7	1	0	2433	10.0287710645	0.406083025072	0.00304967952278	0.00045031260091	991.21881489	1095	0.127867541608	265.13943464	24.6721461187	1813.54285244	4	0	0					
1	8	1	0	1977	162.821446636	7.01163378857	0.0588475721223	0.00910701711563	2494.929114	14938	0.144977526064	636.019934412	23.3466327487	4130.23517579	4	0	0					
1	9	1	0	2437	38.4620434961	1.47968814116	0.00998178430819	0.00176065045579	1387.72017689	3926	0.121354117734	287.247479057	26.1406011207	2175.27086659	4	0	0					
1	10	1	0	2313	9.98530047557	0.305663640294	0.00372707919875	0.000340674653133	1365.99552988	759	0.135026534356	431.649776817	32.7299077734	2712.93958381	4	0	0					
1	11	1	0	2321	8.81128823783	0.26497199483	0.00289158873683	0.000289178422733	1158.33408733	658	0.139758362918	375.764207723	33.4468085106	2267.67620371	4	0	0					
1	12	1	0	2330	7.8330472103	0.27982832618	0.00227485629267	0.000290348037426	1089.43923841	715	0.12792186125	284.77591675	28.2433566434	1950.20866913	4	0	0					
1	13	1	0	2400	8.37166666667	0.27625	0.00280870635583	0.000297443729574	1296.15075432	740	0.133535438489	366.921055417	30.672972973	2472.43382375	4	0	0					
1	14	1	0	1720	106.935465116	3.78604651163	0.0404121552571	0.00549560100702	1912.09644571	7032	0.139677974903	511.449657622	28.5740898749	3331.23207067	4	0	0					
1	15	1	0	2259	48.8791500664	1.92076139885	0.0133566271191	0.00234839757973	1416.86249629	4710	0.126722644327	327.359946465	25.66985138	2370.64690268	4	0	0					
1	16	1	0	2529	17.162514828	0.603400553578	0.00472597505967	0.000652799831077	1239.41038819	1684	0.123268267128	287.166405031	28.7096199525	2055.61663466	4	0	0					
1	17	1	0	2523	7.99286563615	0.252873563218	0.00239219516125	0.000276414396377	1094.0867519	705	0.125065689327	276.495364655	32.134751773	1954.30061642	4	0	0					
1	18	1	0	2372	9.42327150084	0.315767284992	0.00312133763849	0.000336652911043	1091.12002839	848	0.135771423348	341.69730573	30.366745283	2198.12108509	4	0	0					
1	19	1	0	2388	8.14614740369	0.252093802345	0.00235192335487	0.000275196632959	1042.78789254	660	0.129982450827	299.621293779	32.5848484848	1989.59518323	4	0	0					
1	20	1	0	2114	14.651371807	0.412015137181	0.00404182687165	0.000433934111543	1446.96231524	948	0.132429065621	376.612505961	35.9810126582	2537.09040171	4	0	0					
1	21	1	0	2208	161.077898551	6.53170289855	0.0653397406399	0.00803376299679	2444.86906231	15536	0.153897732851	762.930067871	24.9709062822	4543.30033744	4	0	0					
1	22	1	0	2614	50.5818668707	2.14039785769	0.0147860486924	0.00252588290551	1291.35267674	6167	0.131668857799	336.557459319	24.0137830388	2298.97485691	4	0	0					
1	23	1	0	2448	14.8815359477	0.553921568627	0.00377749117697	0.000610953846813	1032.81814907	1516	0.11981295711	223.971176326	27.4353562005	1663.22029283	4	0	0					
1	24	1	0	2355	12.7511677282	0.504033970276	0.00378069492874	0.00054923596325	922.212831915	1340	0.12789969136	248.016472162	25.5171641791	1657.29430864	4	0	0					
2	1	1	0	2489	10.4572117316	0.388509441543	0.00307077817665	0.000430475440822	1087.39818677	1091	0.124548675064	278.361511139	27.2703941338	1957.65183782	4	0	0					
2	2	1	0	2698	8.89362490734	0.310971089696	0.00262787305168	0.000326620553402	1099.42534028	934	0.124931253277	284.447705923	28.5246252677	1966.18732262	4	0	0					
2	3	1	0	2488	9.48914790997	0.28577170418	0.00282876881793	0.000303908718211	1015.34355906	766	0.129979069847	295.2284571	33.1240208877	1930.70852846	4	0	0					
2	4	1	0	2333	106.722246035	4.23489069867	0.0368545314118	0.00486690940966	1617.56187831	10750	0.148114450745	523.451396729	25.424372093	3177.48720689	4	0	0					
2	5	1	0	2480	38.0991935484	1.43266129032	0.00971109524051	0.00152853630865	1189.40704041	3835	0.12663370218	294.767923973	26.6565840939	2102.04068113	4	0	0					
2	6	1	0	2506	10.9529130088	0.30526735834	0.00306902040853	0.000318431655409	1019.89016141	838	0.125324668421	283.561600745	36.0322195704	1932.82494619	4	0	0					
2	7	1	0	2443	10.1588211216	0.388866148178	0.00292192923839	0.000412809807584	1054.9899905299999	1057	0.125026931078	280.077101687	26.2071901608	1927.13711676	4	0	0					
2	8	1	0	2560	10.454296875	0.47421875	0.00338157850868	0.000514714144882	1039.23128748	1362	0.130673174989	308.01409729	22.0477239354	1970.84930604	4	0	0					
2	9	1	0	2470	8.7963562753	0.288259109312	0.00264387012336	0.000317540975532	1021.99926092	781	0.126805273144	267.200276802	31.2035851472	1829.92476931	4	0	0					
2	10	1	0	2309	104.676050238	4.49848419229	0.0281996793688	0.00508498522526	1558.35425899	11329	0.128004707509	352.641050984	23.4838908995	2572.75905861	4	0	0					
2	11	1	0	2286	18.6417322835	0.661417322835	0.00483992913507	0.000718152503465	1071.34509823	1657	0.120896225801	253.639511665	28.8346409173	1858.24429739	4	0	0					
2	12	1	0	2438	9.05988515176	0.347826086957	0.00253167839241	0.000394536073073	1144.90273407	956	0.124030151692	293.638477851	26.4069037657	2067.66266215	4	0	0					
2	13	1	0	2253	10.5525965379	0.381269418553	0.00308546939053	0.000391405876092	1021.67635775	945	0.127473346912	279.01228047	27.8095238095	1877.17883742	4	0	0					
2	14	1	0	2441	8.18557968046	0.3031544449	0.00226320876582	0.000338061763703	1013.26808589	800	0.12346824134	244.39521818	27.43375	1708.71272649	4	0	0					
2	15	1	0	2362	8.54953429297	0.25783234547	0.0029472574913	0.00027398736042	1231.40974022	682	0.136629917616	420.533383295	33.3680351906	2571.2526043	4	0	0					
2	16	1	0	2148	69.1755121043	2.96648044693	0.0209673875811	0.00370993247509	1449.52235137	6933	0.13352305201	370.496150893	23.5825760854	2532.74577847	4	0	0					
2	17	1	0	2198	41.2015468608	1.57688808007	0.0101378042147	0.00182484217349	1118.11394813	3819	0.122359932081	243.664530553	26.4205289343	1827.83138761	4	0	0					
2	18	1	0	2449	9.09514087383	0.306655777869	0.00307406611258	0.000329112391105	1004.37647056	824	0.133875627613	303.129464486	29.9696601942	1879.87052353	4	0	0					
2	19	1	0	2401	10.351936693	0.349854227405	0.00356861319593	0.000382005203543	948.7024103	912	0.128593931622	279.321967374	29.6918859649	1802.86924535	4	0	0					
2	20	1	0	2393	7.83660676975	0.236105307146	0.00266697907217	0.000255503174568	1028.95046457	642	0.134783338806	315.015917167	33.3722741433	1964.41929822	4	0	0					
2	21	1	0	2419	8.57048367094	0.313352625052	0.00242030126199	0.000341263793913	1076.45552389	840	0.129146943981	279.25119392	27.6392857143	1918.43883297	4	0	0					
2	22	1	0	2258	117.598759965	4.21080602303	0.0323096652368	0.00493732405768	1424.22920975	10424	0.126352188471	308.965121399	28.2291826554	2294.4523848	4	0	0					
2	23	1	0	2243	33.7436469015	1.30494872938	0.00800367177288	0.00143703004191	1185.32678077	3229	0.118510449689	240.457432919	26.1697119851	1856.17405199	4	0	0					
2	24	1	0	2188	9.16956124314	0.29478976234	0.00289357242285	0.000316626153871	965.319535567	715	0.135022245335	285.876767644	31.3062937063	1843.74181391	4	0	0					
3	1	1	0	2526	14.9065716548	0.561361836896	0.00399484289149	0.000648590855318	1013.18274513	1536	0.117954954101	220.606022203	26.6497395833	1655.83299881	4	0	0					
3	2	1	0	2126	9.79633113829	0.315145813735	0.00317999217482	0.000344541579818	953.151343769	732	0.130785968346	268.249793064	31.1994535519	1750.61334849	4	0	0					
3	3	1	0	2329	9.99527694289	0.312580506655	0.00290143327834	0.000346085340635	918.074690531	786	0.124273160429	249.496643966	31.7404580153	1727.88489304	4	0	0					
3	4	1	0	2412	9.13184079602	0.258291873964	0.00311353868473	0.000265587214586	988.720098337	710	0.134240536059	328.698779611	35.1492957746	2031.52133949	4	0	0					
3	5	1	0	2425	7.25072164948	0.212371134021	0.00249656330258	0.000236755512233	1003.31619757	558	0.135532280835	309.619361263	34.7437275986	1952.01357736	4	0	0					
3	6	1	0	2253	153.959165557	5.89214380826	0.0532593061315	0.00733404854841	2236.89703368	14360	0.140624695002	571.097558724	26.3276462396	3811.85146823	4	0	0					
3	7	1	0	2381	85.8110037799	4.30995380092	0.0238044468045	0.00513265454677	1457.57717286	11220	0.129078109494	336.403792927	20.0865418895	2412.67913718	4	0	0					
3	8	1	0	2291	20.4548232213	1.06809253601	0.00496616947423	0.00115278623082	1108.41292486	2609	0.120088352451	237.368882183	19.2376389421	1790.09521863	4	0	0					
3	9	1	0	2231	9.25997310623	0.340654415061	0.00263458334832	0.000343038242968	1094.93293565	824	0.130850358197	295.581781041	27.0485436893	1957.65182023	4	0	0					
3	10	1	0	2273	8.73427188737	0.299164100308	0.00298658184717	0.00034294662005	1016.84876049	743	0.130981968224	282.593504003	29.199192463	1829.22065454	4	0	0					
3	11	1	0	2192	10.3065693431	0.358120437956	0.00356891493953	0.000387974119671	1078.28626343	853	0.134642790129	333.718746128	28.6869871043	2114.98037498	4	0	0					
3	12	1	0	2151	96.8712226871	3.61180846118	0.0230020851405	0.00394761124405	1586.31796603	8545	0.121890401324	329.74824063	27.0785254535	2542.21907173	4	0	0					
3	13	1	0	2369	17.9966230477	0.603630223723	0.00484219490655	0.000683973956087	1224.92142561	1557	0.121813035946	300.401698853	30.0301862556	2122.9046956399998	4	0	0					
3	14	1	0	2569	13.2927209031	0.439470611133	0.00443331546539	0.000530918326565	1221.04417221	1213	0.13031604245	367.329403928	30.2547403133	2348.93753604	4	0	0					
3	15	1	0	2506	8.38906624102	0.288507581804	0.00233266872924	0.000315756106952	1115.25843739	776	0.123654788746	284.311857857	29.6134020619	1993.44214718	4	0	0					
3	16	1	0	2466	9.30738037307	0.347120843471	0.0030258299463	0.000356233976991	1142.60300345	941	0.136898361471	371.626196919	27.2688629118	2299.73824187	4	0	0					
3	17	1	0	2467	10.1986218079	0.355492501013	0.00320381399898	0.000357202623421	1163.70035379	922	0.132861645565	364.445243237	28.8481561822	2270.15074949	4	0	0					
3	18	1	0	2266	126.663283319	5.24845542807	0.0402991928509	0.00601437059301	2354.19639335	12696	0.13720273158	597.495352468	24.3463295526	4033.88015536	4	0	0					
3	19	1	0	2415	39.6256728778	1.36770186335	0.00983484674916	0.00151865807309	1269.15960264	3629	0.120709367052	282.791205646	29.0666850372	2139.02807127	4	0	0					
3	20	1	0	2364	15.307106599	0.511421319797	0.00446323988212	0.000553101849652	989.60160776	1317	0.123700518508	254.022068283	30.1192103265	1751.60364723	4	0	0					
3	21	1	0	2437	10.7993434551	0.356585966352	0.00323170034219	0.000368046791279	934.088896903	934	0.128623438536	273.00266761	30.5770877944	1729.34901648	4	0	0					
3	22	1	0	2516	7.65699523052	0.246820349762	0.00218573229803	0.000280191781574	978.592538999	693	0.129149626258	263.923772174	31.531024531	1760.34240239	4	0	0					
3	23	1	0	2182	10.690192484	0.346012832264	0.00299317607006	0.000363920275431	917.981794265	836	0.127358554464	246.507371929	30.9078947368	1674.98044467	4	0	0					
3	24	1	0	2120	10.0287735849	0.321226415094	0.00273297345028	0.00034047025646	930.086673699	737	0.125761445638	248.260016255	31.1614654003	1709.05281651	4	0	0					
