Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	6fd17455-d6f1-485b-a824-51ab453200a7
Plate Name	P103630
Plate Name	231018_182441-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2144	7.22621268657	0.228544776119	0.00231423612833	0.000237883743549	985.037039886	556	0.130069060669	304.987714434	31.9244604317	1967.20578414	4	0	0					
1	2	1	0	2247	145.831330663	5.99866488652	0.0694816148237	0.00757623652201	2335.27862813	14447	0.155543377709	838.944705189	24.5572091092	4825.71667014	4	0	0					
1	3	1	0	2174	102.760809568	4.02115915363	0.0393077588853	0.00431755471385	1548.5938627	9529	0.149350003992	599.027621717	25.8181341169	3464.52578087	4	0	0					
1	4	1	0	2181	22.9371847776	0.890875745071	0.00553300847727	0.000915882169462	1005.42182548	2142	0.123948490689	255.234968446	26.1381886088	1838.41910512	4	0	0					
1	5	1	0	2259	7.34174413457	0.20761398849	0.00232490441897	0.000238158647511	1014.69230169	532	0.126240748376	313.544241654	36.4605263158	2152.49271249	4	0	0					
1	6	1	0	2166	6.85226223453	0.201292705448	0.00155846818417	0.000200789986775	943.171245616	489	0.117165855712	221.406339172	33.8793456033	1641.76528627	4	0	0					
1	7	1	0	2263	8.83252319929	0.379142730888	0.00203259856027	0.00038876220637	965.798234238	937	0.119815385679	218.733217553	23.4663820704	1613.91036504	4	0	0					
1	8	1	0	2164	160.1474122	8.1876155268	0.0669380175645	0.0103752816472	2413.16413361	19503	0.15183618488	701.159627614	19.696969697	4333.22494764	4	0	0					
1	9	1	0	2300	133.307391304	5.64043478261	0.0456775217332	0.00634199341232	1717.61926651	14227	0.142617501719	503.647022856	23.8347508259	3172.61240691	4	0	0					
1	10	1	0	2298	90.7489120975	4.01784160139	0.0303494491554	0.0046778481933	1487.20656928	10073	0.140431513291	444.156987497	22.8252754889	2806.26720791	4	0	0					
