Well,Plane,Timepoint,Cell Selected - Number of Objects,Cell Selected - Total Spot Area - Mean per Well,Cell Selected - Number of Spots - Mean per Well,Cell Selected - Relative Spot Intensity - Mean per Well,Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well,Cell Selected - Intensity Cytoplasm Mean - Mean per Well,Spots Selected - Number of Objects,Spots Selected - Relative Spot  Intensity - Mean per Well,Spots Selected - Corrected Spot  Intensity - Mean per Well,Spots Selected - Spot Area [px²] - Mean per Well,Spots Selected - Intensity Spot Mean - Mean per Well,Number of Analyzed Fields,Height [µm],Time [s],Compound,Concentration,Cell Type,Cell Count,
A01,1,0,2146,11.6770736253,0.393289841566,0.00370299079727,0.000410282173178,1010.44973265,927,0.127602856365,307.8719323,29.7745415318,1957.07023978,4,0,0,,,,,
A02,1,0,2195,39.2596810934,1.50706150342,0.00890557725934,0.00165180959362,1070.77140108,3643,0.118168524352,223.251764799,26.2311281911,1750.77676936,4,0,0,,,,,
A03,1,0,2239,21.0750334971,0.802143814203,0.00526328227929,0.000856029351487,1061.9555672,1960,0.118919377428,256.100045594,26.3428571429,1910.46003121,4,0,0,,,,,
A04,1,0,2257,15.0509525919,0.473637571998,0.00377039412807,0.000494644450002,1019.46245379,1192,0.123208297704,250.784540676,32.2726510067,1776.50048186,4,0,0,,,,,
A05,1,0,2187,14.3754000914,0.48056698674,0.00503670812596,0.000561796452423,1042.98876843,1161,0.128905870157,317.754116099,30.0887166236,2051.41149037,4,0,0,,,,,
A06,1,0,1987,122.533467539,5.09260191243,0.0410758010424,0.00619498023812,1748.19511332,11182,0.140248641945,462.178597609,24.3225719907,3029.77360947,4,0,0,,,,,
A07,1,0,2163,55.5307443366,2.06888580675,0.0142873358302,0.00233955785439,1243.34269338,4923,0.124827327199,290.773668623,26.9138736543,2135.87499915,4,0,0,,,,,
A08,1,0,2328,9.90034364261,0.310137457045,0.00286381363157,0.000360373956262,1047.60881912,800,0.124412218141,263.4750332,32.25375,1871.10105516,4,0,0,,,,,
A09,1,0,2205,9.03628117914,0.277097505669,0.00297898494798,0.000300548484994,1116.10715377,686,0.131634662212,358.7006123,33.4416909621,2297.66968483,4,0,0,,,,,
A10,1,0,2147,10.8723800652,0.342338146251,0.00389682387835,0.000364570890397,1101.14920713,817,0.136280974038,376.768264325,32.5299877601,2418.26841015,4,0,0,,,,,
A11,1,0,2157,8.77607788595,0.257301808067,0.00342130562288,0.000294491668798,1077.22525598,616,0.133051864692,376.910773923,34.1623376623,2275.18030896,4,0,0,,,,,
A12,1,0,1789,187.062045836,5.89044158748,0.089705647753,0.00735694709302,3476.97603946,11547,0.155102692472,1056.19233825,31.9669178142,6434.61343892,4,0,0,,,,,
A13,1,0,2441,154.031954117,5.28062269562,0.0589572510938,0.00667217221917,3238.43153993,14197,0.140325646945,716.46241117,29.499401282,4837.24710268,4,0,0,,,,,
A14,1,0,2238,38.8775692583,1.32082216265,0.00966153383691,0.00149437412004,1335.9960253,3232,0.118118510128,272.942082491,29.5631188119,2149.4247294,4,0,0,,,,,
A15,1,0,2349,13.2694763729,0.416347381865,0.00388802321672,0.000465711590995,1255.91170541,1061,0.122448300533,314.92421902,32.1065032988,2257.86290145,4,0,0,,,,,
A16,1,0,2273,13.0453145623,0.459304883414,0.00362964583936,0.000491973292659,1196.00290709,1148,0.12212430037,296.725081816,29.2351916376,2141.30015856,4,0,0,,,,,
A17,1,0,2093,11.2140468227,0.322503583373,0.00325843817486,0.000350633905093,1128.89036163,758,0.125284153162,289.230826161,35.2968337731,1988.09983802,4,0,0,,,,,
A18,1,0,2169,169.290917473,6.31904103273,0.0656329779324,0.00758081347487,2699.50515889,14970,0.143564585859,704.357999754,27.071008684,4660.53139279,4,0,0,,,,,
A19,1,0,2268,151.068342152,5.27557319224,0.050269820819,0.00601045178447,2012.5714331,13011,0.136562229056,489.764352558,28.7950964568,3401.4214099,4,0,0,,,,,
A20,1,0,2136,108.709737828,4.16338951311,0.0318237346068,0.00482757491577,1506.44326569,9754,0.128895942607,355.308580257,26.335042034,2572.10764514,4,0,0,,,,,
A21,1,0,2263,40.4158197084,1.45647370747,0.010498173964,0.00158008374837,1205.17446237,3535,0.125490185962,319.36518985,28.1601131542,2212.5685995,4,0,0,,,,,
A22,1,0,2078,12.8811357074,0.47978825794,0.00324461713541,0.000530650530069,980.731349852,1070,0.121093450164,223.613897799,27.3551401869,1650.06325234,4,0,0,,,,,
A23,1,0,2098,11.8784556721,0.430886558627,0.00292186864722,0.000475014437142,975.138724011,981,0.118271600995,207.12087037,27.878695209,1576.85189018,4,0,0,,,,,
A24,1,0,2077,13.3875782378,0.486759749639,0.00402163113362,0.000513585109743,917.204669911,1126,0.124203092671,249.464210916,27.6936056838,1706.84405467,4,0,0,,,,,
B01,1,0,2338,12.2660393499,0.557313943541,0.00371821905416,0.000642731425744,938.507492262,1454,0.120896320623,219.764676267,22.1623108666,1596.05404507,4,0,0,,,,,
B02,1,0,2299,12.0956937799,0.475424097434,0.00376699223787,0.000523478781926,919.697167103,1203,0.125865621132,256.09014112,25.7132169576,1775.40226832,4,0,0,,,,,
B03,1,0,2260,12.753539823,0.487610619469,0.00370834900377,0.000526754482779,951.879762292,1222,0.125772678569,254.073620465,26.3649754501,1754.02305926,4,0,0,,,,,
B04,1,0,2304,11.0776909722,0.3515625,0.00304299582703,0.000361456771914,955.401860918,934,0.123882380114,247.592888484,31.4218415418,1709.23907976,4,0,0,,,,,
B05,1,0,2415,9.92215320911,0.373913043478,0.00304365609755,0.00041487056631,977.342508427,1002,0.128025104221,270.272980556,26.7654690619,1801.6351561,4,0,0,,,,,
B06,1,0,2317,9.32239965473,0.280103582218,0.00294901156354,0.000302052951224,966.995966753,725,0.130763633781,296.775206414,33.3393103448,1992.05145093,4,0,0,,,,,
B07,1,0,2323,9.2832544124,0.265174343521,0.00289184174215,0.000292049502724,988.11399076,687,0.12573123182,261.349120761,34.8631732169,1807.34610076,4,0,0,,,,,
B08,1,0,2256,10.0651595745,0.340425531915,0.00319079332469,0.000363721996502,1060.60880902,842,0.125587832196,287.47917685,29.6817102138,1952.45206441,4,0,0,,,,,
B09,1,0,2247,10.2581219404,0.367156208278,0.00271915489125,0.000389210227075,1025.04567151,908,0.126023860699,278.502092884,28.7279735683,1905.80934457,4,0,0,,,,,
B10,1,0,2311,10.5452185201,0.373864128083,0.00336169251571,0.000388271742477,1037.8316956,947,0.13008798479,316.3936431,29.1024287223,2090.08199155,4,0,0,,,,,
B11,1,0,2366,9.14919695689,0.296703296703,0.00322291547993,0.000324746678815,1036.17020368,777,0.136785351377,314.439062404,31.2290862291,1964.42599387,4,0,0,,,,,
B12,1,0,2290,10.2135371179,0.357641921397,0.00294367402684,0.000376862623357,1054.9896473,917,0.12742120914,315.760237352,29.2290076336,2145.29513112,4,0,0,,,,,
B13,1,0,2253,8.59742565468,0.284509542832,0.00211823138084,0.000302621313265,1020.38026108,692,0.121355548268,253.46373041,30.460982659,1806.83752114,4,0,0,,,,,
B14,1,0,2166,8.7728531856,0.267313019391,0.00230721476794,0.000277854831471,997.748062454,620,0.125432125867,271.613352618,33.4016129032,1847.98070512,4,0,0,,,,,
B15,1,0,2232,9.83288530466,0.296146953405,0.00279789845298,0.000304125314971,1012.59145963,727,0.129571938212,284.803921453,34.1911966988,1881.89928497,4,0,0,,,,,
B16,1,0,2218,12.4089269612,0.364292155095,0.00388770004389,0.000377955887242,1065.87505102,913,0.130380746663,320.134430338,34.6188389923,2067.89909324,4,0,0,,,,,
B17,1,0,2088,13.0689655172,0.384099616858,0.00314811251399,0.000403041264606,1013.75758818,897,0.124801052964,261.891470309,34.3132664437,1832.32485846,4,0,0,,,,,
B18,1,0,2232,14.3216845878,0.420250896057,0.00482136879971,0.00043680373804,1020.30010078,1008,0.132275374092,343.385140511,34.0823412698,2100.67412681,4,0,0,,,,,
B19,1,0,2166,10.4344413666,0.352262234534,0.00236462038167,0.000353881459732,959.602424787,856,0.122509518741,221.932069876,30.2488317757,1585.02339552,4,0,0,,,,,
B20,1,0,2145,12.2512820513,0.376223776224,0.00319146956829,0.000390337876524,951.793304033,912,0.126789021212,256.391411175,32.9649122807,1723.84582394,4,0,0,,,,,
B21,1,0,2194,13.5916134913,0.456244302644,0.00362976518192,0.000475708714386,950.208333281,1099,0.123173324865,255.173409701,29.9927206551,1753.44102078,4,0,0,,,,,
B22,1,0,2105,12.7961995249,0.405700712589,0.00326500710202,0.000419651415603,901.93714165,925,0.123453140856,229.212881144,32.3513513514,1611.86692741,4,0,0,,,,,
B23,1,0,2049,12.8091752074,0.466081015129,0.0040718815088,0.000488784705407,886.167401544,1067,0.126711867592,257.841498194,27.8903467666,1676.65836099,4,0,0,,,,,
B24,1,0,2175,8.58022988506,0.351264367816,0.00228434730106,0.00038147803026,987.599735691,833,0.119330464465,218.079805459,24.7190876351,1616.32842457,4,0,0,,,,,
C01,1,0,2129,13.1855331141,0.580084546736,0.00349139203811,0.000605941806785,859.481017913,1362,0.119305436829,218.045051491,22.8399412628,1577.36591607,4,0,0,,,,,
