PlateNumber,Group,Well,Kinetic,MeasInfo,MeasTime,Signal,Flashes/Time,Result,
1,1,A01,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:00.000,8108,0.1,81080,
1,1,A02,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:00.192,9020,0.1,90200,
1,1,A03,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:00.384,8428,0.1,84280,
1,1,A04,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:00.575,8824,0.1,88240,
1,1,A05,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:00.767,8740,0.1,87400,
1,1,A06,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:00.959,8648,0.1,86480,
1,1,A07,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:01.151,8320,0.1,83200,
1,1,A08,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:01.343,9100,0.1,91000,
1,1,A09,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:01.535,8856,0.1,88560,
1,1,A10,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:01.727,8416,0.1,84160,
1,1,A11,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:01.919,8528,0.1,85280,
1,1,A12,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:02.111,8348,0.1,83480,
1,1,A13,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:02.302,8356,0.1,83560,
1,1,A14,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:02.494,7792,0.1,77920,
1,1,A15,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:02.686,9236,0.1,92360,
1,1,A16,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:02.878,8524,0.1,85240,
1,1,A17,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:03.069,8088,0.1,80880,
1,1,A18,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:03.261,8660,0.1,86600,
1,1,A19,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:03.453,8140,0.1,81400,
1,1,A20,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:03.645,8564,0.1,85640,
1,1,A21,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:03.835,8316,0.1,83160,
1,1,A22,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:04.026,8528,0.1,85280,
1,1,A23,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:04.217,76,0.1,760,
1,1,A24,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:04.409,7788,0.1,77880,
1,1,B01,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:09.076,7704,0.1,77040,
1,1,B02,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:08.885,8432,0.1,84320,
1,1,B03,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:08.694,8616,0.1,86160,
1,1,B04,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:08.502,8920,0.1,89200,
1,1,B05,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:08.310,7748,0.1,77480,
1,1,B06,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:08.118,7100,0.1,71000,
1,1,B07,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:07.926,8676,0.1,86760,
1,1,B08,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:07.735,8524,0.1,85240,
1,1,B09,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:07.544,7592,0.1,75920,
1,1,B10,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:07.353,7432,0.1,74320,
1,1,B11,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:07.162,7952,0.1,79520,
1,1,B12,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:06.970,7988,0.1,79880,
1,1,B13,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:06.779,7988,0.1,79880,
1,1,B14,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:06.587,8284,0.1,82840,
1,1,B15,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:06.395,8912,0.1,89120,
1,1,B16,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:06.204,8812,0.1,88120,
1,1,B17,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:06.012,9156,0.1,91560,
1,1,B18,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:05.819,8508,0.1,85080,
1,1,B19,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:05.627,7772,0.1,77720,
1,1,B20,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:05.435,8852,0.1,88520,
1,1,B21,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:05.244,8564,0.1,85640,
1,1,B22,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:05.052,7788,0.1,77880,
1,1,B23,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:04.859,84,0.1,840,
1,1,B24,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:04.667,8700,0.1,87000,
1,1,C01,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:09.331,108,0.1,1080,
1,1,C02,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:09.523,9212,0.1,92120,
1,1,C03,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:09.715,8428,0.1,84280,
