,,,PltRpt=1 Group=1 LUM 01sec(1) De=1st Ex=N/A Em=Top Wdw=N/A,,,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,,
1,,A01,81080,8108,0.1,00:00:00.000,,
1,,A02,90200,9020,0.1,00:00:00.192,,
1,,A03,84280,8428,0.1,00:00:00.384,,
1,,A04,88240,8824,0.1,00:00:00.575,,
1,,A05,87400,8740,0.1,00:00:00.767,,
1,,A06,86480,8648,0.1,00:00:00.959,,
1,,A07,83200,8320,0.1,00:00:01.151,,
1,,A08,91000,9100,0.1,00:00:01.343,,
1,,A09,88560,8856,0.1,00:00:01.535,,
1,,A10,84160,8416,0.1,00:00:01.727,,
1,,A11,85280,8528,0.1,00:00:01.919,,
1,,A12,83480,8348,0.1,00:00:02.111,,
1,,A13,83560,8356,0.1,00:00:02.302,,
1,,A14,77920,7792,0.1,00:00:02.494,,
1,,A15,92360,9236,0.1,00:00:02.686,,
1,,A16,85240,8524,0.1,00:00:02.878,,
1,,A17,80880,8088,0.1,00:00:03.069,,
1,,A18,86600,8660,0.1,00:00:03.261,,
1,,A19,81400,8140,0.1,00:00:03.453,,
1,,A20,85640,8564,0.1,00:00:03.645,,
1,,A21,83160,8316,0.1,00:00:03.835,,
1,,A22,85280,8528,0.1,00:00:04.026,,
1,,A23,760,76,0.1,00:00:04.217,,
1,,A24,77880,7788,0.1,00:00:04.409,,
1,,B01,77040,7704,0.1,00:00:09.076,,
1,,B02,84320,8432,0.1,00:00:08.885,,
1,,B03,86160,8616,0.1,00:00:08.694,,
1,,B04,89200,8920,0.1,00:00:08.502,,
1,,B05,77480,7748,0.1,00:00:08.310,,
1,,B06,71000,7100,0.1,00:00:08.118,,
1,,B07,86760,8676,0.1,00:00:07.926,,
1,,B08,85240,8524,0.1,00:00:07.735,,
1,,B09,75920,7592,0.1,00:00:07.544,,
1,,B10,74320,7432,0.1,00:00:07.353,,
1,,B11,79520,7952,0.1,00:00:07.162,,
1,,B12,79880,7988,0.1,00:00:06.970,,
1,,B13,79880,7988,0.1,00:00:06.779,,
1,,B14,82840,8284,0.1,00:00:06.587,,
1,,B15,89120,8912,0.1,00:00:06.395,,
1,,B16,88120,8812,0.1,00:00:06.204,,
1,,B17,91560,9156,0.1,00:00:06.012,,
1,,B18,85080,8508,0.1,00:00:05.819,,
1,,B19,77720,7772,0.1,00:00:05.627,,
1,,B20,88520,8852,0.1,00:00:05.435,,
1,,B21,85640,8564,0.1,00:00:05.244,,
1,,B22,77880,7788,0.1,00:00:05.052,,
1,,B23,840,84,0.1,00:00:04.859,,
1,,B24,87000,8700,0.1,00:00:04.667,,
1,,C01,1080,108,0.1,00:00:09.331,,
1,,C02,92120,9212,0.1,00:00:09.523,,
1,,C03,84280,8428,0.1,00:00:09.715,,
1,,C04,90160,9016,0.1,00:00:09.906,,
1,,C05,88000,8800,0.1,00:00:10.098,,
1,,C06,84720,8472,0.1,00:00:10.289,,
1,,C07,81640,8164,0.1,00:00:10.481,,
1,,C08,92520,9252,0.1,00:00:10.673,,
1,,C09,79400,7940,0.1,00:00:10.865,,
1,,C10,86200,8620,0.1,00:00:11.057,,
1,,C11,83360,8336,0.1,00:00:11.250,,
1,,C12,86520,8652,0.1,00:00:11.442,,
1,,C13,82920,8292,0.1,00:00:11.634,,
1,,C14,89480,8948,0.1,00:00:11.825,,
1,,C15,77920,7792,0.1,00:00:12.017,,
1,,C16,88320,8832,0.1,00:00:12.209,,
1,,C17,68040,6804,0.1,00:00:12.401,,
1,,C18,91000,9100,0.1,00:00:12.593,,
1,,C19,80080,8008,0.1,00:00:12.785,,
1,,C20,94000,9400,0.1,00:00:12.977,,
1,,C21,90720,9072,0.1,00:00:13.169,,
1,,C22,81120,8112,0.1,00:00:13.360,,
1,,C23,840,84,0.1,00:00:13.551,,
1,,C24,83640,8364,0.1,00:00:13.742,,
1,,D01,85560,8556,0.1,00:00:18.406,,
1,,D02,88760,8876,0.1,00:00:18.214,,
1,,D03,91000,9100,0.1,00:00:18.023,,
1,,D04,93200,9320,0.1,00:00:17.831,,
1,,D05,87600,8760,0.1,00:00:17.640,,
1,,D06,86360,8636,0.1,00:00:17.448,,
1,,D07,90480,9048,0.1,00:00:17.256,,
1,,D08,88960,8896,0.1,00:00:17.064,,
1,,D09,86120,8612,0.1,00:00:16.872,,
1,,D10,86800,8680,0.1,00:00:16.681,,
1,,D11,83800,8380,0.1,00:00:16.490,,
1,,D12,85440,8544,0.1,00:00:16.299,,
1,,D13,77760,7776,0.1,00:00:16.108,,
1,,D14,91640,9164,0.1,00:00:15.916,,
1,,D15,90080,9008,0.1,00:00:15.724,,
1,,D16,84480,8448,0.1,00:00:15.532,,
1,,D17,80760,8076,0.1,00:00:15.340,,
1,,D18,89800,8980,0.1,00:00:15.149,,
1,,D19,84120,8412,0.1,00:00:14.957,,
1,,D20,87360,8736,0.1,00:00:14.765,,
1,,D21,88680,8868,0.1,00:00:14.573,,
1,,D22,90200,9020,0.1,00:00:14.382,,
1,,D23,880,88,0.1,00:00:14.189,,
1,,D24,91040,9104,0.1,00:00:13.997,,
1,,E01,84240,8424,0.1,00:00:18.660,,
1,,E02,86280,8628,0.1,00:00:18.852,,
1,,E03,80560,8056,0.1,00:00:19.044,,
1,,E04,82920,8292,0.1,00:00:19.236,,
1,,E05,1480,148,0.1,00:00:19.427,,
1,,E06,86440,8644,0.1,00:00:19.619,,
1,,E07,85960,8596,0.1,00:00:19.810,,
1,,E08,85520,8552,0.1,00:00:20.002,,
1,,E09,87000,8700,0.1,00:00:20.193,,
1,,E10,83760,8376,0.1,00:00:20.386,,
1,,E11,85240,8524,0.1,00:00:20.578,,
1,,E12,87040,8704,0.1,00:00:20.770,,
1,,E13,82320,8232,0.1,00:00:20.962,,
1,,E14,83880,8388,0.1,00:00:21.154,,
1,,E15,75080,7508,0.1,00:00:21.346,,
1,,E16,87120,8712,0.1,00:00:21.538,,
