
,,PltRpt=1 Group=1 LUM 01sec(1) De=1st Ex=N/A Em=Top Wdw=N/A,,
Plate,Well,CalcResult,Signal,
1,A01,81080,8108,
1,A02,90200,9020,
1,A03,84280,8428,
1,A04,88240,8824,
1,A05,87400,8740,
1,A06,86480,8648,
1,A07,83200,8320,
1,A08,91000,9100,
1,A09,88560,8856,
1,A10,84160,8416,
1,A11,85280,8528,
1,A12,83480,8348,
1,A13,83560,8356,
1,A14,77920,7792,
1,A15,92360,9236,
1,A16,85240,8524,
1,A17,80880,8088,
1,A18,86600,8660,
1,A19,81400,8140,
1,A20,85640,8564,
1,A21,83160,8316,
1,A22,85280,8528,
1,A23,760,76,
1,A24,77880,7788,
1,B01,77040,7704,
1,B02,84320,8432,
1,B03,86160,8616,
1,B04,89200,8920,
1,B05,77480,7748,
1,B06,71000,7100,
1,B07,86760,8676,
1,B08,85240,8524,
1,B09,75920,7592,
1,B10,74320,7432,
1,B11,79520,7952,
1,B12,79880,7988,
1,B13,79880,7988,
1,B14,82840,8284,
1,B15,89120,8912,
1,B16,88120,8812,
1,B17,91560,9156,
1,B18,85080,8508,
1,B19,77720,7772,
1,B20,88520,8852,
1,B21,85640,8564,
1,B22,77880,7788,
1,B23,840,84,
1,B24,87000,8700,
1,C01,1080,108,
1,C02,92120,9212,
1,C03,84280,8428,
1,C04,90160,9016,
1,C05,88000,8800,
1,C06,84720,8472,
1,C07,81640,8164,
1,C08,92520,9252,
1,C09,79400,7940,
1,C10,86200,8620,
1,C11,83360,8336,
1,C12,86520,8652,
1,C13,82920,8292,
1,C14,89480,8948,
1,C15,77920,7792,
1,C16,88320,8832,
1,C17,68040,6804,
1,C18,91000,9100,
1,C19,80080,8008,
1,C20,94000,9400,
1,C21,90720,9072,
1,C22,81120,8112,
1,C23,840,84,
1,C24,83640,8364,
1,D01,85560,8556,
1,D02,88760,8876,
1,D03,91000,9100,
1,D04,93200,9320,
1,D05,87600,8760,
1,D06,86360,8636,
1,D07,90480,9048,
1,D08,88960,8896,
1,D09,86120,8612,
1,D10,86800,8680,
1,D11,83800,8380,
1,D12,85440,8544,
1,D13,77760,7776,
1,D14,91640,9164,
1,D15,90080,9008,
1,D16,84480,8448,
1,D17,80760,8076,
1,D18,89800,8980,
1,D19,84120,8412,
1,D20,87360,8736,
1,D21,88680,8868,
1,D22,90200,9020,
1,D23,880,88,
1,D24,91040,9104,
1,E01,84240,8424,
1,E02,86280,8628,
1,E03,80560,8056,
1,E04,82920,8292,
1,E05,1480,148,
1,E06,86440,8644,
1,E07,85960,8596,
1,E08,85520,8552,
1,E09,87000,8700,
1,E10,83760,8376,
1,E11,85240,8524,
1,E12,87040,8704,
1,E13,82320,8232,
1,E14,83880,8388,
1,E15,75080,7508,
1,E16,87120,8712,
1,E17,87960,8796,
1,E18,88760,8876,
1,E19,83200,8320,
1,E20,88840,8884,
1,E21,71280,7128,
1,E22,78440,7844,
1,E23,960,96,
1,E24,83600,8360,
1,F01,80920,8092,
1,F02,89680,8968,
1,F03,81200,8120,
1,F04,82600,8260,
1,F05,81160,8116,
1,F06,81600,8160,
1,F07,86800,8680,
1,F08,86160,8616,
1,F09,89120,8912,
1,F10,86520,8652,
1,F11,84800,8480,
1,F12,83800,8380,
1,F13,77240,7724,
