Database Name	Phenix ODA 2																				
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx																				
Evaluation Signature	d1f3a05a-6c3e-4ca7-ae38-6be44eaee441																				
Plate Name	P102902																				
Measurement	Measurement 1																				
Evaluation	Evaluation1																				
																					
[Data]																					
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count
1	1	1	0	2001	120.5702149	5.018990505	0.059182039	0.00752788	1907.612656	11037	0.152932889	579.2345724	24.35063876	3496.347737	4	0	0				
1	2	1	0	2288	8.897727273	0.262674825	0.003299097	0.00034068	953.0866221	656	0.124072893	286.3601004	34.06097561	1908.679026	4	0	0				
1	3	1	0	2403	9.697877653	0.39284228	0.003131272	0.000504262	889.6156806	1005	0.120980996	224.2996307	24.84378109	1632.91181	4	0	0				
1	4	1	0	2253	9.423435419	0.306258322	0.003257913	0.000389158	957.2892085	728	0.122611382	261.0058451	30.73763736	1823.906772	4	0	0				
1	5	1	0	2381	9.200335993	0.284334313	0.003342399	0.000361616	974.4287065	718	0.122340721	317.411628	32.47771588	1981.465412	4	0	0				
1	6	1	0	2386	7.785834032	0.225481978	0.002632155	0.000292463	981.9992725	578	0.122990129	282.3223212	35.00519031	1948.970281	4	0	0				
1	7	1	0	2281	3.049101271	0.061814993	0.001372794	7.50E-05	846.6417569	159	0.150362692	394.7867584	49.03144654	2262.383097	4	0	0				
1	8	1	0	2312	7.472318339	0.221020761	0.002607228	0.000297149	1018.997903	540	0.121524725	300.3483182	34.04259259	2058.654395	4	0	0				
1	9	1	0	2204	9.06215971	0.280399274	0.003596966	0.000347925	1006.829981	677	0.127183846	376.6177621	32.64254062	2289.619894	4	0	0				
1	10	1	0	1644	3.706812652	0.089416058	0.001796419	0.000103976	911.5241825	169	0.148614921	484.5093899	41.5739645	2769.822361	4	0	0				
1	11	1	0	340	31.13823529	0.45	0.012625587	0.000501777	1046.496292	159	0.177737433	531.6934351	69.05031447	2641.433259	4	0	0				
1	12	1	0	2285	8.617943107	0.268708972	0.00323772	0.000324378	960.669572	662	0.125776669	319.8905797	32.91993958	2091.524428	4	0	0				
1	13	1	0	2349	7.825031928	0.252873563	0.002475958	0.000311312	1011.598172	642	0.122377135	263.8908141	31.90809969	1870.689407	4	0	0				
1	14	1	0	2199	8.070031833	0.238744884	0.002939779	0.000316407	1029.881	556	0.12607162	298.5405288	34.06654676	1985.001571	4	0	0				
1	15	1	0	2273	7.919049714	0.225692917	0.002946986	0.000287198	1065.357575	548	0.125142082	337.3401841	35.10218978	2144.358444	4	0	0				
1	16	1	0	2318	8.888697153	0.247627265	0.003201966	0.000318641	1044.735081	609	0.127512863	409.2349461	35.88669951	2551.445237	4	0	0				
1	17	1	0	2116	7.842155009	0.246691871	0.002869105	0.000284887	936.1517494	556	0.131273012	357.3159884	31.81115108	2170.794674	4	0	0				
1	18	1	0	2181	9.139844108	0.264557542	0.003337869	0.000340281	998.06173	615	0.122716136	338.9880577	35.12520325	2198.95104	4	0	0				
1	19	1	0	2120	9.382075472	0.290566038	0.003137156	0.000341435	969.5367364	656	0.124173216	293.0946697	32.67378049	1927.210843	4	0	0				
1	20	1	0	2267	8.486546096	0.312748125	0.00313534	0.000388793	901.5425506	748	0.119101361	273.0310106	27.54010695	1868.055766	4	0	0				
1	21	1	0	2168	8.065498155	0.225553506	0.002572921	0.000300776	981.6657156	512	0.119009066	273.0406549	35.99609375	1893.453283	4	0	0				
1	22	1	0	2283	8.893561104	0.300919842	0.003581596	0.000373682	919.7501796	739	0.130476773	358.9503382	30.11366712	2203.800527	4	0	0				
1	23	1	0	2279	114.1588416	5.17419921	0.052569233	0.007556634	1491.354199	12824	0.15180998	457.337945	22.32797879	2779.473462	4	0	0				
1	24	1	0	2093	13.70090779	0.414715719	0.004916051	0.000512631	892.4748466	935	0.129179955	317.6132145	33.78823529	1997.928644	4	0	0				
2	1	1	0	2112	123.0686553	5.232954545	0.062180189	0.00797195	1744.343352	12030	0.155318324	546.5942007	23.75660848	3263.504553	4	0	0				
2	2	1	0	2367	9.778622729	0.324883819	0.003790158	0.000402892	1007.14557	826	0.122457893	346.4445579	30.31961259	2220.550345	4	0	0				
2	3	1	0	2436	8.91091954	0.298850575	0.002881172	0.00039459	950.6701762	778	0.120195428	255.9232541	30.20565553	1798.468137	4	0	0				
2	4	1	0	2323	9.1786483	0.293155402	0.003819645	0.00039676	975.4132023	747	0.12555007	324.5463582	31.41097724	2088.763603	4	0	0				
2	5	1	0	2384	10.50503356	0.354865772	0.003592473	0.000453837	952.372597	909	0.123851014	265.7937038	30.01210121	1847.417208	4	0	0				
2	6	1	0	2234	8.513876455	0.263205013	0.003022159	0.000330878	1020.054588	634	0.127561328	321.853293	32.94479495	2071.365597	4	0	0				
2	7	1	0	2103	8.767475036	0.304327152	0.003022274	0.000377439	991.6739525	708	0.123958282	287.6121061	29.95621469	1989.660455	4	0	0				
