Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	46329d59-a4e0-402d-ac8d-17d60327291a
Plate Name	P104378
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	365	371	2	387.844937485	1290.50684932	0.00547945205479	198.118431281	1	0	0					
1	2	1	0	463	433	1	365.338948353	932.896328294	0.00215982721382	163.885747964	1	0	0					
1	3	1	0	316	365	0	NaN	0	0	220.753829987	1	0	0					
1	4	1	0	481	381	6	358.308361861	4525.61122661	0.012474012474	211.263851861	1	0	0					
1	5	1	0	439	0	0	NaN	0	0	NaN	1	0	0					
1	6	1	0	556	401	1	377.889565039	605.512589928	0.00179856115108	175.124961909	1	0	0					
1	7	1	0	405	367	3	439.81455872	4779.65679012	0.00740740740741	208.645991878	1	0	0					
1	8	1	0	540	443	19	364.446776546	11681.3814815	0.0351851851852	202.468552706	1	0	0					
1	9	1	0	537	423	3	364.71755015	1254.88268156	0.00558659217877	181.086738315	1	0	0					
1	10	1	0	511	426	0	NaN	0	0	126.484570963	1	0	0					
1	11	1	0	463	383	4	361.479187496	3218.6112311	0.00863930885529	204.459666369	1	0	0					
1	12	1	0	395	382	6	370.628874522	4142.89873418	0.0151898734177	219.711623859	1	0	0					
1	13	1	0	654	429	12	358.507503213	4877.60856269	0.0183486238532	196.433164349	1	0	0					
1	14	1	0	481	405	3	391.701984491	1898.19126819	0.00623700623701	185.787136107	1	0	0					
1	15	1	0	499	377	3	536.799230605	2204.60921844	0.0060120240481	207.698302247	1	0	0					
1	16	1	0	534	362	2	344.311266878	917.655430712	0.00374531835206	185.699963371	1	0	0					
1	17	1	0	404	355	2	355.081692843	1669.48514851	0.0049504950495	208.560801428	1	0	0					
1	18	1	0	479	353	3	365.898679162	1869.36534447	0.0062630480167	192.818399955	1	0	0					
1	19	1	0	634	365	7	726.76879057	6641.45899054	0.0110410094637	210.808902233	1	0	0					
1	20	1	0	541	366	1	383.553878488	697.175600739	0.00184842883549	178.186456747	1	0	0					
1	21	1	0	556	401	2	356.509313987	1008.67625899	0.00359712230216	167.197648025	1	0	0					
1	22	1	0	652	398	0	NaN	0	0	157.079909598	1	0	0					
1	23	1	0	481	382	3	473.388844331	3872.58212058	0.00623700623701	175.29108303	1	0	0					
1	24	1	0	660	419	171	515.786162617	168282.025758	0.259090909091	788.235997744	1	0	0					
2	1	1	0	536	414	124	444.725200856	117078.994403	0.231343283582	531.265251231	1	0	0					
2	2	1	0	620	415	5	362.834728486	2715.90483871	0.00806451612903	183.9663928	1	0	0					
