Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	2febc2a9-e9ae-4116-838d-1f8e5f30ca3b
Plate Name	P104379
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	306	371	0	NaN	0	0	179.371560799	1	0	0					
1	2	1	0	289	358	2	347.066825058	1485.42906574	0.00692041522491	209.0065463	1	0	0					
1	3	1	0	355	383	12	360.203507804	11869.543662	0.0338028169014	240.524177	1	0	0					
1	4	1	0	434	442	0	NaN	0	0	149.70297496	1	0	0					
1	5	1	0	442	441	0	NaN	0	0	148.008576673	1	0	0					
1	6	1	0	344	399	35	358.777128714	31995.3139535	0.101744186047	229.839134176	1	0	0					
1	7	1	0	449	407	14	353.626921794	9107.34966592	0.0311804008909	209.904514968	1	0	0					
1	8	1	0	377	234	3	399.698505806	2027.21485411	0.0079575596817	272.208105048	1	0	0					
1	9	1	0	561	446	0	NaN	0	0	136.257254318	1	0	0					
1	10	1	0	282	343	3	359.274320864	3651.39361702	0.0106382978723	196.417181617	1	0	0					
1	11	1	0	324	427	0	NaN	0	0	135.902308464	1	0	0					
1	12	1	0	447	380	11	386.154696064	8469.65548098	0.0246085011186	219.542022161	1	0	0					
1	13	1	0	470	401	2	386.525522068	1354.76382979	0.00425531914894	168.131640972	1	0	0					
1	14	1	0	283	381	1	416.996683256	1042.34982332	0.00353356890459	185.504212564	1	0	0					
1	15	1	0	314	406	3	370.165286659	3203.64012739	0.00955414012739	177.384388119	1	0	0					
1	16	1	0	412	355	1	390.286822232	518.847087379	0.00242718446602	187.997802023	1	0	0					
1	17	1	0	353	366	3	359.075036356	1984.89518414	0.00849858356941	200.01409418	1	0	0					
1	18	1	0	370	336	7	431.586778726	5220.51351351	0.0189189189189	196.56029443	1	0	0					
1	19	1	0	255	393	1	508.456602075	1466.38823529	0.00392156862745	169.03527378	1	0	0					
1	20	1	0	234	391	3	400.550222617	3364.14529915	0.0128205128205	155.27416749	1	0	0					
1	21	1	0	400	379	3	368.417943009	2592.01	0.0075	203.915428046	1	0	0					
1	22	1	0	298	320	2	368.066886904	2884.17785235	0.00671140939597	223.55234375	1	0	0					
1	23	1	0	403	353	4	358.976836773	2539.22828784	0.00992555831266	203.223467005	1	0	0					
1	24	1	0	512	387	156	501.105402348	170811.955078	0.3046875	742.112633456	1	0	0					
2	1	1	0	522	386	129	451.435183362	142851.44636	0.247126436782	659.172440871	1	0	0					
2	2	1	0	414	395	1	452.643499911	756.586956522	0.0024154589372	161.557352988	1	0	0					
2	3	1	0	299	431	1	439.583577343	782.581939799	0.00334448160535	145.267790333	1	0	0					
2	4	1	0	363	395	4	429.721003213	4721.10192837	0.0110192837466	202.651530203	1	0	0					
2	5	1	0	520	423	6	356.824092878	3856.45	0.0115384615385	191.701272572	1	0	0					
2	6	1	0	412	380	1	352.62535903	534.720873786	0.00242718446602	212.321225762	1	0	0					
2	7	1	0	437	420	26	369.49329999	18055.1052632	0.0594965675057	215.747709751	1	0	0					
2	8	1	0	389	371	11	357.843568022	8231.60411311	0.0282776349614	238.06554733	1	0	0					
2	9	1	0	342	352	7	357.270827024	5960.21345029	0.0204678362573	228.99862797	1	0	0					
2	10	1	0	426	398	21	359.015601303	15826.2816901	0.0492957746479	234.732689831	1	0	0					
2	11	1	0	396	384	43	497.048762577	62785.2247475	0.108585858586	349.831922743	1	0	0					
2	12	1	0	327	362	4	431.362266667	3211.59021407	0.0122324159021	196.690821403	1	0	0					
2	13	1	0	220	373	0	NaN	0	0	159.468155453	1	0	0					
2	14	1	0	394	370	1	490.624607553	601.794416244	0.00253807106599	144.983820307	1	0	0					
2	15	1	0	607	425	0	NaN	0	0	151.904022145	1	0	0					
2	16	1	0	356	369	7	351.27811824	5081.03932584	0.0196629213483	213.319893362	1	0	0					
2	17	1	0	413	385	2	371.669964252	1329.95157385	0.00484261501211	180.551661326	1	0	0					
