Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	fb576cbb-0205-478b-8ee2-c87813d02986
Plate Name	P104380
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	445	415	20	358.191438827	15514.9213483	0.0449438202247	211.39548846	1	0	0					
1	2	1	0	166	416	1	612.355603492	1555.38554217	0.00602409638554	131.933027459	1	0	0					
1	3	1	0	449	398	2	368.544986858	1209.58351893	0.00445434298441	181.718592965	1	0	0					
1	4	1	0	392	391	0	NaN	0	0	183.098501449	1	0	0					
1	5	1	0	375	444	46	373.987561039	38416.584	0.122666666667	228.013959906	1	0	0					
1	6	1	0	358	413	3	380.508083823	1920.6424581	0.00837988826816	162.23186511	1	0	0					
1	7	1	0	391	399	0	NaN	0	0	178.82606265	1	0	0					
1	8	1	0	330	367	2	350.917390333	2858.52424242	0.00606060606061	209.979901848	1	0	0					
1	9	1	0	335	361	9	387.371575672	10332.6447761	0.0268656716418	231.267969092	1	0	0					
1	10	1	0	352	370	11	361.555278957	9556.67613636	0.03125	222.359598247	1	0	0					
1	11	1	0	348	356	24	365.400639748	26456.0344828	0.0689655172414	259.692313155	1	0	0					
1	12	1	0	371	419	8	362.953453552	5681.75202156	0.0215633423181	180.376632623	1	0	0					
1	13	1	0	352	380	1	349.322784553	638.076704545	0.00284090909091	192.164923823	1	0	0					
1	14	1	0	144	349	0	NaN	0	0	206.579921347	1	0	0					
1	15	1	0	336	338	3	431.58066568	2173.5297619	0.00892857142857	195.741491895	1	0	0					
1	16	1	0	251	363	8	377.678709556	8856.88047809	0.0318725099602	225.251872595	1	0	0					
1	17	1	0	222	347	3	371.109905787	3243.21171171	0.0135135135135	180.39002068	1	0	0					
1	18	1	0	390	390	9	385.97106194	7400.22051282	0.0230769230769	197.193688363	1	0	0					
1	19	1	0	348	408	8	383.96587203	9142.06034483	0.0229885057471	192.105446223	1	0	0					
1	20	1	0	332	391	2	438.713214298	1654.84036145	0.00602409638554	168.139886578	1	0	0					
1	21	1	0	307	362	1	817.19422979	4097.89250814	0.00325732899023	173.126316352	1	0	0					
1	22	1	0	201	304	34	460.179383177	54446.2537313	0.169154228856	356.186699273	1	0	0					
1	23	1	0	479	388	6	483.989953393	5160.51983299	0.0125260960334	199.318298969	1	0	0					
1	24	1	0	521	353	166	519.466126698	202220.431862	0.318618042226	971.647529472	1	0	0					
2	1	1	0	462	386	135	448.604486566	156995.132035	0.292207792208	615.405749148	1	0	0					
2	2	1	0	412	412	0	NaN	0	0	159.154043736	1	0	0					
2	3	1	0	322	358	21	526.893233397	33997.1428571	0.0652173913043	327.678092132	1	0	0					
2	4	1	0	277	385	1	340.492427246	1165.71480144	0.00361010830325	194.910838253	1	0	0					
2	5	1	0	327	390	3	359.993956363	2379.51987768	0.00917431192661	205.111702827	1	0	0					
2	6	1	0	374	388	9	349.865384281	7469.30481283	0.024064171123	204.523009884	1	0	0					
2	7	1	0	381	376	8	425.722578848	6084.04199475	0.0209973753281	220.5475116	1	0	0					
2	8	1	0	304	401	2	368.372661099	1675.35526316	0.00657894736842	150.996579623	1	0	0					
2	9	1	0	354	398	7	366.478331126	5394.65819209	0.0197740112994	197.032234034	1	0	0					
2	10	1	0	354	384	3	343.247365348	2636.36440678	0.00847457627119	198.804863824	1	0	0					
2	11	1	0	520	406	8	363.164147425	4593.15576923	0.0153846153846	205.974447329	1	0	0					
2	12	1	0	292	339	47	394.092554664	79863.0856164	0.16095890411	387.573646244	1	0	0					
