Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	f42ac26f-f1f2-4433-b509-dcf9fa5faea0
Plate Name	P104381
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	305	433	7	353.694791232	7111.81639344	0.0229508196721	213.295526671	1	0	0					
1	2	1	0	403	409	8	351.410496309	4835.83126551	0.0198511166253	204.010072871	1	0	0					
1	3	1	0	386	426	30	355.489870622	29289.9248705	0.0777202072539	215.690311667	1	0	0					
1	4	1	0	423	404	18	352.32795981	13725.8014184	0.0425531914894	222.986202333	1	0	0					
1	5	1	0	262	382	5	406.585985052	4738.96564885	0.0190839694656	216.869336093	1	0	0					
1	6	1	0	242	405	2	343.56335374	3315.14876033	0.00826446280992	173.462210029	1	0	0					
1	7	1	0	388	408	0	NaN	0	0	193.072874616	1	0	0					
1	8	1	0	349	397	2	370.482326327	1405.23782235	0.00573065902579	173.687746258	1	0	0					
1	9	1	0	377	396	0	NaN	0	0	176.33523365	1	0	0					
1	10	1	0	363	368	12	376.969171805	12447.9173554	0.0330578512397	226.647049267	1	0	0					
1	11	1	0	382	383	2	387.301997987	1752.57853403	0.00523560209424	180.845557608	1	0	0					
1	12	1	0	381	383	14	366.445187115	13949.8057743	0.0367454068241	227.627845305	1	0	0					
1	13	1	0	575	455	2	346.271580979	857.91826087	0.00347826086957	148.733017751	1	0	0					
1	14	1	0	416	361	3	359.392735193	2906.86538462	0.00721153846154	200.26081752	1	0	0					
1	15	1	0	310	383	4	360.435179094	3682.49354839	0.0129032258065	207.105611191	1	0	0					
1	16	1	0	395	355	7	390.568565855	6284.12658228	0.0177215189873	243.194183694	1	0	0					
1	17	1	0	420	417	29	369.897874391	23013.3833333	0.0690476190476	222.013784656	1	0	0					
1	18	1	0	268	407	1	355.876462621	1530.87686567	0.00373134328358	168.179318921	1	0	0					
1	19	1	0	291	359	4	367.457553368	3555.3814433	0.0137457044674	201.586502277	1	0	0					
1	20	1	0	399	399	4	364.745452128	2490.64912281	0.0100250626566	202.897927777	1	0	0					
1	21	1	0	310	339	2	490.002572409	1797.91290323	0.00645161290323	193.124920598	1	0	0					
1	22	1	0	284	329	2	349.721899063	2137.23239437	0.00704225352113	207.336434438	1	0	0					
1	23	1	0	267	350	2	383.020673432	3860.23970037	0.00749063670412	182.260081633	1	0	0					
1	24	1	0	508	396	155	482.305841588	176731.511811	0.305118110236	705.590405316	1	0	0					
2	1	1	0	599	405	127	426.321095136	106735.560935	0.212020033389	528.240969364	1	0	0					
2	2	1	0	433	435	1	334.230431976	529.822170901	0.00230946882217	182.380023781	1	0	0					
2	3	1	0	487	380	4	359.079402774	2320.81519507	0.0082135523614	215.487361496	1	0	0					
2	4	1	0	384	445	2	424.374628033	1301.9375	0.00520833333333	151.576427219	1	0	0					
2	5	1	0	463	411	4	408.78434843	2555.16846652	0.00863930885529	175.303650819	1	0	0					
2	6	1	0	399	376	4	407.76632708	3441.50877193	0.0100250626566	185.49187981	1	0	0					
2	7	1	0	515	421	9	364.908648618	4422.80776699	0.0174757281553	223.76676954	1	0	0					
2	8	1	0	422	398	4	383.994604759	3738.52843602	0.00947867298578	161.834101412	1	0	0					
2	9	1	0	392	410	2	377.113666506	1111.77295918	0.00510204081633	179.748655562	1	0	0					
2	10	1	0	522	426	5	360.301543834	2835.85249042	0.0095785440613	187.466629196	1	0	0					
2	11	1	0	529	426	3	445.67314634	1975.56899811	0.00567107750473	156.396465648	1	0	0					
2	12	1	0	503	401	2	354.857504063	868.662027833	0.00397614314115	197.496209601	1	0	0					
2	13	1	0	500	421	1	348.280737358	516.168	0.002	147.340818434	1	0	0					
2	14	1	0	568	373	2	357.087507527	817.241197183	0.00352112676056	192.291175815	1	0	0					
2	15	1	0	473	398	1	369.139751433	626.412262156	0.00211416490486	175.856291508	1	0	0					
2	16	1	0	351	375	12	362.195918996	13964.7920228	0.034188034188	242.919445333	1	0	0					
2	17	1	0	416	376	3	346.342034257	2344.14182692	0.00721153846154	192.796507187	1	0	0					
2	18	1	0	523	241	4	665.246095352	5461.1873805	0.00764818355641	368.723747869	1	0	0					
2	19	1	0	507	383	3	359.797691889	1355.9408284	0.00591715976331	175.923900224	1	0	0					
2	20	1	0	333	387	1	427.323848518	719.033033033	0.003003003003	177.076958516	1	0	0					
2	21	1	0	443	420	3	349.457448657	2763.63205418	0.00677200902935	165.675901361	1	0	0					
2	22	1	0	464	356	5	371.879910396	4469.4375	0.010775862069	184.297310946	1	0	0					
2	23	1	0	336	382	4	348.427289164	3141.99404762	0.0119047619048	180.807146186	1	0	0					
2	24	1	0	270	376	1	360.197665568	910.085185185	0.0037037037037	178.574878339	1	0	0					
3	1	1	0	338	362	0	NaN	0	0	182.510347669	1	0	0					
3	2	1	0	503	391	0	NaN	0	0	167.988971815	1	0	0					
3	3	1	0	367	403	6	370.270879262	4839.08446866	0.016348773842	200.546496807	1	0	0					
3	4	1	0	543	453	10	349.203298469	6446.51197053	0.0184162062615	190.25935997	1	0	0					
3	5	1	0	514	374	11	358.617569871	5934.39105058	0.0214007782101	230.185600103	1	0	0					
3	6	1	0	425	437	0	NaN	0	0	143.156622279	1	0	0					
3	7	1	0	589	412	4	368.463545896	2259.11375212	0.00679117147708	188.066688661	1	0	0					
3	8	1	0	555	418	21	366.325214087	10709.5405405	0.0378378378378	196.917120716	1	0	0					
3	9	1	0	488	385	0	NaN	0	0	185.801065947	1	0	0					
3	10	1	0	460	417	1	339.729921925	475.893478261	0.00217391304348	163.699440448	1	0	0					
3	11	1	0	581	392	2	351.277606592	987.526678141	0.00344234079174	191.304085537	1	0	0					
3	12	1	0	553	417	1	832.672055168	1162.1880651	0.00180831826401	174.265962769	1	0	0					
3	13	1	0	645	429	21	358.4612459	10255.9550388	0.0325581395349	195.061665607	1	0	0					
3	14	1	0	492	381	2	366.576393411	958.115853659	0.00406504065041	176.204173297	1	0	0					
3	15	1	0	446	352	9	384.561981618	5249.24887892	0.0201793721973	239.16342491	1	0	0					
3	16	1	0	495	417	1	669.113374909	683.561616162	0.0020202020202	124.550690383	1	0	0					
3	17	1	0	416	383	3	348.467788606	2180.17307692	0.00721153846154	191.033588067	1	0	0					
3	18	1	0	425	469	1	369.594627935	1988.07529412	0.00235294117647	119.761566823	1	0	0					
3	19	1	0	442	384	2	609.755241029	2429.09502262	0.00452488687783	185.049302843	1	0	0					
3	20	1	0	456	384	51	447.184610037	64880.7565789	0.111842105263	447.418253581	1	0	0					
3	21	1	0	413	372	2	407.281620963	5495.2251816	0.00484261501211	160.852822581	1	0	0					
3	22	1	0	419	367	0	NaN	0	0	172.058913497	1	0	0					
3	23	1	0	392	349	1	352.043127342	514.528061224	0.00255102040816	178.311409594	1	0	0					
3	24	1	0	386	365	5	364.542706943	3053.3238342	0.0129533678756	207.210290861	1	0	0					
4	1	1	0	396	429	1	331.388529633	555.643939394	0.00252525252525	191.21222445	1	0	0					
4	2	1	0	403	391	1	336.526392002	665.583126551	0.00248138957816	175.148782386	1	0	0					
4	3	1	0	221	347	9	450.328375815	14931.3031674	0.0407239819005	245.233670241	1	0	0					
4	4	1	0	523	417	5	342.367149354	3356.19694073	0.00956022944551	190.571479507	1	0	0					
4	5	1	0	548	417	167	490.019890846	185676.49635	0.304744525547	705.949703547	1	0	0					
4	6	1	0	517	443	2	434.623941366	999.785299807	0.00386847195358	150.563620706	1	0	0					
4	7	1	0	460	398	11	357.749245144	7976.76086957	0.0239130434783	229.732980228	1	0	0					
4	8	1	0	465	407	17	349.114047112	9497.8688172	0.0365591397849	219.392450302	1	0	0					
4	9	1	0	586	401	10	382.201653892	5552.13651877	0.0170648464164	210.503647365	1	0	0					
4	10	1	0	550	426	0	NaN	0	0	168.301340122	1	0	0					
4	11	1	0	423	290	140	445.204704218	166272.229314	0.330969267139	999.598335315	1	0	0					
4	12	1	0	463	423	5	393.653579139	2998.92008639	0.0107991360691	185.75355588	1	0	0					
4	13	1	0	543	405	1	361.441076909	404.672191529	0.00184162062615	162.198926993	1	0	0					
4	14	1	0	684	427	3	353.905543278	1331.42397661	0.00438596491228	161.366946564	1	0	0					
4	15	1	0	558	414	3	527.211694271	3450.38709677	0.00537634408602	172.276943453	1	0	0					
4	16	1	0	507	388	5	360.089862589	3100.10453649	0.00986193293886	199.368184717	1	0	0					
4	17	1	0	689	418	0	NaN	0	0	174.06042673	1	0	0					
4	18	1	0	217	378	24	418.195804087	47590.8617512	0.110599078341	234.018385544	1	0	0					
4	19	1	0	504	382	8	379.280097745	4458.03174603	0.015873015873	196.10225871	1	0	0					
4	20	1	0	387	378	0	NaN	0	0	155.109158478	1	0	0					
4	21	1	0	409	362	0	NaN	0	0	179.718209151	1	0	0					
4	22	1	0	264	358	0	NaN	0	0	174.760689429	1	0	0					
4	23	1	0	263	344	3	346.040580133	3312.03802281	0.0114068441065	182.063277447	1	0	0					
4	24	1	0	364	379	7	366.123898916	5231.51648352	0.0192307692308	214.183777612	1	0	0					
5	1	1	0	153	293	9	434.753326861	18019.3006536	0.0588235294118	296.015026384	1	0	0					
5	2	1	0	318	438	0	NaN	0	0	139.192176977	1	0	0					
5	3	1	0	449	418	2	337.04251179	1329.11135857	0.00445434298441	174.424429386	1	0	0					
5	4	1	0	441	347	3	381.555557382	1832.51247166	0.00680272108844	236.616050295	1	0	0					
5	5	1	0	445	401	11	353.953825348	7665.68539326	0.0247191011236	217.14954509	1	0	0					
5	6	1	0	546	398	3	387.064363004	1284	0.00549450549451	224.513907477	1	0	0					
5	7	1	0	382	392	11	349.855239525	8378.77748691	0.0287958115183	223.793725271	1	0	0					
5	8	1	0	599	463	22	359.31476233	11984.918197	0.0367278797997	197.221729821	1	0	0					
5	9	1	0	575	391	8	359.299507239	4682.93913043	0.0139130434783	229.953453994	1	0	0					
5	10	1	0	477	378	2	400.773214446	896.832285115	0.0041928721174	184.749454103	1	0	0					
5	11	1	0	331	366	4	374.720002586	3019.40785498	0.012084592145	223.897451402	1	0	0					
5	12	1	0	400	308	0	NaN	0	0	232.775204503	1	0	0					
5	13	1	0	649	376	3	361.633136413	1318.34514638	0.00462249614792	207.78137732	1	0	0					
5	14	1	0	552	399	16	367.604609462	11270.8496377	0.0289855072464	229.560159798	1	0	0					
5	15	1	0	606	398	14	369.621152784	6550.66831683	0.023102310231	209.769204061	1	0	0					
5	16	1	0	574	370	3	368.283588082	1175.58536585	0.00522648083624	199.91807889	1	0	0					
5	17	1	0	372	379	136	490.838816929	205780.22043	0.365591397849	657.135351327	1	0	0					
5	18	1	0	509	381	3	360.5088915	1533.85265226	0.00589390962672	185.325934652	1	0	0					
5	19	1	0	450	393	3	381.63959734	1802.19777778	0.00666666666667	196.014295981	1	0	0					
5	20	1	0	438	401	1	500.406959928	582.54109589	0.00228310502283	153.353194321	1	0	0					
5	21	1	0	436	382	0	NaN	0	0	164.665462844	1	0	0					
5	22	1	0	458	350	0	NaN	0	0	189.657518367	1	0	0					
5	23	1	0	383	375	1	337.367537818	783.527415144	0.00261096605744	189.285646222	1	0	0					
5	24	1	0	439	370	4	393.239460064	2402.90888383	0.00911161731207	204.363089847	1	0	0					
6	1	1	0	442	378	6	345.837413222	4949.7081448	0.0135746606335	268.57595672	1	0	0					
6	2	1	0	468	261	160	527.252454962	225863.474359	0.34188034188	1699.34375596	1	0	0					
6	3	1	0	454	414	1	383.665971827	612.017621145	0.00220264317181	172.555287171	1	0	0					
6	4	1	0	470	370	1	733.248395493	734.291489362	0.00212765957447	198.38531775	1	0	0					
6	5	1	0	584	461	0	NaN	0	0	157.718032571	1	0	0					
6	6	1	0	621	438	29	371.838560174	16089.9726248	0.0466988727858	220.736337858	1	0	0					
6	7	1	0	626	397	1	427.570090099	589.372204473	0.00159744408946	186.256514539	1	0	0					
6	8	1	0	582	422	21	361.053989164	10190.8883162	0.0360824742268	228.609178814	1	0	0					
6	9	1	0	562	429	5	386.147526407	2906.6975089	0.00889679715302	181.731853228	1	0	0					
6	10	1	0	525	397	7	376.039048092	3657.18666667	0.0133333333333	215.816063803	1	0	0					
6	11	1	0	491	423	20	356.771873282	11040.6517312	0.040733197556	198.730149948	1	0	0					
6	12	1	0	612	433	1	370.475952416	339.191176471	0.0016339869281	179.525188144	1	0	0					
6	13	1	0	566	409	20	359.619656494	10887.6943463	0.0353356890459	219.701424549	1	0	0					
6	14	1	0	467	359	7	380.101073346	4684.83511777	0.0149892933619	231.534601687	1	0	0					
6	15	1	0	69	369	2	408.977941433	13500.4202899	0.0289855072464	194.369114504	1	0	0					
6	16	1	0	468	416	1	338.799431202	427.942307692	0.00213675213675	136.352088341	1	0	0					
6	17	1	0	606	438	6	363.700904571	2388.46534653	0.00990099009901	170.691848585	1	0	0					
6	18	1	0	436	382	0	NaN	0	0	151.190592363	1	0	0					
6	19	1	0	505	422	21	360.825621128	15378.5188119	0.0415841584158	202.7189697	1	0	0					
6	20	1	0	549	402	6	358.097720179	2795.01821494	0.0109289617486	191.195842925	1	0	0					
6	21	1	0	360	398	0	NaN	0	0	162.11294538	1	0	0					
6	22	1	0	431	395	0	NaN	0	0	168.966627143	1	0	0					
6	23	1	0	391	378	1	436.627253292	621.012787724	0.00255754475703	171.873484785	1	0	0					
6	24	1	0	414	382	4	367.593402039	3151.73671498	0.00966183574879	195.785765193	1	0	0					
7	1	1	0	393	391	1	345.447699241	964.111959288	0.00254452926209	215.579954344	1	0	0					
7	2	1	0	412	418	3	368.087486408	2915.98786408	0.00728155339806	196.777391772	1	0	0					
7	3	1	0	405	435	0	NaN	0	0	141.727562426	1	0	0					
7	4	1	0	403	432	2	371.760356608	1160.40694789	0.00496277915633	172.945564343	1	0	0					
7	5	1	0	477	416	1	352.834632637	471.454926625	0.0020964360587	161.190545257	1	0	0					
7	6	1	0	528	0	0	NaN	0	0	NaN	1	0	0					
7	7	1	0	496	405	155	509.352808341	192100.106855	0.3125	698.305453437	1	0	0					
7	8	1	0	479	386	1	395.932689511	426.098121086	0.00208768267223	201.899017423	1	0	0					
7	9	1	0	486	406	1	443.568593178	813.125514403	0.00205761316872	187.140315222	1	0	0					
7	10	1	0	665	465	28	361.687570239	13491.4120301	0.0421052631579	191.744909238	1	0	0					
7	11	1	0	572	417	3	347.741243127	1412.80594406	0.00524475524476	184.215999862	1	0	0					
7	12	1	0	603	400	6	377.287381707	2998.3615257	0.00995024875622	196.82704375	1	0	0					
7	13	1	0	567	0	0	NaN	0	0	NaN	1	0	0					
7	14	1	0	452	446	2	379.022341013	1411.90929204	0.00442477876106	147.023220857	1	0	0					
7	15	1	0	473	369	1	338.641774678	1081.1205074	0.00211416490486	182.299718715	1	0	0					
7	16	1	0	205	88	40	2454.84429031	363534	0.19512195122	13197.7620093	1	0	0					
7	17	1	0	568	420	2	556.406020646	1265.17429577	0.00352112676056	144.940396825	1	0	0					
7	18	1	0	467	371	0	NaN	0	0	181.628388344	1	0	0					
7	19	1	0	516	376	0	NaN	0	0	186.155033386	1	0	0					
7	20	1	0	502	395	5	351.292121795	3056.44621514	0.00996015936255	191.029219676	1	0	0					
7	21	1	0	275	360	1	359.386855238	798.163636364	0.00363636363636	171.40849537	1	0	0					
7	22	1	0	76	365	6	550.00805103	68113.9473684	0.0789473684211	214.672343779	1	0	0					
7	23	1	0	368	367	1	695.254378707	931.567934783	0.00271739130435	182.90095702	1	0	0					
7	24	1	0	359	367	1	451.987311262	1068.76044568	0.00278551532033	171.10679417	1	0	0					
8	1	1	0	421	387	2	356.395782226	1240.38954869	0.00475059382423	202.805280131	1	0	0					
8	2	1	0	362	369	3	386.87726682	1938.69889503	0.00828729281768	220.300835041	1	0	0					
8	3	1	0	403	371	3	374.192423786	1744.19354839	0.00744416873449	206.719683815	1	0	0					
8	4	1	0	572	158	0	NaN	0	0	555.223321583	1	0	0					
8	5	1	0	534	406	2	352.149921332	1182.42134831	0.00374531835206	195.316605596	1	0	0					
8	6	1	0	626	417	0	NaN	0	0	164.832962407	1	0	0					
8	7	1	0	519	416	4	361.881300347	1905.60115607	0.00770712909441	177.07800943	1	0	0					
8	8	1	0	680	424	0	NaN	0	0	179.431937522	1	0	0					
8	9	1	0	588	408	25	355.312541315	14113.962585	0.0425170068027	230.272172962	1	0	0					
8	10	1	0	696	458	30	367.711713848	17036.4655172	0.0431034482759	201.603072977	1	0	0					
8	11	1	0	549	379	3	360.308481396	1260.42076503	0.00546448087432	248.017676012	1	0	0					
8	12	1	0	562	406	5	356.601427186	2347.42170819	0.00889679715302	190.347745638	1	0	0					
8	13	1	0	553	380	24	360.428046123	12389.3707052	0.0433996383363	244.306024931	1	0	0					
