Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	bbc8895f-086f-43de-85b2-bf58c0001c5b
Plate Name	P104382
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	473	379	5	360.380180994	3178.34038055	0.0105708245243	203.780960868	1	0	0					
1	2	1	0	609	404	3	398.325431798	1376.15270936	0.00492610837438	204.593281296	1	0	0					
1	3	1	0	580	404	8	390.120433743	5912.35344828	0.0137931034483	211.41835972	1	0	0					
1	4	1	0	440	394	1	635.970884256	688.397727273	0.00227272727273	154.114277616	1	0	0					
1	5	1	0	530	415	8	364.39622077	3746.48113208	0.0150943396226	225.103086079	1	0	0					
1	6	1	0	448	343	7	389.979330569	6622.45982143	0.015625	269.798604323	1	0	0					
1	7	1	0	526	442	31	400.901788522	16762.0779468	0.0589353612167	255.315733707	1	0	0					
1	8	1	0	648	383	8	351.573846187	3443.59104938	0.0123456790123	210.244135552	1	0	0					
1	9	1	0	720	409	20	365.500744086	7879.00694444	0.0277777777778	243.981904699	1	0	0					
1	10	1	0	716	528	1	359.661994032	363.787709497	0.00139664804469	147.569752927	1	0	0					
1	11	1	0	629	368	1	350.745000881	340.567567568	0.00158982511924	193.749047436	1	0	0					
1	12	1	0	676	368	33	383.584963209	15235.8831361	0.0488165680473	265.198140655	1	0	0					
1	13	1	0	497	382	5	366.847457746	3102.92354125	0.010060362173	190.922829692	1	0	0					
1	14	1	0	679	374	3	405.272583774	1224.03681885	0.00441826215022	197.985973291	1	0	0					
1	15	1	0	745	377	2	398.125623425	1035.28993289	0.00268456375839	215.669265245	1	0	0					
1	16	1	0	643	379	13	369.87413613	7567.12286159	0.0202177293935	226.670463169	1	0	0					
1	17	1	0	669	366	4	371.204410902	1456.57399103	0.00597907324365	194.698184478	1	0	0					
1	18	1	0	712	334	7	414.360071444	2818.20926966	0.00983146067416	242.634363011	1	0	0					
1	19	1	0	707	396	19	371.028508177	9843.38330976	0.026874115983	238.748214468	1	0	0					
1	20	1	0	464	310	6	373.763696249	3868.08405172	0.0129310344828	237.177211238	1	0	0					
1	21	1	0	515	0	0	NaN	0	0	NaN	1	0	0					
1	22	1	0	607	377	7	369.112665193	3048.6523888	0.0115321252059	209.532804706	1	0	0					
1	23	1	0	641	368	4	389.277924441	1458.95475819	0.00624024960998	192.770306593	1	0	0					
1	24	1	0	544	381	128	473.175661753	136530.818015	0.235294117647	730.371353187	1	0	0					
2	1	1	0	635	431	123	424.746253963	92844.7244094	0.193700787402	450.02013878	1	0	0					
2	2	1	0	462	397	2	351.877356945	955.945887446	0.004329004329	181.419265397	1	0	0					
2	3	1	0	622	399	1	357.551447964	640.163987138	0.0016077170418	192.878122625	1	0	0					
2	4	1	0	712	447	0	NaN	0	0	158.954326382	1	0	0					
2	5	1	0	729	395	15	442.90537394	6479.95884774	0.0205761316872	228.875539176	1	0	0					
2	6	1	0	511	389	2	492.296183263	1085.01956947	0.00391389432485	190.921352621	1	0	0					
2	7	1	0	163	333	0	NaN	0	0	197.985426868	1	0	0					
2	8	1	0	773	457	6	349.543657225	2749.08150065	0.00776196636481	178.788210621	1	0	0					
2	9	1	0	624	429	0	NaN	0	0	140.365891296	1	0	0					
2	10	1	0	513	382	3	372.676147328	1553.92202729	0.00584795321637	181.279549629	1	0	0					
2	11	1	0	708	419	11	376.408253385	4110.93785311	0.0155367231638	198.78879136	1	0	0					
2	12	1	0	629	382	15	371.140310201	8484.42448331	0.0238473767886	235.177277213	1	0	0					
2	13	1	0	794	362	17	419.186391556	7423.51889169	0.0214105793451	249.615396355	1	0	0					
2	14	1	0	614	368	13	397.019531567	7322.27035831	0.0211726384365	229.012243029	1	0	0					
2	15	1	0	567	377	8	363.25465177	4220.64726631	0.0141093474427	220.846920755	1	0	0					
2	16	1	0	568	402	7	358.524443582	2758.6778169	0.012323943662	200.079403975	1	0	0					
2	17	1	0	694	407	1	352.28690737	319.270893372	0.0014409221902	172.143520335	1	0	0					
2	18	1	0	666	414	1	450.640800354	353.542042042	0.0015015015015	155.158183388	1	0	0					
2	19	1	0	635	382	1	392.772919377	353.511811024	0.00157480314961	175.490522464	1	0	0					
2	20	1	0	598	419	3	454.487223698	1354.20234114	0.00501672240803	180.973171718	1	0	0					
2	21	1	0	539	405	1	344.870486046	446.346938776	0.00185528756957	165.943996342	1	0	0					
2	22	1	0	690	367	2	349.894007889	659.901449275	0.00289855072464	196.846527927	1	0	0					
2	23	1	0	669	401	3	366.931603094	1585.78624813	0.00448430493274	184.293113849	1	0	0					
2	24	1	0	571	378	1	339.190038094	357.80910683	0.00175131348511	181.080078945	1	0	0					
3	1	1	0	438	394	6	355.908933527	3692.50913242	0.013698630137	191.376188513	1	0	0					
3	2	1	0	641	388	1	361.037986841	385.026521061	0.0015600624025	188.034275693	1	0	0					
