Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	af6df96b-f28d-434e-9a3d-253f8f073859
Plate Name	P104384
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	365	408	5	390.012884438	3553.3890411	0.013698630137	177.773548635	1	0	0					
1	2	1	0	439	381	3	399.109832609	1696.32118451	0.00683371298405	194.451395347	1	0	0					
1	3	1	0	421	357	2	361.537742321	1034.5368171	0.00475059382423	200.200009416	1	0	0					
1	4	1	0	464	399	8	376.305645957	4871.39655172	0.0172413793103	208.678833676	1	0	0					
1	5	1	0	473	402	2	340.156650538	1552.37420719	0.00422832980973	174.532208361	1	0	0					
1	6	1	0	340	374	28	374.439846589	25761.4058824	0.0823529411765	266.831529355	1	0	0					
1	7	1	0	513	385	13	389.568909432	11642.8323587	0.0253411306043	231.44190926	1	0	0					
1	8	1	0	366	374	1	339.132953389	725.56557377	0.00273224043716	196.40873345	1	0	0					
1	9	1	0	359	342	9	371.291255591	8991	0.025069637883	250.363667453	1	0	0					
1	10	1	0	257	385	2	383.839536607	3726.11673152	0.00778210116732	178.325990892	1	0	0					
1	11	1	0	474	396	2	374.822147685	940.438818565	0.0042194092827	173.907866544	1	0	0					
1	12	1	0	202	327	11	371.811634641	18136.3514851	0.0544554455446	241.527396684	1	0	0					
1	13	1	0	268	352	9	382.614859297	9421.4141791	0.0335820895522	223.15878422	1	0	0					
1	14	1	0	480	353	28	371.617528688	17010.4354167	0.0583333333333	267.831264194	1	0	0					
1	15	1	0	307	362	1	340.000505695	654.680781759	0.00325732899023	208.280295168	1	0	0					
1	16	1	0	404	342	4	409.615274864	2596.25247525	0.00990099009901	211.281240382	1	0	0					
1	17	1	0	377	364	8	386.445999935	5918.76923077	0.0212201591512	200.625362275	1	0	0					
1	18	1	0	409	372	2	480.477345815	2135.99511002	0.00488997555012	192.54481732	1	0	0					
1	19	1	0	304	383	7	358.241360483	6632.66447368	0.0230263157895	192.570540395	1	0	0					
1	20	1	0	450	345	5	363.330664721	3057.11333333	0.0111111111111	239.650754043	1	0	0					
