Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	33aae385-25f8-450a-987a-259af35bb778
Plate Name	P104385
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	345	377	5	389.71189981	3568.1826087	0.0144927536232	210.734790226	1	0	0					
1	2	1	0	350	371	5	349.084813488	4455.46857143	0.0142857142857	233.361454799	1	0	0					
1	3	1	0	363	364	2	383.133387747	1420.83195592	0.00550964187328	184.912299239	1	0	0					
1	4	1	0	416	373	3	357.73765073	2029.77163462	0.00721153846154	197.538744618	1	0	0					
1	5	1	0	484	368	0	NaN	0	0	219.987941576	1	0	0					
1	6	1	0	480	145	21	388.96386947	14551.1770833	0.04375	839.544066587	1	0	0					
1	7	1	0	441	355	5	351.990917066	2637.5260771	0.0113378684807	225.177202936	1	0	0					
1	8	1	0	491	363	10	354.580513138	5187.49083503	0.020366598778	237.489819305	1	0	0					
1	9	1	0	429	386	1	336.490550921	571.34032634	0.002331002331	177.831747161	1	0	0					
1	10	1	0	536	388	2	374.634046624	1067.19776119	0.00373134328358	195.840319109	1	0	0					
1	11	1	0	521	389	8	369.417365735	3998.79654511	0.0153550863724	222.917090159	1	0	0					
1	12	1	0	355	342	25	381.353440482	20626.1267606	0.0704225352113	258.284361	1	0	0					
1	13	1	0	363	365	7	356.733291271	5511.97245179	0.0192837465565	227.254614374	1	0	0					
1	14	1	0	388	372	4	354.262709007	2563.11082474	0.0103092783505	186.655538213	1	0	0					
1	15	1	0	456	3	1	518.966892474	658.416666667	0.00219298245614	198949.777778	1	0	0					
1	16	1	0	453	361	1	546.339045176	488.245033113	0.00220750551876	178.135319711	1	0	0					
1	17	1	0	379	376	3	519.181799912	2427.43007916	0.00791556728232	178.59415318	1	0	0					
1	18	1	0	311	394	3	368.442301153	2990.47266881	0.0096463022508	168.18699915	1	0	0					
1	19	1	0	289	363	1	360.64902141	914.249134948	0.00346020761246	177.623522983	1	0	0					
1	20	1	0	328	355	1	620.201600122	1109.81097561	0.0030487804878	177.529791708	1	0	0					
1	21	1	0	306	295	0	NaN	0	0	221.78972709	1	0	0					
1	22	1	0	321	352	0	NaN	0	0	171.74609375	1	0	0					
1	23	1	0	309	363	3	365.166357631	2567.5566343	0.00970873786408	182.414376674	1	0	0					
1	24	1	0	459	299	133	521.055583353	167447.943355	0.289760348584	1051.49172828	1	0	0					
2	1	1	0	464	387	102	451.254356925	120197.5625	0.219827586207	565.881684461	1	0	0					
2	2	1	0	428	374	4	424.819331414	2566.6588785	0.00934579439252	203.796498327	1	0	0					
2	3	1	0	413	382	11	381.90951605	8788.9346247	0.0266343825666	220.515974069	1	0	0					
2	4	1	0	229	400	0	NaN	0	0	144.54948125	1	0	0					
2	5	1	0	462	391	0	NaN	0	0	187.60690995	1	0	0					
2	6	1	0	479	404	12	358.629183324	6865.34029228	0.0250521920668	209.355130624	1	0	0					
2	7	1	0	386	392	7	380.128966572	6293.24870466	0.0181347150259	199.979715483	1	0	0					
2	8	1	0	494	377	18	357.617742991	10660.9210526	0.0364372469636	230.734065532	1	0	0					
2	9	1	0	516	374	13	356.833353488	6935.93023256	0.0251937984496	221.287812062	1	0	0					
2	10	1	0	565	376	3	342.101054969	1167.92743363	0.00530973451327	191.911866229	1	0	0					
2	11	1	0	528	363	2	418.590493083	1177.16477273	0.00378787878788	207.212143979	1	0	0					
2	12	1	0	290	373	37	636.681129563	90376.4310345	0.127586206897	372.188458193	1	0	0					
2	13	1	0	525	369	2	374.031429179	1120.73904762	0.00380952380952	192.607692364	1	0	0					
2	14	1	0	468	387	13	357.121730515	7727.24358974	0.0277777777778	211.119443944	1	0	0					
2	15	1	0	407	339	2	352.553618606	1458.51597052	0.004914004914	209.039218246	1	0	0					
2	16	1	0	372	393	21	380.505182431	19288.7096774	0.0564516129032	213.428167227	1	0	0					
2	17	1	0	262	357	0	NaN	0	0	169.513727059	1	0	0					
2	18	1	0	207	363	75	444.318520765	129654.874396	0.36231884058	376.435330009	1	0	0					
2	19	1	0	453	322	17	396.598080853	10963.9205298	0.037527593819	265.580282397	1	0	0					
2	20	1	0	347	367	0	NaN	0	0	180.261780843	1	0	0					
2	21	1	0	225	385	2	373.257950517	2233.19111111	0.00888888888889	163.969215719	1	0	0					
2	22	1	0	357	355	0	NaN	0	0	201.400650665	1	0	0					
2	23	1	0	277	389	4	357.885363828	4296.55956679	0.014440433213	190.303573199	1	0	0					
2	24	1	0	265	344	1	352.793940827	809.358490566	0.00377358490566	191.613921376	1	0	0					
3	1	1	0	442	407	1	376.739004555	650.714932127	0.00226244343891	168.544035883	1	0	0					
3	2	1	0	430	404	4	356.390852687	3421.48139535	0.0093023255814	208.240368591	1	0	0					
3	3	1	0	335	385	7	394.334666306	10384.8149254	0.0208955223881	229.959736886	1	0	0					
3	4	1	0	566	365	2	365.363638685	1232.48233216	0.00353356890459	214.765344342	1	0	0					
3	5	1	0	504	417	1	498.340381653	425.216269841	0.00198412698413	155.687496046	1	0	0					
3	6	1	0	465	389	4	383.284748622	2444.36129032	0.00860215053763	201.630659327	1	0	0					
3	7	1	0	424	389	2	346.287653924	1208.12264151	0.00471698113208	201.994514971	1	0	0					
3	8	1	0	657	451	11	374.554564919	5003.18721461	0.0167427701674	188.638807086	1	0	0					
3	9	1	0	667	406	0	NaN	0	0	174.088287753	1	0	0					
3	10	1	0	468	396	21	358.403320021	13691.6217949	0.0448717948718	207.155188246	1	0	0					
3	11	1	0	324	345	32	478.734433365	35641.7283951	0.0987654320988	300.222079395	1	0	0					
3	12	1	0	348	384	0	NaN	0	0	169.062438965	1	0	0					
3	13	1	0	485	379	4	385.987868875	2013.37938144	0.00824742268041	203.131912198	1	0	0					
3	14	1	0	118	408	1	368.317871773	1950.07627119	0.00847457627119	127.344903403	1	0	0					
3	15	1	0	377	365	4	448.982846063	3101.29973475	0.0106100795756	201.433529743	1	0	0					
3	16	1	0	455	391	0	NaN	0	0	160.814332716	1	0	0					
3	17	1	0	558	417	0	NaN	0	0	151.093847224	1	0	0					
3	18	1	0	392	408	1	388.92884036	1009.0127551	0.00255102040816	154.82241806	1	0	0					
3	19	1	0	363	377	0	NaN	0	0	185.778440712	1	0	0					
3	20	1	0	435	381	73	417.194289506	78861.1586207	0.167816091954	473.636045494	1	0	0					
