Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	fe6851cb-c0a2-44dc-a502-b008f365453f
Plate Name	P104386
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	204	374	5	373.323505955	7113.67647059	0.0245098039216	215.903714719	1	0	0					
1	2	1	0	538	318	5	401.348743652	3403.55947955	0.0092936802974	255.678889284	1	0	0					
1	3	1	0	398	31	12	1226.91426267	25473.3165829	0.0301507537688	15487.012487	1	0	0					
1	4	1	0	594	422	18	352.772537471	8453.19191919	0.030303030303	205.961574313	1	0	0					
1	5	1	0	503	389	6	372.40465315	3536.53081511	0.0119284294235	211.416340098	1	0	0					
1	6	1	0	460	395	15	381.760667797	8521.44565217	0.0326086956522	220.283807082	1	0	0					
1	7	1	0	337	327	7	420.946995295	6823.9851632	0.0207715133531	219.778647514	1	0	0					
1	8	1	0	511	389	5	394.10923415	2399.49706458	0.00978473581213	179.44346786	1	0	0					
1	9	1	0	625	391	4	355.557106446	1415.2992	0.0064	209.271165155	1	0	0					
1	10	1	0	246	413	0	NaN	0	0	134.942140717	1	0	0					
1	11	1	0	648	408	1	338.777384748	315.640432099	0.00154320987654	145.115111976	1	0	0					
1	12	1	0	613	468	0	NaN	0	0	124.795086383	1	0	0					
1	13	1	0	509	415	1	344.729103052	439.25540275	0.00196463654224	176.234454928	1	0	0					
1	14	1	0	514	459	1	554.221940276	640.416342412	0.00194552529183	135.89838666	1	0	0					
1	15	1	0	504	331	9	366.400117469	8285.37103175	0.0178571428571	279.235859476	1	0	0					
1	16	1	0	421	341	32	520.695675535	33735.5961995	0.0760095011876	332.100463532	1	0	0					
1	17	1	0	459	360	5	354.126416152	2734.2745098	0.0108932461874	208.137962963	1	0	0					
1	18	1	0	53	349	6	502.615628003	32333.7924528	0.11320754717	192.679156986	1	0	0					
1	19	1	0	395	375	1	361.3121666	549.691139241	0.00253164556962	198.325994667	1	0	0					
1	20	1	0	500	365	2	347.835568465	912.128	0.004	178.749581535	1	0	0					
1	21	1	0	421	280	4	376.149335306	3176.47743468	0.00950118764846	298.982793367	1	0	0					
1	22	1	0	539	376	7	407.51391781	3374.23562152	0.012987012987	213.9055073	1	0	0					
1	23	1	0	333	350	8	368.881170463	8636.96996997	0.024024024024	216.255093878	1	0	0					
1	24	1	0	605	405	197	504.703695046	190994.442975	0.325619834711	862.659350709	1	0	0					
2	1	1	0	532	408	149	431.846292964	134394.531955	0.28007518797	570.734891628	1	0	0					
2	2	1	0	541	372	1	324.583518069	373.994454713	0.00184842883549	178.483437392	1	0	0					
2	3	1	0	347	408	1	356.903982836	645.469740634	0.0028818443804	167.789179642	1	0	0					
2	4	1	0	491	396	0	NaN	0	0	165.401680951	1	0	0					
2	5	1	0	549	424	3	358.371056051	1378.91621129	0.00546448087432	161.58308673	1	0	0					
2	6	1	0	502	422	0	NaN	0	0	148.059522473	1	0	0					
