Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	47485fa4-401c-46e4-abaf-d5e5d073a1d6
Plate Name	P104387
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	397	404	5	359.166690843	2776.6675063	0.0125944584383	189.538862612	1	0	0					
1	2	1	0	376	406	16	350.936577975	13479.5505319	0.0425531914894	202.224908394	1	0	0					
1	3	1	0	456	379	9	353.03443758	7162.01535088	0.0197368421053	240.084098551	1	0	0					
1	4	1	0	471	404	2	391.903457604	1226.16772824	0.00424628450106	180.435539408	1	0	0					
1	5	1	0	413	368	4	359.907408781	2301.06053269	0.00968523002421	206.989662098	1	0	0					
1	6	1	0	471	357	13	352.176151081	7542.36942675	0.0276008492569	257.054154995	1	0	0					
1	7	1	0	516	395	19	366.347278647	9525.6375969	0.0368217054264	225.520102548	1	0	0					
1	8	1	0	662	422	3	364.472696063	994.113293051	0.00453172205438	166.661305901	1	0	0					
1	9	1	0	471	358	3	356.500270403	1507.6985138	0.00636942675159	219.451569864	1	0	0					
1	10	1	0	454	352	18	369.46225443	11905.7577093	0.0396475770925	265.37732438	1	0	0					
1	11	1	0	501	361	10	378.918472017	6079.17365269	0.0199600798403	234.236838269	1	0	0					
1	12	1	0	437	415	44	384.263357629	39061.3386728	0.100686498856	255.907388591	1	0	0					
1	13	1	0	372	373	0	NaN	0	0	218.552293196	1	0	0					
1	14	1	0	517	397	1	348.357933464	416.245647969	0.00193423597679	178.978821006	1	0	0					
1	15	1	0	377	327	1	353.083068092	545.763925729	0.0026525198939	223.953202592	1	0	0					
1	16	1	0	528	401	29	360.679936135	16800.1950758	0.0549242424242	221.653534493	1	0	0					
1	17	1	0	501	377	4	374.203911857	2000.48103792	0.00798403193613	175.519415461	1	0	0					
