Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	3818427e-12a6-45f1-922e-8ffbd88e3d84
Plate Name	P104388
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	390	366	1	536.220772625	1454.12564103	0.0025641025641	222.676475858	1	0	0					
1	2	1	0	230	365	3	414.1180489	3430.13478261	0.0130434782609	204.486567836	1	0	0					
1	3	1	0	342	375	7	399.887616562	7133.06140351	0.0204678362573	234.14368	1	0	0					
1	4	1	0	382	348	3	389.298484777	1683.09685864	0.00785340314136	223.539800502	1	0	0					
1	5	1	0	411	366	15	363.289480739	11158.5596107	0.036496350365	234.83045179	1	0	0					
1	6	1	0	331	347	8	348.742230322	7332.19637462	0.02416918429	246.973166458	1	0	0					
1	7	1	0	359	372	1	395.023382212	574.927576602	0.00278551532033	204.546847901	1	0	0					
1	8	1	0	591	407	17	366.483185235	8349.41962775	0.0287648054146	205.274477962	1	0	0					
1	9	1	0	530	367	2	350.260267207	955.367924528	0.00377358490566	219.544008791	1	0	0					
1	10	1	0	342	388	2	505.385188482	1678.77777778	0.00584795321637	162.494539802	1	0	0					
1	11	1	0	460	385	0	NaN	0	0	181.695645134	1	0	0					
1	12	1	0	423	382	1	357.746179409	498.761229314	0.00236406619385	202.407390148	1	0	0					
1	13	1	0	466	438	4	408.458485624	2464.25321888	0.00858369098712	167.272033527	1	0	0					
1	14	1	0	385	367	15	356.365234025	10890.2571429	0.038961038961	216.918033395	1	0	0					
1	15	1	0	436	408	2	370.333217547	1042.28440367	0.0045871559633	162.052810217	1	0	0					
1	16	1	0	570	356	2	387.31372485	945.177192982	0.00350877192982	202.376649097	1	0	0					
1	17	1	0	369	338	14	376.653201317	9797.3495935	0.0379403794038	248.992734848	1	0	0					
1	18	1	0	281	333	7	354.204165661	6331.89323843	0.0249110320285	210.739018298	1	0	0					
1	19	1	0	405	367	4	450.09946933	4214.22469136	0.00987654320988	184.779937486	1	0	0					
1	20	1	0	514	334	6	376.433811155	2755.54474708	0.011673151751	215.623390943	1	0	0					
1	21	1	0	430	313	2	423.569915566	1164.59534884	0.0046511627907	231.940573038	1	0	0					
1	22	1	0	319	354	4	467.436825449	9175.20376176	0.012539184953	192.656061477	1	0	0					
1	23	1	0	448	334	2	409.708157191	1122.21651786	0.00446428571429	219.456927462	1	0	0					
1	24	1	0	526	173	139	515.263275352	162975.56654	0.264258555133	3036.54044572	1	0	0					
2	1	1	0	478	399	82	443.581929723	87511.6778243	0.171548117155	440.126381116	1	0	0					
2	2	1	0	422	397	2	389.635145991	1129.10900474	0.00473933649289	182.692397008	1	0	0					
2	3	1	0	94	18	12	19002.5827947	1967526.28723	0.127659574468	633057.41358	1	0	0					
2	4	1	0	449	380	0	NaN	0	0	185.399439058	1	0	0					
2	5	1	0	187	361	1	338.550896872	1174.19251337	0.00534759358289	169.810629139	1	0	0					
2	6	1	0	469	389	8	351.728560081	4243.1130064	0.0170575692964	209.903364371	1	0	0					
2	7	1	0	413	385	8	366.704485055	7340.76513317	0.0193704600484	229.365930174	1	0	0					
2	8	1	0	378	375	4	350.730710209	2733.36243386	0.010582010582	221.002339556	1	0	0					
2	9	1	0	508	378	9	362.610469856	5426.40748031	0.0177165354331	203.990509784	1	0	0					
2	10	1	0	358	391	11	367.687190999	7475.50558659	0.0307262569832	203.359233652	1	0	0					
2	11	1	0	359	362	2	365.891810545	1322.04178273	0.00557103064067	200.217041604	1	0	0					
2	12	1	0	398	395	18	369.705314727	12232.7085427	0.0452261306533	215.571350745	1	0	0					
