Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	4061bfb4-10e0-42d2-b0af-439ff6a3a706
Plate Name	P104389
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	420	398	2	401.423069472	1308.04761905	0.0047619047619	175.290605035	1	0	0					
1	2	1	0	395	423	1	349.074114537	720.475949367	0.00253164556962	185.413040927	1	0	0					
1	3	1	0	471	412	8	352.722029801	5752.8768577500005	0.0169851380042	196.755956028	1	0	0					
1	4	1	0	563	380	0	NaN	0	0	172.101121884	1	0	0					
1	5	1	0	443	435	2	426.836527945	1463.06320542	0.00451467268623	134.240734575	1	0	0					
1	6	1	0	491	399	17	359.719206037	10958.4215886	0.0346232179226	217.714248026	1	0	0					
1	7	1	0	420	407	9	410.166771462	7076.68095238	0.0214285714286	227.013456163	1	0	0					
1	8	1	0	338	380	4	377.220911806	2770.24852071	0.0118343195266	215.501772853	1	0	0					
1	9	1	0	587	367	2	391.522650951	802.579216354	0.00340715502555	207.41313693	1	0	0					
1	10	1	0	621	396	2	632.702309575	1352.98228663	0.00322061191626	166.134641873	1	0	0					
1	11	1	0	462	349	7	362.755146831	3437.14285714	0.0151515151515	247.309053292	1	0	0					
1	12	1	0	549	399	2	374.846369064	961.220400729	0.00364298724954	172.352623413	1	0	0					
1	13	1	0	287	330	11	372.508935125	13590.7038328	0.0383275261324	250.083168044	1	0	0					
1	14	1	0	291	364	2	407.030681954	2141.56013746	0.00687285223368	181.205145816	1	0	0					
1	15	1	0	518	388	1	402.657215517	414.864864865	0.0019305019305	184.046577745	1	0	0					
1	16	1	0	611	405	3	380.127843657	1144.27168576	0.00490998363339	173.962780064	1	0	0					
1	17	1	0	282	358	14	372.921966906	15586.4539007	0.0496453900709	239.300958147	1	0	0					
1	18	1	0	523	361	10	371.400093591	4806.65774379	0.019120458891	224.042257196	1	0	0					
