Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	0a3ddf36-020d-4bba-b3b8-94790a5b5b69
Plate Name	P104390
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	355	380	4	358.451985141	3650.61971831	0.0112676056338	196.080304709	1	0	0					
1	2	1	0	441	367	0	NaN	0	0	179.735769068	1	0	0					
1	3	1	0	560	363	0	NaN	0	0	233.800605605	1	0	0					
1	4	1	0	406	382	7	395.552980908	5465.84236453	0.0172413793103	239.330096489	1	0	0					
1	5	1	0	499	369	2	496.842540957	1319.42685371	0.00400801603206	213.605995843	1	0	0					
1	6	1	0	476	359	0	NaN	0	0	175.614636758	1	0	0					
1	7	1	0	402	319	3	486.554902606	2421.08457711	0.00746268656716	249.340788711	1	0	0					
1	8	1	0	403	388	0	NaN	0	0	195.124030184	1	0	0					
1	9	1	0	397	376	31	376.077283367	26566.0277078	0.0780856423174	253.85918402	1	0	0					
1	10	1	0	524	365	3	377.59685342	1371.80534351	0.00572519083969	192.816746106	1	0	0					
1	11	1	0	522	348	16	372.651035079	9621.17241379	0.0306513409962	246.623323755	1	0	0					
1	12	1	0	451	226	1	1361.85237345	1928.83148559	0.00221729490022	324.123541389	1	0	0					
1	13	1	0	465	346	1	1187.95339408	1907.4344086	0.00215053763441	225.805531424	1	0	0					
1	14	1	0	455	370	7	411.570933967	4875.78241758	0.0153846153846	192.39769905	1	0	0					
1	15	1	0	535	377	1	389.569995192	389.646728972	0.0018691588785	186.046077859	1	0	0					
1	16	1	0	428	372	14	398.07332744	10928.3271028	0.0327102803738	224.823664586	1	0	0					
1	17	1	0	607	378	2	345.953781263	713.744645799	0.00329489291598	173.232734246	1	0	0					
1	18	1	0	550	307	3	399.364576215	1193.11090909	0.00545454545455	220.502297107	1	0	0					
1	19	1	0	420	422	0	NaN	0	0	147.573178949	1	0	0					
1	20	1	0	438	336	1	344.479962381	640.091324201	0.00228310502283	226.549151431	1	0	0					
1	21	1	0	510	362	5	386.242337209	2384.85490196	0.00980392156863	203.843884497	1	0	0					
1	22	1	0	482	373	2	379.537768008	956.319502075	0.00414937759336	163.643108195	1	0	0					
1	23	1	0	472	363	1	357.309907716	869.546610169	0.0021186440678	160.305398083	1	0	0					
1	24	1	0	590	368	95	463.403897972	86229.4542373	0.161016949153	601.510426512	1	0	0					
2	1	1	0	676	423	124	412.571251396	86185.0295858	0.183431952663	509.88208172	1	0	0					
2	2	1	0	448	404	1	721.913559998	740.383928571	0.00223214285714	221.688982698	1	0	0					
2	3	1	0	460	403	0	NaN	0	0	139.61890043	1	0	0					
2	4	1	0	530	359	1	354.333134754	401.762264151	0.00188679245283	197.891760616	1	0	0					
2	5	1	0	383	379	1	354.991941231	533.626631854	0.00261096605744	208.681469775	1	0	0					
2	6	1	0	509	452	25	355.431981296	17346.8801572	0.049115913556	212.258506931	1	0	0					
2	7	1	0	505	440	35	355.363977987	26317.019802	0.0693069306931	230.146120868	1	0	0					
2	8	1	0	529	390	10	368.945206747	5272.71833648	0.0189035916824	203.29209073	1	0	0					
