Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	50b341d0-9c33-440f-a496-cee4284b773b
Plate Name	P104391
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	366	359	4	368.303561386	2606.37978142	0.0109289617486	197.212653533	1	0	0					
1	2	1	0	502	361	3	356.834466541	1685.76095618	0.00597609561753	233.828508069	1	0	0					
1	3	1	0	544	360	2	343.585983737	839.612132353	0.00367647058824	207.788155864	1	0	0					
1	4	1	0	480	352	2	391.882474469	1137.925	0.00416666666667	177.092119706	1	0	0					
1	5	1	0	547	344	2	349.603856698	748.464351005	0.0036563071298	221.246205719	1	0	0					
1	6	1	0	458	337	3	362.291414759	1618.89519651	0.00655021834061	222.676372954	1	0	0					
1	7	1	0	504	375	5	343.422087047	3747.34722222	0.00992063492063	203.698666667	1	0	0					
1	8	1	0	548	359	4	392.434163673	2071.48722628	0.00729927007299	212.081881736	1	0	0					
1	9	1	0	549	340	6	354.934546074	2776.66848816	0.0109289617486	228.200294118	1	0	0					
1	10	1	0	820	329	6	376.338461114	1600.81097561	0.00731707317073	226.458855702	1	0	0					
1	11	1	0	615	389	27	373.580420272	16250.7284553	0.0439024390244	235.033134859	1	0	0					
1	12	1	0	456	352	5	362.800272598	3082.69736842	0.0109649122807	201.974464101	1	0	0					
1	13	1	0	631	373	7	368.531453714	2540.28684628	0.0110935023772	223.593355806	1	0	0					
1	14	1	0	597	360	1	433.751016729	445.775544389	0.00167504187605	202.627947531	1	0	0					
1	15	1	0	629	374	1	368.261849951	365.777424483	0.00158982511924	181.257635334	1	0	0					
1	16	1	0	661	369	2	365.566147766	639.137670197	0.00302571860817	182.718524394	1	0	0					
1	17	1	0	601	395	32	368.466666268	14592.9866889	0.0532445923461	223.539772472	1	0	0					
1	18	1	0	445	334	10	358.803743876	6041.51011236	0.0224719101124	209.912277242	1	0	0					
1	19	1	0	500	295	4	399.178980689	2346.276	0.008	256.337087044	1	0	0					
1	20	1	0	537	366	2	711.471215935	1538.55679702	0.00372439478585	197.712674311	1	0	0					
1	21	1	0	539	387	2	368.702876677	1535.06307978	0.00371057513915	158.455728489	1	0	0					
1	22	1	0	603	355	1	350.831581381	390.384742952	0.0016583747927	182.83043047	1	0	0					
1	23	1	0	506	304	5	380.661039558	3306.86758893	0.0098814229249	239.776445637	1	0	0					
1	24	1	0	494	371	125	454.47954698	144200.334008	0.253036437247	696.514447003	1	0	0					
2	1	1	0	706	416	132	434.276577264	100313.994334	0.186968838527	575.653227857	1	0	0					
2	2	1	0	771	432	0	NaN	0	0	140.643052341	1	0	0					
2	3	1	0	552	408	6	380.032825782	2641.49637681	0.0108695652174	180.646890619	1	0	0					
2	4	1	0	386	379	2	664.280678091	1909.26165803	0.00518134715026	180.066916827	1	0	0					
2	5	1	0	566	408	0	NaN	0	0	153.511227653	1	0	0					
2	6	1	0	663	379	5	376.683907453	1841.63197587	0.00754147812971	191.342625017	1	0	0					
2	7	1	0	616	375	3	351.175473292	1996.45454545	0.00487012987013	192.377998222	1	0	0					
2	8	1	0	501	402	21	366.869790222	12619.0279441	0.0419161676647	214.860275736	1	0	0					
2	9	1	0	716	377	2	348.351391004	622.230446927	0.00279329608939	197.437440635	1	0	0					
2	10	1	0	670	288	7	366.352227359	2755.11940299	0.010447761194	264.570650077	1	0	0					
2	11	1	0	581	359	3	374.760042151	1168.29259897	0.00516351118761	216.075472723	1	0	0					
2	12	1	0	653	393	9	350.270478371	4486.55895865	0.0137825421133	206.259328322	1	0	0					
2	13	1	0	516	344	11	401.189018129	7282.9379845	0.0213178294574	273.808984586	1	0	0					
2	14	1	0	555	411	31	384.4862044	17837.4540541	0.0558558558559	214.751451862	1	0	0					
2	15	1	0	514	404	2	468.068334421	1468.24124514	0.00389105058366	169.138350407	1	0	0					
2	16	1	0	717	449	2	543.512175028	758.165969317	0.00278940027894	134.278699014	1	0	0					
2	17	1	0	485	366	0	NaN	0	0	184.75187375	1	0	0					
2	18	1	0	696	376	1	347.72625488	332.42816092	0.0014367816092	176.488845349	1	0	0					
2	19	1	0	540	337	1	341.062557867	605.162962963	0.00185185185185	219.765305673	1	0	0					
2	20	1	0	634	390	2	390.263038202	868.307570978	0.00315457413249	188.413517423	1	0	0					
2	21	1	0	499	378	0	NaN	0	0	172.236100613	1	0	0					
2	22	1	0	633	282	0	NaN	0	0	205.576756702	1	0	0					
2	23	1	0	535	338	2	345.909729901	1210.01682243	0.00373831775701	199.274701516	1	0	0					
2	24	1	0	481	370	1	325.165175172	429.923076923	0.002079002079	163.551782323	1	0	0					
3	1	1	0	481	277	4	398.188884054	2017.75883576	0.00831600831601	271.508790679	1	0	0					
3	2	1	0	663	418	0	NaN	0	0	161.054314233	1	0	0					
3	3	1	0	665	416	1	460.312323949	592.445112782	0.0015037593985	154.933639978	1	0	0					
3	4	1	0	696	412	2	362.489038848	1164.37931034	0.00287356321839	160.358139316	1	0	0					
3	5	1	0	702	435	1	373.250897882	312.071225071	0.0014245014245	168.633092879	1	0	0					
3	6	1	0	578	411	0	NaN	0	0	168.923520462	1	0	0					
3	7	1	0	533	343	1	361.168026769	411.953095685	0.00187617260788	201.584688353	1	0	0					
3	8	1	0	706	430	15	372.275864349	6024.39376771	0.0212464589235	200.354213088	1	0	0					
3	9	1	0	567	376	3	554.21545274	2331.77248677	0.00529100529101	197.66375481	1	0	0					
3	10	1	0	627	420	7	370.917165576	3127.42743222	0.0111642743222	181.521479592	1	0	0					
3	11	1	0	721	374	3	361.260233828	1268.29126214	0.00416088765603	185.724756213	1	0	0					
3	12	1	0	579	337	8	360.54647654	3731.6373057	0.013816925734	229.948198892	1	0	0					
3	13	1	0	607	358	0	NaN	0	0	188.276232015	1	0	0					
3	14	1	0	568	344	15	394.878355422	7080.84507042	0.0264084507042	234.452761628	1	0	0					
3	15	1	0	613	436	14	412.95538641	7675.78466558	0.0228384991843	172.763908762	1	0	0					
3	16	1	0	537	341	4	377.821512887	2513.20856611	0.00744878957169	207.213921449	1	0	0					
3	17	1	0	658	409	15	366.995433295	7921.47112462	0.0227963525836	190.89267759	1	0	0					
3	18	1	0	590	358	5	362.190943482	2204.85254237	0.00847457627119	206.19803533	1	0	0					
3	19	1	0	748	420	1	375.914583489	317.497326203	0.00133689839572	157.093123583	1	0	0					
3	20	1	0	521	339	41	425.106846175	34908.7101727	0.0786948176583	452.893309317	1	0	0					
3	21	1	0	568	404	0	NaN	0	0	150.797648515	1	0	0					
3	22	1	0	572	341	0	NaN	0	0	195.696175643	1	0	0					
3	23	1	0	592	321	2	442.160094051	803.516891892	0.00337837837838	180.675323415	1	0	0					
3	24	1	0	364	226	4	616.088484835	3904.91208791	0.010989010989	261.416908137	1	0	0					
4	1	1	0	560	357	0	NaN	0	0	205.3093865	1	0	0					
4	2	1	0	611	387	0	NaN	0	0	181.00496765	1	0	0					
4	3	1	0	667	402	0	NaN	0	0	163.311062845	1	0	0					
4	4	1	0	678	439	0	NaN	0	0	141.577197088	1	0	0					
4	5	1	0	616	419	184	451.339734564	158108.375	0.298701298701	701.451882821	1	0	0					
4	6	1	0	142	345	0	NaN	0	0	215.556874606	1	0	0					
4	7	1	0	578	379	3	398.948962757	1743.25605536	0.00519031141869	178.851254168	1	0	0					
4	8	1	0	554	368	3	468.279310189	1881.46028881	0.00541516245487	189.933386992	1	0	0					
4	9	1	0	635	445	1	336.095057386	336.604724409	0.00157480314961	139.104209065	1	0	0					
4	10	1	0	603	336	4	355.337371832	1680.65008292	0.00663349917081	224.757041879	1	0	0					
4	11	1	0	611	393	108	495.416166331	109369.222586	0.176759410802	618.327680982	1	0	0					
4	12	1	0	554	363	2	350.962673071	871.442238267	0.00361010830325	203.463561232	1	0	0					
4	13	1	0	485	367	3	350.776274507	1575.41443299	0.00618556701031	214.681636956	1	0	0					
4	14	1	0	419	340	5	351.063362661	2895.45346062	0.0119331742243	234.026375433	1	0	0					
4	15	1	0	652	337	12	437.074626557	5499.95552147	0.0184049079755	227.666898537	1	0	0					
4	16	1	0	445	354	2	431.584385609	1032.51235955	0.00449438202247	222.196742635	1	0	0					
4	17	1	0	559	351	2	340.259410239	920.86940966	0.00357781753131	200.36192888	1	0	0					
4	18	1	0	460	372	1	353.287521388	850.986956522	0.00217391304348	169.268528154	1	0	0					
4	19	1	0	578	397	0	NaN	0	0	163.001427583	1	0	0					
4	20	1	0	582	396	0	NaN	0	0	158.575100755	1	0	0					
4	21	1	0	468	363	0	NaN	0	0	144.178023663	1	0	0					
4	22	1	0	646	350	0	NaN	0	0	196.735485714	1	0	0					
4	23	1	0	617	363	1	530.311219057	617.645056726	0.00162074554295	160.989018661	1	0	0					
4	24	1	0	380	360	1	358.545265026	565.692105263	0.00263157894737	165.877191358	1	0	0					
5	1	1	0	582	398	3	427.780105697	1864.62714777	0.00515463917526	192.115609454	1	0	0					
5	2	1	0	470	405	4	457.239081424	2827.74042553	0.00851063829787	181.081005944	1	0	0					
5	3	1	0	518	368	0	NaN	0	0	166.461963906	1	0	0					
5	4	1	0	507	358	5	540.08262175	7299.86193294	0.00986193293886	223.277090291	1	0	0					
5	5	1	0	585	427	2	380.648904898	1328.01880342	0.0034188034188	169.445409123	1	0	0					
5	6	1	0	544	359	0	NaN	0	0	183.212909583	1	0	0					
5	7	1	0	640	397	0	NaN	0	0	197.595841608	1	0	0					
5	8	1	0	563	372	11	353.713083995	5652.70870337	0.0195381882771	213.46039282	1	0	0					
5	9	1	0	575	391	7	346.688144053	3244.92347826	0.0121739130435	187.4869212	1	0	0					
5	10	1	0	565	393	0	NaN	0	0	181.307868617	1	0	0					
5	11	1	0	639	369	4	395.234032771	1490.2456964	0.00625978090767	223.40260427	1	0	0					
5	12	1	0	577	407	1	346.661656664	390.502599653	0.00173310225303	172.885366045	1	0	0					
5	13	1	0	513	402	0	NaN	0	0	151.278879236	1	0	0					
5	14	1	0	608	365	14	369.983265921	6284.90460526	0.0230263157895	231.520675549	1	0	0					
5	15	1	0	560	405	0	NaN	0	0	172.007596403	1	0	0					
5	16	1	0	391	348	1	382.152706567	617.465473146	0.00255754475703	190.986548751	1	0	0					
5	17	1	0	403	378	132	513.253587146	195579.977667	0.327543424318	709.957133059	1	0	0					
5	18	1	0	578	358	1	377.892756809	491.802768166	0.00173010380623	177.744257358	1	0	0					
5	19	1	0	580	395	2	400.919028125	948.922413793	0.00344827586207	167.038564333	1	0	0					
5	20	1	0	625	424	0	NaN	0	0	142.710495283	1	0	0					
5	21	1	0	514	355	2	364.295303922	1280.72568093	0.00389105058366	167.73129141	1	0	0					
5	22	1	0	560	364	0	NaN	0	0	189.579142012	1	0	0					
5	23	1	0	586	347	0	NaN	0	0	169.999817289	1	0	0					
5	24	1	0	370	340	1	337.413382816	585.062162162	0.0027027027027	173.648866782	1	0	0					
6	1	1	0	647	420	0	NaN	0	0	191.31649093	1	0	0					
6	2	1	0	557	436	194	458.619520089	192564.100539	0.34829443447	671.446711135	1	0	0					
6	3	1	0	507	354	1	429.216099969	820.635108481	0.00197238658777	203.32931948	1	0	0					
6	4	1	0	658	425	2	365.129850988	812.294832827	0.00303951367781	150.250358478	1	0	0					
6	5	1	0	575	417	20	362.347126786	9808.12695652	0.0347826086957	211.458119835	1	0	0					
6	6	1	0	447	380	2	340.779801396	1894.50559284	0.00447427293065	197.25765928	1	0	0					
6	7	1	0	528	355	1	1028.25351045	1063.91477273	0.00189393939394	205.977821861	1	0	0					
