Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	85b21a1f-54f2-4c85-bc3c-1cd86d5d5d1d
Plate Name	P104392
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	469	338	1	335.958678472	430.473347548	0.00213219616205	217.892580792	1	0	0					
1	2	1	0	505	328	0	NaN	0	0	209.703013459	1	0	0					
1	3	1	0	535	362	0	NaN	0	0	184.1155795	1	0	0					
1	4	1	0	476	374	6	344.098208155	3383.20168067	0.0126050420168	236.83562584	1	0	0					
1	5	1	0	536	422	17	362.918061283	9820.37126866	0.0317164179104	210.346791402	1	0	0					
1	6	1	0	462	366	2	368.400953568	1080.14285714	0.004329004329	209.590693959	1	0	0					
1	7	1	0	576	368	3	399.03001866	1294.53819444	0.00520833333333	215.928712784	1	0	0					
1	8	1	0	572	383	6	393.901179148	2780.1048951	0.0104895104895	214.949123656	1	0	0					
1	9	1	0	568	429	1	1298.51847873	976.732394366	0.00176056338028	166.01312751	1	0	0					
1	10	1	0	581	391	1	352.45104804	571.891566265	0.00172117039587	209.49317443	1	0	0					
1	11	1	0	753	423	0	NaN	0	0	145.219394285	1	0	0					
1	12	1	0	466	375	1	367.243520638	530.993562232	0.00214592274678	188.959566222	1	0	0					
1	13	1	0	471	367	12	359.375236192	8788.87898089	0.0254777070064	232.870360609	1	0	0					
1	14	1	0	508	363	3	346.15777915	2162.9488189	0.00590551181102	208.119292094	1	0	0					
1	15	1	0	479	368	2	347.620151854	1188.39248434	0.00417536534447	205.548898275	1	0	0					
1	16	1	0	549	334	1	408.460221962	457.528233151	0.00182149362477	214.804806555	1	0	0					
1	17	1	0	571	368	2	407.676119044	1780.22591944	0.00350262697023	189.366035562	1	0	0					
1	18	1	0	598	348	1	351.066276717	526.31270903	0.00167224080268	205.37973147	1	0	0					
1	19	1	0	636	380	3	378.844943668	1120.61477987	0.00471698113208	179.34049169	1	0	0					
1	20	1	0	536	335	1	346.186250788	636.932835821	0.00186567164179	221.787614168	1	0	0					
1	21	1	0	691	351	9	369.166298347	4299.4211288	0.013024602026	218.606017808	1	0	0					
1	22	1	0	511	383	4	475.059943506	2044.57534247	0.00782778864971	171.781530994	1	0	0					
1	23	1	0	566	363	1	450.601560014	556.48409894	0.0017667844523	187.021112705	1	0	0					
1	24	1	0	588	365	168	528.969933972	182054.440476	0.285714285714	1004.52897729	1	0	0					
2	1	1	0	700	440	118	452.742225792	85743.0757143	0.168571428571	496.403032025	1	0	0					
2	2	1	0	604	417	2	402.743360553	700.533112583	0.00331125827815	186.713656413	1	0	0					
2	3	1	0	564	409	2	398.870828079	1013.45567376	0.00354609929078	181.192454612	1	0	0					
2	4	1	0	530	354	1	884.861591172	687.579245283	0.00188679245283	185.39254365	1	0	0					
2	5	1	0	616	429	1	345.65782318	346.641233766	0.00162337662338	162.510272168	1	0	0					
2	6	1	0	608	391	2	367.671977728	830.154605263	0.00328947368421	186.035249639	1	0	0					
2	7	1	0	628	386	3	363.35532381	1208.4410828	0.00477707006369	194.555464576	1	0	0					
2	8	1	0	592	361	0	NaN	0	0	213.723536498	1	0	0					
2	9	1	0	571	393	7	379.567087809	4369.04378284	0.0122591943958	230.175184041	1	0	0					
2	10	1	0	583	423	19	366.300285927	10159.2898799	0.032590051458	224.749252497	1	0	0					
2	11	1	0	594	394	3	393.669200076	1198.52525253	0.00505050505051	193.53594527	1	0	0					
2	12	1	0	653	350	8	362.137501219	3258.87901991	0.0122511485452	232.568302041	1	0	0					
2	13	1	0	711	438	2	400.785087123	623.009845288	0.0028129395218	154.140238944	1	0	0					
2	14	1	0	509	369	5	364.938616994	2630.3497053	0.0098231827112	194.130940578	1	0	0					
2	15	1	0	505	380	7	410.610568265	4635.63366337	0.0138613861386	202.31349723	1	0	0					
2	16	1	0	509	357	11	365.021905689	6105.73280943	0.0216110019646	204.411011463	1	0	0					
2	17	1	0	530	368	6	351.39704337	4020.55283019	0.011320754717	204.619173854	1	0	0					
2	18	1	0	497	1	1	3848.40169842	4241.08249497	0.00201207243461	2107818	1	0	0					
2	19	1	0	436	353	1	870.185376501	810.77293578	0.00229357798165	177.757617829	1	0	0					
2	20	1	0	520	375	5	362.381254396	2364.35384615	0.00961538461538	193.025898667	1	0	0					
2	21	1	0	374	398	0	NaN	0	0	150.49097245	1	0	0					
2	22	1	0	546	383	2	359.417855851	749.675824176	0.003663003663	159.403390847	1	0	0					
2	23	1	0	466	354	1	337.99104888	443.993562232	0.00214592274678	169.828617256	1	0	0					
2	24	1	0	517	377	8	396.288441498	4504.31528046	0.0154738878143	192.803396914	1	0	0					
3	1	1	0	677	405	3	416.603893306	1098.19645495	0.00443131462334	200.321950922	1	0	0					
3	2	1	0	618	420	2	821.143556218	2696.96278317	0.00323624595469	174.831218821	1	0	0					
3	3	1	0	552	270	1	365.575650215	1209.73913043	0.0018115942029	220.407105624	1	0	0					
3	4	1	0	724	407	0	NaN	0	0	151.107474238	1	0	0					
3	5	1	0	740	425	0	NaN	0	0	151.254184083	1	0	0					
3	6	1	0	613	443	1	345.173068021	410.951060359	0.00163132137031	149.114319054	1	0	0					
3	7	1	0	798	393	1	341.08941078	278.4160401	0.00125313283208	177.957442262	1	0	0					
3	8	1	0	773	328	9	462.728443299	4476.9534282	0.0116429495472	241.222644631	1	0	0					
3	9	1	0	617	393	6	362.10856542	3156.07779579	0.0097244732577	214.547811899	1	0	0					
3	10	1	0	640	374	11	368.030682037	4833.1609375	0.0171875	208.434649261	1	0	0					
3	11	1	0	543	370	8	393.557456458	4765.70718232	0.0147329650092	233.289780862	1	0	0					
3	12	1	0	491	4	3	1638.39781816	6235.47657841	0.0061099796334	250669.3125	1	0	0					
3	13	1	0	523	250	1	347.297959409	445.565965583	0.0019120458891	264.723136	1	0	0					
3	14	1	0	688	383	6	345.751592655	2694.78197674	0.00872093023256	199.28968089	1	0	0					
3	15	1	0	519	419	26	363.298062234	16203.6608863	0.0500963391137	201.00316699	1	0	0					
3	16	1	0	530	386	4	359.760210147	2233.55283019	0.00754716981132	173.896500577	1	0	0					
3	17	1	0	564	382	1	491.339942525	358.778368794	0.00177304964539	195.668293084	1	0	0					
3	18	1	0	561	365	0	NaN	0	0	194.492129856	1	0	0					
3	19	1	0	629	379	1	347.204915147	347.955484897	0.00158982511924	182.502711621	1	0	0					
3	20	1	0	634	407	62	406.701023878	42017.2066246	0.0977917981073	387.059758888	1	0	0					
3	21	1	0	706	410	0	NaN	0	0	140.27328376	1	0	0					
3	22	1	0	358	367	1	433.978382008	753.952513966	0.00279329608939	155.678080615	1	0	0					
3	23	1	0	399	370	1	457.279823367	812.335839599	0.00250626566416	159.240058437	1	0	0					
3	24	1	0	523	329	2	581.644062586	1822.70936902	0.0038240917782	203.689951128	1	0	0					
4	1	1	0	584	398	1	681.70450137	475.830479452	0.00171232876712	205.942741345	1	0	0					
4	2	1	0	681	419	2	478.992217015	950.790014684	0.00293685756241	154.288384094	1	0	0					
4	3	1	0	642	400	2	393.02297782	1119.10124611	0.00311526479751	166.0110125	1	0	0					
4	4	1	0	672	442	2	338.531768163	738.138392857	0.00297619047619	164.895344076	1	0	0					
4	5	1	0	564	410	62	423.982466155	51073.4787234	0.109929078014	417.717751338	1	0	0					
4	6	1	0	754	426	2	540.364739851	1067.14854111	0.0026525198939	154.458545483	1	0	0					
4	7	1	0	905	458	10	574.8762663	5674.37679558	0.0110497237569	177.456446292	1	0	0					
4	8	1	0	790	418	4	356.489018415	1202.27974684	0.00506329113924	175.561319567	1	0	0					
4	9	1	0	551	414	21	359.432462744	11843.5027223	0.038112522686	215.06063152	1	0	0					
4	10	1	0	491	392	8	358.866143728	4388.12627291	0.0162932790224	203.898603446	1	0	0					
4	11	1	0	440	393	148	440.765597234	183766.488636	0.336363636364	643.896787936	1	0	0					
4	12	1	0	618	373	2	368.582491833	708.464401294	0.00323624595469	190.519474732	1	0	0					
4	13	1	0	623	393	1	384.140192187	334.263242376	0.0016051364366	178.639945872	1	0	0					
4	14	1	0	589	354	4	416.894350166	4335.76910017	0.00679117147708	216.11395193	1	0	0					
4	15	1	0	681	414	0	NaN	0	0	151.924356461	1	0	0					
4	16	1	0	678	426	0	NaN	0	0	139.877190372	1	0	0					
4	17	1	0	650	41	4	1326.86235569	4926.9	0.00615384615385	3939.19155265	1	0	0					
4	18	1	0	682	399	1	334.430711706	335.897360704	0.00146627565982	153.621792577	1	0	0					
4	19	1	0	618	411	1	578.129927163	386.57605178	0.00161812297735	145.176544065	1	0	0					
4	20	1	0	574	418	0	NaN	0	0	135.236441473	1	0	0					
4	21	1	0	619	451	0	NaN	0	0	134.766274502	1	0	0					
4	22	1	0	486	357	0	NaN	0	0	158.542169809	1	0	0					
4	23	1	0	459	385	1	330.134508941	474.54248366	0.00217864923747	166.688662506	1	0	0					
4	24	1	0	511	273	2	467.254724429	1125.89432485	0.00391389432485	246.265829409	1	0	0					
5	1	1	0	542	373	0	NaN	0	0	181.887665404	1	0	0					
5	2	1	0	591	437	1	384.29262225	701.360406091	0.00169204737733	142.751991161	1	0	0					
5	3	1	0	602	433	2	355.783984617	827.877076412	0.00332225913621	155.044749292	1	0	0					
5	4	1	0	706	371	0	NaN	0	0	190.445593973	1	0	0					
5	5	1	0	711	408	2	897.672696185	1459.07735584	0.0028129395218	194.141087562	1	0	0					
5	6	1	0	584	339	3	465.738617415	1539.4109589	0.00513698630137	227.103410169	1	0	0					
5	7	1	0	615	395	3	364.13557647	2419.35934959	0.00487804878049	199.774042621	1	0	0					
5	8	1	0	644	417	11	348.15598012	4606.61335404	0.0170807453416	202.531879532	1	0	0					
5	9	1	0	667	381	2	555.703212113	999.002998501	0.00299850074963	179.185931483	1	0	0					
5	10	1	0	709	417	7	415.120102762	2658.9887165	0.0098730606488	177.525881453	1	0	0					
5	11	1	0	619	367	8	352.146502011	3280.87399031	0.0129240710824	230.556459696	1	0	0					
5	12	1	0	730	443	0	NaN	0	0	136.797777314	1	0	0					
5	13	1	0	568	369	13	376.351722058	6017.24295775	0.0228873239437	211.765593672	1	0	0					
5	14	1	0	564	368	29	558.824603167	20447.2109929	0.0514184397163	282.239654714	1	0	0					
5	15	1	0	652	407	1	455.554486392	466.860429448	0.00153374233129	179.255353187	1	0	0					
5	16	1	0	737	392	2	350.627285199	639.105834464	0.00271370420624	169.77790504	1	0	0					
5	17	1	0	425	202	120	490.290426338	169802.456471	0.282352941176	2150.93731007	1	0	0					
5	18	1	0	700	403	0	NaN	0	0	139.030201528	1	0	0					
5	19	1	0	616	410	1	1204.79155168	983.561688312	0.00162337662338	137.847900059	1	0	0					
5	20	1	0	499	359	1	655.765101921	636.941883768	0.00200400801603	193.83373034	1	0	0					
5	21	1	0	432	347	5	388.835997286	5652.3287037	0.0115740740741	232.803918312	1	0	0					
5	22	1	0	515	367	0	NaN	0	0	160.020098152	1	0	0					
5	23	1	0	423	326	1	395.226454984	634.780141844	0.00236406619385	181.64258158	1	0	0					
5	24	1	0	465	337	1	640.851154997	639.010752688	0.00215053763441	185.257332547	1	0	0					
6	1	1	0	689	380	2	390.830621467	901.069666183	0.00290275761974	208.370145429	1	0	0					
6	2	1	0	422	246	128	489.616631511	176757.106635	0.303317535545	1524.45710225	1	0	0					
6	3	1	0	592	383	0	NaN	0	0	175.773963965	1	0	0					
6	4	1	0	561	397	1	416.812382223	554.729055258	0.0017825311943	180.515211695	1	0	0					
6	5	1	0	642	390	1	377.880026875	347.942367601	0.00155763239875	182.933004602	1	0	0					
6	6	1	0	713	425	3	467.736904689	1184.51612903	0.00420757363254	159.359086505	1	0	0					
6	7	1	0	872	444	0	NaN	0	0	163.66642318	1	0	0					
6	8	1	0	637	438	17	379.473741722	8514.24489796	0.0266875981162	204.73423198	1	0	0					
6	9	1	0	266	428	14	360.63549983	12931.4172932	0.0526315789474	170.853333261	1	0	0					
6	10	1	0	661	395	16	355.131350698	9194.49924357	0.0242057488654	220.198698926	1	0	0					
6	11	1	0	636	380	3	544.586521227	2081.06289308	0.00471698113208	201.107998615	1	0	0					
6	12	1	0	722	403	1	360.069071386	786.61634349	0.00138504155125	146.193880881	1	0	0					
6	13	1	0	691	385	10	356.842519491	4200.02170767	0.0144717800289	210.150642604	1	0	0					
6	14	1	0	583	387	6	367.390875031	2709.14751286	0.0102915951973	196.944194059	1	0	0					
6	15	1	0	588	383	1	451.207280848	359.022108844	0.00170068027211	165.273033424	1	0	0					
6	16	1	0	676	381	1	440.968814713	360.939349112	0.00147928994083	169.43819621	1	0	0					
6	17	1	0	669	1	0	NaN	0	0	3225751	1	0	0					
6	18	1	0	643	436	2	584.607038775	1784.2970451	0.00311041990669	133.255597172	1	0	0					
6	19	1	0	556	430	1	330.575445141	464.735611511	0.00179856115108	134.264283396	1	0	0					
6	20	1	0	521	398	0	NaN	0	0	142.489009116	1	0	0					
6	21	1	0	448	287	2	441.804150473	993.245535714	0.00446428571429	193.271825565	1	0	0					
6	22	1	0	498	420	3	430.765046516	1712.10040161	0.00602409638554	128.40664966	1	0	0					
6	23	1	0	466	370	0	NaN	0	0	163.173520818	1	0	0					
6	24	1	0	521	367	2	856.926104288	2403.0671785	0.00383877159309	168.183704683	1	0	0					
7	1	1	0	509	374	2	348.95688632	825.901768173	0.00392927308448	195.01878092	1	0	0					
7	2	1	0	476	388	0	NaN	0	0	190.822988628	1	0	0					
7	3	1	0	546	419	0	NaN	0	0	155.787167993	1	0	0					
7	4	1	0	516	407	1	385.836823974	549.906976744	0.00193798449612	214.12795127	1	0	0					
7	5	1	0	603	388	5	566.129812223	4560.93366501	0.00829187396352	203.710290679	1	0	0					
7	6	1	0	680	417	1	428.480748207	339.827941176	0.00147058823529	168.784557965	1	0	0					
7	7	1	0	485	323	140	460.3884924	158208.2	0.288659793814	883.193282788	1	0	0					
7	8	1	0	621	415	1	363.801213084	353.692431562	0.00161030595813	195.369690811	1	0	0					
7	9	1	0	780	372	6	546.180324418	3710.68205128	0.00769230769231	226.324134293	1	0	0					
