Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	df7ea88c-5668-4cb4-9031-0337219c80a3
Plate Name	P104393
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	360	358	1	401.086257629	580.569444444	0.00277777777778	226.522892544	1	0	0					
1	2	1	0	483	333	1	590.31587852	677.966873706	0.00207039337474	194.732200669	1	0	0					
1	3	1	0	429	355	2	413.806229072	1198.5034965	0.004662004662	229.545304503	1	0	0					
1	4	1	0	514	421	13	356.686905568	7849.50972763	0.0252918287938	189.216936262	1	0	0					
1	5	1	0	447	399	0	NaN	0	0	157.745610894	1	0	0					
1	6	1	0	405	11	3	1056.97572198	4661.18271605	0.00740740740741	25692.3719008	1	0	0					
1	7	1	0	364	350	2	378.140017897	1471.22252747	0.00549450549451	180.508457143	1	0	0					
1	8	1	0	358	331	1	355.872607231	566.737430168	0.00279329608939	226.945016931	1	0	0					
1	9	1	0	410	340	4	351.945288983	3791.32682927	0.00975609756098	225.598520761	1	0	0					
1	10	1	0	306	310	2	386.663740525	1624.91503268	0.00653594771242	258.845359001	1	0	0					
1	11	1	0	404	354	2	370.594582155	1048.53712871	0.0049504950495	203.076374924	1	0	0					
1	12	1	0	384	328	7	370.818247037	5257.99739583	0.0182291666667	232.211193114	1	0	0					
1	13	1	0	387	343	4	386.230935959	2179.50645995	0.0103359173127	214.237911074	1	0	0					
1	14	1	0	428	339	2	444.7125451	1395.82242991	0.00467289719626	195.724158335	1	0	0					
1	15	1	0	442	350	6	525.1437929	5846.69004525	0.0135746606335	215.046016327	1	0	0					
1	16	1	0	444	346	8	370.247625527	5920.00225225	0.018018018018	237.467556551	1	0	0					
1	17	1	0	401	348	1	345.874789223	501.416458853	0.00249376558603	189.001544127	1	0	0					
1	18	1	0	554	378	3	384.581984951	1627.83574007	0.00541516245487	192.199644467	1	0	0					
1	19	1	0	358	378	5	533.674812801	5032.53351955	0.0139664804469	186.553889869	1	0	0					
1	20	1	0	412	393	2	362.356114181	1214.76213592	0.00485436893204	177.220888449	1	0	0					
1	21	1	0	327	333	1	455.962683972	828.177370031	0.00305810397554	194.885471057	1	0	0					
1	22	1	0	292	348	1	346.811215095	693.780821918	0.00342465753425	194.919672348	1	0	0					
1	23	1	0	371	321	3	361.253046446	1837.30458221	0.00808625336927	206.015935404	1	0	0					
