Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	1f02057f-921a-4636-bc9f-4bf982d36003
Plate Name	P104394
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	349	343	2	404.981900905	1536.09455587	0.00573065902579	207.849892477	1	0	0					
1	2	1	0	242	371	4	396.413235729	4520.38016529	0.0165289256198	211.34090133	1	0	0					
1	3	1	0	436	402	1	340.943843852	722.963302752	0.00229357798165	186.339292344	1	0	0					
1	4	1	0	427	403	4	580.803719659	3416.31381733	0.00936768149883	166.838605003	1	0	0					
1	5	1	0	431	330	3	362.519856638	1673.08816705	0.00696055684455	220.473700643	1	0	0					
1	6	1	0	330	328	1	388.580338247	699.372727273	0.0030303030303	231.283676011	1	0	0					
1	7	1	0	373	357	3	480.498037487	2838.49061662	0.00804289544236	189.819998588	1	0	0					
1	8	1	0	436	357	5	463.417765176	6527.28669725	0.0114678899083	226.649208703	1	0	0					
1	9	1	0	406	398	2	404.937664785	2139.01231527	0.00492610837438	160.284209995	1	0	0					
1	10	1	0	507	426	1	331.150784714	552.625246548	0.00197238658777	152.130733541	1	0	0					
1	11	1	0	384	405	0	NaN	0	0	146.806023472	1	0	0					
1	12	1	0	363	409	1	377.196530299	649.190082645	0.00275482093664	155.246375859	1	0	0					
1	13	1	0	309	412	0	NaN	0	0	158.5798202	1	0	0					
1	14	1	0	416	364	1	409.058810851	589.538461538	0.00240384615385	188.112803405	1	0	0					
1	15	1	0	268	362	1	580.094581064	946.007462687	0.00373134328358	181.641028967	1	0	0					
1	16	1	0	282	359	0	NaN	0	0	178.584872867	1	0	0					
1	17	1	0	307	398	2	359.542694796	1376.41693811	0.00651465798046	179.858968208	1	0	0					
1	18	1	0	325	367	5	373.765863766	4356.11076923	0.0153846153846	196.216387381	1	0	0					
1	19	1	0	412	334	2	357.014184409	1660.54368932	0.00485436893204	194.177426584	1	0	0					
1	20	1	0	291	319	4	431.929586126	4050.27835052	0.0137457044674	226.824048506	1	0	0					
1	21	1	0	345	331	4	372.591175298	2782.08985507	0.0115942028986	199.766778324	1	0	0					
1	22	1	0	355	373	3	352.857778699	2829.24788732	0.00845070422535	182.306614724	1	0	0					
1	23	1	0	314	5	2	384.40221083	1563.96496815	0.00636942675159	37187.6	1	0	0					
1	24	1	0	410	396	116	478.876657599	161625.978049	0.282926829268	588.293611621	1	0	0					
2	1	1	0	458	140	95	468.925969482	102966.716157	0.207423580786	2726.61806122	1	0	0					
2	2	1	0	360	402	10	360.957540894	9899.09444444	0.0277777777778	198.727141655	1	0	0					
2	3	1	0	439	366	0	NaN	0	0	185.3694646	1	0	0					
2	4	1	0	349	374	5	379.135162643	5208.96561605	0.0143266475645	215.234858017	1	0	0					
2	5	1	0	407	371	2	489.393223884	2683.21375921	0.004914004914	193.801294672	1	0	0					
2	6	1	0	449	0	0	NaN	0	0	NaN	1	0	0					
2	7	1	0	626	397	11	370.193375676	5243.65335463	0.017571884984	205.68802543	1	0	0					
2	8	1	0	381	351	1	467.307134201	771.435695538	0.00262467191601	220.605116842	1	0	0					
2	9	1	0	436	394	3	385.519849264	1652.31192661	0.00688073394495	167.670920405	1	0	0					
2	10	1	0	333	367	6	398.969994945	5086.95495495	0.018018018018	222.822212653	1	0	0					
2	11	1	0	503	448	0	NaN	0	0	130.878995934	1	0	0					
2	12	1	0	350	366	7	404.442355357	6950.66857143	0.02	226.780950461	1	0	0					
2	13	1	0	483	413	0	NaN	0	0	150.373203806	1	0	0					
2	14	1	0	440	397	0	NaN	0	0	154.24257498	1	0	0					
2	15	1	0	412	356	1	340.430757256	695.63592233	0.00242718446602	184.927258238	1	0	0					
2	16	1	0	636	440	0	NaN	0	0	132.664400826	1	0	0					
2	17	1	0	407	433	0	NaN	0	0	140.585954376	1	0	0					
2	18	1	0	409	395	13	369.189908081	16578.2347188	0.0317848410758	218.214042621	1	0	0					
2	19	1	0	410	380	4	562.378424224	2812.94878049	0.00975609756098	177.715256233	1	0	0					
2	20	1	0	407	418	2	357.11102181	1454.01719902	0.004914004914	149.855783979	1	0	0					
2	21	1	0	54	395	4	433.69673035	37621.3703704	0.0740740740741	150.981329915	1	0	0					
2	22	1	0	323	413	0	NaN	0	0	135.068400471	1	0	0					
2	23	1	0	293	381	0	NaN	0	0	147.46255537	1	0	0					
2	24	1	0	333	382	0	NaN	0	0	148.884686549	1	0	0					
3	1	1	0	375	368	1	332.723936487	594.096	0.00266666666667	198.621942935	1	0	0					
3	2	1	0	400	351	0	NaN	0	0	203.366798971	1	0	0					
3	3	1	0	373	392	0	NaN	0	0	157.9646111	1	0	0					
3	4	1	0	566	404	0	NaN	0	0	180.654145427	1	0	0					
3	5	1	0	550	385	3	530.711521217	3446.76727273	0.00545454545455	171.302769438	1	0	0					
3	6	1	0	687	442	1	356.589662577	343.186317322	0.00145560407569	164.616802482	1	0	0					
3	7	1	0	404	355	1	383.051884976	791.586633663	0.00247524752475	196.506455068	1	0	0					
3	8	1	0	592	412	26	358.343130266	12968.0422297	0.0439189189189	196.389616128	1	0	0					
3	9	1	0	574	373	3	376.919082508	1229.82578397	0.00522648083624	202.263108338	1	0	0					
3	10	1	0	507	344	5	544.351817683	5047.42209073	0.00986193293886	240.294103231	1	0	0					
3	11	1	0	150	383	4	362.200801283	7035.54	0.0266666666667	181.258015257	1	0	0					
3	12	1	0	391	369	3	375.38917311	2124.89769821	0.0076726342711	194.700626464	1	0	0					
3	13	1	0	648	410	0	NaN	0	0	132.840315289	1	0	0					
3	14	1	0	642	1	1	6959.0589351	8897.93146417	0.00155763239875	5712472	1	0	0					
3	15	1	0	471	324	0	NaN	0	0	174.253162628	1	0	0					
3	16	1	0	638	430	1	1244.95029917	1139.83855799	0.00156739811912	127.415900487	1	0	0					
3	17	1	0	373	380	2	383.551459254	1809.17426273	0.00536193029491	175.612839335	1	0	0					
3	18	1	0	520	388	0	NaN	0	0	141.930312732	1	0	0					
3	19	1	0	353	391	0	NaN	0	0	163.268816923	1	0	0					
3	20	1	0	432	399	22	415.029154641	24881.9398148	0.0509259259259	316.356216355	1	0	0					
3	21	1	0	333	364	1	357.557841114	666.318318318	0.003003003003	153.88384555	1	0	0					
3	22	1	0	498	373	23	568.466842542	24071.5281124	0.0461847389558	262.229729244	1	0	0					
3	23	1	0	318	343	2	465.262278246	1602.70440252	0.0062893081761	190.584628854	1	0	0					
3	24	1	0	293	361	0	NaN	0	0	152.629698974	1	0	0					
4	1	1	0	450	360	0	NaN	0	0	177.526759259	1	0	0					
4	2	1	0	484	385	1	382.001570723	452.188016529	0.00206611570248	182.685248777	1	0	0					
4	3	1	0	382	324	0	NaN	0	0	258.817891709	1	0	0					
4	4	1	0	451	364	0	NaN	0	0	177.867686572	1	0	0					
4	5	1	0	543	429	189	459.506864025	183449.116022	0.348066298343	653.309691862	1	0	0					
4	6	1	0	461	387	0	NaN	0	0	148.431244116	1	0	0					
4	7	1	0	540	372	1	351.804667854	422.537037037	0.00185185185185	192.01628801	1	0	0					
4	8	1	0	578	386	1	347.049648178	440.728373702	0.00173010380623	184.779651803	1	0	0					
4	9	1	0	504	386	4	671.249607424	3065.25793651	0.00793650793651	192.598190555	1	0	0					
4	10	1	0	574	392	2	415.656955583	877.43554007	0.00348432055749	169.342767337	1	0	0					
4	11	1	0	507	401	175	501.54506028	197317.948718	0.34516765286	733.985080939	1	0	0					
4	12	1	0	519	378	1	364.405605214	445.545279383	0.0019267822736	187.652130399	1	0	0					
4	13	1	0	680	445	2	624.905601934	1334.93529412	0.00294117647059	144.880964525	1	0	0					
4	14	1	0	631	401	3	351.902111472	1275.71790808	0.00475435816165	207.162069888	1	0	0					
4	15	1	0	681	414	0	NaN	0	0	147.929537445	1	0	0					
4	16	1	0	637	370	12	355.159283996	5925.56514914	0.0188383045526	198.523915267	1	0	0					
4	17	1	0	560	433	1	492.572855789	582.8	0.00178571428571	137.214807269	1	0	0					
4	18	1	0	366	344	2	411.446108953	1746.38251366	0.00546448087432	209.962783937	1	0	0					
