Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	946a8629-bdea-4ba9-bf69-33e3f86828a5
Plate Name	P104395
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	340	384	3	423.663600914	3840.08529412	0.00882352941176	225.006062826	1	0	0					
1	2	1	0	386	373	2	411.675308481	1202.65025907	0.00518134715026	171.700565662	1	0	0					
1	3	1	0	510	382	2	373.114648382	1213.38823529	0.00392156862745	204.776232834	1	0	0					
1	4	1	0	585	421	2	355.143012754	857.203418803	0.0034188034188	143.259533629	1	0	0					
1	5	1	0	535	351	3	391.196122008	2258.5271028	0.00560747663551	187.685497683	1	0	0					
1	6	1	0	579	324	6	389.697707225	2591.791019	0.0103626943005	219.334590764	1	0	0					
1	7	1	0	353	386	1	545.935747028	769.079320113	0.0028328611898	148.580914924	1	0	0					
1	8	1	0	523	372	7	389.481784492	3511.36137667	0.0133843212237	182.952682391	1	0	0					
1	9	1	0	367	402	23	351.419443489	19248.0871935	0.0626702997275	221.496503799	1	0	0					
1	10	1	0	409	379	0	NaN	0	0	168.294560745	1	0	0					
1	11	1	0	421	339	5	368.797729577	2929.10213777	0.0118764845606	229.704092377	1	0	0					
1	12	1	0	373	390	3	363.164757325	2444.04289544	0.00804289544236	168.395424063	1	0	0					
1	13	1	0	510	380	1	411.964229158	485.425490196	0.00196078431373	184.839148199	1	0	0					
1	14	1	0	540	332	9	439.099343566	6194.18518519	0.0166666666667	271.090688053	1	0	0					
1	15	1	0	471	364	0	NaN	0	0	169.852191764	1	0	0					
1	16	1	0	270	344	4	368.145720327	4526.68518519	0.0148148148148	195.394039008	1	0	0					
1	17	1	0	447	331	2	369.051494505	1020.05592841	0.00447427293065	200.540338259	1	0	0					
1	18	1	0	349	300	2	409.591373607	1303.69054441	0.00573065902579	232.329911111	1	0	0					
1	19	1	0	367	322	3	362.502912639	2799.09264305	0.00817438692098	237.590727595	1	0	0					
1	20	1	0	396	350	1	389.498930385	558.01010101	0.00252525252525	205.248726531	1	0	0					
1	21	1	0	315	344	2	368.359635667	2414.54285714	0.00634920634921	190.280371147	1	0	0					
1	22	1	0	404	374	3	388.44947638	3400.87376238	0.00742574257426	206.818067431	1	0	0					
1	23	1	0	43	374	2	347.726889909	15281.2093023	0.046511627907	148.391468158	1	0	0					
1	24	1	0	527	352	102	451.146241182	108599.71537	0.193548387097	676.722946798	1	0	0					
2	1	1	0	610	286	98	493.002966283	85868.5360656	0.160655737705	935.689874811	1	0	0					
2	2	1	0	470	464	0	NaN	0	0	133.4590285	1	0	0					
2	3	1	0	421	463	0	NaN	0	0	134.225923524	1	0	0					
2	4	1	0	452	337	2	348.655446562	1005.96681416	0.00442477876106	195.405383511	1	0	0					
2	5	1	0	499	403	1	468.045573698	595.198396794	0.00200400801603	190.470842133	1	0	0					
2	6	1	0	429	369	1	540.695250529	504.937062937	0.002331002331	223.217933182	1	0	0					
2	7	1	0	421	388	0	NaN	0	0	202.23365262	1	0	0					
2	8	1	0	539	379	8	372.463953408	3930.0445269	0.0148423005566	214.23399308	1	0	0					
2	9	1	0	496	389	6	350.129010052	3418.39112903	0.0120967741935	212.341406679	1	0	0					
2	10	1	0	563	386	18	358.524152859	9546.64831261	0.0319715808171	218.918621976	1	0	0					
2	11	1	0	550	432	0	NaN	0	0	149.824111583	1	0	0					
2	12	1	0	425	22	2	477.294815184	1159.42117647	0.00470588235294	4500.67768595	1	0	0					
2	13	1	0	463	390	15	354.589476957	8917.15550756	0.0323974082073	214.132840237	1	0	0					
2	14	1	0	488	368	5	390.299337339	2991.33606557	0.0102459016393	213.038855742	1	0	0					
2	15	1	0	362	363	21	363.928984203	17683.5690608	0.0580110497238	242.22634307	1	0	0					
2	16	1	0	441	325	6	360.670746391	3632.82539683	0.0136054421769	228.492979882	1	0	0					
2	17	1	0	466	387	3	344.779619208	1952.59656652	0.00643776824034	190.326829985	1	0	0					
2	18	1	0	424	402	1	345.369878555	526.011792453	0.00235849056604	151.752363803	1	0	0					
2	19	1	0	555	403	0	NaN	0	0	151.288641639	1	0	0					
2	20	1	0	540	349	8	364.271991839	5166.03148148	0.0148148148148	241.255236	1	0	0					
2	21	1	0	433	341	1	367.436202368	860.614318707	0.00230946882217	196.553349214	1	0	0					
2	22	1	0	428	384	1	425.319119578	842.175233645	0.00233644859813	168.918545193	1	0	0					
2	23	1	0	380	349	1	346.391049292	722.728947368	0.00263157894737	197.474618435	1	0	0					
2	24	1	0	416	349	1	394.554821503	1441.51682692	0.00240384615385	184.690486942	1	0	0					
3	1	1	0	592	425	1	353.730675083	438.589527027	0.00168918918919	169.175092042	1	0	0					
3	2	1	0	454	374	0	NaN	0	0	190.760359175	1	0	0					
3	3	1	0	511	457	1	462.336302665	595.677103718	0.00195694716243	119.202122107	1	0	0					
3	4	1	0	647	403	0	NaN	0	0	156.279621203	1	0	0					
3	5	1	0	218	336	10	449.271851638	17096.1009174	0.045871559633	239.447571216	1	0	0					
3	6	1	0	458	374	0	NaN	0	0	174.229510424	1	0	0					
3	7	1	0	666	427	0	NaN	0	0	162.559899961	1	0	0					
3	8	1	0	576	370	2	357.661815236	907.215277778	0.00347222222222	191.151439007	1	0	0					
3	9	1	0	535	386	2	419.298311183	1182.39065421	0.00373831775701	179.566578969	1	0	0					
3	10	1	0	589	384	19	387.191629152	8806.04244482	0.0322580645161	216.515407986	1	0	0					
3	11	1	0	548	401	0	NaN	0	0	181.876555494	1	0	0					
3	12	1	0	502	3	2	444.799467743	1144.37250996	0.00398406374502	83277.3333333	1	0	0					
3	13	1	0	561	398	3	387.773359445	1432.05347594	0.00534759358289	176.44387768	1	0	0					
3	14	1	0	530	341	2	356.300107113	888.030188679	0.00377358490566	208.770168815	1	0	0					
3	15	1	0	543	462	2	396.891495838	1774.37937385	0.0036832412523	153.901112236	1	0	0					
3	16	1	0	608	365	1	339.466212374	422.340460526	0.00164473684211	171.88352036	1	0	0					
3	17	1	0	431	362	8	356.330223084	6098.6287703	0.0185614849188	224.425620402	1	0	0					
3	18	1	0	476	462	1	385.156781761	496.455882353	0.00210084033613	127.659151815	1	0	0					
3	19	1	0	657	409	0	NaN	0	0	145.567033913	1	0	0					
3	20	1	0	597	396	61	453.705911301	57782.9748744	0.102177554439	424.498794766	1	0	0					
3	21	1	0	531	391	1	374.866280782	404.46516007499997	0.00188323917137	180.78617356	1	0	0					
3	22	1	0	352	342	0	NaN	0	0	177.744827468	1	0	0					
3	23	1	0	410	376	2	415.565086765	1277.83170732	0.00487804878049	186.886819545	1	0	0					
3	24	1	0	530	365	3	513.989130734	2828.36037736	0.00566037735849	178.880030024	1	0	0					
4	1	1	0	482	0	0	NaN	0	0	NaN	1	0	0					
4	2	1	0	588	413	2	432.69935045	1014.33163265	0.00340136054422	181.264532242	1	0	0					
4	3	1	0	569	409	1	502.35276383	844.681898067	0.00175746924429	154.083183386	1	0	0					
4	4	1	0	502	381	0	NaN	0	0	177.556926447	1	0	0					
4	5	1	0	489	336	121	453.539577019	133424.570552	0.247443762781	762.247112387	1	0	0					
4	6	1	0	601	380	2	359.815612156	824.394342762	0.00332778702163	199.313351801	1	0	0					
4	7	1	0	518	424	4	379.700040948	1940.65637066	0.00772200772201	176.167920078	1	0	0					
4	8	1	0	662	366	3	364.03481009	1240.1858006	0.00453172205438	209.188203589	1	0	0					
4	9	1	0	717	412	6	548.83992992	3262.90516039	0.00836820083682	187.06519229	1	0	0					
4	10	1	0	491	422	0	NaN	0	0	162.012151569	1	0	0					
4	11	1	0	583	421	184	475.012197604	178995.166381	0.315608919383	689.530430318	1	0	0					
4	12	1	0	521	391	5	369.676913545	2801.9193858	0.00959692898273	202.278118275	1	0	0					
4	13	1	0	541	383	1	351.159769771	722.853974122	0.00184842883549	189.953391188	1	0	0					
