Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	af10fef9-7b39-4aa5-bf64-d4512488833a
Plate Name	P104396
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	616	346	1	490.487167734	616.805194805	0.00162337662338	217.944652344	1	0	0					
1	2	1	0	580	401	3	398.022555872	1439.05517241	0.0051724137931	171.533236734	1	0	0					
1	3	1	0	591	7	2	2978.1292145	6042.34856176	0.00338409475465	84545.8163265	1	0	0					
1	4	1	0	593	404	6	359.839478046	2822.92242833	0.0101180438449	193.141040094	1	0	0					
1	5	1	0	671	365	2	355.765906371	795.439642325	0.00298062593145	189.582600863	1	0	0					
1	6	1	0	645	382	4	360.027553536	1914.09457364	0.0062015503876	208.400557825	1	0	0					
1	7	1	0	689	435	20	364.514373105	9492.63134978	0.0290275761974	203.347517506	1	0	0					
1	8	1	0	593	401	25	370.956385588	15327.9325464	0.0421585160202	229.64334177	1	0	0					
1	9	1	0	558	350	4	364.900013216	1829.33691756	0.00716845878136	223.067102041	1	0	0					
1	10	1	0	662	392	13	373.288900646	5904.37915408	0.0196374622356	208.88810001	1	0	0					
1	11	1	0	661	414	44	389.328677692	21378.3933434	0.0665658093797	247.376146468	1	0	0					
1	12	1	0	563	373	1	360.287179393	370.225577265	0.00177619893428	172.724579347	1	0	0					
1	13	1	0	619	356	0	NaN	0	0	195.572102639	1	0	0					
1	14	1	0	639	411	2	350.319442619	667.358372457	0.00312989045383	169.448428555	1	0	0					
1	15	1	0	623	379	6	387.860821635	3593.90369181	0.00963081861958	211.693374454	1	0	0					
1	16	1	0	493	323	3	358.47483646	1440.2474645	0.00608519269777	237.705374345	1	0	0					
1	17	1	0	644	181	8	366.078668127	2971.70807453	0.0124223602484	472.800006105	1	0	0					
1	18	1	0	489	384	10	351.544257005	5546.78118609	0.0204498977505	217.136054145	1	0	0					
1	19	1	0	693	328	3	389.185236653	1107.64790765	0.004329004329	209.153777513	1	0	0					
1	20	1	0	562	351	4	356.772702422	1713.613879	0.00711743772242	205.687413252	1	0	0					
1	21	1	0	531	346	3	395.916385295	1501.90960452	0.00564971751412	247.205945738	1	0	0					
1	22	1	0	510	311	0	NaN	0	0	209.235388385	1	0	0					
1	23	1	0	531	342	1	350.175646136	411.080979284	0.00188323917137	188.08199104	1	0	0					
1	24	1	0	559	397	120	481.916253173	127761.753131	0.214669051878	640.156596387	1	0	0					
2	1	1	0	673	479	159	418.622871407	110438.762259	0.236255572065	459.60014993	1	0	0					
2	2	1	0	752	415	1	350.424694839	281.339095745	0.00132978723404	165.591592394	1	0	0					
2	3	1	0	495	360	0	NaN	0	0	214.787569444	1	0	0					
2	4	1	0	527	426	3	361.826047279	1527.26944972	0.00569259962049	171.078362979	1	0	0					
2	5	1	0	94	351	10	430.431542414	66196.0212766	0.106382978723	263.831462407	1	0	0					
2	6	1	0	739	390	5	354.409681121	2017.40189445	0.00676589986468	193.086568047	1	0	0					
2	7	1	0	562	368	3	399.144003691	1384.8683274	0.00533807829181	229.022093573	1	0	0					
