Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	16207db8-9704-4b81-bad8-6d69f27c1787
Plate Name	P104397
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	633	416	8	377.055059404	3322.56872038	0.0126382306477	230.005165958	1	0	0					
1	2	1	0	549	441	0	NaN	0	0	150.936801024	1	0	0					
1	3	1	0	543	389	2	421.034397495	1120.13996317	0.0036832412523	225.080418448	1	0	0					
1	4	1	0	648	425	2	361.64347664	702.12654321	0.00308641975309	144.336204844	1	0	0					
1	5	1	0	670	442	2	398.721399891	737.008955224	0.00298507462687	168.188883315	1	0	0					
1	6	1	0	585	453	0	NaN	0	0	169.447207481	1	0	0					
1	7	1	0	742	414	19	361.382949561	6471.64150943	0.0256064690027	238.034464048	1	0	0					
1	8	1	0	737	425	0	NaN	0	0	174.829785467	1	0	0					
1	9	1	0	269	323	24	408.42609198	27702.7211896	0.089219330855	319.783684306	1	0	0					
1	10	1	0	869	463	11	358.218775807	3790.3981588	0.0126582278481	206.224715327	1	0	0					
1	11	1	0	714	456	2	689.39392163	1327.12745098	0.00280112044818	188.869406933	1	0	0					
1	12	1	0	725	452	5	403.559443878	1782.34896552	0.00689655172414	179.241101496	1	0	0					
1	13	1	0	690	448	0	NaN	0	0	160.014195033	1	0	0					
1	14	1	0	648	411	23	366.371080832	11975.6188272	0.0354938271605	212.392437885	1	0	0					
1	15	1	0	730	424	2	455.35381941	623.782191781	0.0027397260274	170.172130874	1	0	0					
1	16	1	0	717	451	1	367.437471652	419.034867503	0.00139470013947	189.194477903	1	0	0					
1	17	1	0	735	421	3	452.723145229	1968.8244898	0.00408163265306	179.10042823	1	0	0					
1	18	1	0	587	418	12	369.384230363	5444.67972743	0.0204429301533	208.487397267	1	0	0					
1	19	1	0	661	417	5	356.352199652	1801.096823	0.00756429652042	223.009741847	1	0	0					
1	20	1	0	691	441	1	372.134369814	364.82633864	0.00144717800289	174.049799209	1	0	0					
1	21	1	0	641	465	5	519.232453601	2769.84087363	0.00780031201248	175.089277373	1	0	0					
1	22	1	0	621	385	2	347.012590619	986.726247987	0.00322061191626	197.698485411	1	0	0					
1	23	1	0	656	463	1	487.264788574	377.12652439	0.0015243902439	140.738245735	1	0	0					
1	24	1	0	510	394	97	472.032094852	109671.337255	0.190196078431	542.5556121	1	0	0					
2	1	1	0	593	405	125	438.457799453	118796.726813	0.210792580101	642.932138394	1	0	0					
2	2	1	0	764	434	0	NaN	0	0	166.058421287	1	0	0					
2	3	1	0	549	443	4	407.97953446	2279.46083789	0.00728597449909	205.593017034	1	0	0					
2	4	1	0	703	455	5	362.401148909	2424.29302987	0.00711237553343	172.126091052	1	0	0					
2	5	1	0	750	365	13	373.087923009	4499.452	0.0173333333333	223.525134172	1	0	0					
2	6	1	0	646	534	48	360.223196071	22162.0712074	0.0743034055728	191.761292065	1	0	0					
2	7	1	0	715	475	2	422.624695969	968.297902098	0.0027972027972	166.446581717	1	0	0					
2	8	1	0	513	450	12	353.851496791	6578.54580897	0.0233918128655	198.646024691	1	0	0					
2	9	1	0	634	410	1	339.403858381	328.115141956	0.00157728706625	212.547453896	1	0	0					
2	10	1	0	689	463	10	362.470362717	5941.94049347	0.0145137880987	200.947972888	1	0	0					
2	11	1	0	565	431	0	NaN	0	0	168.045671589	1	0	0					
2	12	1	0	798	474	4	351.268181506	1229.20551378	0.00501253132832	162.308039132	1	0	0					
2	13	1	0	566	461	2	341.728530777	968.74204947	0.00353356890459	157.557323747	1	0	0					
2	14	1	0	122	357	8	402.184251261	19354.4918033	0.0655737704918	210.822674168	1	0	0					
2	15	1	0	615	467	1	343.96743665	371.824390244	0.00162601626016	162.571326385	1	0	0					
2	16	1	0	494	423	0	NaN	0	0	138.714814256	1	0	0					
2	17	1	0	672	443	1	353.411002957	393.147321429	0.0014880952381	141.570428384	1	0	0					
2	18	1	0	784	450	0	NaN	0	0	161.112325926	1	0	0					
2	19	1	0	586	449	3	391.921936286	1214.7559727	0.00511945392491	188.140986404	1	0	0					
2	20	1	0	901	495	8	363.298943543	2845.7536071	0.00887902330744	160.412912968	1	0	0					
2	21	1	0	516	404	0	NaN	0	0	182.41347662	1	0	0					
2	22	1	0	621	436	2	375.67650596	952.838969404	0.00322061191626	141.74652807	1	0	0					
2	23	1	0	596	432	1	333.048983749	355.823825503	0.00167785234899	174.745547197	1	0	0					
