Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	4a9f40b0-49ab-4b7a-afdd-0c36d8c5ea73
Plate Name	P104398
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	421	432	1	345.162695765	1152.19714964	0.00237529691211	188.674195173	1	0	0					
1	2	1	0	576	448	2	406.575342388	1113.75173611	0.00347222222222	171.339126276	1	0	0					
1	3	1	0	649	466	14	347.015312559	6051.19260401	0.0215716486903	214.321418704	1	0	0					
1	4	1	0	645	480	22	353.756847247	12754.7860465	0.0341085271318	190.353263889	1	0	0					
1	5	1	0	560	437	41	353.410595918	23503.8392857	0.0732142857143	235.796935628	1	0	0					
1	6	1	0	606	444	10	348.871672832	7514.84653465	0.016501650165	215.974839705	1	0	0					
1	7	1	0	534	451	4	352.513364824	1723.0505618	0.00749063670412	166.789583139	1	0	0					
1	8	1	0	543	441	12	387.622439359	6832.27624309	0.0220994475138	203.291128696	1	0	0					
1	9	1	0	513	419	2	395.98978402	1406.34892788	0.00389863547758	190.04094873	1	0	0					
1	10	1	0	536	435	3	401.284441813	1500.50373134	0.00559701492537	175.928915312	1	0	0					
1	11	1	0	381	412	1	343.639610472	1032.2519685	0.00262467191601	184.716178481	1	0	0					
1	12	1	0	510	443	0	NaN	0	0	156.416847984	1	0	0					
1	13	1	0	478	407	0	NaN	0	0	172.973510254	1	0	0					
1	14	1	0	617	416	0	NaN	0	0	171.686003375	1	0	0					
1	15	1	0	592	432	4	380.08479968	1755.94425676	0.00675675675676	164.759779021	1	0	0					
1	16	1	0	680	409	1	399.210284267	305.480882353	0.00147058823529	184.493379404	1	0	0					
1	17	1	0	688	439	2	365.107376448	678.059593023	0.00290697674419	179.666341499	1	0	0					
1	18	1	0	621	442	2	382.965950453	826.882447665	0.00322061191626	165.260257775	1	0	0					
1	19	1	0	438	402	2	372.993285979	1224.24429224	0.00456621004566	194.790444543	1	0	0					
1	20	1	0	466	414	3	377.115035259	1646.92060086	0.00643776824034	192.693668464	1	0	0					
1	21	1	0	524	422	2	353.629362107	878.379770992	0.00381679389313	171.274881517	1	0	0					
1	22	1	0	659	424	2	376.581683078	656.409711684	0.00303490136571	166.48884167	1	0	0					
1	23	1	0	591	400	5	429.51722172	2192.55668359	0.00846023688663	208.823575	1	0	0					
1	24	1	0	406	381	114	440.171847031	151443.655172	0.28078817734	648.281335896	1	0	0					
2	1	1	0	652	274	140	445.018761051	108815.329755	0.21472392638	1244.80205392	1	0	0					
2	2	1	0	660	303	1	345.775171315	343.884848485	0.00151515151515	203.835223126	1	0	0					
2	3	1	0	521	459	0	NaN	0	0	152.175620962	1	0	0					
2	4	1	0	805	498	0	NaN	0	0	148.364002194	1	0	0					
2	5	1	0	663	473	1	340.005664555	302.092006033	0.00150829562594	156.622802587	1	0	0					
2	6	1	0	550	462	13	347.42377197	6837.84	0.0236363636364	201.21670321	1	0	0					
2	7	1	0	498	423	10	370.265720809	6410.09839357	0.0200803212851	212.648424794	1	0	0					
2	8	1	0	505	438	4	350.397180914	2791.03762376	0.00792079207921	181.365171702	1	0	0					
2	9	1	0	491	435	26	366.620483911	17846.2769857	0.0529531568228	222.546201612	1	0	0					
2	10	1	0	719	518	27	362.011748379	10321.4242003	0.0375521557719	175.614272298	1	0	0					
2	11	1	0	609	452	3	389.945894772	1042.6453202	0.00492610837438	144.303885386	1	0	0					
2	12	1	0	527	437	4	419.843986083	1931.92220114	0.00759013282732	187.982714472	1	0	0					
2	13	1	0	747	464	1	437.264229507	631.345381526	0.00133868808568	133.903556034	1	0	0					
2	14	1	0	700	491	0	NaN	0	0	137.0319851	1	0	0					
2	15	1	0	699	448	1	397.377393319	379.533619456	0.00143061516452	163.059709821	1	0	0					
2	16	1	0	660	422	1	399.695749993	674.409090909	0.00151515151515	184.002891894	1	0	0					
2	17	1	0	849	477	0	NaN	0	0	162.328094441	1	0	0					
2	18	1	0	702	421	4	602.866962626	1829.61396011	0.00569800569801	173.608126788	1	0	0					
2	19	1	0	487	414	2	357.604650315	900.125256674	0.0041067761807	206.94041868	1	0	0					
2	20	1	0	544	433	1	337.619081302	689.398897059	0.00183823529412	149.493660961	1	0	0					
2	21	1	0	643	469	2	476.993034286	1251.65318818	0.00311041990669	143.476539023	1	0	0					
2	22	1	0	595	432	0	NaN	0	0	164.213150506	1	0	0					
2	23	1	0	650	410	2	405.62316983	1388.12923077	0.00307692307692	196.894176086	1	0	0					
2	24	1	0	626	431	3	359.372953016	1099.86421725	0.00479233226837	166.497827854	1	0	0					
3	1	1	0	518	434	4	403.467793494	2396.80694981	0.00772200772201	203.23109962	1	0	0					
3	2	1	0	682	489	0	NaN	0	0	140.069454377	1	0	0					
3	3	1	0	735	463	1	387.912926202	359.00952381	0.00136054421769	179.216771082	1	0	0					
3	4	1	0	636	483	0	NaN	0	0	153.526540043	1	0	0					
3	5	1	0	654	443	0	NaN	0	0	151.091603015	1	0	0					
3	6	1	0	700	465	12	354.649912816	6141.63	0.0171428571429	204.64136432	1	0	0					
3	7	1	0	574	468	18	356.966938126	8543.54006969	0.0313588850174	188.763391227	1	0	0					
3	8	1	0	631	477	0	NaN	0	0	153.135182768	1	0	0					
3	9	1	0	546	418	0	NaN	0	0	202.86634349	1	0	0					
3	10	1	0	640	488	154	508.861620447	83998.284375	0.240625	381.070188625	1	0	0					
3	11	1	0	781	482	1	343.094610563	854.587708067	0.00128040973111	125.314797438	1	0	0					
3	12	1	0	593	501	4	365.903689026	1902.20404722	0.00674536256324	168.424866833	1	0	0					
3	13	1	0	401	365	20	421.592552187	17550.3516209	0.0498753117207	286.545783449	1	0	0					
3	14	1	0	598	438	2	425.254318447	981.431438127	0.00334448160535	184.063577699	1	0	0					
3	15	1	0	599	426	0	NaN	0	0	164.668044259	1	0	0					
3	16	1	0	594	445	1	449.136142636	598.11952862	0.0016835016835	157.599116273	1	0	0					
3	17	1	0	666	444	1	365.513246006	311.746246246	0.0015015015015	168.866513473	1	0	0					
3	18	1	0	614	416	0	NaN	0	0	162.241031805	1	0	0					
3	19	1	0	785	457	2	438.871937641	664.154140127	0.00254777070064	147.256769245	1	0	0					
3	20	1	0	678	472	35	409.545453325	24769.8023599	0.0516224188791	280.91854442	1	0	0					
3	21	1	0	529	429	1	383.898218739	463.115311909	0.00189035916824	184.623583875	1	0	0					
3	22	1	0	83	341	2	424.343840822	6195.42168675	0.0240963855422	181.098304968	1	0	0					
3	23	1	0	525	415	1	429.24437844	552.725714286	0.00190476190476	185.198124546	1	0	0					
3	24	1	0	560	423	2	404.053790337	824.757142857	0.00357142857143	179.946660407	1	0	0					
4	1	1	0	532	419	6	357.76996338	2933.39097744	0.0112781954887	255.368760716	1	0	0					
4	2	1	0	519	433	2	353.671421982	1080.9672447	0.00385356454721	189.587981162	1	0	0					
4	3	1	0	656	446	1	340.476218782	323.208841463	0.0015243902439	168.165165195	1	0	0					
4	4	1	0	637	458	7	373.053995395	3101.56985871	0.010989010989	194.865863542	1	0	0					
4	5	1	0	454	425	206	478.937560111	244173.202643	0.453744493392	723.19050519	1	0	0					
4	6	1	0	721	507	15	362.532495197	7050.15533981	0.0208044382802	174.263121039	1	0	0					
4	7	1	0	663	490	11	349.208734829	5556.02865762	0.0165912518854	179.992344856	1	0	0					
4	8	1	0	583	441	19	349.400303412	13404.5128645	0.032590051458	232.210699246	1	0	0					
4	9	1	0	695	474	1	338.386946289	353.050359712	0.00143884892086	154.382893589	1	0	0					
4	10	1	0	654	461	11	352.951664546	4636.94342508	0.0168195718654	169.49873189	1	0	0					
4	11	1	0	630	407	43	423.156699965	24471.8603175	0.068253968254	388.136813383	1	0	0					
4	12	1	0	580	435	0	NaN	0	0	182.179606289	1	0	0					
4	13	1	0	543	429	0	NaN	0	0	154.788606887	1	0	0					
4	14	1	0	574	386	5	343.811935431	4432.32055749	0.00871080139373	225.063753389	1	0	0					
4	15	1	0	550	418	0	NaN	0	0	176.118409606	1	0	0					
4	16	1	0	469	437	0	NaN	0	0	144.453272521	1	0	0					
4	17	1	0	649	443	0	NaN	0	0	163.641175242	1	0	0					
4	18	1	0	777	496	0	NaN	0	0	121.28778616	1	0	0					
4	19	1	0	567	446	0	NaN	0	0	158.35535603	1	0	0					
4	20	1	0	666	469	0	NaN	0	0	141.189051696	1	0	0					
4	21	1	0	576	428	2	538.074530559	1260.41145833	0.00347222222222	172.439497991	1	0	0					
4	22	1	0	529	455	0	NaN	0	0	155.272189349	1	0	0					
4	23	1	0	572	397	1	364.531576259	446.022727273	0.00174825174825	177.935663573	1	0	0					
4	24	1	0	364	400	0	NaN	0	0	214.8118875	1	0	0					
5	1	1	0	499	416	2	343.735132786	1016.38076152	0.00400801603206	209.748792298	1	0	0					
5	2	1	0	563	447	0	NaN	0	0	185.950467697	1	0	0					
5	3	1	0	544	447	1	343.196209295	441.53125	0.00183823529412	184.091312203	1	0	0					
5	4	1	0	680	466	1	529.962382283	721.435294118	0.00147058823529	185.691567353	1	0	0					
5	5	1	0	503	434	3	349.312922414	1548.67793241	0.00596421471173	196.77653486	1	0	0					
5	6	1	0	636	483	17	363.269021784	9822.32861635	0.0267295597484	202.779033731	1	0	0					
5	7	1	0	593	434	42	358.482329721	25955.9106239	0.070826306914	233.858693113	1	0	0					
5	8	1	0	676	469	31	373.065890493	14712.7071006	0.0458579881657	218.615941008	1	0	0					
5	9	1	0	741	463	3	356.025842881	943.42780027	0.00404858299595	186.978415722	1	0	0					
5	10	1	0	676	443	5	339.636483602	2992.72781065	0.00739644970414	213.741802506	1	0	0					
5	11	1	0	476	436	3	367.915080811	1559.9789916	0.0063025210084	187.510126462	1	0	0					
5	12	1	0	468	401	2	358.796472628	963.446581197	0.0042735042735	187.768477808	1	0	0					
5	13	1	0	683	472	1	808.131025608	496.191800878	0.00146412884334	131.70035999	1	0	0					
5	14	1	0	539	446	2	362.98861192	1071.11131725	0.00371057513915	190.036301756	1	0	0					
5	15	1	0	486	430	0	NaN	0	0	151.747750135	1	0	0					
5	16	1	0	557	449	0	NaN	0	0	141.740259225	1	0	0					
5	17	1	0	451	373	115	467.134700058	138682.778271	0.254988913525	613.965456519	1	0	0					
5	18	1	0	714	425	0	NaN	0	0	154.217982007	1	0	0					
5	19	1	0	571	423	2	440.446343445	1097.01401051	0.00350262697023	181.813719408	1	0	0					
5	20	1	0	590	418	0	NaN	0	0	189.727564616	1	0	0					
5	21	1	0	649	472	3	435.069455241	1154.59476117	0.00462249614792	146.932643278	1	0	0					
5	22	1	0	500	421	1	378.3056098	534.836	0.002	159.516545269	1	0	0					
5	23	1	0	495	425	0	NaN	0	0	161.370042907	1	0	0					
5	24	1	0	413	417	4	399.636090599	4269.63438257	0.00968523002421	179.721195705	1	0	0					
6	1	1	0	524	437	4	408.549509507	2803.8110687	0.00763358778626	203.364252837	1	0	0					
6	2	1	0	613	254	202	505.248080947	203064.681892	0.329526916803	2040.40690681	1	0	0					
6	3	1	0	529	442	2	470.687677282	1151.85066163	0.00378071833648	201.036071129	1	0	0					
6	4	1	0	632	452	3	346.607010457	1114.5664557	0.00474683544304	206.947724959	1	0	0					
6	5	1	0	572	471	4	353.967571118	1589.18006993	0.00699300699301	179.653693411	1	0	0					
6	6	1	0	741	493	11	346.170694499	4798.20107962	0.0148448043185	171.634522257	1	0	0					
6	7	1	0	494	413	12	356.399646689	9085.6417004	0.0242914979757	251.013261495	1	0	0					
6	8	1	0	762	366	2	682.332042915	993.423884514	0.00262467191601	235.405707844	1	0	0					
6	9	1	0	643	454	7	360.593765462	2820.55676516	0.0108864696734	208.802300646	1	0	0					
6	10	1	0	656	481	42	359.855259916	23209.910061	0.0640243902439	209.168615281	1	0	0					
6	11	1	0	790	461	0	NaN	0	0	138.889728544	1	0	0					
6	12	1	0	642	471	5	356.419454108	3215.83489097	0.00778816199377	181.035070163	1	0	0					
6	13	1	0	514	433	1	351.545604172	389.459143969	0.00194552529183	156.889534853	1	0	0					
6	14	1	0	547	447	2	360.831546025	1826.34003656	0.0036563071298	164.874935563	1	0	0					
6	15	1	0	780	487	1	404.223225702	337.984615385	0.00128205128205	134.230152339	1	0	0					
6	16	1	0	702	482	1	340.471401291	352.363247863	0.0014245014245	148.650346068	1	0	0					
6	17	1	0	613	465	0	NaN	0	0	138.791212857	1	0	0					
6	18	1	0	602	437	0	NaN	0	0	162.102817735	1	0	0					
6	19	1	0	616	485	1	390.553421006	412.605519481	0.00162337662338	126.476688277	1	0	0					
6	20	1	0	655	475	0	NaN	0	0	146.846887535	1	0	0					
6	21	1	0	613	458	0	NaN	0	0	164.327353597	1	0	0					
6	22	1	0	595	421	0	NaN	0	0	158.126545212	1	0	0					
6	23	1	0	510	422	4	397.937480637	2164.65294118	0.0078431372549	190.823583253	1	0	0					
6	24	1	0	454	384	3	515.628004145	2203.02863436	0.00660792951542	183.679802789	1	0	0					
7	1	1	0	512	450	2	396.033229679	1098.9765625	0.00390625	163.087753086	1	0	0					
7	2	1	0	476	455	3	463.693167905	2356.84033613	0.0063025210084	210.352735177	1	0	0					
7	3	1	0	549	484	2	830.095727462	1847.10382514	0.00364298724954	170.859747456	1	0	0					
7	4	1	0	742	498	5	342.605676916	2311.93800539	0.00673854447439	164.145356527	1	0	0					
7	5	1	0	610	482	1	361.547599635	342.491803279	0.0016393442623	165.663840154	1	0	0					
7	6	1	0	651	501	1	400.115239748	411.187403994	0.00153609831029	151.408301162	1	0	0					
7	7	1	0	588	437	215	488.159683784	217436.414966	0.365646258503	769.269902445	1	0	0					
7	8	1	0	628	462	4	342.059953676	1665.39171975	0.00636942675159	195.442354903	1	0	0					
7	9	1	0	677	435	5	347.599316252	1825.5155096	0.00738552437223	222.858485929	1	0	0					
7	10	1	0	695	430	14	394.44504004	5767.89496403	0.0201438848921	203.377295836	1	0	0					
7	11	1	0	542	412	9	358.776691717	4770.19741697	0.0166051660517	219.817531106	1	0	0					
7	12	1	0	505	397	0	NaN	0	0	197.205197673	1	0	0					
7	13	1	0	583	466	0	NaN	0	0	125.082700915	1	0	0					
7	14	1	0	533	446	0	NaN	0	0	130.874942187	1	0	0					
7	15	1	0	531	417	1	341.843440577	492.092278719	0.00188323917137	151.354438751	1	0	0					
7	16	1	0	812	458	1	342.153043616	320.31773399	0.0012315270936	150.703104441	1	0	0					
7	17	1	0	562	436	1	351.390655847	587.551601423	0.0017793594306	176.857140603	1	0	0					
7	18	1	0	632	461	1	386.475898352	356.792721519	0.00158227848101	160.269742755	1	0	0					
7	19	1	0	585	445	1	463.654661485	575.818803419	0.0017094017094	170.925080167	1	0	0					
7	20	1	0	646	460	0	NaN	0	0	136.458407372	1	0	0					
7	21	1	0	517	457	2	567.757252624	1504.81818182	0.00386847195358	142.99149146	1	0	0					
7	22	1	0	479	434	0	NaN	0	0	146.213983096	1	0	0					
