Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	cf28efde-1735-42c3-987d-e49f507bf619
Plate Name	P104399
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	475	376	1	389.229739365	580.391578947	0.00210526315789	207.051720235	1	0	0					
1	2	1	0	517	436	2	767.7501584	4303.05609284	0.00386847195358	190.342148178	1	0	0					
1	3	1	0	532	457	3	384.291899429	1198.53759398	0.00563909774436	191.500371081	1	0	0					
1	4	1	0	617	423	5	383.547650423	2051.5089141	0.00810372771475	204.723158348	1	0	0					
1	5	1	0	497	432	8	357.336966875	3783.5694165	0.0160965794769	183.093546382	1	0	0					
1	6	1	0	533	416	33	359.228426737	21498.5196998	0.06191369606	243.773327709	1	0	0					
1	7	1	0	494	406	3	348.802046176	1937.03846154	0.00607287449393	219.383490257	1	0	0					
1	8	1	0	494	419	11	368.730815669	6991.11133603	0.0222672064777	218.816741759	1	0	0					
1	9	1	0	774	462	53	365.644258821	22748.1912145	0.0684754521964	230.950258616	1	0	0					
1	10	1	0	665	374	36	392.364013728	19402.3172932	0.0541353383459	269.102061826	1	0	0					
1	11	1	0	560	418	7	375.564799049	3801.98571429	0.0125	225.525554589	1	0	0					
1	12	1	0	552	412	9	391.141829684	5180.84057971	0.0163043478261	219.859335234	1	0	0					
1	13	1	0	577	444	13	369.500539187	7319.1542461	0.0225303292894	194.152442984	1	0	0					
1	14	1	0	656	465	5	367.046303518	2176.91158537	0.00762195121951	169.705538213	1	0	0					
1	15	1	0	503	418	14	350.051811326	9001.33200795	0.0278330019881	195.986492983	1	0	0					
1	16	1	0	493	386	16	363.096790138	8996.24137931	0.0324543610548	212.723932186	1	0	0					
1	17	1	0	414	417	7	350.931578561	4216.97101449	0.0169082125604	190.327105222	1	0	0					
1	18	1	0	446	429	1	353.713216533	470.515695067	0.00224215246637	173.334403747	1	0	0					
1	19	1	0	672	436	11	359.139583093	4546.88244048	0.016369047619	188.19444912	1	0	0					
1	20	1	0	350	389	5	477.849839613	4632.08571429	0.0142857142857	189.305436787	1	0	0					
1	21	1	0	547	451	1	341.947270004	994.265082267	0.0018281535649	168.450902405	1	0	0					
1	22	1	0	506	440	6	416.546392626	4797.34782609	0.0118577075099	184.588135331	1	0	0					
1	23	1	0	473	407	13	348.08029287	7375.62156448	0.0274841437632	221.257870558	1	0	0					
1	24	1	0	711	433	171	473.424697313	130829.524613	0.240506329114	618.98306034	1	0	0					
2	1	1	0	572	152	93	457.852814556	84541.7027972	0.162587412587	2466.09110976	1	0	0					
2	2	1	0	527	422	0	NaN	0	0	177.120302778	1	0	0					
2	3	1	0	650	481	1	348.839371814	585.610769231	0.00153846153846	166.00134422	1	0	0					
2	4	1	0	496	435	0	NaN	0	0	184.498042013	1	0	0					
2	5	1	0	615	447	2	350.034135278	1168.67479675	0.00325203252033	182.933171178	1	0	0					
2	6	1	0	623	444	14	355.205970655	6531.68539326	0.0224719101124	216.995470132	1	0	0					
2	7	1	0	586	497	32	363.216283657	19760.7559727	0.0546075085324	198.870154529	1	0	0					
2	8	1	0	634	435	10	361.450081554	5617.23659306	0.0157728706625	209.20119963	1	0	0					
2	9	1	0	754	484	2	347.155013699	1110.05702918	0.0026525198939	155.772641896	1	0	0					
2	10	1	0	544	409	9	415.574957211	6621.49816176	0.0165441176471	229.461594562	1	0	0					
2	11	1	0	494	414	10	378.134313461	7851.12753036	0.0202429149798	223.132290135	1	0	0					
2	12	1	0	468	441	0	NaN	0	0	158.775057718	1	0	0					
2	13	1	0	413	401	0	NaN	0	0	214.983818509	1	0	0					
2	14	1	0	613	477	0	NaN	0	0	127.597620523	1	0	0					
2	15	1	0	610	448	0	NaN	0	0	145.079011878	1	0	0					
2	16	1	0	845	447	0	NaN	0	0	150.351815984	1	0	0					
2	17	1	0	460	425	0	NaN	0	0	167.099327336	1	0	0					
2	18	1	0	513	410	1	350.277444202	416.582846004	0.00194931773879	175.934479477	1	0	0					
2	19	1	0	555	412	6	369.803020709	2769.95675676	0.0108108108108	203.528525309	1	0	0					
2	20	1	0	453	416	3	340.348220407	1644.92273731	0.00662251655629	184.149882119	1	0	0					
2	21	1	0	466	423	0	NaN	0	0	158.827769674	1	0	0					
2	22	1	0	466	420	2	703.605944618	2013.91630901	0.00429184549356	172.164291383	1	0	0					
2	23	1	0	621	448	0	NaN	0	0	166.280711894	1	0	0					
2	24	1	0	556	419	1	464.862609974	413.944244604	0.00179856115108	161.770017259	1	0	0					
3	1	1	0	608	481	2	350.312162359	773.358552632	0.00328947368421	181.425443355	1	0	0					
3	2	1	0	584	449	3	378.097500262	2220.17465753	0.00513698630137	203.316749421	1	0	0					
3	3	1	0	594	458	3	356.037625141	1796.51683502	0.00505050505051	182.009277092	1	0	0					
3	4	1	0	637	465	4	376.404700554	1993.18681319	0.00627943485086	171.26989941	1	0	0					
3	5	1	0	610	452	3	368.731917528	1294.60491803	0.00491803278689	190.446574712	1	0	0					
3	6	1	0	555	438	8	347.255356678	4823.90810811	0.0144144144144	188.928394946	1	0	0					
3	7	1	0	498	451	6	492.805781136	4616.21485944	0.0120481927711	185.261183573	1	0	0					
3	8	1	0	612	435	14	364.885739398	8644.05065359	0.0228758169935	213.949895627	1	0	0					
3	9	1	0	624	437	1	349.029822591	384.407051282	0.00160256410256	211.134676309	1	0	0					
3	10	1	0	567	491	0	NaN	0	0	175.741140944	1	0	0					
3	11	1	0	545	422	2	363.731547403	1001.57981651	0.00366972477064	199.465409582	1	0	0					
3	12	1	0	615	456	2	350.544714725	751.473170732	0.00325203252033	163.122571368	1	0	0					
3	13	1	0	635	425	0	NaN	0	0	176.979449135	1	0	0					
3	14	1	0	564	416	1	406.132628221	526.191489362	0.00177304964539	163.523668639	1	0	0					
3	15	1	0	633	416	3	338.765966594	1694.87361769	0.00473933649289	192.678907406	1	0	0					
3	16	1	0	621	459	1	347.715374196	424.07568438	0.00161030595813	151.140449305	1	0	0					
3	17	1	0	403	413	2	382.919174366	1697.808933	0.00496277915633	192.575614561	1	0	0					
3	18	1	0	601	409	2	364.198617971	703.738768719	0.00332778702163	171.866751155	1	0	0					
3	19	1	0	474	442	1	574.331206384	548.91350211	0.00210970464135	156.335056612	1	0	0					
3	20	1	0	483	391	67	399.214406716	55128.0434783	0.138716356108	399.878676879	1	0	0					
3	21	1	0	577	471	2	362.008692142	939.79202773	0.00346620450607	151.854909597	1	0	0					
3	22	1	0	502	422	4	411.651992532	3875.91035857	0.00796812749004	190.563178051	1	0	0					
3	23	1	0	494	421	1	417.726261495	744.803643725	0.00202429149798	165.886177577	1	0	0					
3	24	1	0	601	409	0	NaN	0	0	174.108284862	1	0	0					
4	1	1	0	613	447	5	380.318153068	1845.62969005	0.00815660685155	170.986927516	1	0	0					
4	2	1	0	439	396	2	368.250807628	1010.62414579	0.00455580865604	216.471992654	1	0	0					
4	3	1	0	446	437	4	353.884767783	2655.30717489	0.00896860986547	224.623954673	1	0	0					
4	4	1	0	533	436	0	NaN	0	0	215.152070533	1	0	0					
4	5	1	0	571	437	171	480.427676058	159923.623468	0.299474605954	605.771648802	1	0	0					
4	6	1	0	690	464	21	376.360343758	10890.042029	0.0304347826087	212.573034334	1	0	0					
4	7	1	0	495	442	20	369.211471159	12392.5030303	0.040404040404	237.187588297	1	0	0					
4	8	1	0	565	423	11	354.516975025	6120.72743363	0.0194690265487	192.830010786	1	0	0					
4	9	1	0	500	416	9	383.720078878	5512.094	0.018	217.072594998	1	0	0					
4	10	1	0	713	433	3	348.380409598	935.436185133	0.00420757363254	188.189936476	1	0	0					
4	11	1	0	550	413	174	443.734258121	163680.154545	0.316363636364	670.575174856	1	0	0					
4	12	1	0	564	427	0	NaN	0	0	189.710265509	1	0	0					
4	13	1	0	595	441	4	385.317589511	1844.71428571	0.00672268907563	185.47780503	1	0	0					
4	14	1	0	672	454	2	461.221619596	978.02827381	0.00297619047619	148.312246502	1	0	0					
4	15	1	0	544	425	7	388.401686207	3364.64154412	0.0128676470588	182.842231142	1	0	0					
4	16	1	0	512	464	0	NaN	0	0	151.127052988	1	0	0					
4	17	1	0	533	414	2	363.637900123	850.669793621	0.00375234521576	173.865492777	1	0	0					
4	18	1	0	699	429	1	462.490878013	759.095851216	0.00143061516452	137.598942627	1	0	0					
4	19	1	0	609	445	6	381.958291017	3143.91297209	0.00985221674877	182.038681985	1	0	0					
4	20	1	0	527	442	1	548.79924834	644.108159393	0.00189753320683	147.289449438	1	0	0					
4	21	1	0	523	456	3	348.80611597	1587.38240918	0.0057361376673	171.005299708	1	0	0					
4	22	1	0	623	486	11	341.538389524	5653.70786517	0.0176565008026	182.986828735	1	0	0					
4	23	1	0	530	442	4	393.207439138	3798.00943396	0.00754716981132	169.216431891	1	0	0					
4	24	1	0	477	399	5	417.416128924	3192.33542977	0.0104821802935	207.747853343	1	0	0					
5	1	1	0	509	430	1	468.474507769	517.642436149	0.00196463654224	191.851925365	1	0	0					
5	2	1	0	430	450	0	NaN	0	0	157.177624691	1	0	0					
5	3	1	0	695	504	4	403.097246738	1338.97410072	0.00575539568345	175.949432319	1	0	0					
5	4	1	0	724	473	5	337.951271399	1642.60635359	0.00690607734807	193.176065687	1	0	0					
5	5	1	0	536	440	16	369.312634157	10684.266791	0.0298507462687	225.442174587	1	0	0					
5	6	1	0	531	434	0	NaN	0	0	202.111129988	1	0	0					
5	7	1	0	534	455	30	351.717891368	18496.9307116	0.0561797752809	200.994527231	1	0	0					
5	8	1	0	528	461	54	370.520417798	34009.9848485	0.102272727273	221.71858781	1	0	0					
5	9	1	0	548	458	30	364.349053466	20624.3667883	0.0547445255474	202.957762056	1	0	0					
5	10	1	0	621	457	8	350.814401564	3044.90338164	0.0128824476651	189.182342266	1	0	0					
5	11	1	0	807	471	0	NaN	0	0	142.457030035	1	0	0					
5	12	1	0	572	408	5	379.834222408	2599.41258741	0.00874125874126	201.81504109	1	0	0					
5	13	1	0	594	414	2	373.177173333	880.260942761	0.003367003367	214.981761535	1	0	0					
