Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	68b4dc8b-3a9a-4190-bd62-4fd9c6ddf34d
Plate Name	P104400
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	593	417	26	351.179736464	14446.6306914	0.043844856661	251.693120324	1	0	0					
1	2	1	0	378	406	12	352.140814171	9718.47354497	0.031746031746	238.29209032	1	0	0					
1	3	1	0	681	458	36	355.624159186	17001.7151248	0.0528634361233	199.18492687	1	0	0					
1	4	1	0	632	463	1	344.156947147	379.588607595	0.00158227848101	198.025096912	1	0	0					
1	5	1	0	685	443	0	NaN	0	0	165.799041014	1	0	0					
1	6	1	0	611	457	4	376.76748003	1853.41080196	0.00654664484452	185.524685299	1	0	0					
1	7	1	0	623	453	6	363.192959569	2754.65810594	0.00963081861958	199.905087009	1	0	0					
1	8	1	0	676	420	34	360.247275352	15812.658284	0.0502958579882	239.861814059	1	0	0					
1	9	1	0	606	444	0	NaN	0	0	152.727122393	1	0	0					
1	10	1	0	560	443	0	NaN	0	0	122.117585313	1	0	0					
1	11	1	0	592	449	0	NaN	0	0	154.687372582	1	0	0					
1	12	1	0	586	432	2	332.63736656	1140.87201365	0.00341296928328	182.783093278	1	0	0					
1	13	1	0	577	437	3	446.715965531	1534.31715771	0.0051993067591	173.347119166	1	0	0					
1	14	1	0	549	430	1	353.257763475	399.797814208	0.00182149362477	166.632379665	1	0	0					
1	15	1	0	545	458	3	387.657144809	1172.21284404	0.00550458715596	167.091931885	1	0	0					
1	16	1	0	646	460	3	384.539513366	1307.42724458	0.0046439628483	155.607911153	1	0	0					
1	17	1	0	572	433	2	396.916931517	745.503496503	0.0034965034965	181.29369723	1	0	0					
1	18	1	0	513	412	3	345.625451323	1257.71929825	0.00584795321637	185.852112593	1	0	0					
1	19	1	0	601	426	3	360.246148064	1729.32445923	0.00499168053245	203.973473076	1	0	0					
1	20	1	0	596	420	14	363.108834039	6010.49496644	0.0234899328859	202.724438776	1	0	0					
1	21	1	0	583	389	2	398.192975696	1123.67409949	0.00343053173242	213.59712796	1	0	0					
1	22	1	0	572	456	0	NaN	0	0	143.534904971	1	0	0					
1	23	1	0	662	441	0	NaN	0	0	162.360641914	1	0	0					
1	24	1	0	572	438	156	445.288257309	128899.311189	0.272727272727	545.414326223	1	0	0					
2	1	1	0	532	431	156	439.923146938	139731.349624	0.293233082707	533.695113614	1	0	0					
2	2	1	0	705	445	39	356.842666825	17240.2312057	0.0553191489362	222.665395783	1	0	0					
2	3	1	0	695	426	2	353.246687572	1223.99856115	0.00287769784173	221.003179484	1	0	0					
2	4	1	0	696	469	4	352.227253632	1545.21695402	0.00574712643678	187.609612613	1	0	0					
2	5	1	0	646	466	26	357.776691977	12571.373065	0.0402476780186	206.067043968	1	0	0					
2	6	1	0	615	474	2	351.664874812	789.964227642	0.00325203252033	177.33409888	1	0	0					
2	7	1	0	691	467	3	344.155917503	1883.27785818	0.00434153400868	176.646130708	1	0	0					
2	8	1	0	758	496	6	422.641233531	2121.63060686	0.00791556728232	157.192093197	1	0	0					
2	9	1	0	603	445	1	346.370148948	544.611940299	0.0016583747927	166.76227244	1	0	0					
2	10	1	0	535	427	2	457.519477675	853.990654206	0.00373831775701	163.96399366	1	0	0					
2	11	1	0	662	454	5	410.858205685	2279.74773414	0.00755287009063	173.225038328	1	0	0					
2	12	1	0	575	448	1	348.455430118	373.980869565	0.00173913043478	156.077123525	1	0	0					
2	13	1	0	628	451	1	416.245901045	821.788216561	0.0015923566879	144.029070654	1	0	0					
2	14	1	0	686	475	1	388.003728138	356.978134111	0.00145772594752	156.451306371	1	0	0					
2	15	1	0	507	460	3	353.497435085	1341.68244576	0.00591715976331	143.901422495	1	0	0					
2	16	1	0	711	491	14	367.162359671	6000.6511955	0.0196905766526	179.728091388	1	0	0					
2	17	1	0	675	458	13	391.081427977	5634.61925926	0.0192592592593	180.366039931	1	0	0					
2	18	1	0	689	445	1	392.435432599	425.788098694	0.00145137880987	162.702618356	1	0	0					
2	19	1	0	715	471	18	357.535143494	7156.4965035	0.0251748251748	177.99671837	1	0	0					
2	20	1	0	707	458	1	367.338667825	424.118811881	0.001414427157	161.096060334	1	0	0					
2	21	1	0	539	425	0	NaN	0	0	167.709857439	1	0	0					
2	22	1	0	552	415	0	NaN	0	0	161.369545652	1	0	0					
2	23	1	0	588	444	1	412.527314704	404.421768707	0.00170068027211	169.914104983	1	0	0					
2	24	1	0	479	394	1	341.148144158	482.471816284	0.00208768267223	210.64131387	1	0	0					
3	1	1	0	648	442	6	351.038940583	2522.52623457	0.00925925925926	193.713913515	1	0	0					
3	2	1	0	609	415	22	364.460462232	12969.0164204	0.0361247947455	257.823997677	1	0	0					
3	3	1	0	746	487	1	355.845289529	283.664879357	0.00134048257373	161.774540518	1	0	0					
3	4	1	0	355	384	8	371.65526633	6783.77183099	0.0225352112676	235.065314399	1	0	0					
3	5	1	0	508	460	2	396.373135855	1059.33464567	0.00393700787402	165.724116257	1	0	0					
3	6	1	0	569	460	34	366.115707889	18733.0685413	0.0597539543058	199.555486767	1	0	0					
3	7	1	0	574	430	3	406.795330198	2362.71080139	0.00522648083624	204.838972418	1	0	0					
3	8	1	0	645	454	2	340.263189304	887.879069767	0.0031007751938	178.188903336	1	0	0					
3	9	1	0	702	451	1	341.504672152	344.562678063	0.0014245014245	157.597661762	1	0	0					
3	10	1	0	802	508	5	377.394843837	2035.41645885	0.00623441396509	150.906604563	1	0	0					
3	11	1	0	559	431	3	381.994038223	1855.52772809	0.00536672629696	194.846663185	1	0	0					
3	12	1	0	532	2	1	387.803619216	597.077067669	0.00187969924812	124073.25	1	0	0					
3	13	1	0	659	487	3	464.535440185	1969.42792109	0.00455235204856	131.838566592	1	0	0					
3	14	1	0	655	421	2	358.721254345	1071.53740458	0.0030534351145	186.931759582	1	0	0					
3	15	1	0	650	467	5	451.048265938	2277.41846154	0.00769230769231	147.824603717	1	0	0					
3	16	1	0	738	462	1	344.422182356	288.008130081	0.00135501355014	131.745460168	1	0	0					
3	17	1	0	642	422	1	342.836855299	549.750778816	0.00155763239875	205.474388491	1	0	0					
3	18	1	0	674	460	2	371.037815677	718.056379822	0.00296735905045	174.222121928	1	0	0					
3	19	1	0	756	470	25	399.838603941	10999.9854497	0.0330687830688	181.104006338	1	0	0					
3	20	1	0	598	414	56	416.723748699	42759.4899666	0.0936454849498	394.983663563	1	0	0					
3	21	1	0	671	492	0	NaN	0	0	132.889896887	1	0	0					
3	22	1	0	487	411	4	356.709727165	2067.9835729	0.0082135523614	195.339194061	1	0	0					
3	23	1	0	621	453	1	346.947397433	363.586151369	0.00161030595813	150.39935383	1	0	0					
3	24	1	0	404	414	4	399.002027675	3068.20792079	0.00990099009901	192.316559313	1	0	0					
4	1	1	0	562	455	6	375.379862273	5631.17081851	0.0106761565836	211.128771887	1	0	0					
4	2	1	0	503	405	11	348.479823684	7409.12326044	0.0218687872763	221.551501296	1	0	0					
4	3	1	0	675	452	2	347.997273805	1245.87555556	0.00296296296296	151.819186115	1	0	0					
4	4	1	0	733	441	1	335.691708471	308.957708049	0.00136425648022	198.582360231	1	0	0					
4	5	1	0	493	400	114	463.335707544	117487.070994	0.231237322515	589.74235	1	0	0					
4	6	1	0	792	3	0	NaN	0	0	55884.8888889	1	0	0					
4	7	1	0	679	416	5	370.514970981	1795.48306333	0.00736377025037	204.973684819	1	0	0					
4	8	1	0	795	487	2	373.751090583	1222.48176101	0.00251572327044	168.216145449	1	0	0					
