Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	8a8bbece-1a7a-406f-af43-1791c697b4df
Plate Name	P104401
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	419	422	3	503.552289285	3548.13365155	0.00715990453461	216.527082725	1	0	0					
1	2	1	0	637	477	5	369.600509906	2381.95290424	0.00784929356358	170.979817957	1	0	0					
1	3	1	0	613	464	2	451.155573835	893.924959217	0.00326264274062	177.237519508	1	0	0					
1	4	1	0	472	427	3	357.178246354	1611.13559322	0.00635593220339	197.248567151	1	0	0					
1	5	1	0	645	451	3	359.448112788	1045.80310078	0.0046511627907	185.108667116	1	0	0					
1	6	1	0	452	411	12	395.798611788	7815.97787611	0.0265486725664	237.510433871	1	0	0					
1	7	1	0	580	429	5	363.068525743	2273.05517241	0.00862068965517	205.437244962	1	0	0					
1	8	1	0	666	431	6	377.365923574	2454.04804805	0.00900900900901	205.615796642	1	0	0					
1	9	1	0	678	425	4	349.845114839	1363.4660767	0.00589970501475	203.781049135	1	0	0					
1	10	1	0	562	420	3	359.94471788	1363.60498221	0.00533807829181	193.309450113	1	0	0					
1	11	1	0	536	400	21	362.488418348	12417.0802239	0.0391791044776	244.338125	1	0	0					
1	12	1	0	573	438	10	388.580938661	5251.2408377	0.0174520069808	197.57604095	1	0	0					
1	13	1	0	652	377	0	NaN	0	0	198.451885259	1	0	0					
1	14	1	0	565	418	5	360.997897854	2098.74867257	0.00884955752212	171.368306586	1	0	0					
1	15	1	0	613	415	0	NaN	0	0	192.225518943	1	0	0					
1	16	1	0	303	363	1	419.891775881	993.191419142	0.003300330033	198.825626665	1	0	0					
1	17	1	0	501	394	1	342.863430716	430.97005988	0.00199600798403	191.972757608	1	0	0					
1	18	1	0	673	468	3	384.442409201	2733.64784547	0.00445765230312	162.576361495	1	0	0					
1	19	1	0	335	350	0	NaN	0	0	211.139959184	1	0	0					
1	20	1	0	505	390	8	353.168730557	4567.87722772	0.0158415841584	235.196015779	1	0	0					
1	21	1	0	618	446	5	355.747437748	2170.20064725	0.00809061488673	176.418684269	1	0	0					
1	22	1	0	436	419	17	358.678850079	11768.9243119	0.0389908256881	213.227624586	1	0	0					
1	23	1	0	534	472	4	354.557430624	2185.62546816	0.00749063670412	173.23107584	1	0	0					
1	24	1	0	469	409	130	479.576128539	159057.136461	0.277185501066	598.603625038	1	0	0					
2	1	1	0	584	392	133	445.926353008	118834.320205	0.227739726027	618.343704446	1	0	0					
2	2	1	0	566	415	0	NaN	0	0	169.1072144	1	0	0					
2	3	1	0	479	436	1	371.653877391	457.056367432	0.00208768267223	200.331427279	1	0	0					
2	4	1	0	441	419	3	345.308981565	2791.65759637	0.00680272108844	177.167166968	1	0	0					
2	5	1	0	648	456	4	366.550167281	2478.48765432	0.00617283950617	179.452923015	1	0	0					
2	6	1	0	478	441	22	348.407867893	17007.9665272	0.0460251046025	255.220705365	1	0	0					
2	7	1	0	643	480	18	359.408113579	7663.21461897	0.0279937791602	196.768359375	1	0	0					
2	8	1	0	560	453	15	353.801274327	9266.96071429	0.0267857142857	212.895491913	1	0	0					
2	9	1	0	495	447	8	364.505734894	4523.66666667	0.0161616161616	175.626888679	1	0	0					
2	10	1	0	576	432	11	362.000734844	8748.52430556	0.0190972222222	206.875037509	1	0	0					
2	11	1	0	483	408	8	361.093385827	4875.76397516	0.0165631469979	226.81435025	1	0	0					
2	12	1	0	636	473	3	352.826380729	1388.86320755	0.00471698113208	189.923720215	1	0	0					
2	13	1	0	564	421	3	409.949241434	1657.63475177	0.00531914893617	194.25546008	1	0	0					
2	14	1	0	630	458	0	NaN	0	0	132.047391354	1	0	0					
2	15	1	0	521	425	4	383.759852924	1915.35316699	0.00767754318618	179.018519031	1	0	0					
2	16	1	0	574	375	1	411.641506411	435.524390244	0.00174216027875	221.704924444	1	0	0					
2	17	1	0	590	440	1	397.063638884	672.055932203	0.00169491525424	167.168161157	1	0	0					
2	18	1	0	637	467	4	382.040360124	1509.07064364	0.00627943485086	173.132643095	1	0	0					
2	19	1	0	411	412	11	379.379442649	8123.87104623	0.0267639902676	193.310585352	1	0	0					
2	20	1	0	595	429	1	525.928952607	478.536134454	0.00168067226891	163.024510843	1	0	0					
2	21	1	0	461	412	1	341.733129788	529.201735358	0.00216919739696	176.631309501	1	0	0					
2	22	1	0	624	444	1	337.453548005	389.102564103	0.00160256410256	166.220254038	1	0	0					
2	23	1	0	608	415	7	413.761588904	4108.05427632	0.0115131578947	180.051961097	1	0	0					
2	24	1	0	532	401	1	337.780390895	403.402255639	0.00187969924812	172.724050224	1	0	0					
3	1	1	0	563	446	2	358.355780267	850.777975133	0.00355239786856	189.211315329	1	0	0					
3	2	1	0	490	458	0	NaN	0	0	149.18041704	1	0	0					
3	3	1	0	599	446	2	347.01032859	713.390651085	0.00333889816361	169.410917171	1	0	0					
3	4	1	0	601	473	1	532.19960761	514.183028286	0.00166389351082	153.782446621	1	0	0					
3	5	1	0	413	421	7	361.668217651	4921.49394673	0.0169491525424	227.583533155	1	0	0					
3	6	1	0	687	461	7	347.210827081	3094.83551674	0.0101892285298	193.870281055	1	0	0					
3	7	1	0	769	449	15	354.648290162	5690.79323797	0.0195058517555	190.946508202	1	0	0					
3	8	1	0	565	446	17	353.315788616	7895.34159292	0.0300884955752	209.694112088	1	0	0					
3	9	1	0	679	477	1	796.162453869	939.042709867	0.00147275405007	149.158946772	1	0	0					
3	10	1	0	516	456	22	374.768401482	13053.1492248	0.0426356589147	204.976863073	1	0	0					
3	11	1	0	662	433	48	375.153483261	24148.194864	0.0725075528701	234.767938386	1	0	0					
3	12	1	0	624	436	11	363.377956876	5522.89102564	0.0176282051282	196.399598098	1	0	0					
3	13	1	0	559	445	18	359.330025893	10051.5939177	0.0322003577818	199.902153768	1	0	0					
3	14	1	0	777	462	2	353.598189531	606.997425997	0.002574002574	150.563552969	1	0	0					
3	15	1	0	636	418	2	362.691847079	896.610062893	0.00314465408805	187.94938875	1	0	0					
3	16	1	0	490	429	0	NaN	0	0	153.208583957	1	0	0					
3	17	1	0	634	457	1	360.329853328	449.58044164	0.00157728706625	157.897887948	1	0	0					
3	18	1	0	643	474	1	453.29775446	639.726283048	0.00155520995334	139.708224287	1	0	0					
3	19	1	0	600	416	0	NaN	0	0	174.318856324	1	0	0					
3	20	1	0	502	392	78	441.725169338	81710.189243	0.155378486056	507.522191274	1	0	0					
3	21	1	0	505	458	1	349.569818611	428.152475248	0.0019801980198	164.342408612	1	0	0					
