Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	aee9b2b7-587a-476b-92b6-73ecd3cb3ffe
Plate Name	P104402
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	573	438	8	352.85159087	3725.93193717	0.0139616055846	207.567523613	1	0	0					
1	2	1	0	521	415	4	351.941470624	1665.59309021	0.00767754318618	204.363164465	1	0	0					
1	3	1	0															
1	4	1	0	542	436	2	375.524544005	1900.75092251	0.00369003690037	179.499337177	1	0	0					
1	5	1	0	661	403	7	369.886604872	2834.86384266	0.0105900151286	214.140047657	1	0	0					
1	6	1	0	523	436	5	346.459436161	3006.60611855	0.00956022944551	192.527223087	1	0	0					
1	7	1	0	562	418	1	382.920797339	401.364768683	0.0017793594306	185.154832765	1	0	0					
1	8	1	0	802	429	23	393.081157004	9806.80174564	0.0286783042394	231.096032949	1	0	0					
1	9	1	0	631	431	1	389.70351127	459.090332805	0.00158478605388	187.65730697	1	0	0					
1	10	1	0	478	370	0	NaN	0	0	203.184769905	1	0	0					
1	11	1	0	609	412	8	387.857166596	3872.22824302	0.0131362889984	246.663982232	1	0	0					
1	12	1	0	632	421	68	382.244350504	35219.9066456	0.107594936709	280.501114302	1	0	0					
1	13	1	0	583	441	4	363.813511708	1787.24185249	0.00686106346484	154.805687959	1	0	0					
1	14	1	0	774	453	8	376.573445608	2820.95736434	0.0103359173127	195.577937615	1	0	0					
1	15	1	0	526	404	11	370.781335506	6535.07984791	0.0209125475285	219.67792986	1	0	0					
1	16	1	0	710	454	12	380.740177109	4360.7971831	0.0169014084507	203.700280425	1	0	0					
1	17	1	0	634	439	33	361.003367787	17267.7271293	0.0520504731861	218.371480015	1	0	0					
1	18	1	0	160	332	2	436.378039081	4903.975	0.0125	193.5625	1	0	0					
1	19	1	0	634	402	19	369.268215835	9004.71135647	0.0299684542587	254.386005297	1	0	0					
1	20	1	0	618	450	23	361.638809874	11615.066343	0.037216828479	226.228750617	1	0	0					
1	21	1	0	312	364	9	354.691053027	8586.15384615	0.0288461538462	235.915604999	1	0	0					
1	22	1	0	710	447	6	405.790526941	3128.66760563	0.00845070422535	200.654685224	1	0	0					
1	23	1	0	457	377	11	372.599137026	7329.94967177	0.0240700218818	215.249245404	1	0	0					
1	24	1	0	594	411	244	536.045332043	275810.976431	0.410774410774	1072.53609676	1	0	0					
2	1	1	0	733	392	193	439.216331142	126697.869031	0.263301500682	745.827389629	1	0	0					
2	2	1	0	155	402	5	389.464648523	11735.4	0.0322580645161	189.658814138	1	0	0					
2	3	1	0	627	455	7	391.521847269	3046.03827751	0.0111642743222	175.033198889	1	0	0					
2	4	1	0	642	442	20	362.338668712	9773.68691589	0.0311526479751	212.670932209	1	0	0					
2	5	1	0	632	433	37	356.885270793	19223.5870253	0.0585443037975	228.863015964	1	0	0					
2	6	1	0	566	421	21	360.62385597	11008.5671378	0.0371024734982	242.699256944	1	0	0					
2	7	1	0	560	443	8	360.059043622	4617.13928571	0.0142857142857	194.071567244	1	0	0					
2	8	1	0	657	450	4	382.743234451	1897.23744292	0.00608828006088	185.107703704	1	0	0					
2	9	1	0	714	464	4	369.568099654	1221.06722689	0.00560224089636	183.895664573	1	0	0					
2	10	1	0	582	417	9	380.179098046	5741.7233677	0.0154639175258	246.102088114	1	0	0					
2	11	1	0	781	452	8	358.552835202	2771.35211268	0.0102432778489	198.386433942	1	0	0					
2	12	1	0	541	418	21	366.566136237	12516.7375231	0.0388170055453	246.0153442	1	0	0					
2	13	1	0	690	451	14	402.602466713	7742.50869565	0.0202898550725	190.462770586	1	0	0					
2	14	1	0	523	394	13	375.93659550899997	10167.3116635	0.0248565965583	221.557518874	1	0	0					
2	15	1	0	514	424	31	367.277659393	21206.2743191	0.0603112840467	230.624972188	1	0	0					
2	16	1	0	561	9	4	364.457569466	1970.86987522	0.00713012477718	21834.5802469	1	0	0					
2	17	1	0	578	470	40	367.730795344	22705.0224913	0.0692041522491	205.502200091	1	0	0					
2	18	1	0	679	424	6	368.743918642	2843.35051546	0.00883652430044	215.604719206	1	0	0					
2	19	1	0	582	413	14	359.624466217	7629.11683849	0.0240549828179	241.171414501	1	0	0					
2	20	1	0	667	471	0	NaN	0	0	151.236466659	1	0	0					
2	21	1	0	555	417	5	359.219317097	2135.11531532	0.00900900900901	180.409922422	1	0	0					
2	22	1	0	769	465	0	NaN	0	0	171.606465487	1	0	0					
2	23	1	0	622	423	7	361.358893274	3272.34726688	0.0112540192926	205.530981563	1	0	0					
2	24	1	0	640	467	11	359.627624073	5439.5796875	0.0171875	211.410956078	1	0	0					
3	1	1	0	514	409	13	381.723298793	11097.2548638	0.0252918287938	231.487383504	1	0	0					
3	2	1	0	314	383	2	347.590341717	1596.05732484	0.00636942675159	197.670288842	1	0	0					
3	3	1	0	757	463	2	355.248054956	1084.04359313	0.00264200792602	184.837761057	1	0	0					
3	4	1	0	844	454	1	363.147546162	411.568720379	0.00118483412322	176.72551864	1	0	0					
3	5	1	0	784	474	6	415.055005525	2698.30994898	0.00765306122449	179.638239064	1	0	0					
3	6	1	0	531	400	10	365.585035853	6769.07344633	0.0188323917137	222.87298125	1	0	0					
3	7	1	0	587	430	17	351.182359082	10758.0562181	0.0289608177172	221.271595457	1	0	0					
3	8	1	0	328	384	2	366.256956109	1476.86585366	0.00609756097561	181.675923665	1	0	0					
3	9	1	0	583	407	7	363.38959785	2913.7787307	0.0120068610635	189.196348906	1	0	0					
3	10	1	0	708	299	20	360.232173785	7850.52542373	0.0282485875706	318.63113388	1	0	0					
3	11	1	0	610	405	2	366.468739425	1606.00655738	0.00327868852459	199.310007621	1	0	0					
3	12	1	0	585	434	13	355.511689582	6816.2017094	0.0222222222222	204.709226146	1	0	0					
3	13	1	0	529	425	31	377.722615869	17286.241966	0.0586011342155	227.772838754	1	0	0					
3	14	1	0	582	418	28	368.546688618	17842.0670103	0.0481099656357	237.347845745	1	0	0					
3	15	1	0	638	433	5	384.68551893	2662.17868339	0.00783699059561	212.828187254	1	0	0					
3	16	1	0	555	423	1	351.434788054	433.4	0.0018018018018	176.132762157	1	0	0					
3	17	1	0	499	358	11	358.527574204	5977.78757515	0.0220440881764	229.306123404	1	0	0					
3	18	1	0	591	447	10	369.210871522	4159.33164129	0.0169204737733	182.593661947	1	0	0					
3	19	1	0	646	441	30	367.098760522	13771.6609907	0.046439628483	220.468549627	1	0	0					
3	20	1	0	479	360	92	466.962364943	98669.8079332	0.192066805846	599.390216049	1	0	0					
3	21	1	0	676	459	12	355.395214702	5606.18195266	0.0177514792899	192.808862688	1	0	0					
3	22	1	0	494	404	3	350.514414824	1583.31174089	0.00607287449393	207.73889202	1	0	0					
3	23	1	0	538	386	1	364.43559795	468.384758364	0.00185873605948	204.818391098	1	0	0					
3	24	1	0	296	358	13	378.817433872	13569.9222973	0.0439189189189	245.054914016	1	0	0					
4	1	1	0	497	468	5	752.058980543	5237.90945674	0.010060362173	159.778079115	1	0	0					
4	2	1	0	608	428	2	400.310528289	957.611842105	0.00328947368421	182.269166521	1	0	0					
4	3	1	0	374	404	9	376.918860323	7884.46256684	0.024064171123	206.972704882	1	0	0					
4	4	1	0	524	439	6	352.755615879	4256.41412214	0.0114503816794	216.353635566	1	0	0					
4	5	1	0	522	378	173	486.444193804	199391.337165	0.331417624521	840.909807956	1	0	0					
4	6	1	0	357	393	1	335.351684646	874.817927171	0.00280112044818	174.977876192	1	0	0					
4	7	1	0	684	51	6	673.858840648	5155.31725146	0.00877192982456	3378.70626682	1	0	0					
4	8	1	0	488	404	8	807.762896837	13585.8155738	0.016393442623	235.436685129	1	0	0					
4	9	1	0	588	459	6	350.874065408	3090.79761905	0.0102040816327	186.119692806	1	0	0					
4	10	1	0	624	421	19	363.448818767	8840.63621795	0.0304487179487	198.891215915	1	0	0					
4	11	1	0	592	405	165	440.358670349	141610.028716	0.278716216216	667.823685414	1	0	0					
4	12	1	0	627	454	3	558.04685062	1346.92025518	0.00478468899522	168.086349434	1	0	0					
4	13	1	0	477	439	0	NaN	0	0	146.47835472	1	0	0					
4	14	1	0	652	454	3	402.667182964	1138.1809816	0.00460122699387	175.385913757	1	0	0					
4	15	1	0	564	439	1	610.179153078	512.875886525	0.00177304964539	155.787179394	1	0	0					
4	16	1	0	386	391	13	365.411450201	12354.5958549	0.0336787564767	227.118497393	1	0	0					
4	17	1	0	337	384	5	447.114268574	7169.76557864	0.0148367952522	211.011732313	1	0	0					
4	18	1	0	612	454	3	405.535782146	1789.06372549	0.00490196078431	164.102592715	1	0	0					
4	19	1	0	623	445	7	393.198812453	3223.8988764	0.0112359550562	182.167968691	1	0	0					
4	20	1	0	683	431	1	351.290593743	497.751098097	0.00146412884334	148.216423254	1	0	0					
4	21	1	0	499	407	8	396.417463937	5562.16833667	0.0160320641283	188.601096294	1	0	0					
4	22	1	0	468	388	6	364.046669879	4272.39316239	0.0128205128205	218.876394941	1	0	0					
4	23	1	0	459	422	0	NaN	0	0	176.487887738	1	0	0					
4	24	1	0	692	455	1	358.175433737	336.841040462	0.0014450867052	180.282077044	1	0	0					
5	1	1	0	575	393	12	372.109909774	7446.4	0.0208695652174	246.011479518	1	0	0					
5	2	1	0	642	473	0	NaN	0	0	156.147625028	1	0	0					
5	3	1	0	441	425	1	364.619626458	936.979591837	0.0022675736961500002	167.448979931	1	0	0					
5	4	1	0	545	452	2	518.078697102	2382.54495413	0.00366972477064	181.647236471	1	0	0					
5	5	1	0	399	2	2	3150.52119296	10221.8270677	0.00501253132832	1019627.25	1	0	0					
5	6	1	0	521	381	18	356.045423973	12110.4491363	0.0345489443378	250.630637706	1	0	0					
5	7	1	0	709	458	8	356.602529237	3115.89562764	0.0112834978843	194.892631719	1	0	0					
5	8	1	0	704	469	32	359.444453554	13336.7315341	0.0454545454545	202.962061456	1	0	0					
5	9	1	0	411	389	18	357.266813073	14374.1435523	0.043795620438	226.839962728	1	0	0					
5	10	1	0	661	465	1	394.014204034	308.49924357	0.00151285930408	171.301616372	1	0	0					
5	11	1	0	473	322	18	370.811745467	10889.8097252	0.0380549682875	282.08794028	1	0	0					
5	12	1	0	478	335	9	353.968309271	5721.71966527	0.0188284518828	236.987462687	1	0	0					
5	13	1	0	559	445	0	NaN	0	0	156.382446661	1	0	0					
5	14	1	0	491	400	9	479.845129166	6081.71894094	0.0183299389002	225.2791375	1	0	0					
5	15	1	0	600	418	3	403.123300841	1239.16666667	0.005	197.719878208	1	0	0					
5	16	1	0	663	472	20	359.283123125	9473.22926094	0.0301659125189	196.325997379	1	0	0					
5	17	1	0	475	382	168	530.654166473	225946.995789	0.353684210526	870.572284203	1	0	0					
5	18	1	0	667	445	5	343.621177962	1791.21589205	0.00749625187406	164.740931701	1	0	0					
5	19	1	0	498	393	1	353.567529546	473.987951807	0.00200803212851	212.495729982	1	0	0					
5	20	1	0	546	432	21	363.526391007	13333.003663	0.0384615384615	211.500873414	1	0	0					
5	21	1	0	764	400	1	1197.00822572	799.87565445	0.00130890052356	183.47220625	1	0	0					
5	22	1	0	164	322	69	644.288985687	417671.5	0.420731707317	814.032174685	1	0	0					
5	23	1	0	561	399	4	378.748465817	2505.50445633	0.00713012477718	191.20925748	1	0	0					
5	24	1	0	575	394	5	353.228462185	3677.30434783	0.00869565217391	235.261756294	1	0	0					
6	1	1	0	510	398	0	NaN	0	0	184.772038585	1	0	0					
6	2	1	0	442	393	180	448.080986998	215801.604072	0.407239819005	751.73478624	1	0	0					
6	3	1	0	536	443	2	398.133044989	1205.35261194	0.00373134328358	191.333372399	1	0	0					
6	4	1	0	672	452	2	341.356135693	745.9375	0.00297619047619	189.764992364	1	0	0					
6	5	1	0	292	387	2	367.93682934	3092.75684932	0.00684931506849	214.688593768	1	0	0					
6	6	1	0	640	429	25	369.224535385	12235.125	0.0390625	224.493819312	1	0	0					
6	7	1	0	557	426	26	358.150715781	15290.6427289	0.0466786355476	231.621641429	1	0	0					
6	8	1	0	580	461	34	352.382848634	18799.6155172	0.0586206896552	222.413860277	1	0	0					
6	9	1	0	711	477	38	372.289541272	17099.6075949	0.0534458509142	198.24543245	1	0	0					
6	10	1	0	567	455	39	366.621190668	22680.2663139	0.0687830687831	214.966888057	1	0	0					
6	11	1	0	622	416	22	381.86515962	11984.3311897	0.0353697749196	240.287144046	1	0	0					
6	12	1	0	658	434	42	368.779633321	20172.781155	0.063829787234	221.905248572	1	0	0					
6	13	1	0	615	430	3	357.525528756	1668.22601626	0.00487804878049	174.722212006	1	0	0					
6	14	1	0	676	456	0	NaN	0	0	155.003929094	1	0	0					
6	15	1	0	674	438	18	391.185679203	10881.1379822	0.026706231454	211.36482246	1	0	0					
6	16	1	0	433	340	2	343.013825901	1016.62817552	0.00461893764434	228.700882353	1	0	0					
6	17	1	0	635	434	1	374.812704868	785.640944882	0.00157480314961	162.137388774	1	0	0					
6	18	1	0	461	310	9	528.940529746	12238.3383948	0.0195227765727	315.575920916	1	0	0					
6	19	1	0	582	443	1	322.210170107	346.312714777	0.00171821305842	147.74098212	1	0	0					
6	20	1	0	723	457	7	428.266369291	3662.13692946	0.00968188105118	186.241767976	1	0	0					
6	21	1	0	545	443	3	352.973232447	1907.57614679	0.00550458715596	181.891622378	1	0	0					
6	22	1	0	559	427	8	376.829066885	4111.86940966	0.0143112701252	189.801775911	1	0	0					
6	23	1	0	567	433	2	353.908681326	771.261022928	0.00352733686067	152.816650577	1	0	0					
6	24	1	0	426	55	23	1409.19117059	38123.3380282	0.0539906103286	9754.44198347	1	0	0					
7	1	1	0	411	413	6	357.484252277	4605.20924574	0.014598540146	215.607701282	1	0	0					
7	2	1	0	522	391	3	388.213777435	1729.42720307	0.00574712643678	217.553044525	1	0	0					
7	3	1	0	555	461	4	379.917847531	2545.21081081	0.00720720720721	185.848080896	1	0	0					
7	4	1	0	567	460	3	353.401609829	1516.70899471	0.00529100529101	186.986086957	1	0	0					
7	5	1	0	665	437	3	383.532051909	1052.38496241	0.00451127819549	172.825280543	1	0	0					
7	6	1	0	654	480	22	356.569320931	10279.6834862	0.0336391437309	203.965021701	1	0	0					
7	7	1	0	368	390	121	514.268501192	200676.149457	0.328804347826	637.873530572	1	0	0					
7	8	1	0	501	395	5	417.273684027	2998.65469062	0.00998003992016	255.049216472	1	0	0					
7	9	1	0	563	408	4	369.388206991	2043.80994671	0.00710479573712	217.256415802	1	0	0					
7	10	1	0	647	445	9	381.027751988	6463.29520866	0.0139103554869	220.006130539	1	0	0					
7	11	1	0	562	436	6	403.017181449	3751.57295374	0.0106761565836	214.428194176	1	0	0					
7	12	1	0	521	418	21	358.288141919	13855.3550864	0.0403071017274	212.843043886	1	0	0					
7	13	1	0	693	424	28	369.026569818	14309.9206349	0.040404040404	240.300752047	1	0	0					
7	14	1	0	524	436	45	368.928732697	26573.0992366	0.0858778625954	233.854557697	1	0	0					
7	15	1	0	536	413	7	371.403284355	3808.67164179	0.0130597014925	204.452256858	1	0	0					
7	16	1	0	539	421	3	365.624579369	1169.27272727	0.00556586270872	191.306627699	1	0	0					
7	17	1	0	519	427	24	358.297860466	13209.0693642	0.0462427745665	209.365169556	1	0	0					
7	18	1	0	582	415	0	NaN	0	0	186.521776746	1	0	0					
7	19	1	0	567	431	2	361.078395585	877.989417989	0.00352733686067	185.592637852	1	0	0					
7	20	1	0	632	436	5	353.328143527	1979.88449367	0.00791139240506	186.826950593	1	0	0					
7	21	1	0	590	402	5	379.501663418	2208.46440678	0.00847457627119	204.414247172	1	0	0					
7	22	1	0	557	447	0	NaN	0	0	165.724141555	1	0	0					
7	23	1	0	559	432	0	NaN	0	0	157.003290038	1	0	0					
7	24	1	0	598	464	11	359.050168816	6021.12040134	0.0183946488294	201.176830968	1	0	0					
8	1	1	0	406	402	2	467.576938803	2540.81527094	0.00492610837438	209.125163981	1	0	0					
8	2	1	0	575	464	5	344.535827725	2023.67304348	0.00869565217391	185.746469976	1	0	0					
8	3	1	0	591	467	13	352.840438839	5836.34517766	0.0219966159052	223.361554228	1	0	0					
8	4	1	0	650	460	4	422.329566805	2115.09846154	0.00615384615385	194.705340265	1	0	0					
8	5	1	0	641	471	3	359.486957457	1363.92823713	0.00468018720749	199.548419814	1	0	0					
8	6	1	0	699	478	23	350.48985304	11472.2718169	0.032904148784	203.196832163	1	0	0					
8	7	1	0	520	426	23	368.056504717	13577.4846154	0.0442307692308	250.007427979	1	0	0					
8	8	1	0	527	442	4	364.000515195	1905.51802657	0.00759013282732	196.05855736	1	0	0					
8	9	1	0	601	471	3	457.193508787	1932.24126456	0.00499168053245	194.204141705	1	0	0					
8	10	1	0	329	367	3	366.149458027	1965.19452888	0.00911854103343	209.788861748	1	0	0					
8	11	1	0	532	429	2	436.754685579	1137.62781955	0.00375939849624	188.49293364	1	0	0					
8	12	1	0	614	426	7	346.844065542	2545.62214984	0.0114006514658	198.450065022	1	0	0					
8	13	1	0	618	441	16	390.603613294	7730.03721683	0.0258899676375	206.921853549	1	0	0					
8	14	1	0	501	391	200	505.774148527	248989.516966	0.399201596806	923.596365801	1	0	0					
8	15	1	0	523	408	0	NaN	0	0	177.629253172	1	0	0					
8	16	1	0	645	441	5	354.710662584	2210.58914729	0.0077519379845	180.21781048	1	0	0					
8	17	1	0	689	444	2	339.477802704	735.277213353	0.00290275761974	189.181509212	1	0	0					
8	18	1	0	650	452	11	362.679851671	5516.38923077	0.0169230769231	189.543748532	1	0	0					
8	19	1	0	749	451	18	368.368809333	7505.63017356	0.0240320427236	206.254836505	1	0	0					
8	20	1	0	604	460	1	344.27432563	436.493377483	0.00165562913907	162.111138941	1	0	0					
8	21	1	0	557	428	3	399.396929733	1332.5475763	0.00538599640934	152.673443095	1	0	0					
8	22	1	0	393	412	1	341.553244275	659.44783715	0.00254452926209	191.870628711	1	0	0					
8	23	1	0	704	487	1	352.689139305	444.072443182	0.00142045454545	155.384510623	1	0	0					
8	24	1	0	599	424	4	339.607757824	2002.2754591	0.00667779632721	193.196650276	1	0	0					
9	1	1	0	713	446	10	360.309216152	3993.89901823	0.0140252454418	218.023633091	1	0	0					
9	2	1	0	571	411	1	335.409627239	512.444833625	0.00175131348511	175.781489572	1	0	0					
9	3	1	0	577	447	2	343.503175198	1021.17157712	0.00346620450607	163.807531192	1	0	0					
9	4	1	0	641	454	26	350.591037368	11792.8486739	0.0405616224649	210.498529954	1	0	0					
9	5	1	0	608	448	1	420.909474247	382.559210526	0.00164473684211	178.732685945	1	0	0					
9	6	1	0	555	455	20	369.817178156	9159.71171171	0.036036036036	210.248573844	1	0	0					
9	7	1	0	652	458	46	359.763573305	22440.8849693	0.0705521472393	216.090511241	1	0	0					
9	8	1	0	548	432	6	349.790122721	5197.82116788	0.0109489051095	213.477585948	1	0	0					
9	9	1	0	650	465	9	356.111063333	3360.22923077	0.0138461538462	190.032632674	1	0	0					
9	10	1	0	713	485	31	370.992084534	12290.2384292	0.0434782608696	206.746344989	1	0	0					
9	11	1	0	612	410	10	366.2630031	4496.5620915	0.016339869281	209.738953004	1	0	0					
9	12	1	0	776	473	3	353.13260212	1196.08762887	0.00386597938144	197.065968203	1	0	0					
9	13	1	0	761	452	35	360.395091739	13390.6622865	0.0459921156373	223.323395528	1	0	0					
9	14	1	0	583	461	7	360.108525308	3376.94511149	0.0120068610635	178.095124717	1	0	0					
9	15	1	0	504	410	11	368.478330113	6367.81349206	0.0218253968254	210.641005354	1	0	0					
9	16	1	0	858	170	1	356.518893723	406.787878788	0.0011655011655	531.579134948	1	0	0					
9	17	1	0	552	407	6	375.561991575	4466.82065217	0.0108695652174	243.893250186	1	0	0					
9	18	1	0	547	459	6	357.69487216	3239.39122486	0.0109689213894	178.091152026	1	0	0					
9	19	1	0	546	419	5	347.796535263	2261.21611722	0.00915750915751	178.181014007	1	0	0					
9	20	1	0	645	415	0	NaN	0	0	151.600702569	1	0	0					
9	21	1	0	487	407	121	480.80915627	141170.533881	0.248459958932	607.599937217	1	0	0					
9	22	1	0	581	330	0	NaN	0	0	280.227759412	1	0	0					
9	23	1	0	521	437	5	408.544280246	4096.80230326	0.00959692898273	196.098513371	1	0	0					
9	24	1	0	655	414	5	371.389625599	2070.04580153	0.00763358778626	211.59957642	1	0	0					
10	1	1	0	613	483	1	546.368768788	601.295269168	0.00163132137031	170.38791799	1	0	0					
