Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	c0452bda-8de8-4744-9423-fdd42aebf623
Plate Name	P104403
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	384	412	12	363.940087528	11697.6510417	0.03125	224.1394335	1	0	0					
1	2	1	0	484	400	14	392.96311111	9798.83884298	0.0289256198347	244.0766375	1	0	0					
1	3	1	0	105	355	7	420.984046459	17016.2	0.0666666666667	212.412211863	1	0	0					
1	4	1	0	372	365	19	353.27804085	17998.7688172	0.0510752688172	286.769457684	1	0	0					
1	5	1	0	292	343	0	NaN	0	0	195.576511488	1	0	0					
1	6	1	0	529	449	7	369.285497066	3614.81096408	0.0132325141777	235.817679476	1	0	0					
1	7	1	0	537	421	8	356.029371589	4090.56052142	0.0148975791434	210.67371545	1	0	0					
1	8	1	0	540	437	18	370.257824176	9108.01296296	0.0333333333333	203.256460473	1	0	0					
1	9	1	0	557	419	18	370.381081027	12654.9012567	0.032315978456	242.473106214	1	0	0					
1	10	1	0	568	451	42	384.742362449	23895.2464789	0.0739436619718	220.672567981	1	0	0					
1	11	1	0	689	452	1	344.488744593	364.650217707	0.00145137880987	186.165214582	1	0	0					
1	12	1	0	490	434	4	453.707799707	3157.05714286	0.00816326530612	183.804731466	1	0	0					
1	13	1	0	518	390	17	428.957397852	11328.8146718	0.0328185328185	249.814773176	1	0	0					
1	14	1	0	447	391	22	375.766372361	14880.6353468	0.0492170022371	237.198710108	1	0	0					
1	15	1	0	514	439	37	366.810480967	23478.3949416	0.0719844357977	256.451414221	1	0	0					
1	16	1	0	506	419	6	408.749476439	3345.70355731	0.0118577075099	198.80159033	1	0	0					
1	17	1	0	462	429	44	382.403023079	29736.5800866	0.0952380952381	230.588368896	1	0	0					
1	18	1	0	510	378	5	359.537782113	3350.91372549	0.00980392156863	239.200071387	1	0	0					
1	19	1	0	510	456	24	379.997692639	14981.527451	0.0470588235294	218.770251424	1	0	0					
1	20	1	0	475	456	21	371.641015515	14444.4905263	0.0442105263158	189.56040801	1	0	0					
1	21	1	0	375	404	9	371.57369977	9001.29333333	0.024	224.569374326	1	0	0					
1	22	1	0	543	440	1	364.887175442	387.362799263	0.00184162062615	180.545769628	1	0	0					
1	23	1	0	336	374	9	369.661862724	9333.9672619	0.0267857142857	211.592031514	1	0	0					
1	24	1	0	608	428	220	504.963186324	223445.633224	0.361842105263	836.619066076	1	0	0					
2	1	1	0	531	436	190	457.884431059	179158.062147	0.357815442561	606.373590186	1	0	0					
2	2	1	0	571	451	10	370.340000588	7874.06654991	0.0175131348511	215.706948343	1	0	0					
2	3	1	0	524	407	4	396.595716131	3271.64885496	0.00763358778626	193.289865921	1	0	0					
2	4	1	0	581	433	4	361.709032818	1936.69879518	0.00688468158348	182.788819611	1	0	0					
2	5	1	0	565	438	0	NaN	0	0	165.645753842	1	0	0					
2	6	1	0	726	473	1	339.68435501	623.418732782	0.00137741046832	169.07723183	1	0	0					
2	7	1	0	660	443	19	363.974587737	9470.38787879	0.0287878787879	227.801665231	1	0	0					
2	8	1	0	558	440	30	374.116584563	16384.6792115	0.0537634408602	220.542887397	1	0	0					
2	9	1	0	556	432	50	381.684316968	29649.1978417	0.089928057554	238.348465364	1	0	0					
2	10	1	0	648	424	47	375.399406272	25177.6635802	0.0725308641975	264.882681782	1	0	0					
2	11	1	0	589	445	1	367.93742849	372.361629881	0.00169779286927	158.795990405	1	0	0					
2	12	1	0	571	417	7	373.490413907	4726.46584939	0.0122591943958	204.709975904	1	0	0					
2	13	1	0	587	425	5	390.553793291	2295.59454855	0.00851788756388	211.779853287	1	0	0					
2	14	1	0	585	375	7	374.649124737	4948.33333333	0.0119658119658	195.914716444	1	0	0					
2	15	1	0	510	422	10	366.276940712	5719.42156863	0.0196078431373	216.727241077	1	0	0					
2	16	1	0	572	416	0	NaN	0	0	150.194208811	1	0	0					
2	17	1	0	557	467	15	366.485908291	8489.99102334	0.0269299820467	205.36263177	1	0	0					
2	18	1	0	449	430	8	407.416035353	6935.94432071	0.0178173719376	192.878983234	1	0	0					
2	19	1	0	499	414	3	359.49818456	1821.83567134	0.0060120240481	176.848386193	1	0	0					
2	20	1	0	509	423	4	350.233869627	2384.68172888	0.00785854616896	192.793923847	1	0	0					
2	21	1	0	572	329	12	363.395266766	9679.44230769	0.020979020979	254.664785063	1	0	0					
2	22	1	0	404	386	5	384.699860017	3232.01485149	0.0123762376238	211.832693495	1	0	0					
2	23	1	0	411	374	4	467.729952462	2806.01216545	0.00973236009732	193.126154594	1	0	0					
2	24	1	0	499	448	14	353.967656462	8543.2244489	0.0280561122244	215.997583506	1	0	0					
3	1	1	0	449	393	12	388.603795375	9028.88641425	0.0267260579065	240.647624782	1	0	0					
3	2	1	0	465	419	2	366.68321768	1062.86666667	0.00430107526882	199.467358924	1	0	0					
3	3	1	0	606	282	2	711.554073585	2697.53135314	0.003300330033	290.951951612	1	0	0					
3	4	1	0	697	481	4	355.633640973	1882.10186514	0.00573888091822	186.722187404	1	0	0					
3	5	1	0	713	458	1	415.608898921	458.643758766	0.00140252454418	198.471854084	1	0	0					
3	6	1	0	525	454	3	376.429588654	1284.2	0.00571428571429	179.832414757	1	0	0					
3	7	1	0	560	237	41	595.518202662	26038.6714286	0.0732142857143	684.039844042	1	0	0					
3	8	1	0	562	430	11	349.329763236	6944.7544484	0.0195729537367	206.277998918	1	0	0					
3	9	1	0	600	443	11	357.72701481	5125.16	0.0183333333333	194.919209779	1	0	0					
3	10	1	0	435	407	16	349.671392271	10495.2114943	0.0367816091954	213.487784412	1	0	0					
3	11	1	0	571	455	14	359.543745963	6998.05604203	0.0245183887916	190.492727931	1	0	0					
3	12	1	0	637	413	25	358.302518552	12578.389325	0.0392464678179	221.995708482	1	0	0					
