Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	4d3137a6-9f6a-401e-a35f-de9d17f895a4
Plate Name	P104404
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	416	423	18	353.111869185	15456.5072115	0.0432692307692	232.830195217	1	0	0					
1	2	1	0	620	462	1	338.957437559	592.720967742	0.00161290322581	207.158392834	1	0	0					
1	3	1	0	618	320	14	354.000929938	6974.3381877	0.0226537216828	303.638740234	1	0	0					
1	4	1	0	589	348	40	415.509715957	25230.3565365	0.0679117147708	316.460216013	1	0	0					
1	5	1	0	461	409	37	379.00909279	30951.4425163	0.0802603036876	275.824833663	1	0	0					
1	6	1	0	509	435	35	374.637318353	21038.4990177	0.0687622789784	231.149678954	1	0	0					
1	7	1	0	356	357	24	377.401755487	22594.3848315	0.0674157303371	255.572629052	1	0	0					
1	8	1	0	524	426	2	377.15426292	1286.09923664	0.00381679389313	192.832335956	1	0	0					
1	9	1	0	627	444	19	354.480175746	9053.81818182	0.030303030303	219.735862552	1	0	0					
1	10	1	0	616	293	24	384.697141085	10081.6331169	0.038961038961	304.3926196	1	0	0					
1	11	1	0	67	362	5	404.735537284	20986.4925373	0.0746268656716	218.781691646	1	0	0					
1	12	1	0	405	414	7	361.437469913	5205.76296296	0.0172839506173	211.348835445	1	0	0					
1	13	1	0	479	415	23	363.045468173	13397.2839248	0.0480167014614	225.01868486	1	0	0					
1	14	1	0	432	403	4	394.609298076	2528.99537037	0.00925925925926	212.874569759	1	0	0					
1	15	1	0	478	379	9	365.393664879	5204.15481172	0.0188284518828	236.910694022	1	0	0					
1	16	1	0	400	310	3	459.980044223	2237.035	0.0075	224.319864724	1	0	0					
1	17	1	0	507	397	25	380.476442319	15792.2564103	0.0493096646943	278.783901935	1	0	0					
1	18	1	0	553	399	6	417.052516921	3121.41952984	0.0108499095841	209.36473389	1	0	0					
1	19	1	0	607	454	3	366.74329759	1540.5815486	0.00494233937397	183.936880203	1	0	0					
1	20	1	0	494	425	15	369.757683827	10477.0283401	0.0303643724696	215.899770242	1	0	0					
1	21	1	0	574	390	7	439.417717188	4236.82055749	0.0121951219512	218.536850756	1	0	0					
1	22	1	0	483	413	15	360.173349689	10012.2070393	0.0310559006211	245.066934789	1	0	0					
1	23	1	0	569	455	1	391.515588329	414.010544815	0.00175746924429	166.950233064	1	0	0					
1	24	1	0	426	389	164	543.020853534	258447.518779	0.384976525822	832.770745633	1	0	0					
2	1	1	0	657	445	155	430.068597043	120880.633181	0.235920852359	538.472425199	1	0	0					
2	2	1	0	569	409	5	356.361798826	2513.12478032	0.00878734622144	226.174048457	1	0	0					
2	3	1	0	419	425	3	371.290820405	2186.16706444	0.00715990453461	195.552614533	1	0	0					
2	4	1	0	529	454	20	373.907396078	11279.5463138	0.0378071833648	212.841695938	1	0	0					
2	5	1	0	597	424	13	361.114167627	6467.15745394	0.0217755443886	236.655727127	1	0	0					
2	6	1	0	527	404	2	366.322203351	925.20113852	0.00379506641366	201.8587761	1	0	0					
2	7	1	0	530	456	22	360.091352835	13893.5	0.0415094339623	212.87906856	1	0	0					
2	8	1	0	595	430	42	399.226425072	20436.1680672	0.0705882352941	245.962147107	1	0	0					
2	9	1	0	561	438	17	372.311262065	9109.82887701	0.030303030303	196.3117533	1	0	0					
2	10	1	0	369	433	47	374.13461278	42142.8373984	0.127371273713	236.814047757	1	0	0					
2	11	1	0	499	404	28	369.346253696	18138.1543086	0.0561122244489	245.543451622	1	0	0					
2	12	1	0	438	429	20	384.082975885	16040.2990868	0.0456621004566	229.044283611	1	0	0					
2	13	1	0	457	397	8	344.460302367	5083.87746171	0.0175054704595	224.493296703	1	0	0					
2	14	1	0	520	411	7	346.654754258	3867.15576923	0.0134615384615	217.112638452	1	0	0					
2	15	1	0	564	449	36	374.936845166	21693.8546099	0.063829787234	219.686058105	1	0	0					
2	16	1	0	435	288	12	419.783789331	8173.70114943	0.0275862068966	296.526186343	1	0	0					
2	17	1	0	596	427	5	413.202935426	3406.23489933	0.00838926174497	196.042149082	1	0	0					
2	18	1	0	697	18	11	1112.27084527	17128.794835	0.0157819225251	39580.2376543	1	0	0					
2	19	1	0	509	465	3	402.353932891	1880.3280943	0.00589390962672	182.356129032	1	0	0					
2	20	1	0	495	410	18	373.379572097	13242.2848485	0.0363636363636	217.828732897	1	0	0					
2	21	1	0	461	434	14	362.412851095	10504.5184382	0.0303687635575	219.620378432	1	0	0					
2	22	1	0	463	430	6	382.665194138	6666.51187905	0.0129589632829	207.8797404	1	0	0					
2	23	1	0	569	442	0	NaN	0	0	168.561147397	1	0	0					
2	24	1	0	522	426	23	366.951748919	13910.7969349	0.044061302682	222.516228041	1	0	0					
3	1	1	0	460	437	4	381.880692821	2290.29565217	0.00869565217391	187.89209767	1	0	0					
3	2	1	0	641	478	13	377.40239246	6487.32137285	0.0202808112324	199.523270776	1	0	0					
3	3	1	0	561	432	9	351.362558687	5823.14973262	0.0160427807487	227.935747814	1	0	0					
3	4	1	0	416	402	6	345.267805884	4080.07451923	0.0144230769231	227.44993317	1	0	0					
3	5	1	0	477	27	4	485.885529969	2685.90566038	0.0083857442348	5527.26886145	1	0	0					
