Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	a27612be-4324-4f75-82e2-b121dd408046
Plate Name	P104405
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	419	390	38	376.238451246	27194.398568	0.090692124105	296.439842209	1	0	0					
1	2	1	0	590	432	14	363.609249071	8905.61525424	0.0237288135593	238.79871292	1	0	0					
1	3	1	0	617	450	24	368.994389045	14195.6385737	0.0388978930308	244.656301235	1	0	0					
1	4	1	0	644	425	14	365.082698641	6078.55279503	0.0217391304348	229.39486782	1	0	0					
1	5	1	0	445	424	9	446.802271977	8084.63146067	0.0202247191011	241.009873398	1	0	0					
1	6	1	0	630	347	8	519.844013419	6308.4984127	0.0126984126984	258.232391266	1	0	0					
1	7	1	0	611	451	28	368.904238975	14404.3633388	0.0458265139116	219.165087684	1	0	0					
1	8	1	0	225	398	1	338.854447803	920.946666667	0.00444444444444	196.821052499	1	0	0					
1	9	1	0	599	424	26	363.079580406	13242.687813	0.0434056761269	233.97739409	1	0	0					
1	10	1	0	392	418	11	358.490626091	9086.31122449	0.0280612244898	208.754601543	1	0	0					
1	11	1	0	542	462	5	379.885906535	2167.60332103	0.00922509225092	187.482271697	1	0	0					
1	12	1	0	134	382	4	365.824941155	9821.39552239	0.0298507462687	193.614799485	1	0	0					
1	13	1	0	534	448	10	360.065526186	5651.55805243	0.0187265917603	206.875822106	1	0	0					
1	14	1	0	600	439	41	387.759495976	23976.5683333	0.0683333333333	263.368159152	1	0	0					
1	15	1	0	505	386	10	372.325163058	5027.62970297	0.019801980198	230.783309619	1	0	0					
1	16	1	0	678	467	26	378.796824203	10922.5884956	0.0383480825959	216.366263315	1	0	0					
1	17	1	0	513	432	47	393.062472155	33741.4327485	0.0916179337232	257.653045696	1	0	0					
1	18	1	0	472	427	5	368.897558999	2435.70762712	0.010593220339	195.950194429	1	0	0					
1	19	1	0	461	443	14	374.121793236	9879.82212581	0.0303687635575	203.435115593	1	0	0					
1	20	1	0	338	362	27	424.74428016	30124.5828402	0.0798816568047	287.305775159	1	0	0					
1	21	1	0	527	395	38	374.49066726	25115.8709677	0.0721062618596	267.702804038	1	0	0					
1	22	1	0	505	366	21	370.656398708	13117.0158416	0.0415841584158	266.710039117	1	0	0					
1	23	1	0	609	403	41	372.896252753	22475.4482759	0.0673234811166	283.461600034	1	0	0					
1	24	1	0	581	410	202	536.081389404	238019.578313	0.347676419966	957.826281975	1	0	0					
2	1	1	0	676	503	240	470.769502777	192678.556213	0.355029585799	631.602856025	1	0	0					
2	2	1	0	644	413	4	350.803475728	1800.75621118	0.00621118012422	203.241521027	1	0	0					
2	3	1	0	561	483	0	NaN	0	0	145.418116585	1	0	0					
2	4	1	0	466	416	4	366.397314496	2222.0751073	0.00858369098712	239.577656943	1	0	0					
2	5	1	0	606	450	18	361.52644793	8814.93894389	0.029702970297	230.500795062	1	0	0					
2	6	1	0	480	437	10	348.882240831	7453.01041667	0.0208333333333	209.715634475	1	0	0					
2	7	1	0	547	446	10	378.674780901	5547.03107861	0.018281535649	210.338424259	1	0	0					
2	8	1	0	686	478	36	358.629211992	16571.6793003	0.0524781341108	212.236502337	1	0	0					
2	9	1	0	559	430	12	369.559462043	6151.27728086	0.0214669051878	226.475381287	1	0	0					
2	10	1	0	646	470	67	384.937101011	36709.3297214	0.103715170279	254.655328203	1	0	0					
2	11	1	0	838	484	68	380.414675589	27205.9224344	0.0811455847255	227.140222662	1	0	0					
2	12	1	0	641	458	55	373.406983825	27798.049922	0.0858034321373	239.394171545	1	0	0					
2	13	1	0	649	413	1	381.124131969	417.587057011	0.00154083204931	177.425599024	1	0	0					
2	14	1	0	665	442	53	376.998256246	24881.8240602	0.0796992481203	259.734562151	1	0	0					
2	15	1	0	631	474	48	381.706669059	22942.4849445	0.0760697305864	210.81626876	1	0	0					
2	16	1	0	702	472	11	372.674580963	4460.01994302	0.0156695156695	188.84384875	1	0	0					
2	17	1	0	629	446	11	370.915646922	5561.21303657	0.0174880763116	198.609518591	1	0	0					
2	18	1	0	576	458	3	348.76566298	3219.45486111	0.00520833333333	189.993430713	1	0	0					
2	19	1	0	535	413	11	360.732391685	5945.55140187	0.0205607476636	218.598180209	1	0	0					
2	20	1	0	697	444	2	363.952626144	677.44045911	0.00286944045911	205.191903052	1	0	0					
2	21	1	0	480	426	6	373.144319408	3196.81041667	0.0125	183.090518856	1	0	0					
2	22	1	0	647	434	11	376.313528722	4684.09891808	0.0170015455951	218.066591985	1	0	0					
2	23	1	0	674	451	41	403.523670379	23185.078635	0.0608308605341	259.251567101	1	0	0					
2	24	1	0	569	425	7	371.858455356	5546.3831283	0.01230228471	214.197436678	1	0	0					
3	1	1	0	708	467	13	407.196287461	6963.04661017	0.0183615819209	211.210019763	1	0	0					
3	2	1	0	695	465	3	362.792755561	1123.09496403	0.00431654676259	192.586662042	1	0	0					
3	3	1	0	712	513	1	413.650089197	523.125	0.00140449438202	132.10403581	1	0	0					
3	4	1	0	526	456	35	364.267103203	23840.4562738	0.0665399239544	230.266683018	1	0	0					
3	5	1	0	602	414	32	359.588903621	17446.6528239	0.0531561461794	236.637867862	1	0	0					
3	6	1	0	632	428	26	360.939174798	12567.7405063	0.0411392405063	238.331273474	1	0	0					
3	7	1	0	648	444	13	352.433964412	5435.83024691	0.0200617283951	220.152255296	1	0	0					
3	8	1	0	617	438	9	377.562441625	4541.93354943	0.0145867098865	210.922421342	1	0	0					
3	9	1	0	572	459	30	372.246960368	16788.2342657	0.0524475524476	206.855767725	1	0	0					
3	10	1	0	705	432	35	360.562955516	16983.1262411	0.0496453900709	235.307875729	1	0	0					
3	11	1	0	603	451	53	375.754945442	30870.9502488	0.0878938640133	240.432303676	1	0	0					
3	12	1	0	680	472	63	377.59441319	29866.7529412	0.0926470588235	229.597857117	1	0	0					
3	13	1	0	582	463	3	354.559705393	2391.58934708	0.00515463917526	186.307978299	1	0	0					
3	14	1	0	484	419	25	360.229057668	20942.3264463	0.051652892562	237.558711787	1	0	0					
3	15	1	0	634	453	32	373.779249502	16943.6277603	0.0504731861199	203.971414509	1	0	0					
3	16	1	0	628	23	3	387.297729929	1047.48248408	0.00477707006369	6337.17958412	1	0	0					
3	17	1	0	256	388	8	448.379494055	9858.078125	0.03125	207.185753002	1	0	0					
3	18	1	0	668	434	7	360.450307618	4169.26047904	0.0104790419162	197.522202638	1	0	0					
3	19	1	0	518	418	6	352.877779259	2809.04826255	0.011583011583	193.614294545	1	0	0					
3	20	1	0	554	425	151	448.843597285	139961.158845	0.272563176895	551.507321799	1	0	0					
3	21	1	0	600	419	3	369.927432379	1853.99	0.005	200.369022733	1	0	0					
3	22	1	0	499	422	6	385.635857586	3292.9258517	0.0120240480962	184.885688776	1	0	0					
3	23	1	0	697	459	1	358.344753933	454.282639885	0.00143472022956	178.041024108	1	0	0					
3	24	1	0	662	442	15	360.705052365	6756.36253776	0.0226586102719	224.242050736	1	0	0					
4	1	1	0	536	405	11	360.744743468	6079.08768657	0.0205223880597	222.753872885	1	0	0					
4	2	1	0	709	495	5	363.865423879	2006.80253879	0.00705218617772	180.307735945	1	0	0					
4	3	1	0	599	480	0	NaN	0	0	151.061267361	1	0	0					
4	4	1	0	555	423	2	364.887444331	1106.53333333	0.0036036036036	218.70278155	1	0	0					
4	5	1	0	555	261	183	455.769526437	179656.983784	0.32972972973	1658.24946786	1	0	0					
4	6	1	0	549	438	9	396.639665622	4744.30418944	0.016393442623	212.639848002	1	0	0					
4	7	1	0	561	445	35	365.43519624	20463.2245989	0.0623885918004	245.706092665	1	0	0					
4	8	1	0	467	407	51	360.62370095	36451.6509636	0.109207708779	275.879286926	1	0	0					
4	9	1	0	561	436	21	393.072055274	12525.657754	0.0374331550802	219.146699562	1	0	0					
4	10	1	0	531	436	12	382.096370248	10650.5404896	0.0225988700565	228.952082106	1	0	0					
4	11	1	0	583	400	233	479.62321982	226747.475129	0.399656946827	959.97064375	1	0	0					
4	12	1	0	554	437	30	363.168278662	15061.9909747	0.0541516245487	230.22148621	1	0	0					
4	13	1	0	479	406	1	365.532807733	632.551148225	0.00208768267223	178.339980344	1	0	0					
4	14	1	0	517	343	19	358.398970167	12156.4777563	0.036750483559	302.283937815	1	0	0					
4	15	1	0	413	395	38	404.691985481	28525.6489104	0.09200968523	248.436641564	1	0	0					
4	16	1	0	310	378	8	388.846825692	6460.06451613	0.0258064516129	251.638762913	1	0	0					
4	17	1	0	632	474	8	365.344016935	3760.39082278	0.0126582278481	166.778187256	1	0	0					
4	18	1	0	651	424	0	NaN	0	0	166.742529592	1	0	0					
4	19	1	0	624	458	9	425.841453761	5279.6474359	0.0144230769231	174.306983086	1	0	0					
4	20	1	0	539	441	4	342.409429883	2089.37847866	0.00742115027829	194.42871026	1	0	0					
4	21	1	0	541	408	7	360.947712989	3693.44362292	0.0129390018484	222.905787438	1	0	0					
4	22	1	0	569	431	1	345.117751501	408.332161687	0.00175746924429	186.164006438	1	0	0					
4	23	1	0	599	403	5	366.170654334	2880.80133556	0.00834724540902	211.284454679	1	0	0					
4	24	1	0	451	385	6	563.478975469	4920.57206208	0.0133037694013	236.745758138	1	0	0					
5	1	1	0	434	397	18	363.441331135	14113.0806452	0.0414746543779	270.776757672	1	0	0					
5	2	1	0	518	413	2	351.937312922	1075.83783784	0.003861003861	213.235294807	1	0	0					
5	3	1	0	726	505	4	380.373084243	2816.62672176	0.00550964187328	180.720737183	1	0	0					
5	4	1	0	678	490	13	351.759420759	5594.31268437	0.0191740412979	197.050149938	1	0	0					
5	5	1	0	622	460	13	350.704305936	5902.54983923	0.0209003215434	215.922934783	1	0	0					
5	6	1	0	560	464	32	354.920813868	19715.2696429	0.0571428571429	223.321213585	1	0	0					
5	7	1	0	584	372	32	359.332381817	17288.0821918	0.0547945205479	242.500505839	1	0	0					
