Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	a08f51ac-1acc-473f-a0c2-c143386917e0
Plate Name	P104407
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	251	368	15	374.218017477	19219.0119522	0.0597609561753	236.412238599	1	0	0					
1	2	1	0	354	1	1	456.184423872	1214.57344633	0.00282485875706	429959	1	0	0					
1	3	1	0	488	436	5	362.841582145	2549.72540984	0.0102459016393	199.369050375	1	0	0					
1	4	1	0	440	404	15	367.635726367	10924.2454545	0.0340909090909	255.277062298	1	0	0					
1	5	1	0	352	404	3	355.508455681	2223.94602273	0.00852272727273	204.360093373	1	0	0					
1	6	1	0	375	404	6	383.343448372	4134.94133333	0.016	226.353286443	1	0	0					
1	7	1	0	382	427	8	398.992376499	5940.31413613	0.020942408377	205.243395181	1	0	0					
1	8	1	0	464	400	10	357.547721549	5442.75862069	0.0215517241379	212.04961875	1	0	0					
1	9	1	0	580	421	3	346.22714275	1208.97586207	0.0051724137931	201.89702157	1	0	0					
1	10	1	0	334	389	5	375.295716649	4168.40718563	0.0149700598802	210.831774836	1	0	0					
1	11	1	0	420	402	4	389.479876323	3156.62380952	0.00952380952381	220.993267493	1	0	0					
1	12	1	0	92	369	18	384.629906376	61129.1847826	0.195652173913	255.245775222	1	0	0					
1	13	1	0	492	421	4	379.017458314	2656.86788618	0.00813008130081	198.02796757	1	0	0					
1	14	1	0	639	318	9	368.757950328	4187.78403756	0.0140845070423	266.445482774	1	0	0					
1	15	1	0	594	448	9	361.104908723	4044.91077441	0.0151515151515	209.973144531	1	0	0					
1	16	1	0	403	395	45	372.133306876	36582.0272953	0.111662531017	274.758243871	1	0	0					
1	17	1	0	556	424	16	380.205608295	10601.8219424	0.0287769784173	230.325905571	1	0	0					
1	18	1	0	522	383	4	380.4510235	1961.64559387	0.00766283524904	217.745781892	1	0	0					
1	19	1	0	584	428	4	367.626742822	1654.55479452	0.00684931506849	206.910712726	1	0	0					
1	20	1	0	700	465	10	348.378124017	4421.98	0.0142857142857	193.604782056	1	0	0					
1	21	1	0	409	377	6	359.807015538	4445.57457213	0.0146699266504	207.30432213	1	0	0					
1	22	1	0	550	440	1	501.205632076	858.894545455	0.00181818181818	185.725971074	1	0	0					
1	23	1	0	454	379	1	349.720338166	595.297356828	0.00220264317181	201.107761711	1	0	0					
1	24	1	0	577	425	191	494.254724586	188760.006932	0.331022530329	743.780456747	1	0	0					
2	1	1	0	548	426	194	434.580365463	173800.85219	0.35401459854	643.623779453	1	0	0					
2	2	1	0	662	478	4	389.239637276	1328.53172205	0.00604229607251	152.763375116	1	0	0					
2	3	1	0	618	455	6	384.512402855	3783.802589	0.00970873786408	217.87494264	1	0	0					
2	4	1	0	607	441	2	550.273334406	1830.92092257	0.00329489291598	179.667221991	1	0	0					
2	5	1	0	603	423	11	383.345054807	6276.25870647	0.0182421227197	206.054541187	1	0	0					
2	6	1	0	733	446	8	409.908413723	2641.63165075	0.0109140518417	190.4287639	1	0	0					
2	7	1	0	682	484	39	371.899638139	17022.5777126	0.0571847507331	205.311232156	1	0	0					
2	8	1	0	680	459	35	357.776810843	15552.0691176	0.0514705882353	223.372278468	1	0	0					
2	9	1	0	607	480	28	368.095577742	13625.4777595	0.0461285008237	187.228459201	1	0	0					
2	10	1	0	595	445	11	355.827142882	6901.34453782	0.018487394958	220.04760005	1	0	0					
2	11	1	0	665	449	4	356.585520345	1494.36691729	0.00601503759398	167.613374934	1	0	0					
2	12	1	0	607	406	30	371.390880285	15163.3937397	0.0494233937397	264.588645684	1	0	0					
2	13	1	0	639	455	15	351.617526371	7433.67292645	0.0234741784038	201.977418186	1	0	0					
2	14	1	0	565	428	7	373.906429831	3316.3840708	0.012389380531	195.86005328	1	0	0					
2	15	1	0	573	411	8	364.995288054	4450.95986038	0.0139616055846	216.815511393	1	0	0					
2	16	1	0	731	450	9	364.509528173	3881.51983584	0.0123119015048	212.025175309	1	0	0					
2	17	1	0	510	421	7	424.350611228	4156.86470588	0.0137254901961	203.803510474	1	0	0					
2	18	1	0	713	452	2	399.962259872	757.657784011	0.00280504908836	178.803366552	1	0	0					
2	19	1	0	657	463	0	NaN	0	0	170.286366032	1	0	0					
2	20	1	0	691	420	2	417.984841124	816.15918958	0.00289435600579	163.648548753	1	0	0					
2	21	1	0	520	399	2	355.035105065	1189.34230769	0.00384615384615	210.46789279	1	0	0					
2	22	1	0	466	405	2	477.578798143	1624.25751073	0.00429184549356	199.300435909	1	0	0					
2	23	1	0	526	399	1	347.002178637	383.982889734	0.00190114068441	198.02663928	1	0	0					
2	24	1	0	486	442	1	358.706035448	477.222222222	0.00205761316872	162.283460617	1	0	0					
3	1	1	0	412	376	1	352.848825965	754.34223301	0.00242718446602	241.085261996	1	0	0					
3	2	1	0	533	445	10	358.683278391	8220.90056285	0.0187617260788	215.357757859	1	0	0					
3	3	1	0	447	417	7	625.562047745	8110.36689038	0.0156599552573	201.438963937	1	0	0					
3	4	1	0	477	382	8	362.784772698	5699.45283019	0.0167714884696	260.075703791	1	0	0					
3	5	1	0	402	396	2	343.885820359	1055.8159204	0.00497512437811	206.970232629	1	0	0					
3	6	1	0	263	300	6	402.255603426	6720.84790875	0.0228136882129	272.388733333	1	0	0					
3	7	1	0	447	394	13	353.507216309	9095.40268456	0.0290827740492	251.107075678	1	0	0					
3	8	1	0	526	419	2	419.619873659	1028.26045627	0.00380228136882	190.890078093	1	0	0					
3	9	1	0	584	447	2	433.068259874	1868.99828767	0.00342465753425	181.161809528	1	0	0					
