Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	c3566271-f593-4d9a-b515-6621bdb5f994
Plate Name	P104408
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	619	404	10	372.491126251	5336.61389338	0.016155088853	230.50254877	1	0	0					
1	2	1	0	608	444	18	368.303411805	11080.6101974	0.0296052631579	224.161172997	1	0	0					
1	3	1	0	670	461	15	370.65753151	7746.75671642	0.0223880597015	215.125888736	1	0	0					
1	4	1	0	777	466	4	354.26541186	1560.32432432	0.00514800514801	180.30328888	1	0	0					
1	5	1	0	679	455	19	360.065102082	8257.14285714	0.0279823269514	227.733534597	1	0	0					
1	6	1	0	788	172	16	382.185496978	7587.45177665	0.0203045685279	732.371687399	1	0	0					
1	7	1	0	632	427	0	NaN	0	0	173.676310406	1	0	0					
1	8	1	0	602	395	10	383.982085858	6295.34219269	0.0166112956811	236.386720077	1	0	0					
1	9	1	0	638	447	2	355.091634686	766.564263323	0.00313479623824	185.509666732	1	0	0					
1	10	1	0	512	233	43	627.965364611	29052.7324219	0.083984375	702.345668552	1	0	0					
1	11	1	0	678	3	3	1937.35283471	14904.6755162	0.00442477876106	1122818.88889	1	0	0					
1	12	1	0	744	405	25	383.401001329	10747.5282258	0.0336021505376	252.638481939	1	0	0					
1	13	1	0	742	467	21	375.756647989	10239.1725067	0.0283018867925	216.787407893	1	0	0					
1	14	1	0	714	409	16	371.82118972	8300.12184874	0.0224089635854	261.492751717	1	0	0					
1	15	1	0	693	436	34	369.68345907	14092.978355	0.049062049062	233.083089597	1	0	0					
1	16	1	0	658	432	6	382.192237783	3915.22796353	0.00911854103343	227.836360811	1	0	0					
1	17	1	0	632	391	9	361.171962488	3992.37025316	0.0142405063291	270.250953356	1	0	0					
1	18	1	0	559	436	7	352.127886156	3769.88908766	0.0125223613596	221.552336714	1	0	0					
1	19	1	0	590	406	11	375.070379819	5793.72372881	0.0186440677966	211.627350821	1	0	0					
1	20	1	0	629	439	7	357.584731752	3009.97297297	0.0111287758347	202.864062557	1	0	0					
1	21	1	0	731	474	20	366.604898998	9821.48016416	0.0273597811218	226.545785932	1	0	0					
1	22	1	0	717	409	1	347.078046184	456.241283124	0.00139470013947	210.501318141	1	0	0					
1	23	1	0	743	379	23	381.338090133	8557.51144011	0.0309555854643	223.315320835	1	0	0					
