Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	6e273264-1397-4ba6-927c-db103bfd82dc
Plate Name	P104409
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	515	414	31	365.344594511	18813.0135922	0.0601941747573	253.387844524	1	0	0					
1	2	1	0	528	442	37	359.234339856	22271.1931818	0.0700757575758	212.33900821	1	0	0					
1	3	1	0	665	463	15	352.812767999	6698.52180451	0.0225563909774	196.080188833	1	0	0					
1	4	1	0	703	499	5	359.336869946	2214.53058321	0.00711237553343	192.789643415	1	0	0					
1	5	1	0	545	430	44	362.92508905	26613.7743119	0.0807339449541	263.556744186	1	0	0					
1	6	1	0	589	421	30	363.896508139	16598.2410866	0.0509337860781	233.801913778	1	0	0					
1	7	1	0	573	433	23	364.270122285	12481.0820244	0.0401396160558	234.36158388	1	0	0					
1	8	1	0	570	425	4	531.738938627	3095.67719298	0.00701754385965	223.699194464	1	0	0					
1	9	1	0	459	35	13	5529.7332954	169358.324619	0.0283224400871	84424.1616327	1	0	0					
1	10	1	0	657	468	0	NaN	0	0	132.679825042	1	0	0					
1	11	1	0	545	460	5	387.109695798	3485.7706422	0.00917431192661	166.472996219	1	0	0					
1	12	1	0	585	438	11	374.335747099	4765.5965812	0.0188034188034	209.746762995	1	0	0					
1	13	1	0	603	433	16	360.05698853	8187.98175788	0.0265339966833	206.838262511	1	0	0					
1	14	1	0	575	422	14	367.815224376	8369.78434783	0.024347826087	248.099447452	1	0	0					
1	15	1	0	587	434	51	371.201118874	28511.1959114	0.0868824531516	262.32026057	1	0	0					
1	16	1	0	418	382	1	339.782833708	641.875598086	0.00239234449761	219.860578109	1	0	0					
1	17	1	0	503	405	4	382.19939983	2009.9304175	0.00795228628231	216.891857948	1	0	0					
1	18	1	0	631	439	7	360.865217741	4610.51822504	0.0110935023772	208.515885659	1	0	0					
1	19	1	0	660	450	32	360.196601925	17138.2742424	0.0484848484848	239.444291358	1	0	0					
1	20	1	0	530	449	7	363.664436747	3945.71886792	0.0132075471698	181.781533822	1	0	0					
1	21	1	0	514	447	11	380.957169563	6202.78015564	0.0214007782101	209.355594593	1	0	0					
1	22	1	0	362	378	8	361.208044028	6233.27624309	0.0220994475138	209.717484113	1	0	0					
1	23	1	0	563	473	20	362.226166872	10477.5168739	0.0355239786856	192.236723894	1	0	0					
1	24	1	0	725	437	201	486.119474653	158900.12	0.27724137931	759.657986375	1	0	0					
2	1	1	0	551	209	163	471.856041596	162102.593466	0.295825771325	2174.06430714	1	0	0					
2	2	1	0	696	466	0	NaN	0	0	169.695780913	1	0	0					
2	3	1	0	489	421	4	366.739054323	3347.07770961	0.0081799591002	207.770803595	1	0	0					
2	4	1	0	651	455	13	377.278714167	5076.11059908	0.0199692780338	204.081453931	1	0	0					
2	5	1	0	653	456	15	442.151127389	8289.71056662	0.0229709035222	211.477329563	1	0	0					
2	6	1	0	529	420	22	359.442316198	14660.8827977	0.0415879017013	245.853276644	1	0	0					
2	7	1	0	549	429	10	373.655150892	4357.69398907	0.0182149362477	205.022913373	1	0	0					
2	8	1	0	605	488	21	368.700964483	12042.492562	0.0347107438017	203.884263303	1	0	0					
2	9	1	0	605	471	17	363.040478624	9326.01157025	0.0280991735537	201.693280322	1	0	0					
2	10	1	0	470	346	8	369.069136954	5595.98297872	0.0170212765957	256.244186241	1	0	0					
2	11	1	0	566	462	23	366.109351025	11283.9787986	0.0406360424028	229.603432282	1	0	0					
2	12	1	0	376	423	15	368.894904319	13538.8909574	0.0398936170213	213.915251301	1	0	0					
2	13	1	0	619	467	10	388.249763629	5210.50242326	0.016155088853	185.471170027	1	0	0					
2	14	1	0	605	430	15	367.359745803	7146.06942149	0.0247933884298	197.619232017	1	0	0					
2	15	1	0	668	461	32	370.947568691	16612.0748503	0.0479041916168	233.732929922	1	0	0					
2	16	1	0	416	425	6	349.48538571	4614.19230769	0.0144230769231	214.740047059	1	0	0					
2	17	1	0	700	530	3	383.023905935	2086.67285714	0.00428571428571	165.013720185	1	0	0					
2	18	1	0	530	453	9	374.065145441	4549.55283019	0.0169811320755	178.097661409	1	0	0					
2	19	1	0	554	430	7	346.707541228	5340.23104693	0.0126353790614	206.407203894	1	0	0					
2	20	1	0	501	413	23	420.915416733	16506.3313373	0.0459081836327	230.835433168	1	0	0					
2	21	1	0	398	392	4	527.542245883	3340.7160804	0.0100502512563	228.323816899	1	0	0					
2	22	1	0	548	438	7	368.03751475399997	4298.12773723	0.0127737226277	194.886793436	1	0	0					
2	23	1	0	793	485	4	356.954531858	1354.83606557	0.00504413619168	168.440658944	1	0	0					
