Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	b8b255f1-0aa4-4b30-b473-0ae9b9d4f976
Plate Name	P104411
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	383	426	25	364.099544711	20207.997389	0.065274151436	246.6545163	1	0	0					
1	2	1	0	563	461	8	358.129160793	4210.1598579	0.0142095914742	219.953350492	1	0	0					
1	3	1	0	556	415	4	387.432168171	2400.3057554	0.00719424460432	220.78050225	1	0	0					
1	4	1	0	670	481	12	361.572904409	7195.08955224	0.0179104477612	216.458504242	1	0	0					
1	5	1	0	494	487	33	360.831112277	20806.7510121	0.0668016194332	198.932035806	1	0	0					
1	6	1	0	466	417	22	362.948738591	17214.9334764	0.0472103004292	257.728188672	1	0	0					
1	7	1	0	43	390	1	378.929974443	5425.90697674	0.0232558139535	175.188744247	1	0	0					
1	8	1	0	524	420	18	392.257425042	10845.6984733	0.0343511450382	239.20484127	1	0	0					
1	9	1	0	566	464	45	371.437533503	27860.2332155	0.0795053003534	227.422738927	1	0	0					
1	10	1	0	485	406	14	382.909568189	8737.83505155	0.0288659793814	241.851118688	1	0	0					
1	11	1	0	583	426	6	370.739336967	2832.68267581	0.0102915951973	222.636497388	1	0	0					
1	12	1	0	561	440	46	367.671418898	27453.0998217	0.0819964349376	278.626497934	1	0	0					
1	13	1	0	591	424	68	377.902937667	40132.2436548	0.115059221658	283.993619838	1	0	0					
1	14	1	0	529	401	12	374.419120465	6290.7637051	0.0226843100189	252.747899578	1	0	0					
1	15	1	0	142	311	13	363.822511571	36833.4507042	0.0915492957746	271.697149533	1	0	0					
1	16	1	0	708	443	31	379.01360708	14041.9336158	0.0437853107345	238.0431085	1	0	0					
1	17	1	0	224	377	20	375.802779707	33260.21875	0.0892857142857	298.16145192	1	0	0					
1	18	1	0	536	421	6	363.367086735	2802.06529851	0.0111940298507	212.899413793	1	0	0					
1	19	1	0	56	388	15	484.554598464	63737.75	0.267857142857	199.045780636	1	0	0					
1	20	1	0	429	403	12	362.402449972	8304.37995338	0.027972027972	231.461932528	1	0	0					
1	21	1	0	424	433	4	388.159737689	2389.50707547	0.00943396226415	183.177754428	1	0	0					
1	22	1	0	290	354	2	347.693123641	1499.96206897	0.00689655172414	210.425867407	1	0	0					
1	23	1	0	481	384	18	358.07589649	13827.1829522	0.037422037422	277.250325521	1	0	0					
1	24	1	0	576	396	240	573.491087161	294808.90625	0.416666666667	1193.2488394	1	0	0					
2	1	1	0	752	315	178	483.857644021	134887.317819	0.23670212766	1292.27968758	1	0	0					
2	2	1	0	56	423	12	632.219256225	69828.9642857	0.214285714286	174.500159281	1	0	0					
2	3	1	0	594	431	14	389.744685393	6658.08922559	0.023569023569	228.572504455	1	0	0					
2	4	1	0	461	443	1	342.710423155	501.520607375	0.00216919739696	191.343324042	1	0	0					
2	5	1	0	57	407	2	375.590077225	9777.8245614	0.0350877192982	163.949374883	1	0	0					
2	6	1	0	341	378	38	401.599222522	37152.143695	0.111436950147	350.916526693	1	0	0					
2	7	1	0	556	466	9	375.134104704	5317.26258993	0.0161870503597	202.708679475	1	0	0					
2	8	1	0	489	467	16	360.692265253	9242.53783231	0.0327198364008	209.09049058	1	0	0					
2	9	1	0	174	339	10	361.365226155	22294.7643678	0.0574712643678	290.752647471	1	0	0					
2	10	1	0	202	354	16	368.409292382	31020.5792079	0.0792079207921	250.194851416	1	0	0					
2	11	1	0	750	507	70	364.473857096	32017.6333333	0.0933333333333	237.444129329	1	0	0					
2	12	1	0	90	346	21	422.230583644	58726.3111111	0.233333333333	260.099727689	1	0	0					
2	13	1	0	606	455	16	356.479989478	8748.82178218	0.026402640264	226.378992875	1	0	0					
2	14	1	0	624	465	5	368.593504193	2315.59294872	0.00801282051282	181.384210891	1	0	0					
2	15	1	0	588	445	1	351.80078224	404.467687075	0.00170068027211	166.969973488	1	0	0					
2	16	1	0	548	406	13	365.140444475	7652.9270073	0.0237226277372	240.770529496	1	0	0					
2	17	1	0	688	437	8	374.236376911	4300.53924419	0.0116279069767	230.307955742	1	0	0					
2	18	1	0	432	375	1	353.227423303	524.087962963	0.00231481481481	192.122631111	1	0	0					
2	19	1	0	62	366	13	440.641950112	106379.33871	0.209677419355	208.395346233	1	0	0					
2	20	1	0	629	434	2	343.050395003	657.844197138	0.00317965023847	182.074672429	1	0	0					
2	21	1	0	546	391	3	363.541125885	1321.4010989	0.00549450549451	213.913121971	1	0	0					
2	22	1	0	638	472	2	363.096126097	818.965517241	0.00313479623824	164.427624964	1	0	0					
2	23	1	0	625	452	14	368.226504334	6570.9584	0.0224	226.850404299	1	0	0					
2	24	1	0	562	443	23	430.405724457	15695.2669039	0.0409252669039	261.232780804	1	0	0					
3	1	1	0	583	486	4	373.629838848	1782.432247	0.00686106346484	171.283582279	1	0	0					
3	2	1	0	605	452	3	678.701602995	5354.30082645	0.00495867768595	203.577051844	1	0	0					
3	3	1	0	790	483	0	NaN	0	0	164.810432554	1	0	0					
3	4	1	0	20	357	1	404.755339133	11836.3	0.05	229.609129926	1	0	0					
3	5	1	0	501	422	27	363.12364659	21166.8662675	0.0538922155689	268.512056108	1	0	0					
3	6	1	0	810	507	4	406.068684489	1672.02839506	0.00493827160494	179.174904396	1	0	0					
3	7	1	0	612	390	11	366.214916164	4648.71895425	0.0179738562092	235.889283366	1	0	0					
3	8	1	0	818	423	12	369.732634693	4641.11369193	0.0146699266504	210.378574742	1	0	0					
3	9	1	0	684	443	4	381.138290422	2840.8494152	0.00584795321637	200.636874583	1	0	0					
3	10	1	0	733	488	11	388.57996557	4364.473397	0.0150068212824	195.725913733	1	0	0					
3	11	1	0	568	0	0	NaN	0	0	NaN	1	0	0					
3	12	1	0	575	404	10	351.075539132	5877.11304348	0.0173913043478	276.386653269	1	0	0					
