Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	e4b38639-ffe7-4b5d-ab5a-b5bf23a12f47
Plate Name	P104412
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	441	381	22	369.528626175	21181.3628118	0.0498866213152	291.222236	1	0	0					
1	2	1	0	458	434	9	360.02019775	6288.66157205	0.0196506550218	224.943511223	1	0	0					
1	3	1	0	319	403	3	467.074127343	3259.03761755	0.00940438871473	192.568293629	1	0	0					
1	4	1	0	331	419	5	362.569832676	5822.64350453	0.0151057401813	208.332209318	1	0	0					
1	5	1	0	337	382	15	381.00270289	12132.0356083	0.0445103857567	250.238973712	1	0	0					
1	6	1	0	505	435	22	378.405363772	16849.9267327	0.0435643564356	225.116781609	1	0	0					
1	7	1	0	305	389	32	374.68598077	35000.9934426	0.104918032787	296.036716649	1	0	0					
1	8	1	0	378	410	44	368.919249801	37358.7380952	0.116402116402	269.226198691	1	0	0					
1	9	1	0	551	446	57	374.465494149	36492.7150635	0.103448275862	268.849283114	1	0	0					
1	10	1	0	99	343	11	420.431941232	42665.1010101	0.111111111111	264.165866263	1	0	0					
1	11	1	0	304	377	18	407.767725166	24400.3782895	0.0592105263158	274.587241168	1	0	0					
1	12	1	0	351	378	11	378.666601389	8993.85754986	0.031339031339	237.263430475	1	0	0					
1	13	1	0	337	409	9	356.263726252	8997.14243323	0.026706231454	221.022453237	1	0	0					
1	14	1	0	367	420	11	370.829348244	9648.16893733	0.0299727520436	210.317358277	1	0	0					
1	15	1	0	347	411	1	339.146085562	888.279538905	0.0028818443804	180.225336104	1	0	0					
1	16	1	0	143	325	22	494.509356767	59181.6153846	0.153846153846	299.014911243	1	0	0					
1	17	1	0	441	450	10	356.889619252	6140.58730159	0.0226757369615	201.295367901	1	0	0					
1	18	1	0	432	401	6	357.788625839	3520.83796296	0.0138888888889	222.279618908	1	0	0					
1	19	1	0	49	370	0	NaN	0	0	182.639576333	1	0	0					
1	20	1	0	390	408	11	357.02791164	8713.02051282	0.0282051282051	202.617424789	1	0	0					
1	21	1	0	491	462	5	387.281286361	2653.9490835	0.010183299389	178.42900714	1	0	0					
1	22	1	0	312	412	2	358.558084696	1740.78846154	0.00641025641026	193.545975115	1	0	0					
1	23	1	0	376	399	22	380.668321609	21452.7606383	0.0585106382979	233.022079007	1	0	0					
1	24	1	0	634	385	257	529.124162566	244860.239748	0.405362776025	1150.85835048	1	0	0					
2	1	1	0	678	439	211	466.693398994	171295.650442	0.311209439528	711.703145999	1	0	0					
2	2	1	0	638	456	2	553.576419356	1103.77742947	0.00313479623824	165.915974146	1	0	0					
2	3	1	0	457	461	5	364.902100436	3945.3916849	0.0109409190372	180.316891037	1	0	0					
2	4	1	0	434	441	3	365.632522168	3061.53917051	0.00691244239631	201.594741903	1	0	0					
2	5	1	0	463	456	7	347.481906943	5011.48812095	0.0151187904968	220.750774277	1	0	0					
2	6	1	0	574	427	10	365.948449937	6402.33449477	0.0174216027875	210.045949904	1	0	0					
2	7	1	0	424	404	5	361.79089006	5120.95990566	0.0117924528302	226.832381629	1	0	0					
2	8	1	0	518	420	26	367.550557467	17763.0907336	0.0501930501931	251.306207483	1	0	0					
2	9	1	0	65	340	7	365.929969758	41698.2769231	0.107692307692	234.921384083	1	0	0					
2	10	1	0	578	407	27	378.104199993	17726.8096886	0.0467128027682	289.006900132	1	0	0					
2	11	1	0	440	382	16	387.726444753	11381.5795455	0.0363636363636	241.686583427	1	0	0					
2	12	1	0	480	424	56	392.535589339	43463.5875	0.116666666667	289.276138083	1	0	0					
2	13	1	0	435	396	13	369.989660357	7480.91034483	0.0298850574713	198.485218345	1	0	0					
2	14	1	0	618	452	5	385.45977784	3371.47249191	0.00809061488673	198.812201425	1	0	0					
2	15	1	0	556	444	25	361.055373503	15710.147482	0.044964028777	206.760819942	1	0	0					
