Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	b4ee3a6b-cb5b-45a1-8e6b-ce33557a592b
Plate Name	P104413
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	526	400	35	356.87666094	23310.1406844	0.0665399239544	277.87148125	1	0	0					
1	2	1	0	75	364	18	540.045270352	195611.066667	0.24	300.556114902	1	0	0					
1	3	1	0	394	435	13	371.260672965	10200.1091371	0.0329949238579	217.424959704	1	0	0					
1	4	1	0	210	345	25	359.676296296	38733.1333333	0.119047619048	276.611342155	1	0	0					
1	5	1	0	663	427	12	366.512074811	5273.08597285	0.0180995475113	248.678624903	1	0	0					
1	6	1	0	476	425	46	360.646907488	33894.4663866	0.0966386554622	261.575966782	1	0	0					
1	7	1	0	495	401	2	345.967571461	940.082828283	0.0040404040404	215.64114651	1	0	0					
1	8	1	0	210	357	4	397.682750604	9274.8952381	0.0190476190476	254.964385754	1	0	0					
1	9	1	0	398	407	38	364.566033273	31033.8366834	0.0954773869347	270.635258891	1	0	0					
1	10	1	0	548	415	19	360.906138365	11008.6587591	0.0346715328467	257.866116998	1	0	0					
1	11	1	0	497	409	9	358.472071814	5577.04627767	0.0181086519115	239.615586947	1	0	0					
1	12	1	0	565	417	13	355.850895775	6007.72035398	0.0230088495575	229.174260592	1	0	0					
1	13	1	0	524	369	12	378.778997178	7869.47137405	0.0229007633588	272.789029164	1	0	0					
1	14	1	0	547	404	33	376.196548373	19203.1480804	0.0603290676417	268.671410891	1	0	0					
1	15	1	0	551	441	56	388.978861659	31925.7150635	0.101633393829	290.05978476	1	0	0					
1	16	1	0	424	439	54	379.328710225	39678.615566	0.127358490566	255.475557931	1	0	0					
1	17	1	0	554	390	5	373.28765099	3330.32851986	0.00902527075812	228.668001315	1	0	0					
1	18	1	0	431	397	4	378.67025364	2327.73317865	0.0092807424594	204.394653859	1	0	0					
1	19	1	0	251	359	6	362.989869739	7415.56573705	0.0239043824701	242.378930952	1	0	0					
1	20	1	0	653	441	6	369.715319187	2281.43032159	0.00918836140888	226.00949193	1	0	0					
1	21	1	0	526	436	7	363.308338511	3209.43346008	0.0133079847909	189.253940114	1	0	0					
1	22	1	0	520	413	9	387.484174649	7580.28653846	0.0173076923077	214.707414595	1	0	0					
1	23	1	0	447	416	7	370.955547659	4042.37360179	0.0156599552573	216.415056398	1	0	0					
1	24	1	0	543	398	210	505.252582645	237455.845304	0.386740331492	929.54301659	1	0	0					
2	1	1	0	668	444	242	472.37132009	205856.154192	0.362275449102	780.496900617	1	0	0					
2	2	1	0	546	407	5	382.391545443	2394.78571429	0.00915750915751	186.114434739	1	0	0					
2	3	1	0	396	434	2	407.763799257	1769.15909091	0.00505050505051	184.354180382	1	0	0					
2	4	1	0	535	431	4	381.48855	1748.18130841	0.00747663551402	222.471304526	1	0	0					
2	5	1	0	32	398	4	398.945242504	48697.40625	0.125	178.693656726	1	0	0					
2	6	1	0	526	427	0	NaN	0	0	195.141963155	1	0	0					
2	7	1	0	526	424	7	354.086037642	3233.70912548	0.0133079847909	204.205149742	1	0	0					
2	8	1	0	560	435	14	354.641259292	6996.47678571	0.025	229.018137138	1	0	0					
2	9	1	0	646	476	7	504.375965051	4390.10835913	0.0108359133127	181.594303898	1	0	0					
2	10	1	0	603	466	3	432.327478639	1270.03648425	0.00497512437811	185.803302695	1	0	0					
2	11	1	0	448	407	4	400.82174494	2352.83705357	0.00892857142857	223.21788239	1	0	0					
2	12	1	0	384	425	55	373.058678493	49461.7942708	0.143229166667	258.344525952	1	0	0					
2	13	1	0	526	403	2	410.074629268	867.096958175	0.00380228136882	224.360324859	1	0	0					
2	14	1	0	542	445	3	419.889945071	1333.20848708	0.00553505535055	189.849756344	1	0	0					
2	15	1	0	588	409	3	380.670326061	1449.17857143	0.00510204081633	213.778235424	1	0	0					
2	16	1	0	524	218	1	353.909589225	412.066793893	0.00190839694656	307.323731167	1	0	0					
2	17	1	0	577	460	21	363.07865152	14511.8665511	0.0363951473137	193.94915879	1	0	0					
2	18	1	0	569	424	0	NaN	0	0	204.905248754	1	0	0					
2	19	1	0	721	463	0	NaN	0	0	128.49100383	1	0	0					
2	20	1	0	537	408	13	394.550474026	8302.69273743	0.024208566108	220.304312043	1	0	0					
2	21	1	0	539	397	1	333.583672968	611.959183673	0.00185528756957	181.95688698	1	0	0					
2	22	1	0	546	421	6	371.252009217	4124.57875458	0.010989010989	201.574771074	1	0	0					
2	23	1	0	427	383	6	423.501497262	5237.32318501	0.0140515222482	214.498653614	1	0	0					
2	24	1	0	543	416	10	362.913518434	5069.40883978	0.0184162062615	200.922256379	1	0	0					
3	1	1	0	60	383	1	342.48135184	3978.86666667	0.0166666666667	172.744016252	1	0	0					
3	2	1	0	549	415	5	365.206336348	3775.86520947	0.00910746812386	209.339352591	1	0	0					
3	3	1	0	110	338	19	409.862909154	68470.0818182	0.172727272727	263.403469766	1	0	0					
3	4	1	0	64	426	1	342.509613165	3152.53125	0.015625	159.276427737	1	0	0					
3	5	1	0	420	427	7	387.578355748	4589.50952381	0.0166666666667	211.54932567	1	0	0					
3	6	1	0	534	420	14	364.314192817	8135.29400749	0.0262172284644	216.712227891	1	0	0					
3	7	1	0	664	452	29	368.553408022	14051.6355422	0.0436746987952	229.033552941	1	0	0					
3	8	1	0	567	442	2	379.877228951	1011.08994709	0.00352733686067	205.417794476	1	0	0					
3	9	1	0	757	492	0	NaN	0	0	147.883539064	1	0	0					
3	10	1	0	645	14	10	412.204382021	3872.16589147	0.015503875969	15085.5	1	0	0					
3	11	1	0	464	446	6	450.164527773	4554.34913793	0.0129310344828	174.446027469	1	0	0					
3	12	1	0	612	462	14	365.874330343	7318.33986928	0.0228758169935	219.125531755	1	0	0					
3	13	1	0	511	395	27	381.772339444	19692.3248532	0.0528375733855	269.302438712	1	0	0					
3	14	1	0	570	430	10	450.500257879	7093.32105263	0.0175438596491	222.94848026	1	0	0					
3	15	1	0	582	439	30	374.650691032	18122.2250859	0.0515463917526	232.561620166	1	0	0					
3	16	1	0	394	393	29	383.654573848	24072.1700508	0.0736040609137	254.269622982	1	0	0					
3	17	1	0	620	397	0	NaN	0	0	181.650787709	1	0	0					
3	18	1	0	545	412	2	344.519393431	979.708256881	0.00366972477064	181.791391743	1	0	0					
3	19	1	0	495	432	8	363.965841857	5224.41818182	0.0161616161616	169.245284636	1	0	0					
3	20	1	0	527	391	105	440.601837231	99341.0398482	0.199240986717	564.125051511	1	0	0					
3	21	1	0	684	418	1	454.329861003	366.121345029	0.00146198830409	165.943127447	1	0	0					
3	22	1	0	515	401	4	373.666133633	2381.27572816	0.00776699029126	210.26495482	1	0	0					
3	23	1	0	534	409	0	NaN	0	0	180.344659585	1	0	0					
3	24	1	0	572	426	4	369.950144886	1748.01923077	0.00699300699301	191.04863453	1	0	0					
4	1	1	0	573	423	28	377.11245212	16475.8359511	0.0488656195462	278.156028369	1	0	0					
4	2	1	0	693	486	0	NaN	0	0	178.884650883	1	0	0					
4	3	1	0	571	468	2	343.888473333	821.886164623	0.00350262697023	224.512596793	1	0	0					
4	4	1	0	620	498	2	356.059742892	738.614516129	0.00322580645161	171.36973194	1	0	0					
4	5	1	0	511	407	223	504.54925479	278070.581213	0.436399217221	935.722739045	1	0	0					
4	6	1	0	484	83	24	1029.86449038	54076.7066116	0.0495867768595	4770.9253883	1	0	0					
4	7	1	0	581	437	19	355.581228238	10221.5989673	0.0327022375215	201.440825474	1	0	0					
4	8	1	0	580	434	2	443.309009348	764.337931034	0.00344827586207	190.120776614	1	0	0					
4	9	1	0	627	462	4	351.021316064	1506.02392344	0.00637958532695	220.289232773	1	0	0					
4	10	1	0	635	437	48	362.113183817	26373.8015748	0.0755905511811	266.343390812	1	0	0					
4	11	1	0	500	405	150	450.988168935	163446.256	0.3	654.442713001	1	0	0					
4	12	1	0	460	404	6	353.17547611	4765.00434783	0.0130434782609	236.311832173	1	0	0					
4	13	1	0	713	275	4	361.717891383	1734.01683029	0.00561009817672	341.795993388	1	0	0					
4	14	1	0	529	430	13	362.664421979	7184.61436673	0.0245746691871	206.620086533	1	0	0					
4	15	1	0	691	462	26	376.133175962	13269.5340087	0.0376266280753	214.918025337	1	0	0					
4	16	1	0	504	426	4	363.613505588	3084.19444444	0.00793650793651	182.222288347	1	0	0					
4	17	1	0	567	426	1	398.50211318	503.716049383	0.00176366843034	174.01443166	1	0	0					
