Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	150ae4bc-45ed-4f4f-aa81-555dba9e9307
Plate Name	P104414
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	562	422	14	385.452847967	8063.06049822	0.0249110320285	239.671621257	1	0	0					
1	2	1	0	507	417	33	363.922995754	19888.2189349	0.0650887573964	255.692643008	1	0	0					
1	3	1	0	424	360	2	470.274748675	1228.93867925	0.00471698113208	201.58320216	1	0	0					
1	4	1	0	588	421	9	366.696834013	3816.21088435	0.015306122449	218.341286723	1	0	0					
1	5	1	0	65	398	1	588.256162446	4252.21538462	0.0153846153846	187.83343855	1	0	0					
1	6	1	0	488	391	47	365.088002371	35624.4057377	0.0963114754098	294.240069073	1	0	0					
1	7	1	0	602	409	5	352.300396393	2969.63122924	0.00830564784053	237.754377365	1	0	0					
1	8	1	0	397	319	18	386.808285832	14919.8916877	0.0453400503778	288.553640393	1	0	0					
1	9	1	0	577	402	6	388.916182766	3285.12824957	0.0103986135182	225.394204351	1	0	0					
1	10	1	0	669	429	32	384.612389965	14671.2301943	0.0478325859492	237.411267055	1	0	0					
1	11	1	0	720	463	5	471.753879296	2086.05694444	0.00694444444444	184.63391162	1	0	0					
1	12	1	0	480	376	16	391.5979007	11426.3625	0.0333333333333	295.154566546	1	0	0					
1	13	1	0	608	411	12	379.987584637	5098.96710526	0.0197368421053	232.223832442	1	0	0					
1	14	1	0	645	419	28	385.444303497	15323.8077519	0.0434108527132	254.13633438	1	0	0					
1	15	1	0	383	342	5	550.439151596	7409.74673629	0.0130548302872	243.906774734	1	0	0					
1	16	1	0	246	399	35	383.363422778	51097.5691057	0.142276422764	264.806062776	1	0	0					
1	17	1	0	610	404	24	365.431610679	11910.1344262	0.0393442622951	301.533814087	1	0	0					
1	18	1	0	667	453	18	398.151585079	8239.08845577	0.0269865067466	234.965440112	1	0	0					
1	19	1	0	627	380	6	371.967835482	3001.24401914	0.00956937799043	238.563788089	1	0	0					
1	20	1	0	590	409	25	366.467682694	13821.9220339	0.0423728813559	260.582755962	1	0	0					
1	21	1	0	400	348	6	479.317506689	5983.16	0.015	231.603588651	1	0	0					
1	22	1	0	672	431	13	419.262947549	7762.59821429	0.0193452380952	222.795710617	1	0	0					
1	23	1	0	610	413	13	375.788449445	6519.13770492	0.0213114754098	230.23753437	1	0	0					
1	24	1	0	476	230	150	490.018679464	190587.161765	0.31512605042	2006.00877127	1	0	0					
2	1	1	0	513	399	207	440.282193938	211599.851852	0.40350877193	804.152034221	1	0	0					
2	2	1	0	661	497	64	371.352009058	34635.3676248	0.0968229954614	259.726856106	1	0	0					
2	3	1	0	702	447	2	366.95901019	747.088319088	0.002849002849	182.827710463	1	0	0					
2	4	1	0	696	470	6	457.038719544	3555.99281609	0.00862068965517	183.262775011	1	0	0					
2	5	1	0	759	486	25	360.187570919	9683.61264822	0.0329380764163	212.89465952	1	0	0					
2	6	1	0	555	392	13	357.921849424	6908.63423423	0.0234234234234	232.008772387	1	0	0					
2	7	1	0	249	358	25	355.511976677	28839.9839357	0.100401606426	336.081902874	1	0	0					
2	8	1	0	712	454	30	359.111143157	12442.491573	0.0421348314607	204.276029032	1	0	0					
2	9	1	0	649	421	6	344.060446827	2255.17257319	0.00924499229584	228.937819128	1	0	0					
2	10	1	0	478	413	8	397.715506619	4505.69456067	0.0167364016736	195.389467019	1	0	0					
2	11	1	0	629	440	34	364.321637479	17690.8903021	0.0540540540541	229.484085744	1	0	0					
2	12	1	0	550	425	28	355.452400454	18057.0672727	0.0509090909091	256.728116263	1	0	0					
2	13	1	0	735	438	14	359.40449258	5221.1877551	0.0190476190476	204.890682012	1	0	0					
2	14	1	0	422	412	16	378.512788246	13756.3815166	0.0379146919431	230.804110896	1	0	0					
2	15	1	0	675	424	7	400.522276189	3170.77333333	0.0103703703704	200.822857334	1	0	0					
2	16	1	0	524	400	13	357.626743063	6875.77862595	0.0248091603053	205.72335	1	0	0					
2	17	1	0	672	415	7	362.108558526	3555.11904762	0.0104166666667	186.51027435	1	0	0					
2	18	1	0	719	401	12	368.918051597	4774.12517385	0.0166898470097	214.371372069	1	0	0					
2	19	1	0	677	414	14	379.167836123	9170.22156573	0.0206794682422	244.266598987	1	0	0					
2	20	1	0	61	338	1	424.793320195	3623.59016393	0.016393442623	231.164577571	1	0	0					
2	21	1	0	621	407	13	352.375030121	5757.17391304	0.0209339774557	235.984527525	1	0	0					
2	22	1	0	634	416	3	371.9201258	1592.88012618	0.00473186119874	209.485403569	1	0	0					
2	23	1	0	575	434	0	NaN	0	0	172.154749517	1	0	0					
2	24	1	0	677	465	2	377.769279162	685.581979321	0.00295420974889	179.181510001	1	0	0					
3	1	1	0	566	412	6	365.281309554	3619.75971731	0.0106007067138	227.800069516	1	0	0					
3	2	1	0	606	437	5	400.540367205	3115.72772277	0.00825082508251	188.160533909	1	0	0					
3	3	1	0	673	444	3	347.944322521	1334.95245171	0.00445765230312	209.050609731	1	0	0					
3	4	1	0	626	447	1	477.684676482	557.599041534	0.00159744408946	178.389451927	1	0	0					
3	5	1	0	726	455	27	375.613674409	12410.6460055	0.0371900826446	222.019765729	1	0	0					
3	6	1	0	554	430	16	354.927731737	8370.99277978	0.028880866426	214.629058951	1	0	0					
3	7	1	0	670	407	14	357.468652246	6542.45820896	0.0208955223881	215.396887394	1	0	0					
3	8	1	0	774	464	16	360.231878466	5847.49095607	0.0206718346253	192.166231607	1	0	0					
3	9	1	0	583	438	15	381.366104177	9731.58147513	0.0257289879931	208.985926065	1	0	0					
3	10	1	0	599	438	21	360.454521616	10782.0634391	0.0350584307179	223.933195722	1	0	0					
3	11	1	0	624	448	1	403.354310658	592.921474359	0.00160256410256	151.978988959	1	0	0					
3	12	1	0	625	1	0	NaN	0	0	76139753752	1	0	0					
3	13	1	0	641	447	3	431.205575408	1194.47581903	0.00468018720749	165.551606784	1	0	0					
3	14	1	0	568	379	12	365.790735996	9155.20950704	0.0211267605634	241.10033347	1	0	0					
3	15	1	0	510	395	8	350.050969557	3702.4372549	0.0156862745098	229.699759654	1	0	0					
3	16	1	0	575	421	0	NaN	0	0	173.532833825	1	0	0					
3	17	1	0	622	424	25	354.007774838	13269.3344051	0.040192926045	237.512265263	1	0	0					
3	18	1	0	703	1	0	NaN	0	0	1953506	1	0	0					
3	19	1	0	538	417	5	342.975556703	2849.57620818	0.0092936802974	188.488553042	1	0	0					
3	20	1	0	656	383	147	460.329126113	112246.657012	0.224085365854	666.484398967	1	0	0					
3	21	1	0	526	399	1	375.821201185	384.807984791	0.00190114068441	191.702803374	1	0	0					
3	22	1	0	596	413	4	350.088178192	1537.30536913	0.00671140939597	196.484513599	1	0	0					
3	23	1	0	627	436	2	348.51690041	834.175438596	0.00318979266348	204.430850728	1	0	0					
3	24	1	0	614	440	2	365.942488703	738.11237785	0.00325732899023	192.373595041	1	0	0					
4	1	1	0	547	348	7	390.870731735	3720.24131627	0.0127970749543	240.815736887	1	0	0					
4	2	1	0	617	438	11	535.211562849	6671.98541329	0.0178282009724	204.1055076	1	0	0					
4	3	1	0	591	455	3	432.300901909	1595.31472081	0.00507614213198	178.344475305	1	0	0					
4	4	1	0	684	460	6	364.692942504	2644.23976608	0.00877192982456	219.860108696	1	0	0					
4	5	1	0	606	431	224	486.253427867	206645.041254	0.369636963696	787.00673446	1	0	0					
4	6	1	0	580	431	3	357.067728582	1331.44827586	0.0051724137931	199.067301533	1	0	0					
4	7	1	0	510	398	13	365.817722011	7450.6745098	0.0254901960784	242.172382011	1	0	0					
4	8	1	0	663	467	9	363.928077645	4334.38763198	0.0135746606335	188.502583808	1	0	0					
4	9	1	0	539	423	9	405.708595969	5354.5380334	0.0166975881262	210.316287466	1	0	0					
4	10	1	0	625	483	21	377.444229251	9738.1088	0.0336	186.422295951	1	0	0					
4	11	1	0	531	391	133	437.607664442	143277.757062	0.250470809793	670.410391088	1	0	0					
4	12	1	0	548	445	9	361.189374016	4668.34671533	0.0164233576642	193.499876278	1	0	0					
4	13	1	0	402	375	0	NaN	0	0	195.064888889	1	0	0					
4	14	1	0	753	494	24	368.80932369	10318.6547145	0.0318725099602	191.094113164	1	0	0					
4	15	1	0	737	445	6	445.958587198	3181.70420624	0.00814111261872	200.974710264	1	0	0					
4	16	1	0	458	332	4	358.171998954	2237.55458515	0.00873362445415	244.847229279	1	0	0					
4	17	1	0	52	323	4	389.636083785	24423.5769231	0.0769230769231	211.923482445	1	0	0					
4	18	1	0	576	399	4	367.855735524	1910.57118056	0.00694444444444	184.368106984	1	0	0					
4	19	1	0	538	396	2	338.104135245	1291.28810409	0.00371747211896	195.299274309	1	0	0					
4	20	1	0	80	359	17	415.518537018	66954.6125	0.2125	245.052172159	1	0	0					
4	21	1	0	72	250	1	515.246006268	3974.61111111	0.0138888888889	262.117424	1	0	0					
4	22	1	0	640	417	1	478.892226343	345.2796875	0.0015625	168.560823284	1	0	0					
4	23	1	0	610	421	3	379.14015844	1760.0442623	0.00491803278689	180.366986194	1	0	0					
4	24	1	0	244	382	10	380.557205355	12195.295082	0.0409836065574	216.162413311	1	0	0					
5	1	1	0	595	404	7	361.202385973	3671.38319328	0.0117647058824	261.100504852	1	0	0					
5	2	1	0	549	411	4	398.821584517	1773.87249545	0.00728597449909	202.510179315	1	0	0					
5	3	1	0	583	436	3	373.933305533	1236.93138937	0.00514579759863	176.522462335	1	0	0					
5	4	1	0	398	432	4	412.190923112	2520.18341709	0.0100502512563	196.391460905	1	0	0					
5	5	1	0	622	414	16	357.263133643	7817.46463023	0.0257234726688	233.681363626	1	0	0					
5	6	1	0	547	432	6	387.423323279	3127.16270567	0.0109689213894	222.890619642	1	0	0					
5	7	1	0	481	402	7	352.737005776	3658.53430353	0.014553014553	212.577157744	1	0	0					
5	8	1	0	699	475	3	339.443593	1482.06294707	0.00429184549356	200.95927313	1	0	0					
5	9	1	0	472	407	18	372.397999894	11718.6779661	0.0381355932203	221.561862734	1	0	0					
5	10	1	0	619	453	4	394.96580389	1639.50080775	0.0064620355412	214.103411644	1	0	0					
5	11	1	0	562	406	1	355.895512992	560.444839858	0.0017793594306	205.528549589	1	0	0					
5	12	1	0	544	443	1	369.265899237	850.176470588	0.00183823529412	176.166253076	1	0	0					
5	13	1	0	679	439	3	408.64650128	1111.68335788	0.00441826215022	186.023687092	1	0	0					
5	14	1	0	548	382	2	357.921167	805.217153285	0.0036496350365	208.871940188	1	0	0					
5	15	1	0	602	358	11	362.892133789	5919.9833887	0.0182724252492	250.040885116	1	0	0					
5	16	1	0	23	356	5	445.359196215	60834.2173913	0.217391304348	221.960145499	1	0	0					
5	17	1	0	624	454	160	437.622225315	129797.947115	0.25641025641	544.235488754	1	0	0					
5	18	1	0	621	428	1	338.631793449	590.433172303	0.00161030595813	169.73288606	1	0	0					
5	19	1	0	625	452	11	381.248356956	5539.6848	0.0176	192.983974861	1	0	0					
5	20	1	0	766	455	0	NaN	0	0	166.833807511	1	0	0					
5	21	1	0	593	397	6	360.069679812	2872.53625632	0.0101180438449	208.14497903	1	0	0					
5	22	1	0	576	473	9	341.042846289	5561.39930556	0.015625	219.993380384	1	0	0					
5	23	1	0	373	363	7	375.862655383	4833.5227882	0.0187667560322	196.670969651	1	0	0					
5	24	1	0	110	322	0	NaN	0	0	193.63643378	1	0	0					
6	1	1	0	512	403	14	373.560850435	10478.7304688	0.02734375	275.240953395	1	0	0					
6	2	1	0	443	243	198	515.11900092	314449.361174	0.446952595937	2505.57091568	1	0	0					
6	3	1	0	697	452	3	364.783927364	1984.84648494	0.00430416068867	179.835221043	1	0	0					
6	4	1	0	591	445	2	428.730553846	1177.1928934	0.00338409475465	167.337295796	1	0	0					
6	5	1	0	442	405	9	357.723382316	6709.70361991	0.0203619909502	247.506806889	1	0	0					
6	6	1	0	638	428	4	360.844559011	2144.98119122	0.00626959247649	207.349850424	1	0	0					
6	7	1	0	382	408	3	353.09474446	1929.07068063	0.00785340314136	193.740598568	1	0	0					
6	8	1	0	48	328	12	391.530923578	98685.1041667	0.25	271.047720851	1	0	0					
6	9	1	0	436	358	28	373.310625568	19808.587156	0.0642201834862	297.227091851	1	0	0					
6	10	1	0	669	427	3	389.702049751	992.659192825	0.00448430493274	189.089755332	1	0	0					
6	11	1	0	472	416	5	364.832013722	2943.32415254	0.010593220339	217.529383552	1	0	0					
6	12	1	0	663	327	42	366.271452546	19705.4962293	0.0633484162896	327.404268253	1	0	0					
6	13	1	0	505	401	19	379.750155399	12793.3623762	0.0376237623762	238.467372715	1	0	0					
6	14	1	0	291	355	27	356.098548732	32602.9347079	0.0927835051546	261.158238445	1	0	0					
6	15	1	0	244	416	14	356.715165435	15997.6065574	0.0573770491803	209.816972541	1	0	0					
6	16	1	0	400	345	11	428.955873644	11491.145	0.0275	280.113799622	1	0	0					
6	17	1	0	622	419	1	387.035057834	417.162379421	0.0016077170418	177.982638513	1	0	0					
6	18	1	0	742	455	19	356.917265661	7687.00539084	0.0256064690027	184.641178602	1	0	0					
6	19	1	0	418	387	5	350.207164896	2984.6937799	0.011961722488	233.149329968	1	0	0					
6	20	1	0	616	407	0	NaN	0	0	173.11619146499999	1	0	0					
6	21	1	0	627	411	5	434.292753678	2800.76714514	0.00797448165869	207.303337063	1	0	0					
6	22	1	0	572	415	5	368.113404561	2870.31818182	0.00874125874126	170.401428364	1	0	0					
6	23	1	0	651	423	1	455.438496846	351.276497696	0.00153609831029	167.9510588	1	0	0					
6	24	1	0	472	399	1	369.467421514	607.122881356	0.0021186440678	182.686723073	1	0	0					
7	1	1	0	561	443	9	370.296441495	5321.3368984	0.0160427807487	206.56437485	1	0	0					
7	2	1	0	560	414	2	355.138839703	1548.55357143	0.00357142857143	225.024551331	1	0	0					
7	3	1	0	664	478	3	425.764298873	1538.75150602	0.00451807228916	161.332552826	1	0	0					
7	4	1	0	634	459	8	369.613905547	3493.07255521	0.01261829653	201.995429108	1	0	0					
7	5	1	0	511	453	1	409.464173523	745.119373777	0.00195694716243	174.144608667	1	0	0					
7	6	1	0	704	452	3	408.945617614	1141.42755682	0.00426136363636	188.068119077	1	0	0					
7	7	1	0	474	403	164	482.549236013	211266.580169	0.345991561181	740.444341139	1	0	0					
7	8	1	0	546	417	0	NaN	0	0	184.840317674	1	0	0					
7	9	1	0	645	469	4	346.005489967	1888.48837209	0.0062015503876	179.053027582	1	0	0					
7	10	1	0	731	458	2	352.202923609	783.882352941	0.00273597811218	199.783232585	1	0	0					
7	11	1	0	498	407	18	362.269309672	12578.0160643	0.0361445783133	213.455559647	1	0	0					
7	12	1	0	633	446	37	376.458800157	20184.1532385	0.0584518167457	207.182549418	1	0	0					
7	13	1	0	696	461	8	349.918385242	3510.88793103	0.0114942528736	195.594030708	1	0	0					
7	14	1	0	577	424	12	383.339109068	7785.22357019	0.0207972270364	240.532240121	1	0	0					
7	15	1	0	590	430	1	576.83141963	1039.40169492	0.00169491525424	167.483293672	1	0	0					
7	16	1	0	604	422	2	349.032532455	800.761589404	0.00331125827815	172.203566856	1	0	0					
7	17	1	0	604	405	2	363.585391685	681.334437086	0.00331125827815	189.321816796	1	0	0					
7	18	1	0	674	411	2	395.113682794	1168.35163205	0.00296735905045	191.603139929	1	0	0					
7	19	1	0	583	421	1	349.076941072	356.070325901	0.00171526586621	174.434239256	1	0	0					
7	20	1	0	552	429	2	408.338097578	1128.82608696	0.0036231884058	163.072125233	1	0	0					
7	21	1	0	507	383	3	355.336665837	3526.9704142	0.00591715976331	211.814607776	1	0	0					
7	22	1	0	559	424	0	NaN	0	0	137.377725614	1	0	0					
7	23	1	0	521	421	4	377.349369798	2575.14203455	0.00767754318618	216.903797654	1	0	0					
