Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	e5cbc656-d74f-48a6-9b35-fcad22778beb
Plate Name	P104415
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	490	421	9	358.26852019	6890.24285714	0.0183673469388	207.598450697	1	0	0					
1	2	1	0	509	432	27	380.97057862	16846.5854617	0.0530451866405	252.102725266	1	0	0					
1	3	1	0	533	419	22	364.897339013	11305.3714822	0.0412757973734	298.429246814	1	0	0					
1	4	1	0	582	441	5	362.662372172	2235.61683849	0.0085910652921	239.532787265	1	0	0					
1	5	1	0	750	462	20	360.574942679	10773.9266667	0.0266666666667	226.701748468	1	0	0					
1	6	1	0	467	422	22	359.836357833	14573.2505353	0.0471092077088	239.871594304	1	0	0					
1	7	1	0	554	403	4	361.209349185	2327.31046931	0.0072202166065	252.753486568	1	0	0					
1	8	1	0	400	409	13	405.189815108	10635.69	0.0325	236.512269774	1	0	0					
1	9	1	0	775	442	2	392.797070116	661.810322581	0.00258064516129	213.758758011	1	0	0					
1	10	1	0	386	393	47	370.724985239	41751.6373057	0.121761658031	300.052878296	1	0	0					
1	11	1	0	505	439	59	382.626834737	39073.5782178	0.116831683168	263.507282548	1	0	0					
1	12	1	0	456	382	24	379.456875546	15395.4583333	0.0526315789474	256.291158411	1	0	0					
1	13	1	0	423	427	14	380.176648631	14290.9314421	0.0330969267139	252.468789935	1	0	0					
1	14	1	0	552	413	4	356.132592775	1950.91666667	0.00724637681159	203.180120655	1	0	0					
1	15	1	0	269	379	1	717.643554726	1571.53159851	0.00371747211896	207.503553999	1	0	0					
1	16	1	0	566	409	15	361.713055144	7396.4664311	0.0265017667845	236.435913224	1	0	0					
1	17	1	0	381	367	13	363.349360386	10046.4934383	0.0341207349081	291.664211628	1	0	0					
1	18	1	0	375	389	23	396.289850992	21392.208	0.0613333333333	246.744985825	1	0	0					
1	19	1	0	525	379	9	358.753241051	5881.79619048	0.0171428571429	248.468403868	1	0	0					
1	20	1	0	641	418	8	371.581717656	4290.42901716	0.01248049922	195.579702846	1	0	0					
1	21	1	0	736	446	44	382.660862443	18159.5557065	0.0597826086957	220.383377908	1	0	0					
1	22	1	0	670	418	9	379.287186115	4041.36865672	0.0134328358209	207.414430759	1	0	0					
1	23	1	0	593	469	24	380.065909379	11801.9342327	0.0404721753794	234.006901223	1	0	0					
1	24	1	0	537	361	198	534.800423788	259448.944134	0.368715083799	1161.67039848	1	0	0					
2	1	1	0	661	428	183	497.032636389	167763.406959	0.276853252648	716.788464058	1	0	0					
2	2	1	0	596	425	3	439.916875463	2099.46979866	0.00503355704698	188.128542561	1	0	0					
2	3	1	0	103	323	17	406.181539647	69972.1359223	0.165048543689	272.568451725	1	0	0					
2	4	1	0	421	428	2	401.661467391	1656.59382423	0.00475059382423	189.194121757	1	0	0					
2	5	1	0	607	480	42	363.508098881	22064.1021417	0.0691927512356	208.834648438	1	0	0					
2	6	1	0	622	427	25	362.68645644	15361.9501608	0.040192926045	271.847462554	1	0	0					
2	7	1	0	425	400	18	371.294263655	13710.0141176	0.0423529411765	235.6675625	1	0	0					
2	8	1	0	495	399	41	364.599201303	27379.3333333	0.0828282828283	259.133742878	1	0	0					
2	9	1	0	496	342	11	382.057454637	8180.40725806	0.0221774193548	270.829639889	1	0	0					
