Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	836fe24e-78a7-446d-81e4-6c91890e0ac2
Plate Name	240215_144638-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	570	445	32	372.5930677	17678.7614035	0.0561403508772	279.620280268	1	0	0					
1	2	1	0	514	407	49	371.948604316	32155.0894942	0.0953307392996	287.044322634	1	0	0					
1	3	1	0	589	449	45	370.957484113	26960.3123939	0.0764006791171	268.505037177	1	0	0					
1	4	1	0	667	442	40	360.05429983	18164.6041979	0.0599700149925	261.454208554	1	0	0					
1	5	1	0	646	446	79	370.754326446	43136.6764706	0.122291021672	303.452100384	1	0	0					
1	6	1	0	463	420	54	370.061205673	42952.6587473	0.116630669546	268.955345805	1	0	0					
1	7	1	0	475	435	59	374.266895656	41221.6715789	0.124210526316	264.225852821	1	0	0					
1	8	1	0	643	412	6	399.565498426	3126.26438569	0.00933125972006	209.038870299	1	0	0					
1	9	1	0	608	438	5	372.220046541	2898.78453947	0.00822368421053	242.590198286	1	0	0					
1	10	1	0	774	478	16	392.484860007	5825.54005168	0.0206718346253	211.560078605	1	0	0					
1	11	1	0	610	395	21	372.204651272	12840.3344262	0.0344262295082	279.524979971	1	0	0					
1	12	1	0	642	404	12	406.526691239	6774.57476636	0.018691588785	249.180791099	1	0	0					
1	13	1	0	569	430	73	387.971218028	42923.5975395	0.128295254833	290.973055706	1	0	0					
1	14	1	0	620	419	35	372.691977946	17079.3854839	0.0564516129032	251.886620605	1	0	0					
1	15	1	0	592	425	6	363.924709214	2588.31925676	0.0101351351351	228.022272664	1	0	0					
1	16	1	0	602	402	4	390.624371238	1624.49501661	0.00664451827243	217.441740303	1	0	0					
1	17	1	0	524	396	2	338.560014943	1078.3721374	0.00381679389313	220.821108815	1	0	0					
1	18	1	0	529	423	39	392.556766239	24777.1039698	0.0737240075614	262.757669243	1	0	0					
1	19	1	0	695	447	26	369.681198001	11948.5151079	0.0374100719424	223.579638555	1	0	0					
1	20	1	0	437	412	35	382.663941378	25121.9244851	0.0800915331808	252.737386888	1	0	0					
1	21	1	0	505	387	16	385.601673253	8712.09108911	0.0316831683168	246.05797595	1	0	0					
1	22	1	0	233	335	4	494.027341968	5367.7167382	0.0171673819742	220.530951214	1	0	0					
1	23	1	0	525	400	2	362.647700839	932.973333333	0.00380952380952	194.5388625	1	0	0					
1	24	1	0	516	409	226	509.734497648	274778.366279	0.437984496124	971.205026273	1	0	0					
2	1	1	0	634	431	222	493.038293994	215940.657729	0.350157728707	847.239468995	1	0	0					
2	2	1	0	576	433	42	355.56528309	25419.6892361	0.0729166666667	257.760113927	1	0	0					
2	3	1	0	529	423	3	354.635115894	1440.463138	0.00567107750473	214.1857273	1	0	0					
2	4	1	0	608	430	32	360.214518475	16327.3388158	0.0526315789474	265.847717685	1	0	0					
2	5	1	0	699	450	20	364.344307472	9533.73390558	0.0286123032904	216.083190123	1	0	0					
2	6	1	0	685	531	7	351.289106293	2823.13138686	0.0102189781022	184.229592036	1	0	0					
2	7	1	0	501	430	5	353.338682808	3475.94211577	0.00998003992016	210.947247161	1	0	0					
2	8	1	0	443	403	14	354.121352844	10351.6252822	0.0316027088036	221.65415094	1	0	0					
2	9	1	0	698	461	28	358.015406144	13782.0487106	0.0401146131805	213.774191727	1	0	0					
