Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	0fbdd2c4-d333-41f7-8a9b-6d7767cb7e29
Plate Name	P104417
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	443	421	14	363.920540842	10306.2460497	0.0316027088036	238.384764248	1	0	0					
1	2	1	0	648	438	13	376.538971401	6162.13888889	0.0200617283951	233.264517003	1	0	0					
1	3	1	0	425	388	31	375.176368877	27764.9129412	0.0729411764706	288.074529706	1	0	0					
1	4	1	0	640	463	14	386.45968949	6898.15	0.021875	235.089504546	1	0	0					
1	5	1	0	539	417	34	382.968369282	22994.987013	0.0630797773655	296.262449034	1	0	0					
1	6	1	0	68	344	5	432.834434056	27862.75	0.0735294117647	217.079367226	1	0	0					
1	7	1	0	692	450	20	362.849233831	8747.12572254	0.028901734104	225.339120988	1	0	0					
1	8	1	0	558	431	13	357.897074943	7576.28853047	0.0232974910394	221.276548899	1	0	0					
1	9	1	0	403	348	11	362.334683353	10784.248139	0.0272952853598	279.460983948	1	0	0					
1	10	1	0	682	418	43	373.762879607	18768.9164223	0.0630498533724	255.531220668	1	0	0					
1	11	1	0	81	334	6	453.413155686	27816.1851852	0.0740740740741	231.420721431	1	0	0					
1	12	1	0	561	403	14	612.509509839	12829.4385027	0.0249554367201	230.45164369	1	0	0					
1	13	1	0	624	450	7	389.155266387	3469.90705128	0.0112179487179	220.083669136	1	0	0					
1	14	1	0	605	462	10	370.525896749	5859.92727273	0.0165289256198	211.845715972	1	0	0					
1	15	1	0	534	431	19	389.271299118	9926.65543071	0.0355805243446	226.119847546	1	0	0					
1	16	1	0	725	442	10	366.419243956	4231.15724138	0.0137931034483	224.813952417	1	0	0					
1	17	1	0	740	413	26	392.397054438	12710.2297297	0.0351351351351	273.581225193	1	0	0					
1	18	1	0	568	430	25	396.181083883	14560.7042254	0.044014084507	246.748345051	1	0	0					
1	19	1	0	529	439	1	348.141258888	389.519848771	0.00189035916824	173.369975249	1	0	0					
1	20	1	0	453	380	18	420.650526703	10920.5275938	0.0397350993377	239.195900277	1	0	0					
1	21	1	0	521	416	14	368.803529458	9553.99808061	0.0268714011516	231.320364506	1	0	0					
1	22	1	0	464	398	7	360.398143278	4614.64008621	0.0150862068966	235.703151436	1	0	0					
1	23	1	0	85	375	2	482.216285529	8513.81176471	0.0235294117647	177.471843556	1	0	0					
1	24	1	0	467	385	194	552.951693846	305134.520343	0.415417558887	1080.00101198	1	0	0					
2	1	1	0	662	443	201	492.379636663	190315.743202	0.303625377644	772.459085142	1	0	0					
2	2	1	0	668	450	4	369.947081572	2331.02245509	0.0059880239521	218.773032099	1	0	0					
2	3	1	0	629	464	12	357.110702009	5937.91096979	0.0190779014308	226.635650453	1	0	0					
2	4	1	0	601	450	2	345.00945926	811.585690516	0.00332778702163	183.486740741	1	0	0					
2	5	1	0	559	476	3	514.580162766	2150.96601073	0.00536672629696	185.362377304	1	0	0					
2	6	1	0	95	390	1	503.740488573	3235.11578947	0.0105263157895	155.072813938	1	0	0					
2	7	1	0	78	427	4	481.233599806	14598.0128205	0.0512820512821	156.106137806	1	0	0					
2	8	1	0	209	374	1	497.384328918	987.995215311	0.00478468899522	194.189632246	1	0	0					
2	9	1	0	611	436	23	353.967486885	11095.9116203	0.037643207856	231.351048944	1	0	0					
2	10	1	0	763	470	33	365.59964734	15735.2686763	0.043250327654	223.519334541	1	0	0					
2	11	1	0	750	456	0	NaN	0	0	169.651503347	1	0	0					
2	12	1	0	569	429	31	361.888672711	17637.2407733	0.0544815465729	253.457148135	1	0	0					
2	13	1	0	525	445	4	352.135056295	1615.24190476	0.00761904761905	180.3295291	1	0	0					
2	14	1	0	535	427	8	366.939006684	6107.48971963	0.014953271028	218.002237713	1	0	0					
2	15	1	0	426	416	5	377.790179884	3486.4342723	0.0117370892019	195.888550527	1	0	0					
2	16	1	0	82	414	0	NaN	0	0	135.510338631	1	0	0					
2	17	1	0	781	459	3	343.991946534	1595.03713188	0.00384122919334	184.002724498	1	0	0					
2	18	1	0	107	373	4	485.281056571	10845.5420561	0.0373831775701	218.311408836	1	0	0					
2	19	1	0	603	436	6	378.530699223	2413.29353234	0.00995024875622	174.803814915	1	0	0					
2	20	1	0	191	382	1	548.564066303	1635.45026178	0.00523560209424	159.4383035	1	0	0					
2	21	1	0	477	366	0	NaN	0	0	211.290446117	1	0	0					
2	22	1	0	545	430	3	610.757859379	3585.2146789	0.00550458715596	188.3305192	1	0	0					
