Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	557ed406-2131-4ff3-867b-83d7e5325900
Plate Name	P104418
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	476	451	20	361.57729459	13591.2710084	0.0420168067227	199.593104262	1	0	0					
1	2	1	0	178	367	14	362.583398265	31000.9494382	0.0786516853933	248.984608988	1	0	0					
1	3	1	0	519	386	7	386.140453836	4989.00578035	0.0134874759152	252.712045961	1	0	0					
1	4	1	0	528	427	50	371.224791986	32848.9185606	0.094696969697	280.471159278	1	0	0					
1	5	1	0	574	468	35	366.828087953	20508.9303136	0.0609756097561	243.130561034	1	0	0					
1	6	1	0	550	397	3	400.345523704	1401.71636364	0.00545454545455	210.268702929	1	0	0					
1	7	1	0	107	444	0	NaN	0	0	135.015669386	1	0	0					
1	8	1	0	66	352	3	945.923917535	28101.969697	0.0454545454545	206.175167872	1	0	0					
1	9	1	0	222	378	16	365.933278608	33617.1216216	0.0720720720721	264.851130987	1	0	0					
1	10	1	0	517	402	17	356.068211095	11521.0270793	0.0328820116054	252.857002302	1	0	0					
1	11	1	0	345	380	23	374.675933075	25446.4086957	0.0666666666667	282.347873961	1	0	0					
1	12	1	0	638	421	80	379.400735859	45709.5626959	0.12539184953	303.709570585	1	0	0					
1	13	1	0	480	402	18	397.545586654	12014.60625	0.0375	241.708800525	1	0	0					
1	14	1	0	715	446	5	416.133000191	2771.2979021	0.00699300699301	213.757430272	1	0	0					
1	15	1	0	651	431	23	383.419052112	10726.3502304	0.0353302611367	240.300332147	1	0	0					
1	16	1	0	698	420	36	366.485000516	16804.8151862	0.0515759312321	235.80372449	1	0	0					
1	17	1	0	563	415	32	384.876402743	18223.044405	0.056838365897	259.887345043	1	0	0					
1	18	1	0	426	339	12	418.861836122	8228.7629108	0.0281690140845	258.560471976	1	0	0					
1	19	1	0	177	290	8	464.526519528	16100.2768362	0.045197740113	251.33117717	1	0	0					
1	20	1	0	184	341	10	382.459561484	14626.1195652	0.054347826087	242.537190083	1	0	0					
1	21	1	0	576	402	12	371.799704281	5960.65104167	0.0208333333333	241.501621247	1	0	0					
1	22	1	0	152	297	4	355.111620026	9135.48026316	0.0263157894737	258.906732873	1	0	0					
1	23	1	0	594	435	22	366.777238981	11403.0252525	0.037037037037	243.025768265	1	0	0					
1	24	1	0	382	287	182	618.057127267	388883.848168	0.476439790576	1948.47384331	1	0	0					
2	1	1	0	354	391	151	494.449618332	259068.949153	0.426553672316	719.75805365	1	0	0					
2	2	1	0	38	405	1	371.138354679	5287.57894737	0.0263157894737	156.709617436	1	0	0					
2	3	1	0	695	464	3	373.482014119	970.020143885	0.00431654676259	192.224198313	1	0	0					
