Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	f5568142-522f-4b2c-b2f8-b5368560746d
Plate Name	240215_152716-V
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	359	400	1	418.796893012	569.384401114	0.00278551532033	202.6506875	1	0	0					
1	2	1	0	509	435	2	365.623382918	888.591355599	0.00392927308448	172.503025499	1	0	0					
1	3	1	0	62	348	2	466.288988241	7974.48387097	0.0322580645161	210.657071608	1	0	0					
1	4	1	0	884	492	2	347.647090791	631.552036199	0.00226244343891	179.235359244	1	0	0					
1	5	1	0	117	327	17	425.646960921	70011.0769231	0.145299145299	353.761972898	1	0	0					
1	6	1	0	451	343	12	431.665558531	8688.13747228	0.0266075388027	272.135615262	1	0	0					
1	7	1	0	622	454	4	343.193897179	1659.94533762	0.0064308681672	180.117273768	1	0	0					
1	8	1	0	607	371	33	373.662541171	17540.6787479	0.0543657331137	323.50163832	1	0	0					
1	9	1	0	579	434	39	382.450548803	23374.8324698	0.0673575129534	264.412675997	1	0	0					
1	10	1	0	536	423	10	391.582218293	5284.11940299	0.0186567164179	209.963896294	1	0	0					
1	11	1	0	595	400	10	376.70019242	4583.6789916	0.0168067226891	250.72251875	1	0	0					
1	12	1	0	514	393	1	357.222715201	498.097276265	0.00194552529183	232.40654844	1	0	0					
1	13	1	0	676	420	33	367.529632943	16796.4822485	0.0488165680473	252.488673469	1	0	0					
1	14	1	0	101	367	12	408.531469325	30277.4059406	0.118811881188	216.281218214	1	0	0					
1	15	1	0	688	453	0	NaN	0	0	119.035388311	1	0	0					
1	16	1	0	515	10	4	5095.37601065	18608.6601942	0.00776699029126	182359.75	1	0	0					
1	17	1	0	649	431	2	385.562151065	793.238828968	0.00308166409861	181.740176894	1	0	0					
1	18	1	0	75	366	2	418.993214708	10295.76	0.0266666666667	180.841380752	1	0	0					
1	19	1	0	760	448	6	405.836780173	1969	0.00789473684211	202.771982621	1	0	0					
1	20	1	0	706	442	19	371.023888637	8001.73796034	0.0269121813031	202.276918982	1	0	0					
1	21	1	0	64	351	3	417.176396068	10449.6875	0.046875	186.430938061	1	0	0					
1	22	1	0	43	378	3	444.248175832	22619.2093023	0.0697674418605	172.379748607	1	0	0					
1	23	1	0	689	443	10	367.614408021	4317.83889695	0.0145137880987	208.494371946	1	0	0					
1	24	1	0	437	385	198	533.663624016	300378.393593	0.453089244851	969.169283184	1	0	0					
