Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	cbba48b3-baaa-450b-8a73-1f873687660f
Plate Name	P104421
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	536	381	2	356.723660074	766.328358209	0.00373134328358	187.724877894	1	0	0					
1	2	1	0	660	365	5	352.801904851	2355.70909091	0.00757575757576	209.976828673	1	0	0					
1	3	1	0	675	399	18	354.397747203	6827.33925926	0.0266666666667	214.592414621	1	0	0					
1	4	1	0	729	348	32	366.323904841	16347.4759945	0.0438957475995	278.562590831	1	0	0					
1	5	1	0	699	361	1	342.114202272	525.854077253	0.00143061516452	207.965914933	1	0	0					
1	6	1	0	641	403	20	368.310643391	9545.09516381	0.0312012480499	226.030392404	1	0	0					
1	7	1	0	693	439	0	NaN	0	0	140.939440954	1	0	0					
1	8	1	0	630	394	10	384.791940769	6235.47777778	0.015873015873	229.855271973	1	0	0					
1	9	1	0	589	386	25	375.840399663	14874.5398981	0.0424448217317	269.642909877	1	0	0					
1	10	1	0	693	384	19	361.113924075	8024.22655123	0.027417027417	259.614522298	1	0	0					
1	11	1	0	618	428	32	378.663333137	14940.4838188	0.0517799352751	209.356652328	1	0	0					
1	12	1	0	775	395	24	365.778823445	8600.09677419	0.0309677419355	220.576638359	1	0	0					
1	13	1	0	591	358	8	363.097504802	4242.85956007	0.0135363790186	220.84650916	1	0	0					
1	14	1	0	658	422	0	NaN	0	0	159.042519261	1	0	0					
1	15	1	0	471	396	1	421.010120283	426.974522293	0.00212314225053	173.075808591	1	0	0					
1	16	1	0	775	425	0	NaN	0	0	162.898840138	1	0	0					
1	17	1	0	709	390	4	367.870045353	1543.75599436	0.00564174894217	218.200788955	1	0	0					
1	18	1	0	673	370	3	393.806885733	1353.29123328	0.00445765230312	215.383097151	1	0	0					
1	19	1	0	744	397	2	426.822604124	877.552419355	0.00268817204301	180.350982495	1	0	0					
1	20	1	0	621	360	1	344.065034675	366.325281804	0.00161030595813	193.415007716	1	0	0					
1	21	1	0	726	390	0	NaN	0	0	175.476554898	1	0	0					
1	22	1	0	580	336	3	387.839567398	1473.42758621	0.0051724137931	198.456747803	1	0	0					
1	23	1	0	665	433	4	362.704271318	1841.29774436	0.00601503759398	134.245123714	1	0	0					
1	24	1	0	428	329	112	547.028493858	201579.242991	0.261682242991	951.751683743	1	0	0					
2	1	1	0	545	381	147	497.614147679	163731.798165	0.269724770642	741.97130772	1	0	0					
2	2	1	0	752	405	0	NaN	0	0	193.377527816	1	0	0					
2	3	1	0	692	228	3	354.38248404	1245.35115607	0.00433526011561	545.075080794	1	0	0					
2	4	1	0	704	449	4	372.051649944	1487.25852273	0.00568181818182	179.566792823	1	0	0					
2	5	1	0	692	404	0	NaN	0	0	158.502652926	1	0	0					
2	6	1	0	685	412	19	361.394052834	7080.71678832	0.0277372262774	191.244261947	1	0	0					
2	7	1	0	668	424	8	350.708639297	3741.17215569	0.0119760479042	189.471764863	1	0	0					
2	8	1	0	532	392	30	367.551095709	15928.8890977	0.0563909774436	222.441964286	1	0	0					
2	9	1	0	767	429	5	359.616427881	1695.14993481	0.00651890482399	189.637575323	1	0	0					
2	10	1	0	643	392	3	344.232374236	1174.37947123	0.00466562986003	185.105203561	1	0	0					
2	11	1	0	762	386	4	354.864674393	1696.12204724	0.00524934383202	202.59559317	1	0	0					
2	12	1	0	608	409	38	373.315180614	23302.6398026	0.0625	251.348658844	1	0	0					
2	13	1	0	769	429	1	344.276957427	507.975292588	0.00130039011704	152.085839568	1	0	0					
2	14	1	0	791	426	25	382.31641814	10235.6814159	0.031605562579	201.453690846	1	0	0					
2	15	1	0	839	458	0	NaN	0	0	141.144047596	1	0	0					
2	16	1	0	795	420	2	356.529005143	578.579874214	0.00251572327044	164.288236961	1	0	0					
2	17	1	0	525	4	0	NaN	0	0	33850.75	1	0	0					
2	18	1	0	689	388	9	356.161616758	3367.83018868	0.0130624092888	187.978630832	1	0	0					
2	19	1	0	593	424	2	352.542952644	932.720067454	0.00337268128162	145.387738074	1	0	0					
2	20	1	0	913	445	0	NaN	0	0	148.659734882	1	0	0					
2	21	1	0	736	409	1	437.445136084	454.58423913	0.00135869565217	161.98968801	1	0	0					
2	22	1	0	606	405	1	342.951276649	826.044554455	0.0016501650165	149.808809633	1	0	0					
2	23	1	0	882	431	0	NaN	0	0	152.384106459	1	0	0					
2	24	1	0	608	372	1	575.952322396	713.90625	0.00164473684211	214.498287374	1	0	0					
3	1	1	0	462	343	3	382.190107318	1702.2965368	0.00649350649351	207.765709866	1	0	0					
3	2	1	0	528	378	6	367.613051314	2812.73106061	0.0113636363636	246.538758713	1	0	0					
3	3	1	0	618	400	7	375.637010906	3603.30906149	0.0113268608414	197.12611875	1	0	0					
3	4	1	0	712	424	8	351.183556922	3283.96067416	0.0112359550562	196.800279236	1	0	0					
3	5	1	0	494	394	0	NaN	0	0	190.751629777	1	0	0					
3	6	1	0	800	413	4	361.941677269	1565.38625	0.005	172.326466122	1	0	0					
3	7	1	0	770	464	3	356.95105172	1080.55584416	0.0038961038961	149.555059081	1	0	0					
3	8	1	0	685	447	1	369.534474415	328.722627737	0.0014598540146	157.950542768	1	0	0					
3	9	1	0	676	409	8	346.99971884	3352.2056213	0.0118343195266	191.455532906	1	0	0					
3	10	1	0	586	395	24	368.335315116	11876.8549488	0.0409556313993	216.357795225	1	0	0					
3	11	1	0	573	432	33	382.600265938	19396.0157068	0.0575916230366	219.673836163	1	0	0					
3	12	1	0	605	409	8	349.384170292	4945.13553719	0.0132231404959	193.502143101	1	0	0					
3	13	1	0	833	437	2	466.187614065	598.942376951	0.00240096038415	161.599751792	1	0	0					
3	14	1	0	634	392	20	365.006922181	8685.67350158	0.0315457413249	236.542723084	1	0	0					
3	15	1	0	780	474	0	NaN	0	0	110.456524061	1	0	0					
3	16	1	0	948	508	0	NaN	0	0	109.702321905	1	0	0					
3	17	1	0	639	423	1	372.371587072	373.866979656	0.00156494522692	149.588859268	1	0	0					
3	18	1	0	776	423	2	374.32764914	713.559278351	0.00257731958763	157.752080434	1	0	0					
3	19	1	0	911	452	0	NaN	0	0	135.107648406	1	0	0					
3	20	1	0	718	393	42	441.008392028	26352.2075209	0.058495821727	346.49097113	1	0	0					
3	21	1	0	596	457	0	NaN	0	0	143.791907072	1	0	0					
3	22	1	0	712	394	0	NaN	0	0	165.369096086	1	0	0					
3	23	1	0	759	430	0	NaN	0	0	144.87556517	1	0	0					
