Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	7166aa78-a954-49b2-9f76-a2e4d5275aaf
Plate Name	P104422
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Cells - Number of Objects	GFP induced - Number of Objects	Ave GFP pos per m2	GFP  per well	percentage of induction	cells ave	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	629	418	12	361.317500419	6363.96502385	0.0190779014308	233.774444266	1	0	0					
1	2	1	0	627	400	6	360.916049994	3227.74162679	0.00956937799043	211.7924	1	0	0					
1	3	1	0	896	444	3	563.86425803	1225.98772321	0.00334821428571	178.498792712	1	0	0					
1	4	1	0	929	463	1	553.80043878	515.869752422	0.0010764262648	184.221781134	1	0	0					
1	5	1	0	926	436	7	352.161692367	2229.58855292	0.00755939524838	195.879913307	1	0	0					
1	6	1	0	631	416	33	360.483100302	17444.207607	0.0522979397781	235.962376341	1	0	0					
1	7	1	0	642	427	34	356.706192012	16271.3442368	0.0529595015576	229.577006401	1	0	0					
1	8	1	0	879	425	5	404.112557646	1330.24004551	0.00568828213879	196.323908651	1	0	0					
1	9	1	0	775	428	32	356.141596442	11821.1935484	0.0412903225806	227.994764827	1	0	0					
1	10	1	0	828	453	3	397.580894291	1113.90458937	0.0036231884058	184.386235496	1	0	0					
1	11	1	0	936	442	0	NaN	0	0	170.147309637	1	0	0					
1	12	1	0	778	427	2	374.557821181	756.266066838	0.0025706940874	172.735746919	1	0	0					
1	13	1	0	851	464	0	NaN	0	0	151.690663087	1	0	0					
1	14	1	0	827	486	1	413.692307276	431.483675937	0.00120918984281	137.106500533	1	0	0					
1	15	1	0	910	447	0	NaN	0	0	133.006711409	1	0	0					
1	16	1	0	986	475	0	NaN	0	0	155.765331856	1	0	0					
1	17	1	0	861	479	2	363.098364381	655.948896632	0.00232288037166	146.668424562	1	0	0					
1	18	1	0	754	411	6	358.62752507	2533.63793103	0.0079575596817	188.049040676	1	0	0					
1	19	1	0	969	440	3	393.69761495	896.365325077	0.0030959752322	182.508491736	1	0	0					
1	20	1	0	939	445	7	435.871560733	2287.1171459	0.00745473908413	181.540911501	1	0	0					
1	21	1	0	810	451	0	NaN	0	0	144.915806707	1	0	0					
1	22	1	0	840	448	0	NaN	0	0	150.736970863	1	0	0					
1	23	1	0	885	444	5	357.463189257	1267.84293785	0.00564971751412	176.190558802	1	0	0					
