Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	d1f3a05a-6c3e-4ca7-ae38-6be44eaee441
Plate Name	P102288
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2001	120.570214893	5.01899050475	0.0591820394805	0.00752788021109	1907.61265568	11037	0.152932889238	579.234572428	24.3506387605	3496.34773743	4	0	0					
1	2	1	0	2288	8.89772727273	0.262674825175	0.00329909669218	0.000340679848296	953.086622146	656	0.124072893321	286.360100363	34.0609756098	1908.67902625	4	0	0					
1	3	1	0	2403	9.69787765293	0.392842280483	0.00313127168452	0.000504261753124	889.615680583	1005	0.120980996305	224.299630659	24.8437810945	1632.91180952	4	0	0					
1	4	1	0	2253	9.42343541944	0.306258322237	0.00325791271801	0.000389158445216	957.289208524	728	0.122611381953	261.005845073	30.7376373626	1823.90677235	4	0	0					
1	5	1	0	2381	9.20033599328	0.284334313314	0.00334239923919	0.000361615800024	974.428706493	718	0.122340721019	317.411627953	32.4777158774	1981.46541154	4	0	0					
1	6	1	0	2386	7.78583403185	0.225481978206	0.00263215526765	0.000292463110203	981.99927247	578	0.12299012854	282.322321234	35.0051903114	1948.97028094	4	0	0					
1	7	1	0	2281	3.04910127137	0.0618149934239	0.00137279416867	7.50104128516E-05	846.641756943	159	0.150362691862	394.786758399	49.0314465409	2262.3830969	4	0	0					
1	8	1	0	2312	7.4723183391	0.221020761246	0.00260722833323	0.000297148895691	1018.99790272	540	0.121524724633	300.348318235	34.0425925926	2058.65439492	4	0	0					
1	9	1	0	2204	9.06215970962	0.280399274047	0.00359696565753	0.000347924948601	1006.82998117	677	0.127183846318	376.617762122	32.6425406204	2289.61989393	4	0	0					
1	10	1	0	1644	3.70681265207	0.0894160583942	0.00179641948573	0.000103976368199	911.524182516	169	0.148614920629	484.509389892	41.573964497	2769.82236146	4	0	0					
1	11	1	0	340	31.1382352941	0.45	0.0126255865926	0.000501777411281	1046.49629151	159	0.177737433212	531.693435129	69.0503144654	2641.43325866	4	0	0					
1	12	1	0	2285	8.61794310722	0.268708971554	0.00323771978097	0.000324378372055	960.669572031	662	0.125776669174	319.890579683	32.919939577	2091.52442812	4	0	0					
1	13	1	0	2349	7.82503192848	0.252873563218	0.00247595751952	0.000311311698182	1011.59817192	642	0.122377134826	263.89081411	31.9080996885	1870.68940738	4	0	0					
1	14	1	0	2199	8.07003183265	0.238744884038	0.00293977939961	0.000316406824796	1029.88100035	556	0.126071619726	298.540528834	34.0665467626	1985.00157115	4	0	0					
1	15	1	0	2273	7.91904971403	0.22569291685	0.00294698612485	0.00028719751945	1065.35757459	548	0.125142081561	337.340184138	35.102189781	2144.35844428	4	0	0					
1	16	1	0	2318	8.88869715272	0.247627264884	0.00320196609171	0.000318641254205	1044.73508062	609	0.127512862579	409.234946116	35.8866995074	2551.44523716	4	0	0					
1	17	1	0	2116	7.84215500945	0.246691871456	0.00286910473534	0.000284886881106	936.151749353	556	0.131273011907	357.315988436	31.8111510791	2170.79467368	4	0	0					
1	18	1	0	2181	9.13984410821	0.264557542412	0.00333786945845	0.000340281355744	998.061729954	615	0.122716135893	338.98805766	35.125203252	2198.95103961	4	0	0					
1	19	1	0	2120	9.3820754717	0.290566037736	0.00313715594517	0.000341435404357	969.536736369	656	0.124173215693	293.094669726	32.6737804878	1927.21084318	4	0	0					
1	20	1	0	2267	8.48654609616	0.312748125276	0.00313533976936	0.000388792978062	901.542550594	748	0.119101361383	273.031010611	27.5401069519	1868.05576555	4	0	0					
1	21	1	0	2168	8.06549815498	0.225553505535	0.00257292147441	0.000300775999447	981.665715616	512	0.119009065848	273.04065486	35.99609375	1893.45328287	4	0	0					
1	22	1	0	2283	8.89356110381	0.300919842313	0.00358159616186	0.000373682229562	919.750179619	739	0.130476773155	358.950338207	30.1136671177	2203.80052655	4	0	0					
1	23	1	0	2279	114.158841597	5.17419921018	0.0525692325108	0.00755663426568	1491.35419888	12824	0.151809979608	457.33794499	22.3279787898	2779.47346231	4	0	0					
1	24	1	0	2093	13.7009077879	0.414715719064	0.00491605089278	0.000512630795713	892.474846562	935	0.129179955216	317.613214536	33.7882352941	1997.92864377	4	0	0					
2	1	1	0	2112	123.068655303	5.23295454545	0.062180189285	0.00797195005919	1744.34335207	12030	0.155318323583	546.594200701	23.7566084788	3263.50455325	4	0	0					
2	2	1	0	2367	9.77862272919	0.32488381918	0.00379015768521	0.000402892165403	1007.14556953	826	0.12245789339	346.444557921	30.3196125908	2220.55034547	4	0	0					
2	3	1	0	2436	8.91091954023	0.298850574713	0.00288117223892	0.000394589723249	950.670176222	778	0.120195428013	255.923254089	30.205655527	1798.46813713	4	0	0					
2	4	1	0	2323	9.17864829961	0.293155402497	0.00381964545149	0.000396759810512	975.413202284	747	0.125550070112	324.546358185	31.4109772423	2088.76360284	4	0	0					
2	5	1	0	2384	10.505033557	0.354865771812	0.00359247347919	0.000453836538785	952.372596953	909	0.123851014477	265.793703768	30.0121012101	1847.41720782	4	0	0					
2	6	1	0	2234	8.51387645479	0.263205013429	0.00302215919888	0.000330878258896	1020.05458848	634	0.127561328301	321.853293022	32.9447949527	2071.36559681	4	0	0					
2	7	1	0	2103	8.76747503566	0.304327151688	0.00302227428391	0.00037743942108	991.673952505	708	0.123958282055	287.612106131	29.9562146893	1989.66045523	4	0	0					
2	8	1	0	2134	8.92127460169	0.273195876289	0.00336800847295	0.000340091543599	1058.22004973	626	0.1243816243	346.693874492	32.5095846645	2355.88287534	4	0	0					
2	9	1	0	2233	8.67442901926	0.288401253918	0.00343849175187	0.000368180728127	1030.28633645	706	0.125883396431	318.720436802	30.4575070822	2104.13086392	4	0	0					
2	10	1	0	1441	9.61415683553	0.303261623872	0.00281053487777	0.000248365431935	1020.16764076	494	0.130447764956	518.850279362	32.0890688259	3238.02182237	4	0	0					
2	11	1	0	2231	10.3370685791	0.312864186463	0.00372121017568	0.000414071252864	1100.39599458	763	0.124120351094	346.913612392	33.4220183486	2319.42658762	4	0	0					
2	12	1	0	2195	9.18223234624	0.305239179954	0.00324681011681	0.000366341479616	1032.88593215	732	0.126827335598	328.329525149	30.393442623	2097.84338536	4	0	0					
2	13	1	0	1479	9.27315753888	0.292765382015	0.00363919542229	0.000242117016095	1048.05631208	484	0.139429010784	530.089717428	32.867768595	2976.60182075	4	0	0					
2	14	1	0	2210	8.56199095023	0.279185520362	0.00297615078421	0.000342657509287	1009.24220501	649	0.125279786677	331.832136747	31.1016949153	2118.96233331	4	0	0					
2	15	1	0	2066	8.29138431752	0.281219748306	0.00319948636144	0.000356625531175	1011.42363145	631	0.125300782521	324.423159523	29.5277337559	2103.05122542	4	0	0					
2	16	1	0	2245	27.055233853	1.0004454343	0.00851596913638	0.0013144325611	1051.1274614	2433	0.122461049254	260.986233761	27.4015618578	1931.31282167	4	0	0					
2	17	1	0	2214	7.89159891599	0.262872628726	0.00272809838271	0.000331934031982	1053.56393522	630	0.124255880602	319.615788458	30.5920634921	2156.43319091	4	0	0					
2	18	1	0	2235	9.2841163311	0.301118568233	0.00346633272797	0.000365697188715	961.731046251	727	0.125320859851	315.601813041	30.7675378267	2048.09601877	4	0	0					
2	19	1	0	2061	8.08345463367	0.282872392043	0.00229091369653	0.000330067523566	926.421442441	620	0.119206410817	228.602305908	28.7870967742	1688.3519808	4	0	0					
2	20	1	0	2065	7.52542372881	0.250847457627	0.00249392215864	0.000311568296307	981.551282393	577	0.119014704569	289.29695085	30.1629116118	1929.45296281	4	0	0					
2	21	1	0	2103	7.61245839277	0.242035187827	0.00285005809635	0.000293508063706	997.934049891	545	0.12375429812	315.406545356	32.2275229358	2099.78138676	4	0	0					
2	22	1	0	2079	10.6185666186	0.345839345839	0.00418371089474	0.000407690333205	982.00143362	777	0.130109940984	361.96627112	31.4826254826	2140.88179699	4	0	0					
2	23	1	0	2113	89.8845243729	3.95125414103	0.0318440231137	0.00518867381567	1271.1247143	9024	0.140597682084	343.848274444	22.9717420213	2260.84448055	4	0	0					
2	24	1	0	2007	8.36123567514	0.243647234679	0.0033472203994	0.000294630814712	1229.46871127	532	0.131031654078	639.254419412	34.7236842105	3846.27084645	4	0	0					
3	1	1	0	2397	119.645807259	4.28785982478	0.0524876250803	0.00601257182242	1593.19761484	11034	0.149820517581	487.915338061	28.1809860431	2958.3787293	4	0	0					
3	2	1	0	2479	8.4731746672	0.269463493344	0.00280191195123	0.000349573803037	923.005467808	716	0.12029435815	249.772111386	31.6843575419	1757.04928609	4	0	0					
3	3	1	0	2572	10.7391135303	0.367029548989	0.00337241203392	0.000482303400517	931.719397299	1008	0.118958964406	232.380211107	29.3482142857	1719.71522573	4	0	0					
3	4	1	0	2530	10.3007905138	0.349011857708	0.00347400789862	0.000457837558299	949.342912555	948	0.121441066943	265.803892228	29.5485232068	1823.39792375	4	0	0					
3	5	1	0	2342	9.22587532024	0.301024765158	0.00284270251198	0.000384893110774	965.426822858	764	0.120256068538	246.172347647	30.6858638743	1736.08082022	4	0	0					
3	6	1	0	2499	10.3341336535	0.315326130452	0.00350709283962	0.000400030396981	998.941437473	836	0.122523856093	280.780576614	32.9126794258	1902.72861697	4	0	0					
3	7	1	0	2256	9.5975177305	0.301418439716	0.00358539432485	0.000373107887489	1036.40054769	748	0.128020163471	337.832686033	32.4371657754	2141.79903161	4	0	0					
3	8	1	0	2384	9.71015100671	0.317533557047	0.00337393918399	0.000381860649091	995.856964349	800	0.125031362034	306.791531196	30.79125	2000.49339544	4	0	0					
3	9	1	0	2295	8.31590413943	0.258823529412	0.00310724554116	0.000318524668278	997.818975877	630	0.126466872135	320.501554386	32.6666666667	2062.53324585	4	0	0					
3	10	1	0	2463	7.42915144133	0.229801055623	0.00253528283013	0.000297746845442	1067.30098414	612	0.124571351071	337.581676804	33.1209150327	2260.90499992	4	0	0					
3	11	1	0	2443	10.275480966	0.362668849775	0.00367680746904	0.000447353740042	997.8994471	938	0.126382486049	340.713519304	28.2046908316	2198.6890107	4	0	0					
3	12	1	0	2305	8.56876355748	0.29978308026	0.00289734309491	0.000375003221758	1003.39538684	735	0.124984312764	284.361756305	28.7782312925	1911.78959699	4	0	0					
3	13	1	0	2250	9.728	0.280444444444	0.00327405265969	0.000349162131917	1019.76696803	671	0.124232733498	310.875337553	35.0491803279	2079.11997643	4	0	0					
3	14	1	0	2227	11.335428828	0.378985181859	0.00378325198647	0.000457639391174	1034.31712045	909	0.124961703774	332.368183378	30.0759075908	2170.41833096	4	0	0					
3	15	1	0	2296	8.97038327526	0.270034843206	0.00330007992272	0.00029496295869	1056.05069662	663	0.129861860686	409.691221097	33.5580693816	2577.0440757	4	0	0					
3	16	1	0	2216	8.02572202166	0.261732851986	0.00284286415604	0.000332534305414	1068.4342476	609	0.12240705469	326.391364027	30.8440065681	2281.45108486	4	0	0					
3	17	1	0	2291	9.79179397643	0.345700567438	0.00307350347505	0.000427995848477	1007.1052234	852	0.120064907847	269.13298602	28.6807511737	1893.77413523	4	0	0					
3	18	1	0	2259	8.42054006197	0.267374944666	0.00279488292147	0.000315011326909	1028.36708374	643	0.126061875065	315.980195899	31.7138413686	1989.11042233	4	0	0					
