Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	5060deea-892a-4489-88aa-400d44bf2265
Plate Name	P102309
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2181	62.9436038514	2.41723979826	0.0193578042593	0.003104459132	1561.70814464	5762	0.130886381614	382.008159608	26.3110031239	2678.37652127	4	0	0					
1	2	1	0	2332	10.5188679245	0.343481989708	0.00350501594813	0.000423669140057	948.196999131	861	0.12505233142	285.490110169	31.1893147503	1916.57340422	4	0	0					
1	3	1	0	2020	16.0366336634	0.606435643564	0.00525452211581	0.000708484211746	1125.35070302	1335	0.124474091521	322.209268235	26.6561797753	2148.23092897	4	0	0					
1	4	1	0	2184	29.6437728938	1.08470695971	0.00892395282928	0.00129974517297	992.371030954	2529	0.123478279599	249.287703297	27.3851324634	1784.7552197	4	0	0					
1	5	1	0	2130	20.0901408451	0.832863849765	0.00615054531883	0.00099282240746	1014.88765052	1904	0.125218573571	264.985718214	24.4217436975	1862.64980604	4	0	0					
1	6	1	0	2396	10.5993322204	0.307178631052	0.00400750455769	0.000386749465369	986.577212637	784	0.122006788742	333.343646621	34.8125	2215.92269266	4	0	0					
1	7	1	0	2281	10.2459447611	0.317404647085	0.00328805936114	0.000381121661159	950.352802617	764	0.121094104229	272.175669986	32.390052356	1910.80466923	4	0	0					
1	8	1	0	2109	123.959696539	5.61071597914	0.0668235303822	0.00765072506966	1882.29522187	13002	0.157300169984	678.159103682	22.3113367174	3952.15584903	4	0	0					
1	9	1	0	2207	13.0371545084	0.441323062981	0.00471307966738	0.000563760406123	1082.78326298	1044	0.124575877533	365.795746804	29.8266283525	2490.94612087	4	0	0					
1	10	1	0	2366	13.2417582418	0.382502113271	0.00490360298175	0.000516230933701	1115.46164783	963	0.128780532669	372.04620694	34.8068535826	2478.63956155	4	0	0					
