Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	3734ec4b-760b-4cfb-8abf-5e30f19b65d1
Plate Name	P102301
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2212	65.6243218807	2.68173598553	0.0211226539349	0.00365665572539	1734.67803178	6479	0.131275597875	411.950378359	24.6667695632	2919.94478054	4	0	0					
1	2	1	0	2279	9.69109258447	0.318560772269	0.00378569622177	0.000388926149271	1134.80291785	782	0.129052795657	447.724358739	30.6432225064	2819.18186499	4	0	0					
1	3	1	0	2319	9.71798188875	0.335920655455	0.00304408274935	0.00042104305501	966.556729323	840	0.124645311282	272.636215856	29.1797619048	1860.06632792	4	0	0					
1	4	1	0	2281	11.0328803157	0.303814116616	0.00347483747597	0.000385168817848	891.280178859	762	0.123523403734	258.113402557	36.9868766404	1757.78006687	4	0	0					
1	5	1	0	2383	9.97188417961	0.269827947965	0.00337756568483	0.000348305500687	968.337510555	685	0.12163812163	262.743494554	37.2540145985	1858.76979229	4	0	0					
1	6	1	0	2410	8.99170124481	0.234854771784	0.00287528855517	0.000302928013385	984.578661028	599	0.122420640004	277.804298718	38.4724540902	1935.02196923	4	0	0					
1	7	1	0	2304	9.625	0.288194444444	0.00300282736823	0.000355188907065	1015.03410003	721	0.121411722709	284.544651887	34.040221914	1985.74386795	4	0	0					
1	8	1	0	2338	9.60179640719	0.37254063302	0.00292450928753	0.000472135264629	959.801881983	950	0.122047976806	243.99518682	26.3021052632	1769.96057126	4	0	0					
1	9	1	0	2350	9.48340425532	0.302127659574	0.00345967268064	0.000375547244578	963.057624335	786	0.124361523818	313.776629239	31.9732824427	2022.11098933	4	0	0					
1	10	1	0	2288	8.84178321678	0.278846153846	0.00259644147498	0.000337929529737	921.061046647	680	0.117753303707	233.796480858	31.9382352941	1778.68193871	4	0	0					
1	11	1	0	2257	10.68409393	0.343819229065	0.00399695724688	0.000436458421186	943.375640591	856	0.126497289322	327.691629576	31.3235981308	2093.34724404	4	0	0					
1	12	1	0	2390	9.48075313808	0.297071129707	0.00277774450885	0.000363589182723	936.481144309	742	0.119399650707	232.019119808	32.3557951482	1734.07578659	4	0	0					
1	13	1	0	2298	8.92123585727	0.292428198433	0.00293845168579	0.000355295523306	920.495418549	726	0.123440247607	256.918401532	30.6845730028	1757.89393555	4	0	0					
1	14	1	0	2191	9.86900958466	0.266088544044	0.0036647254499	0.000336485267668	1000.02953775	621	0.126180310497	330.08405143	37.5587761675	2131.65837665	4	0	0					
1	15	1	0	2381	51.9756404872	1.76438471231	0.0159108787742	0.00231865489479	1134.57959538	4511	0.123180916256	269.633073448	29.8984704057	2018.45236235	4	0	0					
1	16	1	0	2456	12.7031758958	0.398208469055	0.00477184779557	0.000510683012862	990.250891135	1035	0.125886054624	328.040253369	32.2898550725	2160.94756665	4	0	0					
1	17	1	0	2261	10.0212295444	0.295002211411	0.00329892904051	0.000363659086601	964.730467206	703	0.122547778216	300.205050562	34.7709815078	2005.9588928	4	0	0					
1	18	1	0	2291	4.84941073767	0.129637712789	0.00178703497814	0.000157406530953	1421.62730713	320	0.13135396109	488.44628554	37.725	3030.58264943	4	0	0					
1	19	1	0	2379	9.06221101303	0.280369903321	0.00281042580619	0.000337472561042	929.204338747	717	0.122467373385	266.393166826	33.2705718271	1859.76010649	4	0	0					
1	20	1	0	2163	9.20203421174	0.254738788719	0.00285935772671	0.000323502914284	888.300311869	592	0.121934466048	233.043992036	36.5692567568	1673.73392004	4	0	0					
1	21	1	0	2246	9.62733748887	0.256901157614	0.00328770872364	0.000348143303318	972.550843295	629	0.121442921673	261.86142513	37.5675675676	1854.33813524	4	0	0					
1	22	1	0	2230	9.51255605381	0.263228699552	0.00293775470977	0.00033077812788	879.542074228	627	0.123792381867	238.195645573	36.8468899522	1630.7866995	4	0	0					
1	23	1	0	2064	125.033430233	5.31976744186	0.0586991970375	0.00769619460977	1744.09211089	11857	0.153468427275	528.279043727	23.8241545079	3173.14506276	4	0	0					
1	24	1	0	2209	9.78542326845	0.27931190584	0.00304006983942	0.000353732639112	997.981261862	665	0.122182716655	303.245139891	34.9939849624	2145.3028295	4	0	0					
2	1	1	0	2309	104.264183629	4.7557384149	0.0407042291092	0.00654433535943	1382.10129384	11663	0.144761993311	384.358423039	22.0944868387	2452.81440845	4	0	0					
2	2	1	0	2391	8.539104977	0.275616896696	0.00287995709012	0.000350595818312	1022.42589058	709	0.124852692687	302.26415422	31.0324400564	2044.10589331	4	0	0					
2	3	1	0	2432	10.1973684211	0.287417763158	0.00321873355731	0.000376550851483	897.919290406	745	0.11934219562	240.874864084	36.0684563758	1742.85716965	4	0	0					
2	4	1	0	2284	10.1484238179	0.352014010508	0.00336570062116	0.00045641048725	929.781158446	875	0.121717413739	244.506476079	29.2491428571	1724.93800017	4	0	0					
2	5	1	0	2427	9.63864853729	0.285537700865	0.00332438273545	0.00037238830684	916.275049112	741	0.122504579445	246.311626811	33.955465587	1711.67799599	4	0	0					
2	6	1	0	2485	10.6941649899	0.268812877264	0.00351089468045	0.000354233196637	929.109756789	741	0.120028476084	290.261512502	39.7678812416	2017.01026397	4	0	0					
2	7	1	0	2516	9.09499205087	0.253974562798	0.00298373567589	0.000340118306718	918.188982846	681	0.120585041121	253.342220086	36.1908957416	1749.5174864	4	0	0					
2	8	1	0	2303	10.0264871906	0.297872340426	0.00324484576376	0.000353497237858	938.785198306	742	0.121584706574	287.285244862	33.7223719677	1967.97182076	4	0	0					
2	9	1	0	2320	9.21034482759	0.297413793103	0.00293503322496	0.000383507864134	1058.84549566	748	0.122249760528	281.076116684	31.2205882353	1985.04352268	4	0	0					
2	10	1	0	2280	9.7	0.302192982456	0.00325461035164	0.000368276004196	951.246068471	737	0.120530339094	313.569786877	32.6241519674	2193.1337494	4	0	0					
2	11	1	0	2323	9.70856650882	0.338355574688	0.00303821747191	0.000435471315141	951.516821336	857	0.121804685016	251.610448942	29.0781796966	1803.99853679	4	0	0					
2	12	1	0	2286	10.1832895888	0.358705161855	0.00330798251454	0.000450478803311	950.836645015	890	0.122209021425	270.446768668	28.9820224719	1926.71365637	4	0	0					
2	13	1	0	2286	10.8009623797	0.338145231846	0.00389802564111	0.000419104038353	944.632767543	826	0.125061802873	303.996864469	32.6041162228	2021.29947226	4	0	0					
2	14	1	0	2254	9.40860692103	0.285714285714	0.00282467826021	0.000358013151335	889.267049756	695	0.117858085619	215.482187061	33.3712230216	1596.91855322	4	0	0					
2	15	1	0	2157	9.94436717663	0.280482151136	0.00324371402111	0.000354366436742	945.460374483	668	0.124143849687	285.84147982	36.0494011976	1880.53622575	4	0	0					
2	16	1	0	2211	11.9118046133	0.345092718227	0.00367503880741	0.000410374944625	941.150174187	816	0.120643666816	277.036829205	34.6384803922	1873.49269313	4	0	0					
2	17	1	0	2318	9.78343399482	0.286885245902	0.00324471703414	0.000352599268995	934.94943222	728	0.125173650227	301.121596273	34.6675824176	2004.13560648	4	0	0					
2	18	1	0	2307	9.94495015171	0.307325530993	0.00321018982919	0.000371827520747	915.051438163	765	0.124233069564	279.961063318	32.7202614379	1852.30418741	4	0	0					
2	19	1	0	2268	8.38095238095	0.253527336861	0.0026821727618	0.000336461255934	945.245382855	628	0.120386628722	271.841438743	33.8805732484	1900.60269851	4	0	0					
2	20	1	0	2240	8.91339285714	0.274553571429	0.00289310658338	0.000348315203116	969.240452662	651	0.122183204674	274.298413488	33.3195084485	1825.41767036	4	0	0					
2	21	1	0	2134	10.3425492034	0.265698219306	0.0034425350319	0.00031732408504	935.637099284	613	0.124775002038	311.051601	38.8629690049	2022.39558644	4	0	0					
2	22	1	0	2297	11.1915542011	0.398345668263	0.00402148897561	0.000483991713148	943.059838687	963	0.125742792867	297.116465719	28.4787123572	1998.09359271	4	0	0					
2	23	1	0	2132	117.678236398	5.50046904315	0.049703893773	0.00743761919291	1445.81134106	12713	0.150288885001	434.126887982	21.556988909	2669.27347204	4	0	0					
2	24	1	0	2209	9.86464463558	0.294250792214	0.00366757426362	0.00037107788365	1029.8506028	699	0.12850796601	353.252713294	34.243204578	2218.24987693	4	0	0					
3	1	1	0	2116	141.942344045	5.54725897921	0.0732170718353	0.00828722136169	2052.69174507	12685	0.158747365917	648.932985501	25.84800946	3771.56444544	4	0	0					
3	2	1	0	2330	10.6034334764	0.312875536481	0.00341760240324	0.000402796992615	913.423662098	797	0.120745145631	247.13124821	33.9573400251	1748.85621421	4	0	0					
3	3	1	0	2261	10.6899601946	0.339230429014	0.0036521985048	0.000439397551738	967.98171237	828	0.120752625212	275.837241289	31.4915458937	1879.75148909	4	0	0					
3	4	1	0	2513	10.5877437326	0.320334261838	0.00376323605424	0.000410001002831	990.241113073	855	0.124622690751	339.972366203	33.4175438596	2174.71684015	4	0	0					
3	5	1	0	2390	10.6744769874	0.297071129707	0.00394209762569	0.000355808478974	956.24619778	775	0.125903445532	303.10196353	35.6877419355	1921.5749996	4	0	0					
3	6	1	0	2469	9.55974078574	0.262454434994	0.00297187024473	0.000337912710359	941.175184917	699	0.123545527988	270.947425999	36.8526466381	1853.59345352	4	0	0					
3	7	1	0	2346	10.9748508099	0.312020460358	0.00399057057673	0.000388418453807	920.569647073	797	0.127312690146	287.206208939	35.2358845671	1851.97139583	4	0	0					
3	8	1	0	2378	12.36627418	0.34819175778	0.0043521391554	0.000438861420724	953.889582062	884	0.124635479423	301.55612172	35.7171945701	1995.32045015	4	0	0					
3	9	1	0	2323	10.8953938872	0.317262160999	0.00466434921616	0.000383708370111	1008.58618829	804	0.131570318678	439.228464054	34.5746268657	2603.65081336	4	0	0					
3	10	1	0	2246	11.2991985752	0.357969723954	0.00395016507496	0.000420350009866	964.160994712	868	0.126014658341	368.85458221	31.8778801843	2320.47060953	4	0	0					
3	11	1	0	2212	9.30650994575	0.277576853526	0.00350128268304	0.000350299571333	952.581091339	682	0.130811381965	377.978744694	33.9149560117	2467.55355673	4	0	0					
3	12	1	0	2380	9.39117647059	0.288235294118	0.00273399888083	0.000351420208443	898.211557026	735	0.122222884247	236.340102587	33.180952381	1660.43381368	4	0	0					
3	13	1	0	2308	8.90814558059	0.244800693241	0.00290043569263	0.000309123967212	955.813608206	621	0.123366236979	289.203308377	37.1433172303	2011.72550209	4	0	0					
3	14	1	0	2330	14.1051502146	0.392703862661	0.00478516998453	0.000531797414326	1017.16405257	988	0.124151018512	314.322667358	36.548582996	2140.67233183	4	0	0					
3	15	1	0	2350	10.3876595745	0.30170212766	0.00380742670352	0.000369404892752	939.411412153	773	0.127143253058	300.225493991	35.084087969	1913.5105933	4	0	0					
3	16	1	0	2112	9.78503787879	0.291193181818	0.00362837916705	0.000350935630222	968.283978148	683	0.131625737933	324.795971284	34.2606149341	2027.22767074	4	0	0					
3	17	1	0	2239	9.1880303707	0.254577936579	0.00295694237454	0.000309287024502	976.300890123	625	0.121974377804	287.329764272	36.7488	1980.59140297	4	0	0					
3	18	1	0	766	21.6018276762	0.38772845953	0.00720992589621	0.000410775889204	927.779292032	335	0.149635483503	373.902870825	57.6597014925	2082.24093277	4	0	0					
3	19	1	0	2394	8.61946532999	0.242272347536	0.00282086649418	0.000323631574944	1008.70910708	616	0.120903830628	275.470747456	35.5600649351	1959.89458154	4	0	0					
3	20	1	0	2465	10.2409736308	0.302636916836	0.00336803933293	0.000391274832334	959.128917183	800	0.12185709494	299.120308325	34.365	2045.30245188	4	0	0					
3	21	1	0	2335	8.64967880086	0.272805139186	0.00262474060785	0.000352533556293	947.912676042	682	0.119547872417	257.296682034	31.6656891496	1846.31623088	4	0	0					
3	22	1	0	2264	11.1029151943	0.336130742049	0.00421045723247	0.000434605704483	950.239328413	814	0.125748522741	327.743347926	33.2027027027	2074.45507987	4	0	0					
3	23	1	0	2126	84.1015992474	3.33254938852	0.0284818249883	0.00426490104389	1328.50674207	7636	0.136626265206	333.44960165	25.4781299109	2228.61990852	4	0	0					
3	24	1	0	2252	10.701598579	0.33703374778	0.00400889762237	0.000415543274587	955.616825131	825	0.127570616233	328.586185259	32.4363636364	2088.3428014	4	0	0					
4	1	1	0	2098	143.883222116	5.20877025739	0.0798768295222	0.00760044144776	2824.09887397	11828	0.159736154255	969.560466641	28.0351707812	5649.7127918	4	0	0					
4	2	1	0	2313	87.6666666667	3.31949848681	0.0301652460479	0.00438488522931	1405.6704037	8271	0.137848693582	368.284544517	26.6540926127	2472.97944144	4	0	0					
4	3	1	0	2202	14.5013623978	0.451407811081	0.00411391197102	0.000529454484189	931.598179752	1092	0.116934227542	235.528600369	32.032967033	1721.01878597	4	0	0					
4	4	1	0	2392	10.9519230769	0.357441471572	0.00371858214509	0.000458587218038	956.829679491	922	0.122750864293	285.345678675	30.7201735358	2007.18404108	4	0	0					
4	5	1	0	2345	11.40554371	0.375692963753	0.00435770886415	0.000474788315248	937.568202964	962	0.129121236846	325.887675101	30.4158004158	2002.13687232	4	0	0					
4	6	1	0	2416	10.4126655629	0.293874172185	0.00379486784205	0.000383930058924	918.385589813	774	0.128419415055	309.316216019	36.1434108527	1980.35524615	4	0	0					
4	7	1	0	2356	10.113327674	0.300084889643	0.00311767518752	0.000352095046941	974.013188877	760	0.124465644474	283.886814195	34.0552631579	1898.92798924	4	0	0					
