Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	469fa8dd-5ea6-4321-b9da-07e6dfda668f
Plate Name	P102908
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2138	125.000467727	4.39710009355	0.0532278055352	0.00627158289487	2058.60496045	10185	0.148176540439	581.820625036	28.7530682376	3624.19180645	4	0	0					
1	2	1	0	2235	9.92572706935	0.31677852349	0.00319625053308	0.000392916115633	1108.01701655	750	0.123615586273	341.870743112	31.668	2341.2698653	4	0	0					
1	3	1	0	809	33.2410383189	1.07416563659	0.00633694011357	0.000986524070158	1148.44977802	964	0.116359326498	226.629338724	30.9719917012	1750.56318123	4	0	0					
1	4	1	0	2089	7.76112972714	0.246529439923	0.0026713341027	0.000301329472418	1097.69713768	568	0.124179881871	314.054084274	31.9947183099	2162.24623688	4	0	0					
1	5	1	0	2250	8.74488888889	0.232444444444	0.00286359331666	0.000274014541361	1265.79431596	576	0.126063042239	382.51191227	37.7378472222	2563.97940654	4	0	0					
1	6	1	0	1838	9.94885745375	0.325897714908	0.00281302352669	0.000352414261792	1096.77915639	662	0.128409589613	304.736656516	30.6616314199	2090.89740927	4	0	0					
1	7	1	0	2107	101.707641196	4.34788799241	0.0398219182374	0.00601446347268	1640.05134785	9955	0.140190152974	445.791586256	23.6522350578	2968.3468582	4	0	0					
1	8	1	0	2240	30.2526785714	0.387946428571	0.00732840761667	0.000513235356325	1138.77828901	939	0.112314994903	239.54780469599999	77.8594249201	1944.84025376	4	0	0					
1	9	1	0	2234	12.0675917637	0.339301700985	0.00399536664367	0.000439653357652	1157.56211569	804	0.121843624494	330.877254334	35.8532338308	2255.11382833	4	0	0					
1	10	1	0	2170	10.7838709677	0.328571428571	0.00432402008759	0.000422174923462	1098.36985547	758	0.133356439472	404.972030227	32.9894459103	2427.17227361	4	0	0					
1	11	1	0	2296	9.63545296167	0.316637630662	0.003028698717	0.000390526774651	1050.25607273	785	0.127233440204	304.311237106	30.4242038217	2084.35167335	4	0	0					
1	12	1	0	2150	8.50186046512	0.246976744186	0.0026826489269	0.000319691924324	1059.67037584	574	0.118422513162	274.495567656	34.987804878	1981.07221989	4	0	0					
1	13	1	0	2165	9.25635103926	0.244341801386	0.00315681221319	0.000301497357771	1095.33457512	567	0.124615471109	331.176273372	38.1604938272	2227.17930851	4	0	0					
1	14	1	0	2267	8.06352007058	0.276135862373	0.00269977934362	0.0003614001289	1215.81337088	682	0.120874444113	344.477029204	29.4032258065	2405.97804009	4	0	0					
1	15	1	0	2213	8.9100768188	0.268865793041	0.00275998901794	0.000335194019472	1202.16903414	656	0.119785934216	298.528151453	33.5990853659	2174.42150027	4	0	0					
1	16	1	0	2308	9.41204506066	0.267764298094	0.0035441998553	0.000341500043121	1051.32575437	655	0.130674927016	374.205857897	35.4687022901	2322.7746108	4	0	0					
1	17	1	0	2270	9.62995594714	0.297356828194	0.00356825156758	0.000400000721365	1340.11029701	739	0.12352000665	383.946797264	32.6549391069	2653.436131	4	0	0					
1	18	1	0	2279	65.198771391	2.71434839842	0.0206777000279	0.00350783630075	1299.11625752	6625	0.129397822812	320.784853905	24.2486037736	2294.07418158	4	0	0					
1	19	1	0	2345	8.98848614072	0.276332622601	0.00329988280695	0.000363860234431	1038.86075138	703	0.124629613574	314.973101673	33.2375533428	2059.84636736	4	0	0					
1	20	1	0	2286	10.6732283465	0.34864391951	0.0032667689091	0.000438685906558	961.05256517	845	0.122315030197	249.507550066	30.8544378698	1805.44301772	4	0	0					
1	21	1	0	2215	10.8753950339	0.321896162528	0.00401876190294	0.000407199356358	996.892278687	764	0.126588099777	348.802501945	33.8259162304	2286.01823985	4	0	0					
1	22	1	0	2154	11.9452181987	0.346796657382	0.0040169154616	0.000458792154331	1030.12641012	801	0.123094089349	305.624973135	34.4119850187	2096.08313639	4	0	0					
1	23	1	0	2114	131.84295175	5.82781456954	0.0581653797492	0.00803796926948	2009.78711044	13206	0.153088116268	604.236961271	22.8827048311	3651.71571806	4	0	0					
1	24	1	0	2136	9.7186329588	0.280898876404	0.003778020039	0.00035795456587	1020.58236127	657	0.129396069785	335.984074001	34.3409436834	2143.7678784	4	0	0					
2	1	1	0	2296	121.487369338	4.27787456446	0.0512942266164	0.00603134393223	1618.65631196	10513	0.149748103262	476.214222401	28.6888614097	2925.83225288	4	0	0					
2	2	1	0	2232	14.8499103943	0.472222222222	0.00430653328222	0.000539075536291	994.655808913	1151	0.122787888766	286.249020924	31.7402258905	1941.71843582	4	0	0					
2	3	1	0	2394	12.4122807018	0.372598162072	0.00453772841227	0.000523034129596	987.508236089	971	0.123367544512	286.4048544	33.3532440783	1988.045072	4	0	0					
2	4	1	0	102	62.7058823529	1.16666666667	0.020080120398	0.00119152731036	1329.00195158	145	0.149717776479	458.985641525	59.324137931	2738.33046576	4	0	0					
2	5	1	0	2332	10.7452830189	0.316895368782	0.00358932528441	0.000396158155379	994.780975237	802	0.126543982878	301.455984436	33.753117207	2007.53935145	4	0	0					
2	6	1	0	2095	49.8897374702	2.00715990453	0.015087679439	0.00257228349565	1145.3907834	4511	0.126283169506	269.713277247	25.0616271337	1943.44939833	4	0	0					
2	7	1	0	1409	10.232079489	0.378992193045	0.00247823176623	0.000284029265443	1022.17572585	590	0.130740784089	350.273103277	27.4033898305	2118.25747116	4	0	0					
2	8	1	0	2254	9.06255545697	0.249778172138	0.0030024194713	0.000311772990745	1044.90975411	613	0.129087547721	323.868599435	35.8254486134	2139.17664679	4	0	0					
2	9	1	0	2073	8.80993728895	0.229136517125	0.00280306471427	0.000294454166176	1075.44181071	527	0.123312671195	317.750919346	39.1423149905	2178.3832386	4	0	0					
2	10	1	0	2140	8.04158878505	0.235046728972	0.00317624916145	0.000295754009368	1055.77191514	557	0.133583314562	425.66459684	34.5798922801	2528.56836227	4	0	0					
2	11	1	0	2259	11.2859672421	0.323151837096	0.00420213938064	0.000420731517257	1010.75992794	777	0.126595197522	314.514345928	35.1776061776	2041.76948508	4	0	0					
2	12	1	0	2112	8.54924242424	0.237689393939	0.00329562425328	0.000320991554732	1045.70806889	540	0.126616346601	368.565846456	36.837037037	2268.255886	4	0	0					
2	13	1	0	2400	9.59458333333	0.294583333333	0.00394970690482	0.000381846668808	1166.39141005	767	0.131673197465	486.617146729	32.3624511082	3052.45587689	4	0	0					
2	14	1	0	1509	45.6984758118	1.74751491054	0.019629909003	0.00304524989304	1201.90682693	2761	0.135873502179	347.608374177	26.3603766751	2339.98407502	4	0	0					
2	15	1	0	2058	10.2862001944	0.306608357629	0.00393968602995	0.000390596758785	1175.1224095	694	0.133465762268	431.893097925	34.583573487	2657.69847725	4	0	0					
2	16	1	0	2213	9.66154541347	0.280614550384	0.00378531725972	0.000360769496821	1023.25855995	671	0.132025381883	375.564616	34.3308494784	2263.87789461	4	0	0					
2	17	1	0	2232	8.54659498208	0.266577060932	0.00318588445923	0.000331483957845	1041.75919631	645	0.128642332306	362.028802103	32.3333333333	2380.27917642	4	0	0					
2	18	1	0	2223	8.44399460189	0.25371120108	0.00325216606024	0.000330839370477	1039.23907525	611	0.125659797713	338.389395606	33.2782324059	2214.11899668	4	0	0					
2	19	1	0	2091	10.1960784314	0.335246293639	0.00298591727918	0.000411040841872	1077.32482431	750	0.117540777713	264.134731673	30.348	1942.55153678	4	0	0					
2	20	1	0	2114	10.9962157048	0.349101229896	0.0038309891607	0.000448806962105	1007.38186514	782	0.122739510005	314.565630732	31.5537084399	2120.25443063	4	0	0					
2	21	1	0	1603	130.669369931	4.20773549595	0.0738315724294	0.0075829679427	3334.99668575	7225	0.149782453791	910.626203871	31.2197923875	5867.22616429	4	0	0					
2	22	1	0	2181	8.08069692801	0.263640531866	0.00316735752563	0.000352265691351	1072.79961055	612	0.126566857374	355.612394101	31.1552287582	2310.75889247	4	0	0					
2	23	1	0	2207	111.882193022	5.27095604894	0.0439167504676	0.00695621747094	1499.09122245	12472	0.148778105644	439.830458293	21.402421424	2728.18163676	4	0	0					
2	24	1	0	2090	10.771291866	0.313875598086	0.00458814257769	0.000370606170369	1086.58270149	703	0.134910634444	463.892947222	35.1948790896	2703.45363476	4	0	0					
3	1	1	0	2428	126.756177924	4.43986820428	0.0591852156602	0.00659728565908	1852.44387366	11682	0.152673396196	559.425258836	28.7294127718	3373.73336939	4	0	0					
3	2	1	0	2292	9.72731239092	0.261343804538	0.00295504292265	0.000332917224467	998.950029864	642	0.122252967186	266.627981576	36.4423676012	1878.26546295	4	0	0					
3	3	1	0	1903	10.9374671571	0.35155018392	0.00346931541588	0.0004274180729	967.739690434	728	0.119212969	269.325982484	30.9134615385	1939.8209243	4	0	0					
3	4	1	0	929	96.9332615716	2.9817007535	0.0280711410712	0.00315052591006	1375.35386141	3035	0.13438873811	349.93005391	32.7505766063	2405.29336695	4	0	0					
3	5	1	0	2340	8.85256410256	0.284615384615	0.00282439639882	0.000358847767745	1050.56471099	718	0.121680256512	265.60031057	31.422005571	1895.95320006	4	0	0					
3	6	1	0	2458	8.53661513426	0.277461350692	0.00287329118427	0.000355671175333	1022.25172787	739	0.123320239389	287.570401843	31.2571041949	1988.12044102	4	0	0					
3	7	1	0	2311	79.0592816962	3.56425789701	0.0260954374576	0.00483940999255	1294.90196702	8934	0.133332330696	311.961322663	22.4172822924	2201.24128211	4	0	0					
3	8	1	0	2257	9.88790429774	0.332299512627	0.00289921525542	0.000381327310387	1050.88429256	812	0.120976588276	308.469818551	30.0418719212	2158.16688866	4	0	0					
3	9	1	0	2304	8.984375	0.3046875	0.00309347309566	0.000393563537058	1027.12878048	736	0.123122265351	291.08812931	29.5285326087	1996.25025433	4	0	0					
3	10	1	0	2316	8.57167530225	0.253022452504	0.00323156546641	0.000325287268098	1094.75381502	645	0.131169094948	435.178792208	34.1178294574	2684.25258191	4	0	0					
3	11	1	0	2369	7.36133389616	0.217813423385	0.00258352757695	0.0002663581685	1156.37801913	550	0.127902066527	345.500497434	34.0818181818	2261.55643726	4	0	0					
3	12	1	0	2281	9.18281455502	0.271372205173	0.00295416745811	0.000334787239072	1031.22388538	657	0.124083107588	327.759758414	34.0487062405	2171.58528982	4	0	0					
3	13	1	0	2055	8.29391727494	0.246715328467	0.00319329517908	0.000318445041229	1074.47969894	548	0.130541141228	389.790336682	33.5766423358	2381.34650054	4	0	0					
3	14	1	0	2305	9.31540130152	0.295878524946	0.00299102227573	0.000372422602896	1040.53916914	732	0.121594645829	281.417926868	31.7759562842	1980.67401983	4	0	0					
3	15	1	0	2271	8.33685601057	0.267283135183	0.0028989098431	0.000337284183616	1151.85828015	653	0.124938793878	352.211417507	31.517611026	2358.4475883	4	0	0					
3	16	1	0	2342	9.73185311699	0.259607173356	0.00391242002221	0.000333447689169	1002.0217768	642	0.130514576396	397.357559805	37.7211838006	2373.89811142	4	0	0					
3	17	1	0	2295	9.55555555556	0.286710239651	0.00286723382552	0.000374983301339	1009.4854179	715	0.120645114628	261.431907402	33.9818181818	1886.06537812	4	0	0					
3	18	1	0	2297	10.6804527645	0.304309969525	0.00383232402983	0.000377774021644	1045.56996783	758	0.126698095324	338.571378493	35.6240105541	2198.80577777	4	0	0					
3	19	1	0	2369	9.96369776277	0.308569016463	0.00326665319045	0.000372751612453	1024.71806688	772	0.121229055161	290.353094633	32.567357513	2056.10619366	4	0	0					
3	20	1	0	2336	8.31678082192	0.249143835616	0.00261040615693	0.000319872537752	1049.99537435	618	0.118358676482	283.118916228	33.5598705502	2076.05635942	4	0	0					
3	21	1	0	2386	9.70913663034	0.297988264878	0.003137728398	0.000395366542695	1007.07645541	750	0.119308784191	267.580215905	33.0413333333	1924.01993534	4	0	0					
3	22	1	0	2113	8.8551822054	0.293421675343	0.00251344748586	0.000346787962417	972.686943977	676	0.121942528175	252.07330551	31.0295857988	1805.74705617	4	0	0					
3	23	1	0	2148	105.586126629	4.55540037244	0.0408463515088	0.00623185102347	1706.45660417	10603	0.144708843892	480.246151945	23.3259454871	3061.01252073	4	0	0					
3	24	1	0	2055	11.003406326	0.342579075426	0.00374724381108	0.000408801915391	934.623107119	743	0.123215819587	295.604474877	32.1816958277	1949.32139048	4	0	0					
4	1	1	0	2209	117.017202354	4.2068809416	0.046210721751	0.00567077415073	1970.25429564	10019	0.145012506435	565.693590914	27.9960075856	3619.13340073	4	0	0					
4	2	1	0	2342	112.097779675	5.04654141759	0.0473371651407	0.00708181090724	1584.19023946	12804	0.151480802314	471.468554509	22.4564198688	2876.33385248	4	0	0					
4	3	1	0	2243	21.6014266607	0.807846633972	0.00628986438979	0.00099764459739	962.199162495	1995	0.120866266055	222.594757239	26.6651629073	1671.79903681	4	0	0					
4	4	1	0	2558	12.1907740422	0.292025019547	0.00375671696186	0.000379130260548	967.52329871	812	0.117284527472	256.17046737	41.7573891626	1807.64909491	4	0	0					
4	5	1	0	2389	14.5052323148	0.509418166597	0.00475637186286	0.000636693293842	996.121713456	1285	0.123039561024	258.232817043	28.8054474708	1819.60060785	4	0	0					
4	6	1	0	2409	11.0630967206	0.293897882939	0.00410322450873	0.000375609570025	1050.2559291	773	0.128188627115	344.853424165	38.1203104787	2123.80727819	4	0	0					
4	7	1	0	2291	13.8786556089	0.459624618071	0.00419513816066	0.000581449986991	1050.20986203	1150	0.119353041223	261.638506625	30.2791304348	1951.87747948	4	0	0					
4	8	1	0	2279	7.86222027205	0.230802983765	0.00281467335539	0.000298281155693	1049.22486131	559	0.124824550501	330.835665362	34.4454382826	2198.90161066	4	0	0					
4	9	1	0	1268	46.8052050473	1.27681388013	0.013117819639	0.00153651645626	1122.00672264	1747	0.12230036478	279.889453164	36.6250715512	1968.03663268	4	0	0					
4	10	1	0	2387	9.13531629661	0.26267281106	0.00307747022106	0.000335849098851	1028.52890858	698	0.122652597131	325.641962305	35.4598853868	2173.89048278	4	0	0					
