Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	5ec3077d-bd1c-42fe-b7a2-44bb07190012
Plate Name	P102911
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	1623	130.468884781	4.96980899569	0.0561492461446	0.00697991939442	2412.61649115	8831	0.149215365294	677.303119214	26.474464953	4216.48185789	4	0	0					
1	2	1	0	2165	8.19445727483	0.255889145497	0.00286398251647	0.00034179507149	1155.58568418	594	0.127718125261	353.520474786	32.2053872054	2346.47415749	4	0	0					
1	3	1	0	2375	7.47326315789	0.246736842105	0.00273767781789	0.000337551464235	1021.93317047	635	0.122819734745	288.329451119	30.4488188976	1980.97621459	4	0	0					
1	4	1	0	2268	8.81216931217	0.282186948854	0.00315421191484	0.000360685273881	958.40240801	677	0.128521145012	295.468840362	31.4431314623	1936.22817302	4	0	0					
1	5	1	0	1294	8.38253477589	0.202472952087	0.00437391181509	0.000252906511605	962.807994275	285	0.15575733854	504.536976407	42.7087719298	2610.42168504	4	0	0					
1	6	1	0	2077	9.98988926336	0.255175734232	0.00367770078921	0.000350622314194	1128.25888847	564	0.126799602646	370.354164116	39.4929078014	2454.00382699	4	0	0					
1	7	1	0	1438	12.2823365786	0.380389429764	0.00332448118089	0.000302305852276	995.708267627	597	0.133039413121	332.563629819	32.5041876047	2054.43309628	4	0	0					
1	8	1	0	908	89.7533039648	3.16960352423	0.0381787217194	0.00402567935246	1356.32680166	3156	0.149797822794	466.096696711	28.7113434728	2858.15468001	4	0	0					
1	9	1	0	1946	98.5195272354	4.35251798561	0.0483665946384	0.00598100939234	1849.32179308	9161	0.151325385595	631.053118734	22.8360441	3679.80406423	4	0	0					
1	10	1	0	2310	8.43333333333	0.245021645022	0.00405849554072	0.000337119769452	1074.52387523	611	0.135524727865	464.312949963	34.9819967267	2615.53566062	4	0	0					
1	11	1	0	977	18.8833162743	0.335721596725	0.00802163750962	0.000377707230983	1159.36440299	346	0.162095544693	665.562624314	56.161849711	3750.85079247	4	0	0					
1	12	1	0	1341	7.96942580164	0.228187919463	0.00276054471309	0.000236964060787	929.322667999	328	0.138665605474	320.886404179	34.993902439	1949.92254553	3	0	0					
1	13	1	0	1986	8.64652567976	0.245216515609	0.0030847280297	0.000304954843551	1084.80680623	550	0.134431554596	390.346980655	34.7763636364	2480.75558771	4	0	0					
1	14	1	0	2232	9.729390681	0.328853046595	0.00332246747634	0.000388657378617	1090.50661006	791	0.123664192501	326.57232502	29.8621997472	2193.6736636	4	0	0					
1	15	1	0	2283	8.34209373631	0.234778799825	0.00339381569269	0.000317867142596	1040.62067878	565	0.133527799902	384.577162356	36.196460177	2397.09067322	4	0	0					
1	16	1	0	1325	13.6626415094	0.260377358491	0.00523260417281	0.000389933339847	1094.84758364	367	0.134810676008	438.437581735	52.8828337875	2584.19422826	4	0	0					
1	17	1	0	2125	8.38682352941	0.216941176471	0.00372065752913	0.000277225336813	1093.93742211	500	0.143495963512	465.483610254	40.218	2661.61273884	4	0	0					
1	18	1	0	1835	8.9275204359699991	0.264305177112	0.00359734842515	0.000299724261229	1069.81166445	535	0.136889645531	469.528698774	34.4074766355	2812.63613811	4	0	0					
1	19	1	0	2148	6.84543761639	0.216480446927	0.002188087898	0.000273860275302	1046.42174473	500	0.123371707237	278.661041564	31.952	1971.45975915	4	0	0					
1	20	1	0	1191	32.8303946264	0.964735516373	0.00854597943889	0.00086980782505	1086.20979055	1233	0.128205538682	352.472176763	34.6674776967	2288.06755226	4	0	0					
1	21	1	0	1846	48.6776814735	1.90249187432	0.0189497780929	0.00235935719422	1146.12931035	3813	0.138364905475	393.162615053	25.8966692893	2424.08767702	4	0	0					
1	22	1	0	1983	8.99394856278	0.258194654564	0.00352315419701	0.000316578288135	923.285117029	557	0.13113462018	327.629502794	34.8743267504	1981.55717514	4	0	0					
1	23	1	0	1782	121.393378227	4.8406285073	0.0560111147932	0.0070128658389	1754.22985179	9495	0.150813147421	522.831785677	25.3991574513	3189.33326675	4	0	0					
1	24	1	0	1941	11.3055126224	0.325090159711	0.00412958498374	0.000410058468641	1072.78727866	675	0.132861363515	441.493650071	35.442962963	2631.68713653	4	0	0					
2	1	1	0	2199	88.4224647567	3.56934970441	0.0319211892842	0.00502980441119	1489.478638	8414	0.137537067662	377.22451214	25.0514618493	2542.72084131	4	0	0					
2	2	1	0	2309	7.46556951061	0.22390645301	0.00310906740788	0.000280914823782	1060.85487646	557	0.132384769461	411.11741171	33.5996409336	2535.58374598	4	0	0					
2	3	1	0	2249	18.3232547799	0.650511338373	0.00673724334912	0.000878994393418	1055.56698524	1582	0.125952405757	302.789046196	28.6479140329	2092.91807601	4	0	0					
2	4	1	0	2352	8.29846938776	0.291666666667	0.00328239831593	0.000391433876268	953.813465275	740	0.129087786611	309.865434792	28.8	1989.78977727	4	0	0					
2	5	1	0	2141	8.20504437179	0.252685660906	0.0031291219949	0.000303867583904	966.344046361	587	0.135151757254	346.626340432	33.2930153322	2068.33968882	4	0	0					
2	6	1	0	2359	8.01695633743	0.289105553201	0.00364592849647	0.000379939861452	1051.83125887	763	0.136614815839	449.558858297	28.1009174312	2583.95357956	4	0	0					
2	7	1	0	2267	8.13542126158	0.256726951919	0.00346917004362	0.000328597231356	1009.25371985	641	0.132493873921	410.870849758	32.0093603744	2521.86343098	4	0	0					
2	8	1	0	2097	10.5011921793	0.377682403433	0.00362150832463	0.000455175583135	1044.10609506	869	0.127924484395	333.348705952	28.163406214	2152.35274471	4	0	0					
2	9	1	0	2069	8.16723054616	0.233929434509	0.0037314784971	0.00029336365994	1097.63192773	534	0.139644263223	495.710961073	35.1217228464	2822.36755741	4	0	0					
2	10	1	0	1941	11.2323544565	0.318907779495	0.00445039543734	0.000497615005717	1042.19086248	674	0.127027444618	323.511103455	35.471810089	2131.65521672	4	0	0					
2	11	1	0	1989	30.7134238311	1.18099547511	0.00960169979279	0.00155669033528	1105.63042603	2532	0.12583987058	283.061910839	26.3210900474	2036.11361295	4	0	0					
2	12	1	0	641	18.9001560062	0.396255850234	0.0105594046628	0.000610954751237	1089.67923769	275	0.159882475975	587.739908652	47.1381818182	3006.23416763	4	0	0					
2	13	1	0	912	28.4002192982	0.560307017544	0.0084774748172	0.000564864758784	1042.55528244	566	0.145640301582	372.666356319	51.5971731449	2227.1572693	4	0	0					
2	14	1	0	1374	8.20305676856	0.228529839884	0.00325365728604	0.000225957003793	1076.3587198	358	0.154863718246	504.143036919	36.656424581	2681.21905643	4	0	0					
2	15	1	0	1956	9.02249488753	0.253578732106	0.00361776821567	0.000299040305389	1091.66252846	531	0.13945534399	429.13461851	35.8474576271	2470.42019881	4	0	0					
2	16	1	0	2178	7.8085399449	0.236455463728	0.00323039733089	0.000302034323639	1049.96795517	563	0.130958723837	367.859450884	33.1669626998	2328.47353007	4	0	0					
2	17	1	0	2016	5.72271825397	0.155753968254	0.00313274788702	0.000209800417545	995.575573151	343	0.152187196242	510.326884896	36.3965014577	2765.79202463	4	0	0					
2	18	1	0	1884	9.11146496815	0.279193205945	0.00364814894206	0.00036980509277	1051.8075537	581	0.131536563554	378.220257825	33.3493975904	2325.87801741	4	0	0					
2	19	1	0	1852	7.47732181425	0.196544276458	0.00261381652071	0.000252898314599	1026.549245	410	0.128379023107	323.113704437	39.012195122	2076.24717269	4	0	0					
2	20	1	0	1603	24.7592014972	0.593886462882	0.00544024341157	0.000573412337495	1039.34657809	1047	0.121658074626	243.635147124	42.8796561605	1734.23675785	4	0	0					
2	21	1	0	2232	7.83870967742	0.228494623656	0.00302127190465	0.000313002374783	1013.14013764	553	0.129430561269	355.547002784	35.5081374322	2255.0174496	4	0	0					
