Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	b4c77f0e-2fee-4bb0-a6aa-6369f80b0634
Plate Name	P102917
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	2022	77.1008902077	3.12858555885	0.025288714818	0.00417205849972	1864.99893456	6842	0.135117909727	462.901195895	24.888921368	3183.93467965	4	0	0					
1	2	1	0	2203	6.79073990014	0.215615070359	0.00226114474837	0.000263953137325	1050.17168071	523	0.12317649689	306.569495661	31.9158699809	2152.41184273	4	0	0					
1	3	1	0	2278	8.15715539947	0.261194029851	0.00290518418666	0.000318552549831	1059.35160028	637	0.126511940269	337.65259236	31.4034536892	2231.21971092	4	0	0					
1	4	1	0	2319	8.32600258732	0.253988788271	0.00281386475586	0.000303420772307	1040.00412633	622	0.125290837711	317.666105593	32.7652733119	2115.49490045	4	0	0					
1	5	1	0	2321	10.1038345541	0.280482550625	0.00334716317837	0.000368213421263	976.895992135	692	0.121424824414	285.527354486	36.3309248555	1937.49516203	4	0	0					
1	6	1	0	2156	35.6906307978	1.4392393321	0.0121929757665	0.00196749718057	1142.13694692	3386	0.126365599673	296.094500368	25.0401653869	2141.01409577	4	0	0					
1	7	1	0	2296	7.85975609756	0.212543554007	0.0031069912143	0.000267280183372	980.181822062	536	0.129761572582	355.434975299	36.9645522388	2194.80921612	4	0	0					
1	8	1	0	1833	15.5586470267	0.408619749045	0.00369112477138	0.000370299296154	1004.4167331	849	0.127995221236	306.809027787	38.7620730271	2024.0059412	4	0	0					
1	9	1	0	2153	10.5466790525	0.310264746865	0.00380504592484	0.00038957967091	1036.98853943	719	0.12641594925	348.95564196	34.8803894298	2245.33587696	4	0	0					
1	10	1	0	1942	89.2476828012	2.92430484037	0.0271163267405	0.00386973803738	1455.5293199	6038	0.126614361475	327.537187623	30.8330573037	2429.05970548	4	0	0					
