Database Name	Phenix ODA 2
Database Location	http://opera2.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	9bde0ba8-792d-4c6a-b44a-73f44d92d4b4
Plate Name	P102294
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	1707	127.876977153	4.62565905097	0.0585359102423	0.00698442991787	1808.35366448	8575	0.152998933987	533.570778904	27.8774344023	3256.37367071	4	0	0					
1	2	1	0	1955	6.46700767263	0.157544757033	0.00191310005921	0.0002052800298	951.054707125	332	0.117920761611	245.18614105	41.2921686747	1752.34899434	4	0	0					
1	3	1	0	1803	7.91292290627	0.221852468109	0.00219698477724	0.000268161757001	923.657544698	428	0.117319510554	215.099362771	35.6028037383	1638.64370267	4	0	0					
1	4	1	0	2075	8.18120481928	0.245301204819	0.00212704460427	0.000304213917568	953.613582573	566	0.113074442295	197.826934334	33.2491166078	1625.95166097	4	0	0					
1	5	1	0	2033	7.47171667486	0.171175602558	0.00209885653231	0.000235855163934	1001.33939687	368	0.118865101345	261.297962437	43.9782608696	1938.43131163	4	0	0					
1	6	1	0	2091	7.14634146341	0.209469153515	0.00214508372889	0.000267924739558	1048.64791541	484	0.117901012146	290.291187003	33.9132231405	2211.86933882	4	0	0					
1	7	1	0	2084	8.63147792706	0.211612284069	0.00284077657803	0.000275797029891	1008.96759872	471	0.123281476703	278.922744547	40.8259023355	1939.14758406	4	0	0					
1	8	1	0	2150	5.61488372093	0.141395348837	0.00163180316986	0.000195886398446	1043.36594563	320	0.117192473163	257.04003928	39.78125	1912.22385104	4	0	0					
1	9	1	0	531	19.5781544256	0.274952919021	0.00735436854569	0.000527936718639	1094.54266666	158	0.128069074692	336.773868074	70.9746835443	2189.73700204	4	0	0					
1	10	1	0	2033	7.07083128382	0.203148057059	0.00268804126807	0.000265453186509	1004.27505413	438	0.126254842484	345.849528414	35.6324200913	2241.6906348	4	0	0					
1	11	1	0	2043	5.9246206559	0.178169358786	0.00185659340498	0.00023898893901	1027.29019928	400	0.120071456684	278.108744559	33.3225	1965.97043189	4	0	0					
1	12	1	0	1939	6.36358947911	0.185662712739	0.00223251578432	0.000264621446831	1028.91273167	397	0.122019907064	320.04080422	34.8942065491	2230.47833914	4	0	0					
1	13	1	0	2053	76.53190453	2.81587920117	0.0313007554031	0.00436140532889	1551.31042009	6177	0.135795959624	418.486555985	27.2132102963	2845.06227776	4	0	0					
1	14	1	0	1757	5.89243027888	0.15765509391	0.00219302792676	0.000219987048385	922.803516128	304	0.130653224065	284.14420202	38.0789473684	1850.1223181	4	0	0					
1	15	1	0	2031	6.10733628754	0.156573116691	0.00205098859976	0.000198831794441	1028.23147688	351	0.125439297918	285.788261095	39.0484330484	1964.34101705	4	0	0					
1	16	1	0	1421	5.34834623505	0.160450387051	0.00200429007391	0.00021175052414	990.083642541	251	0.130078946483	320.325949813	34.0079681275	2135.01065253	4	0	0					
1	17	1	0	2086	7.91994247363	0.195589645254	0.00227438779939	0.000239092831602	982.607862582	437	0.121529835636	284.989259872	40.4691075515	1980.74925479	4	0	0					
1	18	1	0	2071	6.62675036214	0.178657653308	0.00228811921786	0.000240571417757	1000.14235628	401	0.125421356918	298.212734196	37.4912718204	1965.55275956	4	0	0					
1	19	1	0	38	2.47368421053	0.0789473684211	1.82492610509E-05	4.08265130222E-06	991.895364171	13	0.157592496573	412.163309486	56.0769230769	1993.36989837	4	0	0					
1	20	1	0	2076	8.69460500963	0.237475915222	0.00257212466192	0.000311913085591	955.557135065	523	0.118327020765	268.339882787	36.7552581262	1958.60743488	4	0	0					
1	21	1	0	2106	10.5655270655	0.291073124406	0.00316860461476	0.000375906564644	940.58206449	658	0.115672735488	223.575802915	36.5045592705	1659.60441713	4	0	0					
1	22	1	0	1392	10.3139367816	0.326149425287	0.00210863333125	0.000305463818952	1117.56757752	516	0.122657709846	272.388076147	32.2713178295	2008.04722625	4	0	0					
1	23	1	0	1739	119.920069005	5.70787809086	0.0576068960248	0.00848863305607	1546.88526981	10772	0.154901307131	478.224906405	21.2196435202	2891.1965416	4	0	0					
1	24	1	0	1911	7.91575091575	0.228152799581	0.00272000977936	0.000293650894477	900.419703394	465	0.121023955388	308.527861212	35.0774193548	2087.26471717	4	0	0					
2	1	1	0	1714	118.007584597	4.29463243874	0.0536636786786	0.00665356277593	1562.57863954	7976	0.150698766162	457.589935722	27.7335757272	2818.05740328	3	0	0					
2	2	1	0	2119	6.97970740916	0.192543652666	0.00256072758926	0.000263474136052	928.342942072	431	0.121126458758	289.781353459	36.5034802784	2031.47460412	4	0	0					
2	3	1	0	2132	7.40619136961	0.175422138837	0.00226234893378	0.00023443931525	968.00171843	400	0.119853157193	277.892185734	42.3325	1921.03760152	4	0	0					
2	4	1	0	1967	8.50076258261	0.214031520081	0.00243369794696	0.000288233229992	965.38626951	459	0.120195275622	246.301626917	39.5969498911	1839.43662693	4	0	0					
2	5	1	0	1993	14.982940291	0.412443552434	0.00458847858485	0.000566527122573	1009.08517252	892	0.118190615899	239.428638855	36.7926008969	1811.02135246	4	0	0					
2	6	1	0	2022	7.67359050445	0.22453016815	0.00247572938132	0.000277186110705	1046.59992642	500	0.127128490752	327.0314807	34.868	2162.45948878	4	0	0					
2	7	1	0	730	24.0712328767	0.697260273973	0.00414045597098	0.000619120130819	1043.27033782	555	0.113140213448	194.875263113	34.4648648649	1571.00290677	4	0	0					
2	8	1	0	2090	6.3976076555	0.180861244019	0.00199851564785	0.000240024629863	990.479773157	403	0.120307667731	260.932241857	35.4962779156	1858.22543616	4	0	0					
2	9	1	0	2206	7.16364460562	0.21260199456	0.00223495507573	0.000275554250551	1007.08488825	504	0.120883652833	282.672409453	33.6666666667	1988.53436675	4	0	0					
2	10	1	0	1970	6.01269035533	0.14923857868	0.00227062679883	0.0002089063928	1083.02815327	327	0.129023150374	384.470605824	40.2324159021	2520.79063883	4	0	0					
2	11	1	0	1880	30.1569148936	1.09627659574	0.00991809793103	0.0016720110849	1154.96372357	2201	0.118143756821	259.680853353	27.7796456156	2099.91948412	4	0	0					
2	12	1	0	1989	8.50477626948	0.270990447461	0.00266395942693	0.000349405857711	1034.5038783	576	0.121782647597	274.905979966	31.5486111111	1953.16389248	4	0	0					
2	13	1	0	807	14.6728624535	0.314745972739	0.00532914937351	0.000358279282108	1066.21637473	280	0.137288048457	388.221547038	45.55	2329.50533461	4	0	0					
2	14	1	0	2012	7.8782306163	0.212226640159	0.00271497238061	0.000286064242112	989.301722315	468	0.118921779178	288.655741535	38.0021367521	2036.72906539	4	0	0					
2	15	1	0	2007	8.36870951669	0.25062282013	0.00256755838678	0.000324827990478	982.618434206	538	0.121925640822	265.769649292	33.6951672862	1945.55506722	4	0	0					
2	16	1	0	2242	6.47368421053	0.190008920607	0.00233126102501	0.000268204853531	1033.97949398	454	0.12479683217	341.390045691	34.2929515419	2330.74450449	4	0	0					
2	17	1	0	2090	8.30861244019	0.211961722488	0.00291715586189	0.00028727046662	1011.96605272	482	0.125448014831	291.551784727	39.2697095436	1942.27313123	4	0	0					
2	18	1	0	2009	7.03135888502	0.155301144848	0.00275778880989	0.000214931811696	1055.10209092	344	0.130380778655	407.853742577	45.4127906977	2629.28746924	4	0	0					
2	19	1	0	2028	8.04684418146	0.219921104536	0.00245329576549	0.000323062904363	954.853449813	486	0.116785986723	241.954689717	37.1481481481	1819.22982627	4	0	0					
2	20	1	0	2027	6.65910212136	0.17710902812	0.00199911779954	0.000235180985323	989.830517593	397	0.118565901788	284.980380367	38.5289672544	1966.36770658	4	0	0					
2	21	1	0	2075	7.5513253012	0.21686746988	0.0024789536203	0.000280891205399	967.123269308	491	0.120313610064	289.275454165	34.4460285132	2037.25957521	4	0	0					
2	22	1	0	1970	7.63553299492	0.21421319797	0.00205323075615	0.000259424490913	909.547819946	460	0.118161406565	248.229191155	35.9326086957	1850.15216009	4	0	0					
2	23	1	0	1879	108.325705162	4.51569984034	0.0432652696743	0.00633856986409	1380.12745598	9204	0.145869790155	377.621608695	24.2327249022	2424.03624811	4	0	0					
2	24	1	0	2010	7.79502487562	0.183084577114	0.0021986401299	0.000236926002623	875.288744609	400	0.118214335254	227.183599138	43.535	1671.16614596	4	0	0					
3	1	1	0	2037	108.225822288	4.06529209622	0.0484109956919	0.00617352638022	1697.34051671	9014	0.147399998396	489.854828179	26.8883958287	3084.95236728	4	0	0					
3	2	1	0	2157	6.60222531293	0.178025034771	0.0020252126745	0.000237196289969	953.053361726	413	0.117421026865	249.743606914	36.9225181598	1792.23064514	4	0	0					
3	3	1	0	2260	8.6	0.224778761062	0.00228745886805	0.000269308509314	959.135905664	540	0.116550050513	236.725845499	38.5074074074	1761.8309459	4	0	0					
3	4	1	0	1950	11.9348717949	0.328205128205	0.0042949467197	0.000446795277155	995.703962152	710	0.122161577511	318.956170886	37.9915492958	2194.03233332	4	0	0					
3	5	1	0	2162	10.2853839038	0.283533765032	0.0029316124784	0.000367344414284	977.853647074	684	0.116670196052	235.747684365	36.3640350877	1793.12101129	4	0	0					
3	6	1	0	2190	10.8584474886	0.351598173516	0.00288965518191	0.000463442364979	1004.85268187	846	0.115607822867	226.259841072	31.3368794326	1779.96158466	4	0	0					
3	7	1	0	1716	15.3216783217	0.55303030303	0.00412605375949	0.000759782411198	1095.23425204	1009	0.117388237136	221.443811063	27.8404360753	1754.12765542	3	0	0					
3	8	1	0	1477	14.5944482058	0.315504400812	0.00230582884861	0.000221396689113	1027.84578371	579	0.122324917647	264.867333008	46.9481865285	1850.60099674	4	0	0					
3	9	1	0	1963	7.78400407539	0.177789098319	0.00228922549824	0.000211487913577	1028.87562586	387	0.124435959585	340.840514832	44.9509043928	2230.69215868	4	0	0					
3	10	1	0	2041	8.6418422342	0.22341989221	0.00283937661358	0.000305257225033	1074.81348111	492	0.123407644311	318.198713177	39.0792682927	2140.90421995	4	0	0					
3	11	1	0	2019	5.68152550768	0.169886082219	0.00199620324138	0.000244975414623	1043.17095065	378	0.120194166341	299.042376044	33.8253968254	2133.63781275	4	0	0					
3	12	1	0	1901	37.6696475539	1.35875854813	0.0108626349135	0.00189841519514	1173.33772539	2756	0.121146690976	257.496844691	27.9386792453	2012.1562395	4	0	0					
3	13	1	0	2015	51.4784119107	2.00446650124	0.0193050930242	0.00297586099729	1442.52881554	4364	0.129912646578	385.526669012	25.9197983501	2740.74191991	4	0	0					
3	14	1	0	1172	3.42064846416	0.0955631399317	0.00212080628978	0.000123204079792	1056.86022603	131	0.168196602642	662.611221242	34.7328244275	3300.76213467	4	0	0					
3	15	1	0	2070	7.17198067633	0.190338164251	0.00206614870708	0.00024984083776	1011.53509814	431	0.116550639952	261.044785809	37.4129930394	1952.91806345	4	0	0					
3	16	1	0	2160	6.19675925926	0.172222222222	0.00179310947986	0.000217527097119	1052.11431475	417	0.118779235638	254.782678965	36.5491606715	1862.20880829	4	0	0					
3	17	1	0	2005	6.33466334165	0.159102244389	0.00199177198361	0.000219946939379	1004.35226268	356	0.119186308249	277.120491822	39.5786516854	1932.62831434	4	0	0					
3	18	1	0	760	21.9342105263	0.567105263158	0.00546175183743	0.000576848064865	1022.9534681	471	0.122664287591	272.666173055	39.0955414013	1915.48914178	4	0	0					
3	19	1	0	2329	21.5568913697	0.649635036496	0.00599086144787	0.000872634861396	1160.67152305	1624	0.118295740858	268.660199429	33.4230295567	2124.90549744	4	0	0					
3	20	1	0	907	50.8246968026	1.8401323043	0.0101961332479	0.00204712967372	979.943385257	1802	0.117123417183	181.577103051	27.6803551609	1449.35448184	4	0	0					
3	21	1	0	2191	7.13464171611	0.188498402556	0.00219776233155	0.00024297378479	912.043302383	446	0.120667376804	238.171510661	38.3295964126	1693.5326796	4	0	0					
3	22	1	0	2106	6.61728395062	0.184710351377	0.00193334811428	0.000253568402704	937.021000468	419	0.114367905301	218.693751018	36.3508353222	1721.28615815	4	0	0					
3	23	1	0	1756	103.810933941	4.34681093394	0.0400673186693	0.00602061614143	1429.98288378	8196	0.143978457832	407.007738344	24.0253782333	2619.94622526	4	0	0					
3	24	1	0	2078	8.80750721848	0.236284889317	0.00264534745243	0.000306675812126	917.926066709	528	0.119261257605	247.902663538	38.0075757576	1772.51519313	4	0	0					
4	1	1	0	2103	113.387066096	4.48454588683	0.0561289606176	0.00666117403481	1779.65317674	10126	0.154919631364	597.512337311	25.5345644875	3569.54331906	4	0	0					
4	2	1	0	1995	111.152380952	4.77744360902	0.0478878788542	0.00680303493223	1511.42495697	10207	0.1500564673	443.076732383	23.4463603409	2749.10441775	4	0	0					
4	3	1	0	2204	76.7522686025	3.2944646098	0.025824236534	0.0044325398364	1180.07733231	7797	0.136608057551	305.279913097	23.5146851353	2106.55352037	4	0	0					
4	4	1	0	1655	11.529305136	0.316616314199	0.00348294755529	0.000340210485933	915.556140991	574	0.125102861115	274.586430782	36.6445993031	1837.44189449	4	0	0					
4	5	1	0	2348	7.10817717206	0.206558773424	0.00250134101546	0.000287371030673	1012.36503133	537	0.12112442233	278.255494662	34.3947858473	1921.33683176	4	0	0					
4	6	1	0	2192	8.13366788321	0.20802919708	0.00260831321485	0.000259536231276	951.024524732	491	0.121685118866	269.800336487	39.0936863544	1910.17832247	4	0	0					
4	7	1	0	2182	7.46425297892	0.219523373052	0.00272852518149	0.000297082410913	1026.73141674	507	0.121725146697	315.888596191	33.9802761341	2148.76626664	4	0	0					
4	8	1	0	1080	34.2462962963	0.825	0.00833266529593	0.00100544131721	975.051499919	1001	0.121178465833	219.64656952	42.3666333666	1638.34760846	4	0	0					
4	9	1	0	2139	7.51332398317	0.149135109864	0.00303624945467	0.000232173498052	1045.0926097	345	0.128238692583	352.366260524	51.7536231884	2257.07321041	4	0	0					
4	10	1	0	1982	6.30070635721	0.17053481332	0.00188216178567	0.000228416246543	1063.21148109	372	0.118293069091	270.381525098	37.0322580645	1970.81196479	4	0	0					
4	11	1	0	2005	7.78054862843	0.24289276808	0.00243655872502	0.000293836774933	1045.02793931	530	0.125552707475	296.656959935	32.4018867925	2009.66232393	4	0	0					
4	12	1	0	1971	10.9842719432	0.266869609335	0.00263909574158	0.000258910739383	1014.68028993	584	0.125459759348	279.572197442	41.9006849315	1931.8413095	4	0	0					
4	13	1	0	1965	6.64427480916	0.206615776081	0.00214818523234	0.000251126830047	1031.33723983	428	0.121355958817	316.702224943	32.6004672897	2182.76534443	4	0	0					
4	14	1	0	1283	8.12314886984	0.230709275136	0.00194368238411	0.000205530697032	967.695597122	339	0.121997693656	264.491759698	35.9587020649	1847.45968724	4	0	0					
4	15	1	0	2129	6.56693283232	0.167214654767	0.00204261751822	0.000228189179509	1073.67081296	392	0.118778803254	286.569959745	40.5204081633	2148.89486439	4	0	0					
4	16	1	0	2077	6.73856523832	0.188252286952	0.00246598476063	0.000271398530451	1002.36411114	438	0.1232657763	290.168053055	35.6643835616	1963.49779068	4	0	0					
4	17	1	0	1047	10.4307545368	0.229226361032	0.00380961773449	0.000299749194723	984.002913079	258	0.143732467414	385.815787597	47.0348837209	2188.87036834	4	0	0					
4	18	1	0	2268	8.90740740741	0.267636684303	0.00272568598041	0.000360937144589	968.458738307	650	0.118629826256	240.791866071	33.4815384615	1803.59661432	4	0	0					
4	19	1	0	2331	7.4954954955	0.220506220506	0.00237156750314	0.000320043181451	967.740100745	565	0.116043838558	249.516591206	34.3646017699	1845.75618327	4	0	0					
